Speaker	Title	Content
Operator	Operator	Greetings and welcome to Ameren Corporation's First Quarter 2023 earnings conference call. At this time, all participants are in a listen-only mode, a brief question-and-answer session will follow the formal presentation. [Operator Instructions] It is now my pleasure to introduce your host, Andrew Kirk, Director of Investor Relations for Ameren Corporation. Thank you, Mr. Kirk. You may begin.
Andrew Kirk	Director of Investor Relations at Ameren	Thank you and good morning. On the call with me today are Marty Lyons, our President and Chief Executive Officer; and Michael Moehn, our Senior Executive Vice-President and Chief Financial Officer, as well as other members of the Ameren management team. This call contains time sensitive data that is accurate only as of the date of today's live broadcast and redistribution of this broadcast is prohibited.
Andrew Kirk	Director of Investor Relations at Ameren	We have posted a presentation on the amereninvestors.com homepage that will be referenced by our speakers. As noted on page two of the presentation, comments made during this conference call may contain statements about future expectations, plans, projections, financial performance, and similar matters which are commonly referred to as forward-looking statements. Please refer to the forward-looking statements section in the news release we issued yesterday, as well as our SEC filings for more information about the various factors that could cause actual results to differ materially from those anticipated.
Andrew Kirk	Director of Investor Relations at Ameren	Now here's Marty, who will start on page four.
Marty Lyons	President and Chief Executive Officer at Ameren	Thanks, Andrew. Good morning, everyone, and thank you for joining us today as we discuss our first-quarter 2023 earnings results. Our dedicated team continues to successfully execute on our strategic plan across all of our business segments allowing us to consistently deliver for our customers, shareholders and the environment, while laying a strong foundation for the future. And as shown on page five, our strategic plan, integrates our strong sustainability value proposition, balancing the four pillars of environmental stewardship, social impact, governance, and sustainable growth.
Marty Lyons	President and Chief Executive Officer at Ameren	These areas of focus incorporate our carbon reduction goals, which are consistent with the objective of the Paris Agreement to limit global temperature rise to 1.5 degrees Celsius. Here, we also highlight a few of the many items we are doing for our customers and communities, including being an industry-leader in diversity, equity, and inclusion. We are honored that earlier this week Diversity Inc named Ameren to its Hall of Fame. The first utility and only 11th company to be added. Diversity Inc also recognized Ameren as a top company among all industries for ESG, supplier diversity, philanthropy, and employee resource groups or ERGs[Phonetic]. For more than two decades our team has made an explicit commitment to fostering diversity, equity, and inclusion within our company and in the communities we serve.
Marty Lyons	President and Chief Executive Officer at Ameren	It is a value that we believe is foundational to our mission to power the quality-of-life. We look-forward to sharing best practices with other companies as we all work together to create vibrant cultures and communities. Further, our strong corporate governance is led by a diverse Board of Directors, focused on overseeing the execution of our strategic plan in a sustainable manner. Finally, this page summarizes our sustainable growth proposition, which remains among the best-in the industry.
Marty Lyons	President and Chief Executive Officer at Ameren	As mentioned on our call in February, we have a robust pipeline of over $48 billion of investment opportunities to continue to modernize the grid and enable the transition to a cleaner energy future. Today, we published our updated sustainability investor presentation called leading the way to a sustainable energy future, it's available at amereninvestors.com which demonstrates how we have been effectively integrating our sustainability values and practices into our corporate strategy. I encourage you to take some time to read more about our strong sustainability value proposition.
Marty Lyons	President and Chief Executive Officer at Ameren	Turning now to page six. Yesterday, we announced first-quarter 2023 earnings of $1 per share compared to earnings of $0.97 per share in the first-quarter of 2022. The key drivers of our first-quarter results are outlined on this slide. As a result of our strong execution in the first-quarter I'm pleased to report that we remain on track to deliver within our 2023 earnings guidance range of $4.25 per share to $4.45 per share. Moving to page seven. On our call in February I highlighted some of the key strategic business objectives for 2023. We've been laser-focused on achieving these objectives. On page eight, we outlined several of our key accomplishments to date. As you can see on the right-side of this page, we have invested significant capital in each of our business segments during the first three months of this year.
Marty Lyons	President and Chief Executive Officer at Ameren	These investments will continue to improve reliability, resiliency, safety, and efficiency of service to our customers. During the quarter Ameren Missouri installed over 74,000 smart meters, 84 smart switches, and 19 underground cable miles and energized one upgraded substation. In Illinois, our customers are benefiting from almost 1600 new or reinforced electric poles in 36 new smart switches on electric distribution circuits, as we continue to focus on replacing mechanically coupled Gas Service pipes. Further, our transmission business is expected to complete 40 new or upgraded transmission substations in 120 miles of new or upgraded transmission lines in the first-half of the year.
Marty Lyons	President and Chief Executive Officer at Ameren	I'd like to express my appreciation for the Ameren team's dedication and hard work to start the year. It is worth noting that all of these system improvements were accomplished despite several major and minor storm events including tornadoes which our teams responded to safely and rapidly to restore service to impacted customers. I'm pleased to say that 97% of customers that lost power as a result of these storms, saw service restored within 24 hours. Thank you again for your dedication to our customers and communities.
