Speaker	Title	Content
Operator	Operator	Good day, and welcome to AIG's First Quarter 2023 Financial Results Conference Call. This conference is being recorded.
Operator	Operator	Now at this time, I would like to turn the conference over to Quentin McMillan. Please go ahead.
Quentin McMillan	Vice President, Managing Director & Head of Investor Relations at American International Group	Thanks very much, Michelle, and good morning.
Quentin McMillan	Vice President, Managing Director & Head of Investor Relations at American International Group	Today's remarks may include forward-looking statements, which are subject to risks and uncertainties. These statements are not guarantees of future performance or events and are based on management's current expectations. AIG's filings with the SEC provided details on important factors that could cause actual results or events to differ materially. Except as required by applicable securities laws, AIG is under no obligation to update any forward-looking statements if circumstances or management's estimates or opinions should change.
Quentin McMillan	Vice President, Managing Director & Head of Investor Relations at American International Group	Additionally, today's remarks may refer to non-GAAP financial measures. The reconciliation of such measures to the most comparable GAAP figures is included in our earnings release, financial supplement and earnings presentation, all of which are available on our website at aig.com.
Quentin McMillan	Vice President, Managing Director & Head of Investor Relations at American International Group	Finally, today's remarks will include results of AIG's Life and Retirement segment and Other Operations on the same basis as prior quarters, which is how we expect to continue to report until the deconsolidation of Corebridge Financial. AIG's segments and U.S. GAAP financial results as well as AIG's key financial metrics, with respect thereto, differ from those reported by Corebridge Financial. Corebridge Financial will host its earnings call on Tuesday, May 9.
Quentin McMillan	Vice President, Managing Director & Head of Investor Relations at American International Group	With that, I'd now like to turn the call over to our Chairman and CEO, Peter Zaffino.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	Good morning, and thank you for joining us to review our first quarter financial results. Following my remarks, Sabra will provide more financial detail in the quarter, and then we will take questions. Kevin Hogan and David McElroy will be available for the Q&A portion of the call.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	As you saw in our press release, we reported an excellent start to the year. We continue to make meaningful progress across AIG and achieve important milestones, even in the face of ongoing complexity in the insurance industry, volatile market conditions and general economic uncertainty. We continue to diligently execute on our strategic and operational priorities, which drove very strong financial results in the first quarter and are positioning AIG for long-term value creation. Here are some highlights from the first quarter.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	Adjusted after-tax income was $1.2 billion or $1.63 per diluted common share, representing a 9% increase year-over-year. Net investment income on a consolidated basis was $3.1 billion. In 2022, we began to take proactive steps to improve the credit quality, construction and return characteristics of our investment portfolio as well as to reduce volatility. We saw the benefits of these actions in the first quarter and expect that to continue throughout the year. Sabra will provide additional detail on net investment income in her remarks.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	Net premiums written in General Insurance grew 10% on a constant dollar basis and adjusted for the International lag elimination that we discussed on our last call. This growth was driven by our Commercial business. Underwriting income was approximately $500 million, a 13% increase year-over-year, which is AIG's strongest first quarter underwriting result.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	The accident year combined ratio, excluding catastrophes, was 88.7%, an 80 basis point improvement from prior year. Life and Retirement reported very good results, with premiums and deposits of $10.4 billion in the first quarter, a 44% increase year-over-year, supported by record sales in fixed annuity and fixed index annuity products.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	Net flows into the General Account from Individual Retirement were approximately $1.3 billion. Corebridge and Blackstone have made substantial progress advancing their strategic partnership, which began in late 2021. Since that time, Blackstone has invested approximately $11 billion on behalf of Corebridge, with an average gross yield of 6.5% and an average credit rating of A. This partnership has allowed Corebridge to expand in certain asset classes where we had limited to no access in the past, which has been very beneficial for the business and is helping to support growth, particularly in fixed annuity products.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	We returned approximately $840 million to shareholders in the first quarter through $600 million of common stock repurchases and $240 million of dividends. And we ended the first quarter with strong parent liquidity of $3.9 billion. Overall, I'm very pleased with what we accomplished in the first quarter. The strong momentum we had coming into 2023 continues.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	As we announced last night, the AIG Board approved the first meaningful increase to AIG's common stock quarterly dividend in many years. Starting in the second quarter, this dividend will be $0.36 per share, an increase of 12.5%. This is another significant milestone for AIG and reflects our commitment to a disciplined, balanced capital management strategy and our confidence in the future earnings power of AIG.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	Corebridge is also achieving important milestones. Since its IPO in September of last year, Corebridge has paid three dividends to public shareholders, totaling approximately $450 million. And yesterday, the Corebridge Board authorized a $1 billion share repurchase program. During the first quarter, we were prepared to launch a secondary offering of Corebridge common stock, but chose not to proceed when equity markets became volatile due to issues in the financial sector.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	We continue to be prepared and disciplined in terms of executing a secondary offering, which remains our base case for selling down our ownership in Corebridge, subject to market conditions and regulatory approvals. We remain committed to reducing our ownership interest in Corebridge and will explore other options that are aligned with the best interest of shareholders.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	During the remainder of my remarks this morning, I'll provide more information on the following five topics: first, I will review the first quarter results for General Insurance; second, I will give a high-level overview of the results for Life and Retirement, and Sabra will provide more detail in her remarks; third, I will provide an update on a few strategic initiatives, including the announcement last week relating to Private Client Services, our MGA partnership with Stone Point Capital, our announcement on Tuesday of the sale of Crop Risk Services and our intent to sell Laya Healthcare, which is a part of Corebridge and Ireland's second largest health insurance provider; fourth, I will provide more information on capital management actions; lastly, I will review progress on our path to a 10%-plus ROCE, including an update on the work we are doing on the future state business model of AIG.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	Turning to General Insurance. Let me provide more detail on first quarter results, starting with our strong growth in gross and net premiums written. When we refer to gross and net premiums written, all numbers have been adjusted for both foreign exchange and the impact of the lag elimination.
Peter Zaffino	Chairman and Chief Executive Officer at American International Group	Gross premiums written were $12 billion, an increase of 9%, with Global Commercial growing 13% and Global Personal decreasing 4%. Net premiums written were $7 billion, an increase of 10%. This growth was primarily driven by Global Commercial, which grew 11%, while Global Personal grew 6%.
