Speaker	Title	Content
Operator	Operator	Hello, and welcome to Albemarle Corporation's Q1 2023 Earnings Call. [Operator Instructions]
Operator	Operator	I will now hand it over to Meredith Bandy, Vice President of Investor Relations and Sustainability. Ms. Bandy, please proceed.
Meredith H. Bandy	Vice President of Investor Relations & Sustainability at Albemarle	All right. Thank you, Forum, and welcome, everyone, to Albemarle's First Quarter 2023 Earnings Conference Call. Our earnings were released after the close of market yesterday, and you'll find the press release and earnings presentation posted to our website under the Investors section at albemarle.com. Joining me on the call today are Kent Masters, Chief Executive Officer; and Scott Tozier, Chief Financial Officer. We also have Eric Norris, President of Energy Storage; Netha Johnson, President of Specialties; and Raphael
Meredith H. Bandy	Vice President of Investor Relations & Sustainability at Albemarle	Crawford, President of Ketjen available for Q&A.
Meredith H. Bandy	Vice President of Investor Relations & Sustainability at Albemarle	As a reminder, some of the questions -- some of the statements made during the call, including our outlook, guidance, expected company performance and timing of the expansion projects may constitute forward-looking statements. Please note the cautionary language about forward-looking statements contained in our press release and earnings presentation, which also applies to this call. Please also note that some of our comments today refer to non-GAAP financial measures, a reconciliation of which can be found in our earnings materials. And now, I'll turn the call over to Kent.
Jerry Kent Masters	Chairman, President & Chief Executive Officer at Albemarle	Thank you, Meredith. Our first quarter was excellent, with net sales more than doubling versus first quarter last year, and EBITDA up almost four times to $1.6 billion. This reflects the high market pricing for our Energy Storage business at the end of 2022. Our Specialties business also had a strong quarter, up sequentially from last quarter on higher pricing. Looking forward to the rest of this year, we are adjusting our expectations based on the current lithium market pricing, and Scott will go into that in more detail.
Jerry Kent Masters	Chairman, President & Chief Executive Officer at Albemarle	We moved the business forward in a number of ways during the quarter, including selecting the site for our U.S. Mega-Flex lithium processing facility in Richburg, South Carolina, which is a strategic move that is even more important given the U.S. Inflation Reduction Act. We also announced the restructure of our MARBL joint venture in Australia, and we announced a separate investment by Mineral Resources Limited into two of Albemarle's conversion assets in China.
Jerry Kent Masters	Chairman, President & Chief Executive Officer at Albemarle	We expect those two deals to receive regulatory approval and close later this year. This week, we announced the final investment decision to build Kemerton trains III & IV in Australia, which will be 100% Albemarle owned. The fact that we are advancing the Kemerton trains and the U.S. Mega-Flex facility, points to our confidence in the long-term growth and opportunities of the lithium business and in particular, our Energy Storage segment. Lithium demand and the EV market continue to grow at extraordinary rates. And with that, I'll hand over to Scott.
Scott A. Tozier	Executive Vice President & Chief Financial Officer at Albemarle	Thanks, Kent, and hello, everyone. Let's review our first quarter performance on slide five. Net sales for the first quarter were $2.6 billion, up 129% compared to last year. This is a $1.5 billion increase and was driven by Energy Storage, as a result of both higher market pricing flowing through our variable price contracts and higher volumes. Net income attributable to Albemarle was $1.2 billion, up almost 390% compared to the prior year. Diluted EPS was $10.51, also up almost 390%, which is another record quarter for Albemarle. Looking at slide six. First quarter adjusted EBITDA was almost $1.6 billion, an increase of approximately 270% year-over-year. This $1.1 billion increase was almost entirely driven by higher net sales in Energy Storage.
Scott A. Tozier	Executive Vice President & Chief Financial Officer at Albemarle	Our Specialties business unit was up due to increased pricing and some lower freight costs, which were partially offset by lower volumes. Ketjen declined slightly due to volumes associated with the winter freeze in Texas, earlier in the quarter. And importantly, we saw year-over-year price increases more than offsetting inflation in the quarter. On slide seven, we are adjusting our 2023 guidance to reflect current lithium market pricing. On average, lithium indices are down about 50% to 60%, since the start of the year. Based on our established guidance methodology, we are taking lithium market price indices as of mid-April and holding them flat for the balance of the year.
