Speaker	Title	Content
Operator	Operator	Thank you for standing by, and welcome to Allstate's First Quarter 2023 Earnings Conference Call. [Operator Instructions] After the prepared remarks, there will be a question-and-answer session. [Operator Instructions] [Operator Instructions]
Operator	Operator	And now, I'd like to introduce your host for today's program, Mr. Mark Nogal, Head of Investor Relations. Please go ahead, sir.
Mark Nogal	Head-Investor Relations at Allstate	Thank you, Jonathan. Good morning. Welcome to Allstate's First Quarter 2023 Earnings Conference Call. After prepared remarks, we'll have a question-and-answer session. Yesterday, following the close of the market, we issued our news release and investor supplement, filed our 10-Q and posted related material on our website at allstateinvestors.com. Our management team is here to provide perspective on these results.
Mark Nogal	Head-Investor Relations at Allstate	As noted on the first slide of the presentation, our discussion will contain non-GAAP measures for which are reconciliations in the news release and investor supplement, and forward-looking statements about Allstate's operations. Allstate's results may differ materially from these statements, so please refer to our 10-K for 2022 and other public documents for information on potential risks.
Mark Nogal	Head-Investor Relations at Allstate	As some of you know, this will be my final earnings call as the leader of our Investor Relations team, and I will be transitioning to a new role in our P&C finance area supporting National General. I'm leaving Investor Relations in the capable hands of Brent Vandermause, who will be a great partner for all of you going forward.
Mark Nogal	Head-Investor Relations at Allstate	And now, I'll turn it over to Tom.
Tom Wilson	Chair, President and Chief Executive Officer at Allstate	Good morning. We're excited for Mark, and we're completely confident that Brent is going to give you everything you need to help you decide how and why you want to invest in Allstate. So good morning. We appreciate the investment of your time in Allstate today. Let's start with an overview results, and then Mario and Jesse are going to walk through the operating results and the actions that we're taking to increase shareholder value.
Tom Wilson	Chair, President and Chief Executive Officer at Allstate	So let's start on slide two. Allstate's strategy, as you know, has two components, increase personal property-liability market share and expand protection services. Those are shown in the two ovals on the left. If you go to the right-hand side of the slide, you can see a summary of the results for the first quarter. We had a net loss of $346 million in the first quarter, which reflects a property liability underwriting loss which was only partially offset by strong investment income and profits from protection services and health and benefits.
Tom Wilson	Chair, President and Chief Executive Officer at Allstate	We're making good progress on executing the comprehensive plans to improve auto insurance profitability, and of course, we'll have a substantive discussion on that today. Not to be overlooked, we also continue to advance Transformative Growth plan, which is to execute the top oval there, which is to increase Property-Liability market share. At the same time, Allstate Protection Plans in the lower oval continues to expand its product offering and geographic footprint.
Tom Wilson	Chair, President and Chief Executive Officer at Allstate	Let's review the financial results on slide three. Revenues of $13.8 billion in the first quarter increased 11.8% or nearly $1.5 billion as compared to the prior year quarter. The increase was driven by higher average premiums in auto and homeowners insurance, resulting in Property-Liability earned premium growth of 10.8%. In the auto insurance line, higher insurance premiums and lower expenses were essentially offset by increased loss costs, so the profit improvement plan has not yet returned margins to historical levels. The auto insurance line had an underwriting loss of $346 million in the quarter.
Tom Wilson	Chair, President and Chief Executive Officer at Allstate	In homeowners, the story is really about $1.7 billion of catastrophes, which led to an underwriting loss of $534 million. The total underwriting loss was just under $1 billion. Net investment income of $575 million benefited from higher yields, which mostly offset an income decline from performance-based investments. Protection Services and Health and Benefits generated adjusted net income of $90 million in the quarter. As a result, the adjusted net loss was $342 million or $1.30 a share.
Tom Wilson	Chair, President and Chief Executive Officer at Allstate	Now let me turn it over to Mario to discuss Property-Liability results.
Mario Rizzo	President, Property-Liability at Allstate	Thanks, Tom, and good morning, everybody. Let's flip to slide four. The chart on the left shows the Property-Liability recorded and underlying combined ratio since 2017. As you can see, Allstate has a long history of generating strong underwriting results though the current operating environment is challenging, with combined ratios over 100 last year and into the first quarter. The underlying combined ratio of 93.3 for the first quarter was slightly below the full year 2022.
Mario Rizzo	President, Property-Liability at Allstate	The second chart compares the full year 2022 recorded combined ratio for all lines of business to the first quarter of this year, which removes the influence of intra-year severity changes that occurred throughout 2022. The first red bar shows the underlying loss ratio was essentially unchanged as higher premiums were offset by increased loss costs. The second red bar on the left shows most of the increase in the combined ratio was driven by higher catastrophe losses, reflecting the widespread severe weather in the first quarter of this year.
Mario Rizzo	President, Property-Liability at Allstate	Expenses were lower by 1.9 points of premiums and minimal non-catastrophe prior year reserve reestimates also had a positive impact. Let's move to slide five to review Allstate's auto insurance profitability in more detail. As you can see from the chart on the left, which shows the auto insurance recorded and underlying combined ratios from 2017 through the current quarter, we have a long history of sustained profitability in auto insurance as we successfully leveraged our capabilities and pricing sophistication, underwriting and claims expertise and expense management to generate excellent returns in the auto insurance business.
Mario Rizzo	President, Property-Liability at Allstate	Since mid-2021, loss costs have increased rapidly, driving combined ratios above our mid-90s target. The profit improvement plan is designed to address these significant loss cost increases, and we're making good progress. The chart on the right compares the recorded combined ratio of 104.4 in the first quarter to full year 2022 results. Starting on the left, higher average earned premiums drove a 5.7 point favorable impact, which is shown in the first green bar.
Mario Rizzo	President, Property-Liability at Allstate	The first red bar reflects a 6.5 point increase in underlying loss cost due to increased accident frequency and severity for the 2023 report year, with severity currently projected in the 9% to 11% range above the full prior report year. A lower expense ratio reflects expense reductions and higher earned premiums. The remaining difference was due to catastrophes and prior year reserve reestimates. All in, both the recorded and underlying combined ratios of 104.4 and 102.6, respectively, improved in the first quarter of 2023 compared to the full year 2022.
Mario Rizzo	President, Property-Liability at Allstate	Slide six provides an update on the execution of our comprehensive approach to increase returns in auto insurance. There are four focus areas, raising rates, reducing expenses, implementing underwriting actions and enhancing claim practices to manage loss costs. Starting with rates. Following increases of 16.9% in 2022, the Allstate brand implemented an additional 1.7% of rate increases in the first quarter.
