Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, thank you for standing by and welcome to the ANSYS First Quarter 2023 Earnings Conference Call. With us today are Ajei Gopal, President and Chief Executive Officer; Nicole Anasenes, Chief Financial Officer; and Alex Di Ruzza, Investor Relations Manager. [Operator Instructions]
Operator	Operator	At this time, I would like to turn the conference over to Mr. Di Ruzza for opening remarks. Please go ahead.
Alec Di Ruzza	Manager, Investor Relations at ANSYS	Good morning, everyone. Our earnings release, the related prepared remarks document and the link to our first quarter 2023 Form 10-Q have all been posted on the homepage of our Investor Relations website. They contain the key financial information and supporting data relative to our first quarter financial results and business update as well as our Q2 and fiscal year 2023 outlook and the key underlying quantitative and qualitative assumptions. Today's presentation contains forward-looking information. Important factors that may affect our future results are discussed in our public filings. Forward-looking statements are based upon our view of the business as of today and ANSYS undertakes no obligations to update any such information. During this call we will be referring to non-GAAP financial measures unless otherwise stated. A discussion of the various items that are excluded and the reconciliations of GAAP to the comparable non-GAAP financial measures are included in our earnings release materials.
Alec Di Ruzza	Manager, Investor Relations at ANSYS	I would now like to turn the call over to our President and CEO, Ajei Gopal for his opening remarks. Ajei?
Ajei Gopal	President and Chief Executive Officer at ANSYS	Good morning, everyone and thank you for joining us. Q1 was an outstanding quarter for ANSYS with the company once again surpassing expectations across all key metrics. We grew ACV by 19% in constant currency over Q1 2022, which reflects the power of our world-class products, the ongoing demand from our customers and the strength of our business. As a result of our strong Q1, we have operationally raised our full year guidance for ACV revenue and EPS. Nicole will have the details in a few minutes. ANSYS realized broad-based growth across the business in Q1. We grew revenue by double-digits in every region in the quarter with the Americas leading the way. From a vertical perspective the high-tech and semiconductor, aerospace and defense, and automotive and ground transportation sectors were again our top contributors. Our largest agreement in the quarter was a nearly $74 million three-year contract with a multinational aerospace and defense technology company based in the US We grew the account by showcasing the value ANSYS is driven at this long-time customer including a new workflow with our digital mission engineering and electromagnetic solutions that reduce the time required to bring a critical product to market by 50%. That same workflow is being reused by multiple groups within the company helping to drive more users, more products and more computations. On these calls, I often highlight a specific aspect of our business.
Ajei Gopal	President and Chief Executive Officer at ANSYS	Over the past several quarters, I have discussed the critical role that ANSYS solutions play in sustainability. I highlighted how customers are using our solutions in the development of next-generation semiconductor and I reviewed our leading suite of optical simulation products. For this call, I would like to give you additional insight into the innovation we are driving across our multiphysics portfolio through an easy-to-understand taxonomy of five technology pillars. Our investments in these pillars are applicable across our portfolio and demonstrate how we are building upon our product and technology leadership to further differentiate our solutions. Even more exciting is the interplay amongst these pillars, which is benefiting customers by helping them to solve more complex challenges, while driving our growth through more products, more users and more computations. As you know ANSYS is the leader in advanced numerical simulation methods that accurately predict the multiphysics behavior of engineered products. Our continued investment across our core multiphysics products is reflected in our first technology pillar, which is numerics. Accurately predicting physical phenomena in the real world, is intrinsically complicated.
Ajei Gopal	President and Chief Executive Officer at ANSYS	The numerics pillar encompasses the latest advances in science, mathematics and analytics, which help us gain a deeper understanding of the physical world. It is the essence, of what we do at ANSYS with our core products. Over the last several releases, we have further differentiated our products with advanced numerics capabilities. Let me give you just, a few examples. In ANSYS Mechanical, new functionality enables customers to automatically predict structural crack initiation and growth without the need for expert knowledge. In ANSYS HFSS, our leading electromagnetic solution users can now solve increasingly complicated problems by creating simulations eight times larger than before. And in CFD, our fluids blade row analysis, enables customers to automatically mesh complex blade features while retaining the efficient Hex measures, that turbomachinery engineers demand. In Q1, we signed a new contract with a long-time customer INNIO, which uses advanced numerics capabilities from ANSYS to develop engines that run on a broad range of energy sources including hydrogen and biomethane. INNIO is expanding its usage of ANSYS multiphysics solutions, including structures and fluids, to accelerate time to market and to increase engine efficiency and performance.
Ajei Gopal	President and Chief Executive Officer at ANSYS	Our second technology pillar is high-performance computing or HPC, which is enabling customers to solve problems they couldn't solve otherwise, and to do so faster than anyone thought possible. ANSYS has close partnerships with hyperscale computer partners, and has long taken advantage of distributed memory, multiprocessing and multiple cores to accelerate our customers' products to market, and in the process drive more computations. Again, I could cite numerous examples of new HPC technologies, in our solutions. But in the interest of time, here are just a few. In ANSYS Mechanical, technologies such as hybrid parallel, which blends distributor and shared memory parallel programming techniques, enables simulations to scale to tens of thousands of compute cores. A new multi-GPU solver, empowers users to run ANSYS Fluent natively on multiple GPUs. This CFD solution, which we believe is the first general-purpose CFD solver for GPUs is seven times less expensive in hardware purchase costs and consumes four times less power than an equivalent CPU solution. In Q1, we signed a contract with the International Technology Group, Andritz, which offers a broad portfolio of innovative, power plants, equipment, systems, services and digital solutions for a wide range of industries and end markets.
Ajei Gopal	President and Chief Executive Officer at ANSYS	As part of this agreement, Andritz is leveraging HPC to more rapidly solve complex structural and fluid simulations, to increase the efficiency of its turbines. As a result, Andritz is reducing the amount of physical testing needed to deliver its products to market. The next area of technology emphasis, is artificial intelligence and machine learning. AI is not restricted to a specific ANSYS product line. Instead, it is architectured across our portfolio to improve ease of use, to accelerate time to solve and to further democratize simulation. Let me start with the use of AI to accelerate the time required to complete the simulation. You might recall, that a single large complex simulation, can run for days across hundreds of cores. We are incorporating AI techniques directly into multiple products, to increase the speed and scale of a single simulation. For example, our real-time radar functionality enhances HFSS, is being used to train machine learning algorithms, for radar systems in cluttered environments with moving targets. Combining synthetic radar responses with machine learning, has resulted in a 1,000x speed up, compared to previous methods and has opened the door to exciting new opportunities, for automotive radar and autonomy. Artificial intelligence can also address the multiple iterative simulations needed to get to an optimal design point.
Ajei Gopal	President and Chief Executive Officer at ANSYS	Often customers use ANSYS products to run complex multi-variant optimizations, where they vary design parameters and boundary conditions over multiple simulation runs to reach the best design. Such multiple intrusive runs can be time-consuming due to the number of simulations that need to be performed. To address this issue, our optimization engine ANSYS optiSLang uses AI techniques to reduce the time it takes to intuitively run thousands of simulations for products across the ANSYS portfolio. For example, one customer designing electric motors initially needed seven hours to run an ANSYS-Motor CAD multivariate optimization with 4800 simulations. But with the AI techniques in optiSLang, they solve the same problem in an astonishing 17 minutes. Our fourth technology pillar is cloud and experience. We have made some recent announcements about our cloud marketplace offerings and we are continuing to invest in cloud native capabilities as well as user experience. ANSYS offers two distinct kinds of cloud offerings. The first is Cloud Marketplace and the second is cloud native. And this combination of marketplace and native takes full advantage of past innovations as well as some of our newly announced cloud capabilities. The marketplace offerings deliver flexibility to our customers by taking advantage of familiar ANSYS products, while leveraging the benefit of cloud computing and their own pre-existing relationships with cloud service providers.
