Speaker	Title	Content
Operator	Operator	Good morning. and welcome to Air Products' Second Quarter Earnings Release Conference Call. [Operator Instructions]. Please note that this presentation and the comments made on behalf of Air Products are subject to copyright by Air Products and all rights are reserved.
Operator	Operator	Beginning today's call is Mr. Sidd Manjeshwar. Please go ahead.
Sidd Manjeshwar	VP, Corporate Treasurer, IR at Air Products and Chemicals	Thank you, Tarren. Good morning, everyone. Welcome to Air Products' second quarter 2023 earnings results teleconference. This is Mr. Sid Manjeshwar, Vice President of Investor Relations and Corporate Treasurer. I am pleased to be joined today by Seifi Ghasemi, our Chairman, President and CEO; Dr. Samir Serhan, our Chief Operating Officer; Melissa Schaeffer, our Senior Vice President and Chief Financial Officer and Sean Major, our Executive Vice President, General Counsel and Secretary. After our comments, we will be pleased to take your questions.
Sidd Manjeshwar	VP, Corporate Treasurer, IR at Air Products and Chemicals	Our earnings release and slides for this call are available on our website at airproducts.com.
Sidd Manjeshwar	VP, Corporate Treasurer, IR at Air Products and Chemicals	Today's discussion contains forward-looking statementsToday's discussion contains forward-looking statements, including those about earnings. capital expenditure guidance, business outlook and investment opportunities. Please refer to the cautionary note regarding forward-looking statements that is provided in our earnings release and on slide number two.
Sidd Manjeshwar	VP, Corporate Treasurer, IR at Air Products and Chemicals	Additionally, throughout today's discussion, we will refer to various financial measures, including earnings per share. operating income, operating margin, EBITDA, EBITDA margin, the effective tax rate and ROCE, both on a total company and segment basis. Unless we specifically state otherwise, statements regarding these measures are referring to our adjusted non-GAAP financial measures. Reconciliation of these measures to our most directly comparable GAAP financial measures can be found on our website in the Relevant Earnings Release section.
Sidd Manjeshwar	VP, Corporate Treasurer, IR at Air Products and Chemicals	Now, I'm pleased to turn the call over to Seifi. Thank you, Sidd. And good day to everyone. Thank you for taking time from your very busy schedule to be on our call today. I am proud to say that our people delivered another set of outstanding results this quarter, continuing to grow our business in a challenging environment. Our team also continued to make great progress in executing our growth strategy, which is focused on the production of low-carbon and zero-carbon hydrogen. I would like to tank, each one of our talented, dedicated and motivated employees at Air Products for their commitment and hard work. Now please turn to slide number three, our Safety Performance, which is always our highest priority. As you can see, we have made significant progress since 2014, but we are always working hard to do better. I want to make it clear that our goal is to achieve zero incidents and zero accidents. The slide number four, which we have shown you many many times before, summarizes our management philosophy, which is critical to Air Products' success and will continue to guide our actions as we move forward. Now please turn to slide number five. Our second quarter adjusted earnings of $2.74 per share improved by $0.40 or 17% versus last year, despite the lingering economic headwinds in many parts of the world, and exceeded the top-line of our guidance for the quarter. We have consistently delivered earnings and top-line growth, driven by both price and volume, which were collectively up. 14% for the quarter versus quarter of last year. We also brought new projects on stream that further enhance our earnings. Our roughly $16 billion of backlog with more than $11 billion focused on energy transition, will continue to drive long-term earnings growth. Now please turn to slide number six. As mentioned last quarter, we have again raised our quarterly dividend this year, up 8% to $1.75 per share per quarter, extending our record of more than 40 consecutive years of dividend increase. We expect to pay out more than $1.5 billion to our shareholders in 2023, demonstrating our commitment to return cash to shareholders. Now please turn to slide number seven, which shows our EBITDA margin trend. This continues to be my favorite slide, as it shows our business performance overtime. We were happy to see our margins improve over the past two quarters after the decline which was caused largely due to the dilutive effect of higher energy cost pass through that increases our sales but doesn't increase our bottom line. We expect our margin to move higher, as energy costs decrease while we continue to improve productivity in our base business and add new projects. Now please turn to slide number eight, where I would like to share a few thoughts on our hydrogen strategy. We knew, being a firstmover in real mega projects has its challenges and that novel ideas and approaches are sometimes met with skepticism initially. When we launched the NEOM Green Hydrogen Project three years ago, we were the first hydrogen producer to capitalize on the ideal renewable energy resources in the Middle East and the first to recognize ammonia's potential as an effective transport medium for hydrogen. When we announced the Louisiana Blue hydrogen project in 2021, we were again firstmover to act on carbon capture and sequestration on the U.S. Gulf Coast. Now the promise of clean energy is a reality. These projects have gained significant government support around the world, and many companies have since followed our lead and want to become a hydrogen company, announcing large clean hydrogen projects and exploring ammonia dissociation innovation. We believe these developments are actually good for the industry, because a successful energy transition will require the work of many different companies, organizations and governments around the world. However, as a global leading hydrogen producer, we are confident that our experience, know how and proprietary assets will continue to capture the firstmover advantage and support Air Products' success in leading clean energy and clean hydrogen development for the decades to come. Now it is my pleasure to turn the call over to Melissa Schaeffer, our Chief Financial Officer. Melissa?
Melissa Schaeffer	SVP, CFO at Air Products and Chemicals	Thank you, Seifi. As Seifi mentioned earlier, our business performed very well this quarter, despite significant macroeconomic headwinds. Price and volume gained 14% and all profit metrics were up double-digits versus last year. I, too, would like to thank the Air Products team for their continued outstanding efforts.
Melissa Schaeffer	SVP, CFO at Air Products and Chemicals	In March, we were proud to announce the successful issuance of our first-of-its-kind Green Bond with principle amount of $600 million and EUR700 million after publishing our Green Finance framework. With these offerings, Air Products became the first investment-grade U.S. issuer to execute multicurrency Green Bonds on the same day. Additionally, we are very proud to be the first U.S. chemical Company to qualify green and blue hydrogen projects as an eligible expenditure category, which further demonstrates our position as a leader in advancing the world's energy transition.
Melissa Schaeffer	SVP, CFO at Air Products and Chemicals	Now please turn to Slide 9 for a review of our second quarter results. In comparison to last year, volumes increased 6%, driven primarily by better on-site activities. Volume has been positive for eight consecutive quarters. Merchant price is 18% higher compared to last year, the sixth consecutive quarter of double-digit increases. This equates to an 8% price gain for the total Company, for which we saw positive price gains across all regions. This partially was offset by a 1% lower energy cost pass through and currency translation from the strong U.S. dollar, which reduced both sales and EBITDA by about 4%. Despite this headwind, EBITDA improved 13%, and EBITDA margin was 140 basis points higher as strong price, volume and the contribution from the second phase of the Jazan project more than offset higher costs.
