Speaker	Title	Content
Operator	Operator	Good day, and welcome to the Aptiv Q1 2023 Earnings Call. [Operator Instructions]
Operator	Operator	At this time, I would like to turn the conference over to Jane Wu, Vice President, Investor Relations and Corporate Development. Please, go ahead.
Jane Wu	Vice President, Investor Relations and Corporate Development at Aptiv	Thank you, Ally. Good morning, and thank you for joining Aptiv's first quarter 2023 earnings conference call. The press release and related tables, along with the slide presentation, can be found on the Investor Relations portion of our website at aptiv.com
Jane Wu	Vice President, Investor Relations and Corporate Development at Aptiv	Today's review of our financials exclude amortization, restructuring and other special items, and we'll address the continuing operations of Aptiv. The reconciliations between GAAP and non-GAAP measures for our first quarter financials as well as our full year 2023 outlook are included at the back of the slide presentation and the earnings press release. During today's call, we will be providing certain forward-looking information that reflects Aptiv's current view of future financial performance and may be materially different for reasons that we cite in our Form 10-K and other SEC filings.
Jane Wu	Vice President, Investor Relations and Corporate Development at Aptiv	Joining us today will be Kevin Clark, Aptiv's Chairman and CEO; and Joe Massaro, CFO and Senior Vice President of Business Operations. Kevin will provide a strategic update on the business, and Joe will cover the financial results in more detail before we open the call to Q&A.
Jane Wu	Vice President, Investor Relations and Corporate Development at Aptiv	With that, I'd like to turn the call over to Kevin Clark.
Kevin P. Clark	Chairman and Chief Executive Officer at Aptiv	Thanks, Jane, and thanks, everyone, for joining us this morning. Beginning on Slide 3. We had a strong start to the year, showcasing our ability to continue to execute in a dynamic macro environment. Touching on a few of the highlights. Revenue increased 15% to $4.8 billion, a new record for quarterly revenue, representing 6 points of growth over underlying vehicle production, supported by strength across all regions and product lines, particularly in our ASUX segment.
Kevin P. Clark	Chairman and Chief Executive Officer at Aptiv	Operating income and earnings per share totaled $437 million and $0.91 respectively, reflecting solid flow-through on volume growth and contributions from our recent acquisitions, Wind River and Intercable Automotive, partially offset by periodic supply chain disruptions and unfavorable foreign exchange and commodity prices. New business bookings totaled $13.9 billion, driven by a record level of customer awards for our Smart Vehicle Architecture and high voltage solutions, further demonstrating our strategic value to our customers as the industry accelerates towards the fully electrified software-defined vehicle.
Kevin P. Clark	Chairman and Chief Executive Officer at Aptiv	Turning to Slide 4. While the overall macro environment remains challenging, we're beginning to see supply chain improvements that are broadly in line with our expectations. Our 15% revenue growth in the first quarter was supported by a 9% increase in underlying global vehicle production, principally driven by stronger-than-forecasted customer schedules in North America and Europe. We continue to benefit from consumer demand for more feature-rich, highly electrified vehicles, which could further accelerate with more stringent government regulations, such as the recent EPA proposal that will result in electric vehicles representing at least half of US new car sales in 2030.
Kevin P. Clark	Chairman and Chief Executive Officer at Aptiv	Although supply chain issues persist, we are now seeing sequential improvements in the overall supply of semiconductors, which has translated in a more stable vehicle production schedules. While we work to position ourselves to benefit from these near and long-term tailwinds, we remain focused on optimizing our business foundation, ensuring that we have the right talent and operational footprint to execute on our current and future platforms. We continue to enhance our regional operating model and expand our global execution capabilities by rotating our engineering resources to our technology centers located in India and Poland and establishing new engineering centers in Cairo, Egypt and Monterrey, Mexico, which are emerging hubs for software talent.
Kevin P. Clark	Chairman and Chief Executive Officer at Aptiv	We also continue to address increasing material and labor inflation through supply chain resilience initiatives and the rotation of our manufacturing footprint to best cost locations. The majority of our direct material spend is now mapped in our digital network model, providing greater visibility into our global supply chain and enabling us to better predict and minimize the impact of supply constraints.
