Speaker	Title	Content
Operator	Operator	Good day, everyone, and welcome to today's Becton Dickinson Q2 Fiscal Year 2023 Earnings Call. [Operator Instructions].
Operator	Operator	It is now my pleasure to turn today's program over to Francesca DeMartino. Ma'am please begin.
Francesca DeMartino	Senior Vice President and Head-Investor Relations at Becton, Dickinson and	Good morning, and welcome to BD's earnings call. I'm Francesca DeMartino, Senior Vice President and Head of Investor Relations. On behalf of the BD team, thank you for joining us. This call is being made available via audio webcast at bd.com.
Francesca DeMartino	Senior Vice President and Head-Investor Relations at Becton, Dickinson and	Earlier this morning, BD released its results for the second quarter of fiscal 2023. We also posted an earnings presentation that provides additional details on our business, strategy and performance. The press release and presentation can be accessed on the IR website at investors.bd.com.
Francesca DeMartino	Senior Vice President and Head-Investor Relations at Becton, Dickinson and	Leading today's call are Tom Polen, BD's Chairman, Chief Executive Officer and President; and Chris DelOrefice, Executive Vice President and Chief Financial Officer.
Francesca DeMartino	Senior Vice President and Head-Investor Relations at Becton, Dickinson and	Tom will provide highlights of our performance and the continued execution of our BD 2025 Strategy. Chris will then provide additional details on our Q2 financial performance and our updated guidance for fiscal 2023. Following the prepared remarks, Tom and Chris will be joined for Q&A by our Segment Presidents, Mike Garrison, President of the Medical segment; Dave Hickey, President of the Life Sciences segment; and Rick Byrd, President of the Interventional segment.
Francesca DeMartino	Senior Vice President and Head-Investor Relations at Becton, Dickinson and	Before we get started, I want to remind you that we will be making forward-looking statements. I encourage you to read the disclaimer in our earnings release and the disclosures in our SEC filings, which are both available on the IR website. Unless otherwise specified, all comparisons will be on a year-over-year basis versus the relevant period. Revenue percentage changes are on an FX-neutral basis unless otherwise noted. When we refer to any given period, we are referring to the fiscal period unless we specifically note it as a calendar period. I would also call your attention to the basis of presentation slide, which defines terms such as base revenues and the non-GAAP reconciliations, included in the appendix.
Francesca DeMartino	Senior Vice President and Head-Investor Relations at Becton, Dickinson and	With that, I'm very pleased to turn it over to Tom.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Thanks, Francesca. Good morning, everyone. And thank you for joining us.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Earlier today we reported another consecutive quarter of strong financial performance and significant progress advancing our innovation pipeline. The results we have been delivering for multiple periods reflect our strategy in action. We are now about halfway through our BD 2025 plan to accelerate growth and simplify and empower our Company, and I'd like to share how our team's strong execution of our strategy is driving our performance and will enable continued momentum through 2025 and beyond.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	We have made purposeful and strategic investments, which we're seeing contribute to consistent, higher-growth, and strong financial performance. We have been and remain very intentional with how we are deploying our capital toward higher growth spaces, and are pleased with the significant progress we continue to make increasing our WAMGR. These actions have evolved BD into an agile, innovative, and durable medical technology Company with a compelling growth profile.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Our innovation mindset is driving higher product development velocity and super cycles of innovation in many of our businesses. Through a focus on the most impactful programs improved milestone achievement and launch excellence. To highlight a few examples of our strategy and investments. And how they're fueling strong results and momentum. First in Pharm Systems. Due to start of our BD2025 journey, we made a bold decision to invest $1.2 billion in additional capacity. Today, we are seeing this capacity investment along with several new innovations we brought to market. Paying off as we are ideally positioned to enable delivery of the large wave of biotech drugs coming to market.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	We've built Pharm Systems into a $2 billion growth platform, with 11 consecutive quarters of double-digit growth. With over 70% of the top 100 biopharma companies using BD's portfolio and six times the capacity of the nearest competitor. We are well-positioned to continue delivering strong growth.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Second, during COVID we also made several strategic reinvestments of certain COVID-only testing proceeds, particularly in our BDB business, which is one of the areas with a super-cycle of new breakthrough innovations coming to market over this and the next several years. We've already begun to see acceleration from some of the early new launches, notably in biopharma for cell therapy and immuno-oncology research. Looking forward to the upcoming launch of our FACSDiscover S8 Cell Sorter. That was previously featured on the cover of the Journal Science. The S8 combines advanced spectral flow cytometry with novel cell view image technology. By combining the power of high-parameter spectral flow cytometry with an unprecedented picture of a cell in its inner workings. We are defining a new standard in flow cytometry, which will empower scientists to unlock life-changing discoveries across fields like immunology, cancer research and cell biology.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	We've recently shipped our first early access BD FACSDiscover S8 and we remain on track for launch later this quarter. We've also already begun launching a new family of specially optimized BD Horizon Reagents, that together with the FACSDiscove S8 will create a unique spectral solution inclusive of instruments, dyes, and informatics that only BD can offer.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Third. As you know, we have been very purposeful in increasing tuck-in M&A to drive scale within high-growth adjacent markets. And have built strong M&A capabilities to successfully integrate assets. Our most recent acquisition of Paratas Pharmacy Automation Solutions continues to exceed our expectations, and we're already seeing an early impact from revenue synergies.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	The Parata acquisition expanded our offering to establish BD as a leader in pharmacy automation and created a new growth platform with revenues in excess of $0.5 billion, growing double-digits. This is an attractive growing market that uses automation to address a number of the critical issues faced by our customers, such as wage inflation, labor attrition, pharmacist burn-out, and the need to reallocate pharmacists' valuable time to clinical care.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Parata is just one example of a successful tuck-in acquisitions we've made over the last several years. These acquisitions are currently contributing about 30 basis points to our organic growth rate this year and once Parata annualizes, we expect that contribution will increase to about 50 basis points.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Lastly, we continue to build on our strong competency of serially innovating on, and expanding the application of new technologies we develop or acquire. This is exemplified in our Urology and Critical Care business, where our acquisition of Purewick continues to provide significant benefits to patients and it's also an impactful growth driver for UCC. We've already launched the home version of Purewick Female, which continues to be very well-received and is aligned with our focus on providing solutions in New Care Settings. And at the end of FY '22, we launched Purewick Male, the newest product in our planned portfolio expansion for managing incontinence.
Tom Polen	Chairman, Chief Executive Officer and President at Becton, Dickinson and	Purewick Male provides nurses with a noninvasive option for urine management in men, enabling early catheter removal and reduced risk of infection. We are receiving exceptional customer feedback and the adoption of Purewick Male is exceeding our expectations. We have multiple additional R&D programs in the pipeline, to continue to expand our solutions incontinence. These are just some of the examples of key investment decisions, we have executed to strengthen our business. Contributing to our performance today and over the long term.
