Speaker	Title	Content
Operator	Operator	Welcome to Booking Holdings First Quarter 2023 Conference Call.
Operator	Operator	Booking Holdings would like to remind everyone that this call may contain forward-looking statements which are made pursuant to the safe harbor provisions of the Private Securities Litigation Reform Act of 1995. These forward-looking statements are not guarantees of future performance and are subject to certain risks, uncertainties and assumptions that are difficult to predict. Therefore, actual results may differ materially from those expressed, implied or forecasted in any such forward-looking statements.
Operator	Operator	Expressions of future goals or expectations and similar expressions reflecting something other than historical fact are intended to identify forward-looking statements. For a list of factors that could cause Booking Holdings' actual results to differ materially from those described in the forward-looking statements, please refer to the Safe Harbor statements at the end of Booking Holdings' earnings press release as well as Booking Holdings' most recent filings with the Securities and Exchange Commission.
Operator	Operator	Unless required by law, Booking Holdings undertakes no obligation to undertake publicly any forward-looking statements, whether as a result of new information, future events or otherwise.
Operator	Operator	A copy of Booking Holdings' earnings press release, together with an accompanying financial and statistical supplement, is available in the For Investors section of Booking Holdings' website, www.bookingholdings.com.
Operator	Operator	And now, I'd like to introduce Booking Holdings speakers for this afternoon, Glenn Fogel and David Goulden. Go ahead, gentlemen.
Glenn D. Fogel	Chief Executive Officer at Booking	Thank you. And welcome to Booking Holdings' first quarter conference call. I am joined this afternoon by our CFO, David Goulden. I am pleased to report that in the first quarter, we reached all-time quarterly highs for both room nights of 274 million and gross bookings of $39.4 billion, and achieved year-over-year growth rates of 38% and 44%, respectively.
Glenn D. Fogel	Chief Executive Officer at Booking	On a constant currency basis, first quarter gross bookings growth was even stronger at 52% year-over-year. Both room nights and gross bookings came in ahead of our previous expectations as a result of the continued strength in leisure travel demand and from a lengthening booking window, particularly in Europe and the US.
Glenn D. Fogel	Chief Executive Officer at Booking	The room night and gross bookings outperformance versus our expectations was driven by bookings that will stay in future periods, which is when the revenue will be recognized. As a result of this timing difference, revenue was approximately in line with our expectations, while adjusted EBITDA was a bit below, given the additional marketing expenses associated with the future stays.
Glenn D. Fogel	Chief Executive Officer at Booking	When we look at room night growth versus 2019, we have seen a slight increase in April compared with what we saw in the first quarter, though on a year-over-year basis, growth has decelerated as April last year saw an accelerating travel recovery, making the comparison more difficult. Overall, we remain encouraged by the continued strength and resiliency of travel demand so far this year, which speaks to consumers' strong desire to travel.
Glenn D. Fogel	Chief Executive Officer at Booking	We currently see very strong growth of bookings received for travel during our peak summer period in quarter thee, though we note these bookings represent a modest percentage of what will likely be booked for total summer travel and most of these bookings are cancellable.
Glenn D. Fogel	Chief Executive Officer at Booking	While travel booking trends have remained robust, we recognize that there is uncertainty regarding the path of the global economy. However, we believe we are well-positioned to navigate any potential near-term economic uncertainty given our highly variable expense structure, solid operating results, substantial liquidity, and strong free cash flow.
Glenn D. Fogel	Chief Executive Officer at Booking	This allows us to remain focused on what is important for the long term, which means making the necessary investments to strengthen and grow our business while remaining cost conscious and implementing initiatives across the business to drive cost efficiency.
