Speaker	Title	Content
Operator	Operator	Good morning. My name is Britney, and I will be your conference facilitator. At this time, I would like to welcome everyone to the BorgWarner 2023 First Quarter Results Conference Call. [Operator Instructions]
Operator	Operator	I would now like to turn the call over to Patrick Nolan, Vice President of Investor Relations. Mr. Nolan, you may begin your conference.
Patrick Nolan	Vice President of Investor Relations at BorgWarner	Thank you, Britney. Good morning, everyone, and thank you for joining us today. We issued our earnings release earlier this morning. It's posted on our website, borgwarner.com, on our homepage and on our Investor Relations homepage. With regard to our Investor Relations calendar, we will be attending multiple conferences beginning now and our next earnings release. Please see the Investor section of our IR home page for a full list. Before we begin, I need to inform you that during this call, we may make forward-looking statements, which involve risks and uncertainties as detailed in our 10-K. Our actual results may differ significantly from the matters discussed today. Throughout today's presentation, we'll highlight certain non-GAAP measures in order to provide a clearer picture of how the core business performed and for comparison purposes of prior periods. When you hear us say on a comparable basis, that means excluding the impact of FX, net M&A and other noncomparable items.
Patrick Nolan	Vice President of Investor Relations at BorgWarner	When you hear say adjusted that means excluding noncomparable items. When you hear us say organic, that means excluding the impact of FX and net M&A. We will also refer to our growth compared to our market. When you hear us say market, that means the change in light and commercial vehicle production weighted for our geographic exposure. Please note that we've posted today's earnings press release and earnings call presentation to the IR page of our website. We encourage you to follow along with these slides during our discussion.
Patrick Nolan	Vice President of Investor Relations at BorgWarner	With that, I'm happy to turn the call over to Fred.
Frederic B. Lissalde	President and Chief Executive Officer at BorgWarner	Thank you, Pat, and good day, everyone. We're very pleased to share our results for the first quarter 2023 and provide an overall company update, starting on slide five. With approximately $4.2 billion in sales, we delivered double-digit organic growth in the quarter, and we outperformed the market in both Europe and North America. As we expected going into the quarter, our margin performance was negatively impacted by our planned eR&D investment, net inflationary costs and the impact of lower production in China.
Frederic B. Lissalde	President and Chief Executive Officer at BorgWarner	Our free cash flow usage in the quarter reflected our planned capital spending to support our eProducts growth as well as working capital usage and our normal annual payout of incentive compensation. Importantly, our challenging forward progress continued on multiple fronts. We secured multiple new eProducts awards since our last earnings report. We also announced multiple new eProducts capacity investments during the quarter. And as I will highlight, our battery pack expansion in Seneca, South Carolina shows our ability to utilize our foundational assets and people. Lastly, we continue to work towards the intended separation of PHINIA.
Frederic B. Lissalde	President and Chief Executive Officer at BorgWarner	Since our last call, we announced PHINIA's name as well as the key leadership roles. Brady Ericson will serve as President and CEO, while Chris Gropp will serve as the CFO for PHINIA. Both Brady and Chris have been at BorgWarner for more than 20 years, and have served in numerous important roles across the variety of BorgWarner business units. Teams are progressing well through the various work streams. We now expect to complete the separation of PHINIA by the end of the third quarter. Now let's look at some new eProducts awards on slide six. First, BorgWarner has been selected to provide eMotors to a leading automotive manufacturer in China. The e-motors will be used in the Chinese automakers dedicated hybrid transmissions and range-extended electric vehicles with mass production expected to start in August 2023.
Frederic B. Lissalde	President and Chief Executive Officer at BorgWarner	We're excited to supply this leading Chinese OEM with a new motor application, strengthening our partnership by providing them with the support needed to meet the growing challenges in new energy vehicles. Next, BorgWarner has partnered with the Pontiac Michigan School District to provide direct current fast charges to support the district's electric school buses. This program will utilize BorgWarner sequential charging technology that allows up to 5% charge from a single power control system. This greatly reduces the initial investment and lower installation costs while providing the ability to charge at DC fast charging levels. Next, BorgWarner has been selected by a global commercial vehicle manufacturer to provide eFans for battery electric trucks in both the North American and the European market with production expected to begin in 2025.
Frederic B. Lissalde	President and Chief Executive Officer at BorgWarner	For this project, BorgWarner will supply its complete eFan R10 system, which includes a fan, an eMotor and an integrated high-voltage inverter. Notably, the high-voltage inverter utilizes the expertise and capabilities of Drivetek, the company acquired in December of last year. Now let's look at the growth and expansion of our battery pack business on slide seven. BorgWarner has been selected by a global power technology company supply battery pack for a series of electric buses with production beginning earlier this year. This battery pack contains state-of-the-art safety features including current overcharge production, cell-level passive propagation resistance and electrical disconnect at the individual sale wire bond that satisfy the industry's strict electric vehicle battery safety standards.
