Speaker	Title	Content
Operator	Operator	Greetings, and welcome to the Celanese First Quarter 2023 Earnings Call and Webcast. [Operator Instructions]
Operator	Operator	At this time, I'd like to turn the call over to Brandon Ayache, Vice President of Investor Relations. Thank you. You may begin.
Brandon Ayache	Vice President of Investor Relations at Celanese	Thank you, Darryl. Welcome to the Celanese Corporation First Quarter 2023 Earnings Conference Call. My name is Brandon Ayache, Vice President of Investor Relations. And with me today on the call are Lori Ryerkerk, Chairman of the Board and Chief Executive Officer; and Scott Richardson, Chief Financial Officer. Celanese distributed its first quarter earnings release via Business Wire and posted prepared comments on our Investor Relations website yesterday afternoon. As a reminder, we'll discuss non-GAAP financial measures today. You can find definitions of these measures as well as reconciliations to the comparable GAAP measures on our website. Today's presentation will also include forward-looking statements. Please review the cautionary language regarding forward-looking statements, which can be found at the end of both the press release and prepared comments. Form 8-K reports containing all of these materials have also been submitted to the SEC.
Brandon Ayache	Vice President of Investor Relations at Celanese	Since we published our prepared comments yesterday, we'll go ahead and ask you, Darryl to open it up for questions.
Operator	Operator	[Operator Instructions] Our first questions come from the line of Michael Leithead with Barclays. Please proceed with your questions.
Michael Leithead	Analyst at Barclays	Great, thanks, good morning guys. First question, Lori, just high level on the full year EPS guide. You're doing about 450 of EPS in the first half, which implies about $7 in the second half. I assume synergies, Clear Lake, a few other things are helping in that back half. So I guess, is there a way to broadly characterize what you're assuming for market demand recovery in the second half versus, say, controllable actions?
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	Yes. Thanks for the question, Mike. I mean you're right. We need about on average $1 lift in Q3 and Q4 from where we were in the first half. And so our focus really is on controllable actions to the extent we can. I mean, M&M volume recovery we saw about a 10% lift from Q4 to Q1, a similar lift from Q1 to Q2. We continue to expect volume recovery in the M&M business as well. Productivity, which is coming in at the top of our range for all of our businesses, M&M price optimization, synergies, which we'll see building across the quarter. We also do expect some improving demand again for in its entirety. We were up about 10% in the first quarter. We'll have some increase again in Q2, but we do expect things to get better still in the back half of the year. As we see kind of the EU and Asia competitive dynamic improving and see the -- in destocking in the U.S. And then we should have some tailwinds from raw materials and energy cost moderation, which should help with margins in all of our businesses and especially in EM as we see those costs flow through to inventory. And start to hit the P&L. So I think that's kind of what we're in control of. In terms of where we see the markets going, if we take it first by region, in China, we do expect modest demand improvement in Q2 and into the second half. We do see markets recovering in China, especially auto.
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	And we continue to see some improvement in utilization in acetyls and hopefully get acetyls coming off the cost curve. Especially now as we're going into some turnarounds in Asia, we do see some upward price movement and some margin expansion in acetyls. In Europe, we do expect continued modest demand improvement as well. We saw that through Q2. We expect that to continue at a slow pace into the second half. And then as I said, we would expect, as Asia proves we see less imports from Asia into Europe which should help margins in Europe get back to a better level. And in the U.S., again, we know a lot of people are calling out recession. We're not seeing that in our order book. I mean however you want to define recession. What we're continuing to see is general recovery across a lot of markets. We still had some destocking in Q2, but we expect that destocking to be mostly over as we go into the second half of the year. And so if you look at end markets, auto has continued to be quite resilient in the EM portfolio that's helping both our legacy businesses as well as our M&M businesses. 2023 auto builds, we still expect to be up 3% to 4% of 2022, and we're at a run rate right now that already achieved that. And we are seeing our own auto volume recovery at a pace significantly better than that. And really building on the project pipeline and all the work that's been done in the last several years to build that pipeline, both for the transition to EV as well as increasing our content per vehicle we see auto being a fairly robust end market for us this year even with just a moderate growth in the actual build themselves.
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	I would say the most sluggish sector we still see and is baked into our forward look is construction. Although we see some modest improvements in Europe and Asia and Europe, mostly on the renovation market as energy efficiency regulations come into effect. We still see it could be quite slow in the U.S. and in China, where we've not seen any recovery in really commercial construction yet at this time. And then non-auto -- the other non-auto durables, I would say, electronics, electrification is improving. There's a lot of need for more electrification around the world, and so we see that as a growing market this year. But in consumer electronics and consumer -- other consumer appliances, we still see that lagging 2022, especially in the U.S. And then finally, packaging, we do see resilient growth in packaging, especially in the U.S. I think about Amazon and everything that's getting shipped from online shopping. And also the push for sustainable packaging solutions, but paints and coatings is a bit slow tied to construction. So that's probably a bit more than you will before, Mike, but that's a little bit of a summary of kind of where we see things going in the second half and the underlying trends that support our confidence in that $11 to $12 range that we put out for the year.
Michael Leithead	Analyst at Barclays	Great. That's super helpful. And then maybe second, you talked in the prepared commentary, Lori, a bit about some of the integration actions you're taking in nylon 66 I was just hoping you could expand a bit about how you're currently thinking about your approach to the 66 value chain and just maybe how Celanese going forward might be operating differently than, say, M&M stand-alone nylon polymerization business or just even the legacy Celanese compounding business there?
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	Yes. So let me talk a little bit about 66 in general, starting with what we're doing immediately around 66. So in the past, Celanese has not been backward integrated in 66. So we were just a purchaser of nylon Polymer, which was great when prices are low, not so great when prices are high. With DuPont, we've been able to add the backward integration. What we're doing differently is we've been able to secure a different raw material contract and instead of being forced to produce PA66 polymer we have options. We have flexibility. We have optionality. We can choose to produce backward integrated nylon polymer when it makes sense, we can make less and buy nylon polymers, from others, if that makes more sense, we can make less of it if we see the demand profile not supporting higher production rates, and we can make more of it if we see a sudden resurgence of demand. And so that flexibility, which is much more like we run our other businesses like GUR and Palm and even acetyl, gives us a degree of flexibility and ability to make value across a wide range of market conditions that DuPont really didn't have or really didn't exercise. And so we've already done that. We've gotten most of the Celanese nylon grade already certified to start with the DuPont polymer.
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	We've been using DuPont polymer out of inventory, raw home, compounding it to make the Celanese branded products and we've been flexing that to really start managing some of the inventories that had been built last year for both raw and for finished polymers in the DuPont product line. And so that's a degree of flexibility and a way of running the business, which is different. We've also talked about how we're pricing differently pushing price on more differentiated grade lowering prices in some case and more standard grades to really get our inventory in line with the demand profile. And therefore, the cost profile of our inventory in line with the demand profile. So that's kind of the immediate things we're doing. As we think about PA66 longer term, of course, we spent a lot of time studying this before we went into this deal. We know a lot of people are like, well, PA66 is under hood, that's going to decline. We don't see it that way. I mean if we look at electric vehicles as they're coming on the market, we find that the addressable content per vehicle is almost double compared to what we've traditionally have in IPE. And we think a lot of those new opportunities in electric vehicles also extends to PA66 as we see performance requirements increasing for electric vehicles. So longer battery life, higher heat management required.
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	These things are very suited to PA66. So if you think about parts, the PA66 is suited for an EV, things where you replace metal for lightweighting when you need the strength of a PA66, things like battery cell frames are in place. The brackets and the mounts for the electric motors and then things in the electrical system like high-voltage connectors, and it's the PA66, standard grades, but also the high temperature nylon grades, which are particularly applicable here and which we didn't have in our portfolio prior to the acquisition of M&M. And I would say for our legacy EM business, we're about halfway to capturing the addressable content for EVs. Obviously, the M&M business was not as focused there. And so not as far as long, but we are using our project pipeline to also drive these applications of PA66 into EVs now that we have those molecules available to us. And I think if you think about PA66 beyond electric vehicles, there are huge applications there in electrical and electronics which was an area that M&M was really underrepresented in historically.
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	So think about electrification and the need for not just electrification per vehicle, but for everything you think about people wanting to get out of natural gas for homes, but basically, the electrification of everything. All the outlets would say electrification, electricity demand is going to more than double in the next five years. So with that comes data management centers, power distribution centers. All of these things require polymer and specifically, all of them can benefit from the availability of PA66. And so we think there's going to be a strong pull-through for PA66 as the demand grows for building out our electrical infrastructure. And again, this is an area Celanese has been in for some years, and now we're able to apply that market knowledge and that end use knowledge to the PA66 profile and pull those volumes through using the project pipeline model.
Operator	Operator	Thank you. Our next question has come from the line of Jeff Zekauskas with JPMorgan. Please proceed with your questions.
Jeff Zekauskas	Analyst at JPMorgan Chase & Co.	Thanks very much. I think you reduced your earnings per share goal by $1. What was the source of decrease?
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	Yes. If we look at the first half, our first half came in about where we -- in total, where we expected the first half to come in. With 1Q being up because of some unanticipated commercial opportunities for spot market volumes as well as some pull forward from the second quarter, especially in auto, a few parts for auto and a few for medical implants. And so since we don't expect those -- we're not counting on those unexpected opportunities reoccurring in the second quarter. Second quarter has been a little bit lower. And we are seeing the demand in the second quarter not build as quickly as we had thought at this time last quarter. And so that reduction to $11 to $12 really reflects that slower demand growth that we're seeing across second quarter going into third quarter and just accounting for that in our outlook for the second half.
Jeff Zekauskas	Analyst at JPMorgan Chase & Co.	Is it fair to say that as a base case, second quarter volumes and prices are flat sequentially?
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	I expect for volume for Engineered Materials. We should see the volumes increasing moderately across the second half, especially in M&M as we have market share recovery and just base business demand increasing in automotive and some of the other end applications. I think for acetyls, we also expect moderate growth into the second quarter as we start to see more recovery in the end markets. Right now for acetyl, pricing is a little -- is challenged, although we are seeing some early green shoots on China asset pricing and margin expansion, it's very new, though. So although we've baked what we've seen so far into our projections, we think there's still some more room there, possible upside there. And I think for Engineered Materials, we do expect some margin expansion as we go to the second half particularly as we see the lower raws and energy costs from the first half pulling through the volume and inventory, which will help with margin expansion in the second half.
Operator	Operator	Thank you. Our next questions come from the line of Ghansham Panjabi with Baird. Please proceed with your questions.
Ghansham Panjabi	Analyst at Robert W. Baird	Thank you. Good morning, everyone. Lori, maybe you could just give us a bit more color on the demand spike that you saw in March, maybe stepping back. Is there any -- was there any sort of theme in particular that you can hone in on any region in particular that saw that increase? And as you kind of step back, was it more so of a pull-forward from 2Q that benefited March, do you think?
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	Yes Gansham. Let me talk about that a little bit. So as we saw in March, what we saw in March is we saw our books starting to really -- at the time of the call, we were really seeing good volume showing up on our books for in our base businesses, and that gave us some confidence about second quarter. I think the unanticipated commercial opportunities that we saw, though, at the end of March, which really got us above our guidance was a number of things. One, there were some unusually high spot demand at the end of the quarter. So things like Palm and nylon, also [Indecipherable] an RDP, so it was across both of our businesses. And I think because of our flexibility we have in our supply chain and our operations, we were able to capture a significant share of that unexpected volume that arose at the end of the quarter. I would say that was the majority of that. I think though we also did see accelerated by in a few products in auto and in medical implants, which is a little unusual because we had expected quite a big headwind from medical implants and in fact, had some orders come in. In the case of medical, I think that probably pulled forward from Q2. In auto, we think it's also some pull forward from Q2 in anticipation of better demand in Q2. So I think on that one, is it pull forward? Or is it just quicker demand recovery? Not sure yet. That's not clear. But we're kind of characterizing it as pull forward until we see if that's a sustainable trend.
Ghansham Panjabi	Analyst at Robert W. Baird	Got it. And then as it relates to the U.S. and your comments on destocking, just a bit more color there in terms of which particular end markets I assume construction is part of that. But just to hear your thoughts. And then just judging by destocking that's occurred in other geographies, including in Europe, what do you think is a reasonable timeline in terms of the destocking event? Is it two quarters, three quarters? How are you thinking about it now?
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	Yes. What I would say, is we really saw the end of destocking in Europe and Asia for the most part as we moved into the second quarter. What we've really seen destocking continue is in the U.S. And there, auto is pretty robust, I would say, across all of the areas. But I think there, we see destocking continuing in consumer goods and industrial for the most part. And right now, our projection is we think that's going to continue through second quarter, but be pretty much over as we move into the third quarter, and that's some of the uplift we expect to see in the second half.
Operator	Operator	Our next question has come from the line of Michael Sison with Wells Fargo. Please proceed with your questions.
Michael Sison	Analyst at Wells Fargo & Company	Hey, good morning. Lori or maybe Scott, you started the first quarter with negative free cash flow. Can you help us walk into the 1.4? You maintain free cash of 1.4. How does that sort of unfold, do we turn positive in 2Q? Or is it more second half loaded?
Scott A. Richardson	Executive Vice President and Chief Financial Officer at Celanese	Yes. I mean we expect it to be negative just kind of coming off of where Q4 was from a sales perspective and then kind of when we had the interest payment. So as we walk into the second quarter, you've got higher levels of earnings coming through. We also had really abnormally high capex from a cash perspective in the quarter as well as cash taxes being higher. That goes away at a higher level. We're at more normalized levels in the balance of the year. With the higher earnings levels coming through now in the balance part of the year, we would expect to be able to kind of get up and average much higher levels as we go forward. That sequential walk from Q1 into Q2 is about a $700 million lift from where we were in the first quarter when you kind of put all those things together.
Michael Sison	Analyst at Wells Fargo & Company	Got it. Okay. And then I think in your prepared remarks, you said that 50% of the first quarter EPS came in March. So April is at a buck -I'm sorry, March is at a buck then if you think about April, May, June, it typically is better than March, I think. So what happened, do you think in terms of decelerate -- the deceleration into April, May and June, and I thought maybe that dollar could have sustained throughout the quarter.
Lori J. Ryerkerk	Chairman, Chief Executive Officer and President at Celanese	Yes. Again, Mike, I would say a significant portion -- or a portion, I should say, of that dollar in March really was related to the unanticipated and spot like opportunities we were able to capture in March. And so we've not seen those repeat in April, and we haven't baked them in as repeating later in the quarter. Whereas, the base level of earnings has continued to grow -- will continue to grow moderately across the months. So I think we're just trying to be realistic in terms of what we think is repeatable and what was fortunate. Again, we're positioned to take advantage of those spot opportunities if they were to arise again, but we don't want to bake that into our forecast.
Operator	Operator	Thank you. Our next questions come from the line of Matthew DeYeo with Bank of America. Please proceed with your questions.
