Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, thank you for standing by for the Cigna Group's First Quarter 2023 Results Review. [Operator Instructions] As a reminder ladies and gentlemen this conference, including the Q&A session is being recorded.
Operator	Operator	We'll begin by turning the conference over to Ralph Giacobbe. Please go ahead.
Ralph Giacobbe	Senior Vice President & Head of Investor Relations at The Cigna Group	Great. Good morning, everyone. Thanks for joining today's call. I'm. Ralph Giacobbe, Senior Vice President of Investor Relations. With me on the line this morning are David Cordani the Cigna Group's Chairman and Chief Executive Officer; and Brian Evanko, Chief Financial Officer. In our remarks today, David and Brian will cover a number of topics, including our first quarter financial results and our updated financial outlook for 2023.
Ralph Giacobbe	Senior Vice President & Head of Investor Relations at The Cigna Group	As noted in our earnings release, when describing our financial results, we use certain financial measures adjusted income from operations and adjusted revenues, which are not determined in accordance with accounting principles generally accepted in the United States, otherwise known as GAAP. A reconciliation of these measures to the most directly comparable GAAP measures, shareholders net income and total revenues, respectively is contained in today's earnings release, which is posted in the Investor Relations section of the cignagroup.com. We use the term label, adjusted income from operations and adjusted earnings per share on the same basis as our principal measures of financial performance.
Ralph Giacobbe	Senior Vice President & Head of Investor Relations at The Cigna Group	In our remarks today, we will be making some forward-looking statements, including statements regarding our outlook for 2023 and future performance. These statements are subject to risks and uncertainties that could cause actual results to differ materially from our current expectations. A description of these results and uncertainties is contained in the cautionary note to today's earnings release and in our most recent reports filed with the SEC.
Ralph Giacobbe	Senior Vice President & Head of Investor Relations at The Cigna Group	Regarding our results, effective January 1, 2023, we adopted amended accounting guidance for Long-Duration Insurance Contracts LDTI and related amendments. Our 2023 full-year outlook included the impact of LDTI and prior results have been restated to reflect this change. There has been no material impact to our prior results and this change will not materially impact our future operating results. Additionally, please note that when we make prospective comments regarding financial performance, including our full-year 2023 outlook, we will do so on a basis that includes potential impact of future share repurchases and anticipated 2023 dividends.
Ralph Giacobbe	Senior Vice President & Head of Investor Relations at The Cigna Group	With that, I'll call -- turn the call over to David.
David Cordani	President and Chief Executive Officer at The Cigna Group	Thanks, Ralph. Good morning, everyone, and thanks for joining today's call. We began 2023 with momentum. And in the first quarter, we again delivered strong performance and continued our long track record of innovating for customers, clients and partners. Today, I'll discuss some of the key drivers fueling our growth during the quarter and I'll also talk about how we're leading the way to address evolving stakeholder needs with a flexible and agile model, providing multiple avenues to deliver and capture value. Specifically, I'll describe how the durable and flexible pharmacy benefit services we offer continue to drive in the marketplace. Brian will provide additional detail about our financial results and discuss our outlook for 2023, and then we'll take your questions.
David Cordani	President and Chief Executive Officer at The Cigna Group	With that, let's get started. In the first quarter, we delivered $46.5 billion in total revenues, $5.41 in adjusted earnings per share, and we are raising our full year 2023 guidance for adjusted EPS, revenue and customer growth. We are pleased with the strong start across Evernorth Health Services and Cigna Healthcare. And we look forward -- as we look forward, we expect another very good year for the Cigna Group. Evernorth comprising pharmacy benefit services, Specialty Pharmacy and Evernorth Care, again contributed strong growth while retaining, expanding and winning new relationships for the employers, health plans and governmental organizations we serve.
David Cordani	President and Chief Executive Officer at The Cigna Group	Our foundational Pharmacy Benefit Service business continued its strong performance, demonstrating the value we provide to our clients and patients. Specialty Pharmacy, which accounts for approximately 40% of Evernorth's total revenue drove outsized growth with a continued rise in new-to-market specialty drugs and increasing demand. Evernorth Care represents one of our most significant long-term growth opportunities given the growing needs in virtual care as well as, for example, behavioral health services.
David Cordani	President and Chief Executive Officer at The Cigna Group	In Cigna Healthcare, our health benefits platform, we achieved another quarter of revenue and customer growth with strong performance across our U.S. commercial, U.S. government and international health businesses. With our focus on affordability and disciplined pricing, we are pleased with our medical cost performance and our medical care ratio, which was 81.3%. Our U.S. commercial business is on pace for another good year. Our affordability initiatives continue to strengthen our overall competitive position, and this has helped fuel our strong customer growth. Our momentum also is a reflection of how employers of all sizes rely upon our consultative approach and the breadth of our solutions to support the health, engagement and productivity of their workforces.
David Cordani	President and Chief Executive Officer at The Cigna Group	In U.S. Government, our Medicare Advantage business is achieving above-market growth in 2023 and from our high-quality and affordable plans, our geographic expansion and the maturation of markets we previously expanded into. In the dynamic individual exchange market, we also have substantial growth in our individual and family plan business, allowing us to bring Cigna Healthcare capabilities to a larger customer base. And in International Health, our earnings growth has been strong for the past few years, and we expect positive top-line and bottom-line contributions again in 2023 and given our high-quality and localized health insurance solutions supported by our global provider network. Overall, we're pleased with the quality, strength and resilience demonstrated in our results. And importantly, how they position us for another year of sustained growth and attractive value creation.
David Cordani	President and Chief Executive Officer at The Cigna Group	Looking ahead, we are confident in our increased outlook for the year as well as our ability to sustainably deliver 10% to 13% compounded EPS growth over our strategic horizon, along with providing an attractive dividend. Today, I want to spend a few minutes on Express Scripts, our pharmacy benefits business within Evernorth, including our recent announcements about how we are continuing to provide greater affordability, choice and transparency for our clients and customers. Pharmacy services have an essential and impactful role in a time when in medical care, physical or behavioral are increasingly relying upon the use of pharmaceutical interventions. It's also important to recognize that successful care coordination programs for pharmacy services often create significant benefit and value for the medical services.
David Cordani	President and Chief Executive Officer at The Cigna Group	We recognize the ongoing attention and legislative debate regarding the rising cost of prescription drugs. We are taking an active leadership role, and I want to be clear about how we are using our differentiated capabilities to create and capture value out of the drug supply chain on behalf of our clients and customers. First is the strength of our model. which is to deliver solutions and care coordination that address specific client needs and expand relationships with our full suite of services and capabilities, fueling our sustained attractive growth over time. Second, we are committed to enabling and prioritizing choice for our clients as we drive down costs. And third, we continue to build on our long track record of innovation to drive greater affordability, access, transparency and improved clinical outcomes.
