Speaker	Title	Content
Operator	Operator	Welcome to the First Quarter 2023 ConocoPhillips Earnings Conference Call. My name is Michelle and I will be your operator for today's call.
Operator	Operator	[Operator Instructions]
Operator	Operator	I will now turn the call over to Phil Gresh, Vice-President, Investor Relations. Sir, you may began.
Phil Gresh	Vice-President, Investor Relations. at ConocoPhillips	Thank you, Michelle and welcome to everyone to our first-quarter 2023 earnings conference call. On the call today, are several members of the ConocoPhillips leadership team, including Ryan Lance, Chairman and CEO; Bill Bullock, our Executive Vice-President and Chief Financial Officer; Dominic, Executive Vice-President of Strategy, Sustainability and Technology; Nick Olds, Executive Vice-President of Lower 48; Andy O'Brien, Senior Vice-President of Global Operations and Tim Leach, advisor to the CEO.
Phil Gresh	Vice-President, Investor Relations. at ConocoPhillips	Brian and. Bill will kick-off the call with opening remarks, after which the team will be available for your questions. A few quick reminders. First, along with today's release, we've published supplemental financial materials and a slide presentation, which you can find on the Investor Relations website. Second, during this call, we will be making forward-looking statements based on current expectations, actual results may differ due to the factors noted in today's release and in our periodic SEC filings. Finally, we will make reference to some non-GAAP financial measures. Reconciliations to the nearest corresponding GAAP measure can be found in today's release and on our website.
Phil Gresh	Vice-President, Investor Relations. at ConocoPhillips	With that, I will turn the call over to Ryan.
Ryan Lance	Chairman and Chief Executive Officer at ConocoPhillips	Thanks, Phil, and thank you to everyone for joining our first-quarter 2023 earnings conference call. Since we just hosted our Analyst and Investor Meeting in New York a few weeks ago, we're going to keep our prepared remarks fairly brief today. ConocoPhillips delivered a strong first-quarter result, setting a new production record for the company as well as in the Lower 48. Underlying production growth was 4% year-on-year, including 8% year-on-year growth in the lower 48. We are confident in our outlook for the rest of the year and we are increasing the midpoint of our full-year production guidance. We are keeping our full-year capital and operating guidance unchanged. Shifting to returns on enough capital. We continue to demonstrate our returns-focused value proposition in the first-quarter. Our return on capital employed once again, exceeded our goal of being top-quartile in the S&P 500. And as we highlighted at the recent Analyst and Investor Meeting, we remain confident in our ability to achieve this objective in a mid-cycle price environment over the course of our 10-year plan.
Ryan Lance	Chairman and Chief Executive Officer at ConocoPhillips	On return of capital, we are on-track to deliver on our plan to $11 billion for 2023, which represents greater than 50% of our projected CFO, and is highly competitive with peers. And we are able to achieve all of this while investing in our attractive mid and long-term opportunities. Our first-quarter was also quite busy from a strategic perspective. At Port Arthur LNG, we acquired 30% equity interest in the joint-venture upon final investment decision on Phase one. At Willow, we are pleased to receive a positive record of decision and began road construction. And at APLNG, we announced plans to become upstream operator following the closing of AIG's transaction with Origin, and to purchase up to an additional 2.49% in the project. We also accelerated our 2013 greenhouse gas emissions intensity reduction target to 50% to 60% versus 2016 baseline, as we further advance our net zero operational emissions ambition.
Ryan Lance	Chairman and Chief Executive Officer at ConocoPhillips	I know everyone asked the question on Surmont. So let me address that right now. We acknowledge that we received our first right of first refusal notice and are certainly reviewing it carefully. Now, in conclusion, as we shared at our Analyst and Investor Meeting last month, our deep, durable and diversified asset-base is well-positioned to generate solid returns and cash-flow for decades to come. And as I've said then, we challenge any other E&P company to show you a plan with this kind of duration.
Ryan Lance	Chairman and Chief Executive Officer at ConocoPhillips	Now let me turn the call over to Bill to cover our first-quarter performance in more detail.
Bill Bullock	Executive Vice-President and Chief Financial Officer at ConocoPhillips	Well, thanks, Ryan. In the first-quarter 2023, we generated $2.38 per share in adjusted earnings. First-quarter production was a record for the company at 1,790,000 barrels oil equivalent per day, driven by solid execution across the entire portfolio. The Eagle Ford stabilizer expansion in Qatargas 3 planned turnarounds were both successfully completed and Lower 48, production was also a record, averaging 1,36,000 barrels of oil equivalent a day, including 694,000 from the Permian, 227,000 from the Eagle Ford. 98,000 from the Balkan. And Lower 48 underlying production grew 8% year-on year, with new wells online and strong well performance relative to our expectations across our asset-base.
Bill Bullock	Executive Vice-President and Chief Financial Officer at ConocoPhillips	Now moving to cash flows. First-quarter CFO was $5.7 billion, excluding working capital, at an average WTI price of $76 per barrel. This included APLNG distributions of $764 million.
Bill Bullock	Executive Vice-President and Chief Financial Officer at ConocoPhillips	Our first-quarter capital expenditures were $2.9 billion, including $400 million for Port Arthur Phase I and $100 million in Lower 48 acquisitions. Regarding Port Arthur, as you will recall from our fourth-quarter call, we said, we plan to spend about $1.1 billion in 2023, so first-quarter spending was fairly front-end loaded, relative to the full-year.
Bill Bullock	Executive Vice-President and Chief Financial Officer at ConocoPhillips	In the first-quarter, we also received USD200 million in disposition proceeds. And regarding capital allocation, we returned $3.2 billion back to shareholders and this was via $1.7 billion in share buybacks and $1.5 billion in ordinary dividends and [Indecipherable] payments.
Bill Bullock	Executive Vice-President and Chief Financial Officer at ConocoPhillips	Turning to guidance, we forecast second-quarter production to be in a range of 1.77 million to 1.81 million-barrels of oil equivalent per day. This includes 10,000 to 15,000 of planned seasonal turnarounds. We have also increased the midpoint of our full-year production guidance by 10,000 barrels a day. Our new range is 1.78 million to 1.8 million-barrels of oil equivalent. Up from 1.7 million to 1.8 million previously.
Bill Bullock	Executive Vice-President and Chief Financial Officer at ConocoPhillips	For APLNG, we expect distributions of $350 million to $400 million in the second-quarter. And for the full-year, we expect APLNG distributions of $1.8 billion. All other guided items remain unchanged.
Bill Bullock	Executive Vice-President and Chief Financial Officer at ConocoPhillips	So to wrap-up, we had a strong first-quarter. We remain confident in our outlook, leading to our increase in-full year production guidance and we expect to return to $11 billion to our shareholders this year. And we're well-positioned to deliver on our commitments throughout this year. So that concludes our prepared remarks and now, I'll turn the call-back over to Phil.
Phil Gresh	Vice-President, Investor Relations. at ConocoPhillips	Great. Thanks, Bill. So before we move to Q&A, just a quick reminder here that we are sticking to one question per caller this quarter, since we just hosted at the Analyst Day a few weeks ago and it's obviously quite a busy earnings day for everybody. So with that, Michelle, let's move to the Q&A.
Operator	Operator	Thank you. We will now begin the question-and-answer session.
Operator	Operator	[Operator Instructions] Please standby while we compile the Q&A roster. The first question comes from Stephen Richardson with Evercore. Your line is open.
Stephen Richardson	at ConocoPhillips	Great, thank you. Ryan, I was wondering if you could talk. I mean, on the return of capital. Obviously, outperforming 50% of cash-flow from ops and setting up really strongly versus the $11 billion target. I just wonder if you could address the environment is not straightforward. There's a lot of volatility out there just from a shareholder's perspective, how do you think about balancing the [indecipherable] buyback and just the general flexibility as people consider kind of the volatility in the commodity environment?
Ryan Lance	Chairman and Chief Executive Officer at ConocoPhillips	Yeah, thanks Stephen. I think. Let's start with just recognizing the volatility that's currently in the market, but even with that as we look at the first-quarter average prices, we're in the mid-70s WTI quarter-to-date in the second-quarter. They are in the high 70s, so that's close enough to our planning framework that we set-out early in the year, that close enough to 80 and delivering the 22 beginner of cash for the year. So we're not going to overreact to kind of what we're seeing in the volatility right now. So we're on-track and hopefully, you see that with the rock that we set for the third-quarter, on-track to deliver the $11 billion distributions that we set-out at the beginning of the year.
