Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, thank you for standing by, and welcome to the Charles River Laboratories' First Quarter 2023 Earnings Conference Call. This call is being recorded. [Operator Instructions]
Operator	Operator	I would now like to turn the conference over to our host, Todd Spencer, Vice President of Investor Relations. Please go ahead.
Todd Spencer	Corporate Vice President, Investor Relations at Charles River Laboratories International	Good morning, and welcome to Charles River Laboratories' first quarter 2023 earnings conference call and webcast. This morning I'm joined by Jim Foster, Chairman, President and Chief Executive Officer, and Flavia Pease, Executive Vice President and Chief Financial Officer. They will comment on our results for the first quarter of 2023. Following the presentation, they will respond to questions. There is a slide presentation associated with today's remarks, which is posted on the Investor Relations section of our website at ir.criver.com. A webcast replay of this call will be available beginning approximately two hours after the call today. It can also be accessed on our Investor Relations website. The replay will be available through next quarter's conference call.
Todd Spencer	Corporate Vice President, Investor Relations at Charles River Laboratories International	I'd like to remind you of our safe harbor. All remarks that we make about future expectations, plans, and prospects for the Company constitute forward-looking statements under the Private Securities Litigation Reform Act of 1995. Actual results may differ materially from those indicated. During this call, we will primarily discuss non-GAAP financial measures, which we believe help investors gain a meaningful understanding of our core operating results and guidance. The non-GAAP financial measures are not meant to be considered superior to or a substitute for results of operations prepared in accordance with GAAP. In accordance with Regulation G, you can find the comparable GAAP measures and reconciliations on the Investor Relations section of our website.
Todd Spencer	Corporate Vice President, Investor Relations at Charles River Laboratories International	I will now turn the call over to Jim Foster.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	Good morning. We had a strong start to the year with organic revenue growth of 15.4% and non-GAAP earnings per share of $2.78, both wildly exceeding the outlook that we provided in February.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	The year began with a continuation of the strong demand and pricing environment in our DSA segment that we experienced through the end of last year. This was expected based on the strength of the backlog which supports more than a year of DSA revenue. Clients continue to choose to partner with Charles River for our industry-leading scientific expertise, for the breadth and depth of our portfolio, and for the flexible, efficient outsourcing solutions that we are able to provide to them. We are a large stable scientific partner focused on holistically supporting our clients' drug discovery, non-clinical development, and manufacturing efforts, which we believe is increasingly important in the current market environment.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	The biopharmaceutical end market seems slightly less robust than last year, which we had anticipated and factored into our initial guidance in February. Clients appeared to be more thoughtful about their spending and have prioritized their programs at the beginning of the year. This is not surprising in light of the changing macroeconomic factors that are present today and the unprecedented level of biomedical research activity that occurred over the past several years. However, we still believe that our client base remains adequately funded with one sell-side analyst recently estimating that public biotechs still have about three years of cash on hand.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	Although we continue to watch the market closely and are seeing a normalization of demand trends towards pre-pandemic levels, our clients are continuing to move thousands of their critical programs forward with us. So we believe these trends and current business development activity firmly support our financial guidance for the year. Before I provide more details on our first quarter financial results, I would like to provide a brief update on the non-human primate or NHP supply situation.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	As you know, we suspended shipments of Cambodian NHPs into the U.S. in February. We took this action so that we could develop and implement new testing procedures that would reinforce our confidence that the NHPs we import from Cambodia are purpose bred. We have made advancements towards identifying a new testing platform and implementing the new testing procedures and are engaged with the relevant government agencies in furtherance of the needed resolution. We have also been working in parallel to accommodate our clients' NHP-related study starts by utilizing our global safety assessment site network. Our global scale is one of the key factors, which we believe differentiates us from the competition.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	We believe that these efforts will mitigate some of the NHP supply impact on our client's programs that we expect during the second half of the year and afford us greater confidence in our 2023 financial guidance. Our wider guidance range continues to accommodate a number of scenarios related to the success of our mitigation efforts since our plans have not yet been fully implemented and NHP supply remains a fluid situation. As a reminder, biologic drugs cannot be approved for commercial use without NHPs and it is critical that we work diligently with industry and government agencies to resolve the NHP situation and restore this important supply chain so that lifesaving therapies can continue to move forward.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	I will now provide highlights of our first quarter performance. We reported revenue of $1.03 billion in the first quarter of 2023, a 12.6% increase over last year. Organic revenue growth of 15.4% was driven by the robust DSA performance as well as solid RMS growth. The manufacturing growth rate was impacted by a challenging year-over-year comparison as well as lower-than-anticipated biologics testing volume to start the year. By client segment, global biopharmaceutical companies, small and mid-sized biotechs, and academic and government accounts, all made significant contributions to the growth rate. The operating margin was 21.2%, a decrease of 20 basis points year-over-year. The decline was driven by the Manufacturing and RMS segments.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	Earnings per share were $2.78 in the first quarter, an increase of 1.1% from the first quarter of last year. Strong, low double-digit operating income growth was modestly -- was mostly offset by increased interest expense and a higher tax rate compared to the prior year as well as the impact of the Avian Vaccine divestiture.
James C. Foster	Chairman, President and Chief Executive Officer at Charles River Laboratories International	Based on the strong first quarter performance and expectations for the remainder of the year, which remain largely consistent with our initial outlook, we are narrowing our organic revenue growth guidance to a range of 5% to 7.5%, and our non-GAAP earnings per share guidance to a range of $9.90 to $10.90 for 2023. We've increased the lower end of the ranges by 50 basis points and $0.20 per share, respectively. As I mentioned, our outlook continues to reflect the anticipated financial impact of the Cambodian NHP supply constraints, which will have a greater impact on the second half results.
