Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, welcome to the Cognizant Technology Solutions First Quarter 2023 Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. [Operator Instructions] Thank you.
Operator	Operator	I would like now to turn the conference over to Mr. Tyler Scott, Vice President, Investor Relations. Please go ahead, sir.
Tyler Scott	Vice President, Investor Relations at Cognizant Technology Solutions	Thank you, operator, and good afternoon, everyone. By now you should have received a copy of the earnings release and the investor supplement for the Company's first quarter 2023 results. If you have not, copies are available on our website, cognizant.com. The speakers we have on today's call are Ravi Kumar, Chief Executive Officer; and Jan Siegmund, Chief Financial Officer.
Tyler Scott	Vice President, Investor Relations at Cognizant Technology Solutions	Before we begin, I would like to remind you that some of the comments made on today's call and some of the responses to your questions may contain forward-looking statements. These statements are subject to the risks and uncertainties as described in the Company's earnings release and other filings with the SEC.
Tyler Scott	Vice President, Investor Relations at Cognizant Technology Solutions	Additionally, during our call today, we will reference certain non-GAAP financial measures that we believe provide useful information for our investors. Reconciliations of non-GAAP financial measures where appropriate to the corresponding GAAP measures can be found in the Company's earnings release and other filings with the SEC.
Tyler Scott	Vice President, Investor Relations at Cognizant Technology Solutions	With that, I'd like to turn the call over to Ravi. Please go ahead.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	Thank you, Tyler. Good afternoon, everyone. When I spoke to you, early February, I was just three weeks into my role. I explained my plan to move rapidly up the learning curve, by embarking on a global listening and learning tour with associates, clients, and partners. I also mentioned that I would meet with more than 100 clients and as many of our associates as possible.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	In addition, I outlined three interrelated priorities making Cognizant an employer of choice in this industry. Accelerate revenue growth, especially by winning large deals and enhancing our operational discipline.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	I'll comment on progress of future of these areas. But first, I want to cover a few of the quarter's financial and operational highlights. In quarter one, we delivered revenue of $4.8 billion, a decline of 0.3% year-over-year as reported. But a growth of 1.5% in constant currency, above the high end of our guidance range. Our adjusted operating margin was 14.6%. We recorded strong quarterly bookings growth of 28% year-over-year and ended quarter one with record trailing 12 months bookings of $25.6 billion and a trailing 12 months book-to-bill of 1.3x. Approximately 30% of our in-quarter -- quarter one bookings were large deals, which we define as total contract value of about $50 million, compared to approximately 20% for all of 2022.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	We were very pleased with our first quarter bookings performance, as well as the building our pipeline, which includes a strong mix of large new opportunities. I'm especially pleased to see the continuing reduction in our attrition with trailing 12 months voluntary attrition for our technology services business, declining to 23%, down 3% points sequentially and 7% points Y-on-Y, year-on-year.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	While Jan will cover our financial performance of the business segment level, given the importance of financial services and our momentum, I want to comment on the state of this business and the emerging opportunities we see in this segment.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	For starters, we believe our Company specific operational challenges in financial services have largely subsided. And we are beginning to stabilize the business. Our client portfolio has shown resilience both in the U.S. and internationally. But we're also seeing the impact from softer discretionary spending and decision delays by existing and potential clients.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	In the U.S., our banking clients are generally large institutions and we have seen an uptick in our deal pipeline. Overall, we have seen early green shoots that we're moving this portfolio in the right direction while navigating the macro dynamics. We are encouraged by the leading indicators, such as a strong Q1 global bookings growth for financial services at a rate above the Company average, as well as an uptick in our large deal pipeline.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	I'm particularly encouraged by my conversations with about two dozen of our financial services clients. I came away from these meetings with many new opportunities to pursue related to cost takeout, vendor consolidation, post-merger integration, and the new wave of outsourcing and fintechs.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	Having said that, we still have a lot of work ahead and will be closely monitoring the environment to anticipate shifts in our clients that needs. Today, I have met either in-person or virtually with C-Suite executives from more than 100 of our clients representing nearly all of our industry segments and all of our major geographies. Several teams have surfaced from these candid conversations.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	We have a strong goodwill with our clients and continue to recognize a culture of client-centricity. This way, we are easy to work with, adventive to nurturing our client relationships, and deeply understand their businesses. They like our entrepreneurial approach to developing solutions to the challenges.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	They also appreciate our humility, our willingness to learn, listen and adapt. I believe the longevity and depth of our relationships have created a lot of accumulated trust. By the way, none of our clients I spoke to mentioned about Cognizant's digital mix. I believe that's because digital and non-digital capabilities have converged to the point where the distinction between the two is less significant.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	Instead, the differentiator many clients have spoken about is how well-positioned Cognizant is at the confluence of technology and industry demands. Given that our digital mix is no longer a true measure of the value we're providing to clients, we have decided to stop disclosing this metric.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	With that said, clients want more from us. They trust us with their agenda strategies and competitive challenges. That tells me Cognizant has earned the right to challenge that thinking and be a strategic partner who co-creates solutions with them and offers insights and improving their operations.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	Overall, I came away with the sense that many clients are fans of a Company. What also surfaced is that most clients are grappling with largely similar challenges, although with variations by industry. The cost basis reflects the higher growth levels seen during the pandemic era, prompting an intensified focus on optimizing cost and efficiency in building greater resilience. They need to digitize workflows, enhance their customer and employee experiences and boost the efficiency of their commercial and operational teams.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	In that context, I thought it would be useful to mention a few recent client wins that underscore the strategic cloud-focused work we do for clients and a skill-as-a-systems integrator. We are partnering with Microsoft to build an integration roadmap between our TriZetto health products and the cloud for Healthcare. Our shared aim is to give payers and providers easy access to cutting-edge technology solutions, streamlined claims management, and improved interoperability to deliver better patient and member experiences.
Ravi Kumar S	Chief Executive Officer at Cognizant Technology Solutions	In a new win, we are working with Boehringer Ingelheim to speed the development and improve the accuracy of their life-saving therapies. We help our clients unify medicinal development processes and data into a unified cloud platform and enhance the collaboration across clinical, regulatory, and quality functions.
