Speaker	Title	Content
Operator	Operator	Good day, and welcome to the Corteva 1Q 2023 Earnings Call.[Operator Instructions]. At this time, I'd like to turn the conference over to Kim Booth, Vice President of Investor Relations. Please go ahead.
Kimberly Booth	Vice President of Investor Relations at Corteva	Good morning, and welcome to Corteva's First Quarter 2023 Earnings Conference Call. Our prepared remarks today will be led by Chuck Magro, Chief Executive Officer; and Dave Anderson, Executive Vice President and Chief Financial Officer. Additionally, Tim Glenn, Executive Vice President, Seed Business Unit; and Robert King, Executive Vice President, Crop Protection Business Unit, will join the Q&A session.
Kimberly Booth	Vice President of Investor Relations at Corteva	We have prepared presentation slides to supplement our remarks during this call, which are posted on the Investor Relations section of the Corteva website and through the link to our webcast.
Kimberly Booth	Vice President of Investor Relations at Corteva	During this call, we will make forward-looking statements, which are our expectations about the future. These statements are based on current expectations and assumptions that are subject to various risks and uncertainties.
Kimberly Booth	Vice President of Investor Relations at Corteva	Our actual results could materially differ from these statements due to these risks and uncertainties, including, but not limited to, those discussed on this call and in the Risk Factors section of our reports filed with the SEC. We do not undertake any duty to update any forward-looking statements. Please note in today's presentation, we'll be making references to certain non-GAAP financial measures. Reconciliations of the non-GAAP measures can be found in our earnings press release and related schedules along with our supplemental financial summary slide deck available on our Investor Relations website. It's now my pleasure to turn the call over to Chuck.
Charles Victor Magro	Chief Executive Officer & Director at Corteva	Thanks, Kim. Good morning, everyone, and thanks for joining us today. We're really pleased to report another solid quarter and a solid start to 2023, where we delivered double-digit organic sales and earnings growth alongside meaningful margin expansion. It is the first time we've crossed the 25% EBITDA margin threshold in Q1, which is a milestone for the company and our value creation journey and shows just how far we've come. Today, we are also updating our previously announced guidance for the full year. Net sales are now expected to grow 7% and operating EBITDA 13% at the midpoint over prior year. Operating EPS is expected to be in the range of $2.80 to $3.
Charles Victor Magro	Chief Executive Officer & Director at Corteva	This outlook reflects the power of our strategy and the strength of execution in a dynamic ag market. Strategically, we continue to make choices to strengthen our portfolio mix and accelerate growth and margin expansion. Our actions are translating into higher quality earnings. We remain on track with regard to our 2025 value creation plan and are focused on continuing to deliver on our targets.
Charles Victor Magro	Chief Executive Officer & Director at Corteva	Let me provide a few highlights of progress we're making in each business. In Seed, we recently announced the commercial launch of Vorceed Enlist, our next-generation corn rootworm protection products that includes the power of the Enlist weed control system. As a reminder, we expect the U.S. soybean market penetration percentage for Enlist to be in the mid-50s this year. On Brevant, our growing retail brand, which is serving as a catalyst for growth in the medium term, we continue to see robust demand and market acceptance.
Charles Victor Magro	Chief Executive Officer & Director at Corteva	In Crop Protection, we continue to drive penetration of our recent technology launches with new product sales of approximately $620 million, a 30% increase over prior year. This was led by products like Enlist and Arylex herbicides, which each grew more than 50% over the same quarter last year. I'm also pleased with the advancements we've made in all three of our frontier markets in the first quarter. We see tremendous opportunity in the high-growth, high-value areas of biofuels, specialty oils and proteins as well as biologicals.
Charles Victor Magro	Chief Executive Officer & Director at Corteva	These growth markets will deliver increased optionality and value to our customers and allow us to work with partners to create new value chains and cropping systems that will increase both food and fuel security. In biofuels, our collaboration with Bunge and Chevron will increase the supply of lower carbon renewable fuels in the U.S., by using our proprietary winter canola hybrids in a new double cropping system.
Charles Victor Magro	Chief Executive Officer & Director at Corteva	We are also collaborating with Bunge to develop and commercialize a more nutritious soybean meal for the animal feed industry in the U.S., aimed at reducing the use of synthetic feed additives. In Biologicals, we successfully acquired Stoller and Symborg in the first quarter. With the addition of these two strong companies, we have cemented ourselves as one of the largest players in this rapidly growing segment. Biologicals are expected to represent about 25% of the global crop protection market by 2035, driven by increasing demand for effective, sustainable solutions.
