Speaker	Title	Content
Operator	Operator	Welcome to the Dominion Energy First Quarter Earnings Conference Call. At this time, each of your lines is in a listen-only mode. At the conclusion of today's presentation, we will open the floor for questions. Instructions will be given for the procedure to follow if you would like to ask a question. I would now like to turn the call over to David McFarland, Vice-President, Investor Relations.
David McFarland	Vice President, Investor Relations at Dominion Energy	Good morning and thank you for joining today's call.
David McFarland	Vice President, Investor Relations at Dominion Energy	Earnings materials, including today's prepared remarks, contain forward-looking statements and estimates that are subject to various risks and uncertainties. Please refer to our SEC filings, including our most recent annual reports on Form 10-K and our quarterly reports on Form 10-Q for a discussion of factors that may cause results to differ from management's estimates and expectations.
David McFarland	Vice President, Investor Relations at Dominion Energy	This morning, we will discuss some measures of our company's performance that differ from those recognized by GAAP. Reconciliation of our non-GAAP measures to the most directly comparable GAAP financial measures, which we can calculate are contained in the earnings release kit. I encourage you to visit our Investor Relations website to review webcast slides as well as the earnings release kit.
David McFarland	Vice President, Investor Relations at Dominion Energy	Joining today's call are Bob Blue, Chair, President and Chief Executive Officer; Steven Ridge, Senior Vice President, Chief Financial Officer; and Diane Leopold, Executive Vice President, Chief Operating Officer.
David McFarland	Vice President, Investor Relations at Dominion Energy	I will now turn the call over to Bob.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	Thank you, David and good morning, everyone.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	During the first quarter, we delivered financial results consistent with our guidance range and made meaningful progress on regulated investment programs, we decarbonized and add resiliency to our systems. We'll cover those topics in more detail, but let me begin with safety performance, and then address the status of the business review.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	Our employee OSHA entry recordable rate for the first quarter was 0.21, a significant improvement relative to historical performance including record-setting results in 2020 and 2021. We have several months left in 2023 to demonstrate our ability to drive injuries toward the only acceptable outcome, which is 0, I thank my colleagues for this remarkably strong start to the year.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	Now I'd like to address the business review. Our guiding commitments and priorities are unchanged and replicated identically on Slide 3. We continue to receive valuable feedback from investors, which is affirmed our focus on these principles, we will continue to be deliberate and making ourselves available for input from the company's current and prospective capital providers.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	The review timeline shown on Slide 4 is also unchanged. We plan to host an Investor Day in the third quarter during which will provide an updated strategic and financial outlook, based on the results of the business review, which is still underway. We're working expeditiously but conscientiously in recognition of the vital importance of achieving an optimal result. I'm pleased with the progress we're making towards delivering a compelling repositioning of our company to create maximum long-term value for shareholders, employees, customers and other stakeholders. We have great people and great assets and I'm as excited as ever for the future of our company.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	Turning now to several noteworthy developments in Virginia, our largest service area. In November, I discussed the need to ensure that near-term economic and customer bill pressures didn't preclude the full realization of the benefits of a long-term resiliency and decarbonization capital investment opportunity before us. And in February, I discussed the need for a durable regulatory construct that provides for a competitive in fair return on utility investments to attract low-cost capital in support of our customer focus programs.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	New Virginia law enacted in April and effective July first comprehensively addresses both of those needs. It provides significant bill relief for our customers and supports the long-term stability of our utility. With nearly unanimous bipartisan support, the legislation provides the certainty, we need to fund and execute critical energy investments in support of the Commonwealth's robust electric demand growth long-term energy security and reliability leading decarbonization goals, an impressive economic growth.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	Highlights of the law are shown on Slide 5. First, it provides meaningful rate relief for customers. Beginning July one it reduces the monthly bill for a typical residential customer by nearly $7, through the combination of certain existing riders that represent approximately $350 million of annual revenue. And it allows for the commission to approve the securitization of deferred fuel costs, which could provide up to $7 a month, and additional near-term savings. If approved fuel securitization would reduce the standalone fuel charge on customers' monthly bills by allowing the company to spread, fuel costs over a multi-year period. Taken together, these savings if approved would equate to a 10% reduction to the current typical residential customer bill and position us to be around 21% below the national average.
Bob Blue	Chair, President and Chief Executive Officer at Dominion Energy	Second, the law simplifies the rate-making process around our base business, which now represents about a third of the EVs total rate base. Specifically, the law reinstates base rate reviews on a biennial schedule as compared to the current triennial cadence, improving the timeliness of operating expense and investment recovery. It's worth noting here, no change to the use of a forward-looking mechanism for purposes of establishing base rate revenues as part of the now biennial reviews. And it retains a modified customer sharing mechanism for base rate earnings that allows both customers and shareholders to benefit from positive financial drivers like improve cost-efficiency.
