Speaker	Title	Content
Operator	Operator	Good day and welcome to The Walt Disney Company's Second Quarter 2023 Financial Results Conference Call. All participants will be in listen-only mode. [Operator Instructions] Please note this event is being recorded.
Operator	Operator	I would now like to turn the conference over to Alexia Quadrani, Senior Vice President of Investor Relations. Please go ahead.
Alexia S. Quadrani	Senior Vice President of Investor Relations at Walt Disney	Good afternoon. It's my pleasure to welcome everybody to The Walt Disney Company's second quarter 2023 earnings call. Our press release was issued about 25 minutes ago and is available on our website at www.disney.com/investors.
Alexia S. Quadrani	Senior Vice President of Investor Relations at Walt Disney	Today's call is being webcast and a replay and a transcript will also be made available on our website.
Alexia S. Quadrani	Senior Vice President of Investor Relations at Walt Disney	Joining me for today's call are Bob Iger, Disney's Chief Executive Officer, and Christine McCarthy, Senior Executive Vice President and Chief Financial Officer. Following comments from Bob and Christine, we will be happy to take some of your questions.
Alexia S. Quadrani	Senior Vice President of Investor Relations at Walt Disney	So with that, let me turn the call over to Bob to get started.
Robert A. Iger	Chief Executive Officer at Walt Disney	Thank you, Alexia. And good afternoon, everyone. Allow me to digress for a moment to congratulate Universal for the tremendous success of Super Mario Brothers. It certainly proves people love to be entertained in theatres around the world and it gives us reason to be optimistic about the movie business.
Robert A. Iger	Chief Executive Officer at Walt Disney	Now turning to our results. We're pleased with our accomplishments this quarter, which are reflective of the strategic changes we've been making throughout our businesses. We're also proud of what we continue to deliver for consumers, from movies to television to sports, news and our theme parks.
Robert A. Iger	Chief Executive Officer at Walt Disney	A few recent highlights include Marvel Studios' Guardians of the Galaxy Vol. 3, which topped the global box office in its opening weekend with $289 million. The first round of the NBA playoffs was the most watched ever across Disney networks, and we've been averaging 5 million viewers throughout the first 22 games, up 15% versus the comparable point in last year's playoffs.
Robert A. Iger	Chief Executive Officer at Walt Disney	ABC continued its run as the number one entertainment broadcast network for the fourth consecutive season. And at our domestic parks, we continued to improve the guest experience with our recent pricing changes and exciting new attractions, including the reimagined Mickey's Toontown at Disneyland, and TRON Lightcycle Run at Walt Disney World.
