Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, welcome to the Warner Brothers Discovery Inc. First Quarter 2023 Earnings Conference Call.
Operator	Operator	[Operator instructions]
Operator	Operator	I would like to hand the conference over to Mr. Andrew Slabin, Executive Vice-President, Global Investor Strategy. Sir, you may now begin.
Andrew Slabin	Executive Vice President, Global Investor Strategy / Investor Relations at Warner Bros. Discovery	Good morning, and welcome to Warner Bros. Discovery's Q1 earnings call. With me today is David Zaslav, President and CEO; Gunnar Wiedenfels, our CFO and JB Perrette, CEO and President, Global Streaming and Games.
Andrew Slabin	Executive Vice President, Global Investor Strategy / Investor Relations at Warner Bros. Discovery	Before we start, I'd like to remind you that today's conference call will include forward-looking statements that we make pursuant to the Safe-Harbor provisions of the Private Securities Litigation Reform Act of 1995. The forward-looking statements include comments regarding the company's future business plans, prospects and financial performance. These statements are made based on management's current knowledge and assumptions about future events and involve risks and uncertainties that could cause actual results to differ materially from our expectations. In providing projections and other forward-looking statements, the company disclaims any intent or obligation to update them.
Andrew Slabin	Executive Vice President, Global Investor Strategy / Investor Relations at Warner Bros. Discovery	For additional information on factors that could affect these expectations, please see the company's filings with the US Securities and Exchange Commission, including but not limited to the company's most recent Annual Report on Form 10-K and its reports on Form 10-Q and Form 8-K. A copy of our Q1 earnings release trending schedule and accompanying slide deck is available on our website at ir.wbd.com.
Andrew Slabin	Executive Vice President, Global Investor Strategy / Investor Relations at Warner Bros. Discovery	And with that, I am pleased to turn the call over to David.
David Zaslav	President and CEO at Warner Bros. Discovery	Hello, everyone, and thank you for joining us. We've had a very busy and productive year thus far. And while we have lots more to do and more to attack, we are aggressively doing just that. The diversified nature of our company continues to provide a strong foundation that enables us to weather challenging environments, like the one we're in, and still generate meaningful free cash flow. We expected the marketplace to be challenged. And with clear eyes, we remain confident in our strategy and our ability to generate free cash flow and end this year below four times levered, with our streaming service as a tailwind.
David Zaslav	President and CEO at Warner Bros. Discovery	Gunnar will take you through the specifics, but for some perspective, on a trailing 12 month basis, we generated $2.1 billion in free cash flow. Even after absorbing $1.2 billion in cash restructuring and merger-related costs.
David Zaslav	President and CEO at Warner Bros. Discovery	Turning to the quarter. While Q1 is seasonally our weakest and we saw a challenging revenue headwinds, mainly on the linear TV and Studios sides, we are on-track to achieve this year's financial targets. And we see a number of positive proof points emerging across our businesses with direct-to-consumer, perhaps the most prominent. We have strong command and control of our DTC business. We made a meaningful turn this quarter, generating $50 million in EBITDA and adding 1.6 million new subscribers, and we feel really good about the trajectory we're on. We now expect our US DTC business to not only break-even ahead of schedule but to be profitable for the year 2023, this year, a year ahead of our guidance.
David Zaslav	President and CEO at Warner Bros. Discovery	And it's worth noting, HBO Max and Discovery Plus are still only available to less than half of the global streaming market. So there is significant runway ahead of us and we are attacking this opportunity. Max launches here in the US on May 23rd, with Latin-America to follow later this year and markets in EMEA and APAC in 2024. And the service looks terrific. And is a broad and compelling offering for everyone in the family. We anticipate having a healthy pipeline of our new content added to Max monthly. And recognizing that one of the real advantages we have as a company is the strength and depth of our franchises, including Harry Potter for a decade, Game of Thrones and DC. We are delivering on our commitment to reinvigorate the best of them with new exciting stories for fans around the world.
David Zaslav	President and CEO at Warner Bros. Discovery	While at launched the Max offering will feature the full range of entertainment, this is really just the beginning. We are actively working on options to expand our lineup to include news and sports. Acknowledging that this live programing has the power to keep consumers coming back for more and staying longer. We look-forward to sharing further details with you in the months ahead.
David Zaslav	President and CEO at Warner Bros. Discovery	As part of our marketing campaign under our One Company strategy, we are taking full advantage of the range of available media assets company-wide, to include our US cable networks and our popular digital outlets, like Bleacher Report and CNN.com. We're planning to rollout Max in most key markets around the world. In an effort to reach the broadest possible audience and in keeping with our second strategic pillar, to monetize our content and the most financially advantageous ways, we are also going to continue pursuing other licensing and output deals in markets where either that makes better strategic and financial sense or HBO Max isn't currently available, often with plans to eventually launch Max when we're ready. Our recent deals in Canada and India, for example, are very lucrative with no expenses against them. We already own that content. How we serve consumers is important. But the wealth of our media assets brands and IP, and our ability to deliver diverse high-quality content that viewers want to watch and will pay for is what truly differentiates us and makes the opportunity we have to drive real value so compelling. It's the reason we brought these two companies together.
David Zaslav	President and CEO at Warner Bros. Discovery	This year we celebrate Warner Bros. 100th anniversary. This studio is historically been the crown jewel of the industry and we are working hard to rebuild it to its former glory. We're driving meaningful creative momentum with more-and-more of the most talented storytellers in the business choosing to partner with us.
David Zaslav	President and CEO at Warner Bros. Discovery	On the film side, after a very challenging year at the box office, we are excited and optimistic about the slate of movies coming, Dune 2, Barbie and DC's Blue Beetle and the Flash. We screen the Flash at CinemaCon last week and early reactions have been overwhelmingly positive. We are committed not just to expanding the size of our film slate next year, but even more important, we are committed to making great high-quality films that have an impact. As I've said many times, and we believe it, it's not about how much, it's about how good. One of the real strengths of our company is the diversity of our storytelling. And in this centennial year, we're especially excited to be reinvigorating our feature animation business, which has a long history and a wealth of great IP.
