Speaker	Title	Content
Operator	Operator	Good day and welcome to the DISH Network Corporation First Quarter 2023 Earnings Conference Call. Today's conference is being recorded.
Operator	Operator	At this time. I would like to turn the conference over to Tim Messner. Please go ahead.
Timothy Messner	Executive Vice President & General Counsel at DISH Network	All right. Thanks, Rachel, and good morning everyone. Thanks for joining us. On the call today, we have Charlie Ergen, our Chairman; Erik Carlson, our CEO; Paul Orban, our CFO, on the wireless side, we have John Swieringa, President and CEO of wireless and Dave Mayo, EVP of network development. Before we start, I need to remind you of our safe harbors as usual.
Timothy Messner	Executive Vice President & General Counsel at DISH Network	During this call, we may make forward-looking statements which are subject to risks, uncertainties and other factors that could cause our actual results to differ materially from historical results or from our forecasts. We see no responsibility for updating forward-looking statements. For more information on factors that may affect our future results, please refer to our SEC filings.
Timothy Messner	Executive Vice President & General Counsel at DISH Network	And with that, I'd like to turn it over to Eric for opening remarks.
Erik Carlson	Chief Executive Officer at DISH Network	Thank you, Tim, and welcome, everyone. And thank you for being here today. I'm going to begin with a few brief comments before opening it up to your questions. As most of you are aware, it's been a busy few months some planned and some not. On our last earnings call, we announced we had experienced a network outage that affected our incident response and business continuity plans. Once we determine the outage was due to the cyber security incident we promptly notify the appropriate law enforcement authorities. On February 28th, we further disclosed that certain data had been extracted from our IT systems as part of the incident.
Erik Carlson	Chief Executive Officer at DISH Network	Our investigation, to the extent that the incident is now substantially complete, and we have determined that our customer databases, we're not accessed in this incident. However, what we have confirmed that certain employee-related records and a limited number of other records containing personal information we're among the data extracted. We've taken steps to protect the affected records and personal information and we have received confirmation that the extracted data has been deleted, while we have no evidence this data has been misused, we have started the process of notifying individuals whose data was extracted. We restored the systems affected by the cyber security incident, our websites, customer care functions, self-service applications and payment systems are operational and have been since March. Our customer care operations are up and running and service times have normalized.
Erik Carlson	Chief Executive Officer at DISH Network	Our DISH TV, Sling TV, Boost Mobile and wireless services, all remained up and running throughout the duration of the incident. We sincerely regret the inconvenience to our customers and team members, and certainly appreciate their patience while we work to restore systems and return our customer care operations to normal.
Erik Carlson	Chief Executive Officer at DISH Network	Data security is extremely important to us. Our team, including third-party cyber security experts have been working to enhance our cyber defenses and overall security posture. We've upgraded our endpoint detection and response system and we've taken other measures to fairly further secure our data and systems. We've also refined and will continuously improve our business continuity and system restoration processes. Now with respect to the financial impact of the incident, we disclosed in our 10-Q today that we incurred about $30 million of expenses, mainly related related to remediation, additional customer support and consulting an IT costs. This amount is included in cost-of-sales in our financial statements.
Erik Carlson	Chief Executive Officer at DISH Network	We also disclosed that the outages related to the incident negatively impacted our disconnects and churn for DISH TV. The outages did not materially affect our Boost Mobile or Sling TV subscribers. During the incident, we undertook extensive efforts to support and protect our customers and employees, and to further enhance our cyber security practices. Due the commendable efforts by our team at DISH, we do not expect any additional material future costs or further impacts to our subscriber base from the incident. Look, I want to thank our customers, employees, partners, suppliers and vendors for their support, patients and understanding.
Erik Carlson	Chief Executive Officer at DISH Network	And with that, I'm going to hand it back to the operator to start taking questions from the analyst community. Operator, please open the phone lines.
Operator	Operator	Thank you. [Operator Instructions]. Please state your name and affiliation before posing your question. [Operator Instructions]. Our first question comes from the line of David Barden with Bank of America Securities. Please go ahead.
Marlane Pereiro	Analyst at Bank of America Securities	Hi, this is Marlane Pereiro, on for David Barden at Bank of America Securities. Wanted to start-off the questions regarding capex, can you talk about the run-rate capex, post the June 2023 build-out? And then if possible, provide what potentially could be a new run-rate? When that run-rate would start? And then potentially when capex would ramp again heading into '25 through build-out requirements?
Paul Orban	Chief Financial Officer at DISH Network	Hi, this is Paul, I'll jump-in. That's a good question. I think we'll come in slightly lower than last year's capex, but unlike last year, it will be front-end loaded with the dropping off after we hit our June milestone. But other than giving future capex guidance, we're not going to -- we don't provide that.
Marlane Pereiro	Analyst at Bank of America Securities	Got it, [Speech Overlap]
Charlie Ergen	Chairman at DISH Network	This is Charlie. I think -- I think, I may add a little more color to that. I think that obviously, we had two back-to-back milestones in '22 and '23, with the vast majority the population -- 70% population. So you can look for us to to be able to -- two things that we really would do from a capex perspective; One is, we can go -- we certainly will be able to take a little bit of a pause in terms of some of the new markets, but we will continue some capex to densify the current markets that we have once we're with customers, you always find you have some gaps and things, so we will have some capex on current markets, but future markets, we'll be able to take a bit of a pause, until the -- late 2024 or early 2025 timeframe.
Marlane Pereiro	Analyst at Bank of America Securities	Got it and then as you build-out the licenses to meet the mid '23 requirements. Is it possible to give any update on the build of the 600 megahertz that you might be building out concurrently with the other licenses?
Dave Mayo	Executive Vice President, Network Development at DISH Network	So, yeah, hi, this is Dave Mayo, we've started construction on about 18,000 sites as of the end of the first quarter. It will take approximately 16,000 sites for us to meet the objective. And those sites will have to be fully fibered and powered and we're well on our way to achieving that.
Charlie Ergen	Chairman at DISH Network	Yeah. I think on the second part of that question. In the 700 and The 700 megahertz is in -- are -- is in those numbers, but additional six more -- excuse me 600 is in those numbers, but in terms of new cities for 600 that's something that we'll take kind of case-by-case basis. As you find that you have more roaming charges and you could do it by putting something on your own network, you'll make that -- you'll built for success, ultimately you build for the FCC. [Speech Overlap] in addition to that.
Dave Mayo	Executive Vice President, Network Development at DISH Network	Yeah. we're well on our way to meeting the 70%, with respect to the 600 megahertz licenses.
Marlane Pereiro	Analyst at Bank of America Securities	Got it. Thank you. And then once you do hit the mid-June requirements, is it possible to give us a sense of how much this will make in terms of business operations in your go market -- go-to-market strategy, it was 20% last year, 70% this year, so just trying to think about the impact it could have on the business now with a much broader offering.
