Speaker	Title	Content
Operator	Operator	Hello, everyone, and welcome to the Duke Energy First Quarter 2023 Earnings Call. My name is Nadia, and I'll be coordinating the call today. [Operator Instructions] I will now hand over to your host Abby Motsinger, VP of Investor Relations, to begin. Abby, please go ahead.
Abby Motsinger	Vice President Investor Relations at Duke Energy	Thank you, Nadia, and good morning, everyone. Welcome to Duke Energy's first quarter 2023 earnings review and business update. Leading our call today is Lynn Good, Chair, President and CEO along with Brian Savoy, Executive Vice President and CFO. Today's discussion will include the use of non-GAAP financial measures and forward-looking information. Actual results may be different than forward-looking statements, and those factors are outlined herein and disclosed in Duke Energy's SEC filings. The appendix of today's presentation includes supplemental information along with the reconciliation of non-GAAP financial measures.
Abby Motsinger	Vice President Investor Relations at Duke Energy	So with that, let me turn the call over to Lynn.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Abby, thank you, and good morning, everyone. Today, we announced adjusted earnings per share of $1.20 for the first quarter. These results reflect a $0.22 headwind from weather with January and February ranking among the warmest winter months on record across our service territories. In fact, DEP had its warmest January and February in the last 32 years.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	In response, we've already taken action activating agility measures across the enterprise which Brian will walk through with you in just a moment. With three quarters remaining, including our strongest quarter still ahead, we are reaffirming our 2023 guidance range of $5.55 to $5.75 with a midpoint of $5.65. We're also on track to deliver our long-term EPS growth rate of 5% to 7% through 2027 off the midpoint of the '23 range.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Before I turn to our regulated utilities, I'd like to provide an update on the sale of our commercial renewables business. As you know, we have separate sales processes underway for the utility scale business and the distributed energy business. We are in the late stage of the process for both transactions, and we'll look to update you in the near future. We continue to anticipate proceeds in the second half of the year.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Moving to Slide 5. We're making meaningful progress on our strategic initiatives in each of our jurisdictions. In North Carolina, we recently reached a partial settlement with Public Staff and Sigfor [Phonetic], who represents DEP's industrial customers, in the Duke Energy Progress rate case. With agreements on approximately $3.5 billion of forward-looking capital investments in the multiyear rate plan, the settlement represents a significant milestone on our journey to modernize recovery mechanisms in North Carolina.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	It positions us well to continue delivering value to customers while supporting the cash flows of the company. The settlement also provides clarity on retail rate base of approximately $12.2 billion for the historic base case and depreciation rates that largely aligned with DEP's proposal. Further, we reached agreement on performance incentive metrics and residential decoupling. We were pleased to be able to work with public staff and Sigfor to narrow the open items in the case. These settlements are subject to approval by the North Carolina Utilities Commission.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Evidentiary hearings began May 4 and are expected to conclude later this month. Interim rates will be implemented in June, subject to refund and we expect permanent rates to be effective October 1. The Duke Energy Carolinas rate case is about three months behind the DEP case and hearings scheduled to begin on August 21.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Moving to South Carolina. The commission approved a comprehensive settlement in our Duke Energy Progress rate case in February. Revised rates went into effect in April. We also recently received commission approval to securitize approximately $170 million of past storm costs at Duke Energy Progress.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	In Florida, the commission approved our fuel, capacity and storm cost request in March. Rates were updated in April and reflect recovery of deferred fuel costs over 21 months with a debt return, will recover storm costs associated with hurricanes Ian and Nicole as well as replenish the storm reserve over 12 months. We also continue to expand our renewables fleet in a steady and responsible manner, adding four solar projects in March and April, totaling 300 megawatts. With these additions, we now operate 1,200 megawatts of solar in Florida, with plans to continue adding approximately 300 megawatts a year going forward.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	In Indiana, we've had an active legislative session, the legislature passed several energy bills, including House Bill 1421, which was signed into law and allows equipped and rate base for natural gas generation. These bills support our ability to execute our energy transition in Indiana, while maintaining reliable and affordable power for customers.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	We're in the process of finalizing CPCN, which we expect to begin filing with the Indiana Commission later this quarter. In Ohio, we reached a comprehensive settlement with the PUCO staff and multiple other parties in our natural gas rate case. The settlement, which is subject to commission approval includes agreement on expanded revenue caps for the capital expenditure program rider. An evidentiary hearing is scheduled to begin on May 23.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	And in Kentucky, the commission is conducting an evidentiary hearing today on the electric rate case filed in December. If approved, new rates are anticipated to go into effect in July. We're making great progress on our strategy across our entire service territory, meeting our commitments and advancing investments in a balanced way to better serve our customers.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Our strong track record is reflected in our impact report, Duke Energy's 17th annual disclosure on sustainability topics. This comprehensive report was published in April and includes our goals and progress on a broad range of topics, including the energy transition. It also outlines our corporate citizenship and the value we're creating for employees, customers and communities from economic development to environmental justice and to rescaling and redeploying workers.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Before I turn the call over to Brian, let me take a moment to talk about our grid investment plan, which is $36 billion accounts for over half of our five-year capital plan. The grid is a critical part of our energy transition and with more than 320,000 line miles, we operate the largest transmission and distribution system in the nation. The foundation of our grid plan is focused on improving reliability and resiliency, preparing the grid for renewables and enabling electrification.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	Our reliability and resiliency investments are centered on strengthening the grid against storms and security trusts and improving the ability to rapidly restore power when there's an outage. We're making targeted investments across a variety of programs, including self-optimize and growth technologies targeted undergrounding, physical and cybersecurity upgrades and upgrading lines and substations. Our investments are already making a difference as evidenced by our response to Hurricane Ian last fall, where we restored power in less than half the time of our Hurricane Irma restoration efforts in 2017.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	As highlighted on the slide, we've made great progress in establishing constructive recovery mechanisms across our jurisdictions. These mechanisms will also assist in recovering growth [Phonetic] investments in a timely manner, mitigating lag and supporting balance sheet strength while delivering benefits to our customers.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	From grid improvements to installing renewables to advancing policy, we're taking collective action to transform and ready the system for the future. We have a clear path forward and are confident our investment plan will deliver sustainable value and 5% to 7% earnings growth.
Lynn J. Good	Chair, President and Chief Executive Officer at Duke Energy	With that, let me turn the call over to Brian.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	Thanks, Lynn, and good morning, everyone. I'll start with quarterly results and highlight key variances to the prior year. As shown on Slide 7, our first quarter reported earnings per share were $1.01 and adjusted earnings per share were $1.20. This compares to reported and adjusted earnings per share of $1.08 and $1.29 last year.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	Adjusted results exclude the impact of commercial renewables, which is reflected in discontinued operations. Within the segments, Electric Utilities & Infrastructure was down $0.14 compared to last year. As Lynn mentioned, these results reflect extremely mild weather in January and February, which drove a $0.22 headwind compared to normal. This is the most significant weather impact we've seen in recent memory.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	In addition to weather, lower volumes and higher interest expense were partially offset by lower O&M and growth from rate cases and riders. Rate case impacts in the quarter were primarily driven by our Florida utility. Consistent with our current settlement terms, in January, we had an annual step-up under the multiyear rate plan as well as the impact of a 25 basis point ROE increase as a result of rising interest rates.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	Moving to Gas Utilities & Infrastructure, results were $0.04 higher year-over-year, primarily due to growth from riders and customer additions. Before discussing retail volumes, I'd like to take a moment to talk about our 2023 cost mitigation efforts and full year expectations. We're currently executing the $300 million in O&M reductions that we shared previously, which were incorporated into our base plan to address interest rate and inflation headwinds.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	As we've said, 75% of these savings are structural and will be sustainable into future years. In response to mild weather in Q1, we've already activated agility measures, leveraging our scope and scale to identify further savings opportunities. As we've done in the past, we're looking to tactical O&M efforts and other levers. These include deferring non-critical work, reducing spend on outside services and limiting nonessential travel and over time, among others. We will be thoughtful about these efforts, keeping our unwavering commitment to reliability and customer service at the forefront of our approach.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	Looking ahead, residential decoupling in North Carolina will be fully implemented by 2024. But until then, we will continue to flex the agility muscle that we have done so successfully in the past.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	Turning to volumes on Slide 8. As expected, on a rolling 12-month basis, load growth has moderated closer to pre-COVID trends. When comparing to 2022, it's important to note that we had a very robust first quarter last year, which saw nearly 6% growth. In addition, nearly all of the Q1 weakness this year was seen in January and February when weather was extreme.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	In these situations, it can be challenging to precisely estimate the weather component of total volume variances. In March and April, when weather was closer to normal, volume trends were more consistent with expectations, giving us confidence that the full year 2023 load growth will be in the neighborhood of 0.5%.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	Continued strong customer growth in the residential class also supports confidence in our outlook. The population migration we've seen into our service territory remains as strong as ever. In the industrial class, we're seeing some weakness in the textile sector, as well as an isolated plant closure by an electronics manufacturer in the Carolinas. Lingering supply chain impacts also continue to be a factor impacting usage. With that said, fundamental growth remains strong. Many of our larger industrial customers are expanding, and economic development in our service territories continues to be robust.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	For example, our recently released impact report highlighted our final economic development results for 2022. Over the year, we partnered with our states to attract over 29,000 new jobs and $23 billion in capital investments to our service territories. These new customers which represents several key sectors such as battery, EVs and semiconductors will provide meaningful load growth as operations ramp up. We're proud of these accomplishments, which support the communities we serve and give us further confidence in the long-term economic outlook for our service territories.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	Moving on to financial activities on Slide 9. We had a productive first quarter, completing around 60% of our planned 2023 issuances. We've also been opportunistic taking advantage of market dynamics, which made convertible notes an attractive option. In April, we issued $1.7 billion of these notes to reduce our commercial paper balance and lower interest expense. Importantly, we made good progress on fuel proceedings during the quarter as well. In Florida, we received approval for a full recovery of the 2022 deferred fuel balance with the rates updated on April 1.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	We also filed in February for a recovery of approximately $1 billion of deferred fuel in DEC North Carolina. We expect to receive an order in August and for rates to be implemented in September. Filings over the summer will round out the Carolinas addressing the remaining uncollected costs.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	In addition, we continue to expect proceeds from the sale of commercial renewables in the second half of this year, which will be used for debt avoidance at the holding company. Combined, we expect these two items, fuel collections and the completed sale will positively impact FFO to debt by 50 basis points to 75 basis points by year-end. I know the balance sheet is top of mind for investors and credit is at the forefront of our planning as well.
Brian Savoy	Executive Vice President and Chief Financial Officer at Duke Energy	In fact, our efforts and commitment to the balance sheet were recently recognized by Moody's. In April, following our annual meeting, Moody's reaffirmed our current credit ratings and stable outlook at the holding company. This is further evidence that we have the right plan in place and are taking appropriate steps to maintain our strong balance sheet as we advance our energy transition and execute our capital plan.
