Speaker	Title	Content
Operator	Operator	Good evening. My name is Michelle, and I will be your conference facilitator today. At this time, I would like to welcome everyone to the DaVita First Quarter 2023 Earnings Call. [Operator Instructions]
Operator	Operator	Thank you, Mr. Eliason, you may begin your conference.
Nic Eliason	Vice President of Investor Relations at DaVita	Thank you, and welcome to our first quarter conference call. We appreciate your continued interest in our company. I'm Nic Eliason, Group Vice President of Investor Relations, and joining me today are Javier Rodriguez, our CEO; and Joel Ackerman, our CFO. Please note that during this call, we may make forward-looking statements within the meaning of the federal securities laws. All of these statements are subject to known and unknown risks and uncertainties that could cause the actual results to differ materially from those described in the forward-looking statements. For further details concerning these risks and uncertainties, please refer to our first quarter earnings press release and our SEC filings including our most recent annual report on Form 10-K, all subsequent quarterly reports on Form 10-Q and other subsequent filings that we make with the SEC. Our forward-looking statements are based on information currently available to us. and we do not intend and undertake no duty to update these statements, except as may be required by law. Additionally, we'd like to remind you that during this call, we will discuss some non-GAAP financial measures. A reconciliation of these non-GAAP measures to the most comparable GAAP financial measures is included in our earnings press release furnished to the SEC and available on our website.
Nic Eliason	Vice President of Investor Relations at DaVita	I will now turn the call over to Javier Rodriguez.
Javier J. Rodriguez	Chief Executive Officer at DaVita	Thank you, Nic, and thank you all for joining the call today. 2023 is off to a strong start for DaVita. We entered the year with a cautious balance of optimism about our ability to execute against our plan and uncertainty by treatment volume in a challenging labor market. In the first quarter, we performed well in our key metrics and our results benefited from an improving macro environment. While some external uncertainties remain, the continuation of current trends would put us on a path to deliver strong results for the full year. Before I get into the details about the quarter, I would like to elaborate on an area of our long-term strategy which is to connect transitions of care through solutions for our patients across each step in the Kidney Care continuum that lead me to our clinical highlight around CKD education. Periodically, we have provided updates on our community education program called Kidney Smart. Raising awareness through education in the Kidney Care community is critical particularly given the fact that one in seven American adults have chronic kidney disease and the majority of these people are not aware. Our Kidney Smart program is designed to help those patients understand and manage their kidney health and is frequently recommended by nephrologist as a go-to resource for patient education.
Javier J. Rodriguez	Chief Executive Officer at DaVita	To help remove the barriers to health equity, we've offered these classes in 10 different languages. In 2022, over 33,000 CKD patients attended a Kidney Smart class, the best ever for the 12-year history of the program. Moreover, in 2022, DaVita patients who attended Kidney Smart classes were more than twice as likely to choose a home modality in consultation with their nephrologist and care team. Transitioning to our financial performance. In the first quarter, we delivered adjusted operating income of $352 million and adjusted earnings per share of $1.58. As we discussed in prior quarters, we implemented a number of initiatives in the second half of 2022 to respond to the pressures associated with lower volumes and higher costs. These plans, combined with the strong operating rigor translated into positive results in the quarter, and we're now seeing some of the operating metrics that impacted margin in 2022 begin to normalize. I'll start with the biggest driver of Q1 outperformance, labor. We made good progress on labor costs in the quarter, which reflected a combination of operating dividends and improvement in the overall labor environment. As we have said in the past, successful labor management requires effectively managing the interplay between wage growth, contract labor and training costs.
Javier J. Rodriguez	Chief Executive Officer at DaVita	Our operators continue to improve on the permanent staffing levels within our clinics which has enabled us to drive further reduction in contract labor costs during Q1. We're tracking ahead of plan and our efforts to cut our full year contract labor expense in half relative to last year. The increase in permanent teammates combined with elevated turnover resulted in training costs in the quarter above historical norms, although below the peak we saw last summer. This is in line with our expectations and we anticipate improvement in our training productivity in the back half of the year. This will largely depend on successful teammate retention, which has historically tracked closely with the health of the broader labor market. Moving on to treatment volume. Quarter-over-quarter treatments per day were up approximately 1% and better than the middle of our expected range. This was driven by net census gains due to both higher admit and lower mortality. Because of the annualization of access mortality from 2022, we still anticipate a reduction in overall treatment volume on a year-over-year basis and we continue to assume excess mortality over the balance of this year. That said, we're encouraged by our first quarter volume results. What we saw in Q1 proved to be a trend we would expect to finish the year in the top half of our volume forecast range of down 3% to flat relative to 2022. Transitioning to a couple of strategic topics.
Javier J. Rodriguez	Chief Executive Officer at DaVita	On April 1, DaVita and Medtronic announced the launch of Mozarc Medical, a new independent device company focused exclusively on innovative kidney health technologies. Mozarc's current products and its R&D pipeline ranging from kidney access technologies to advance home dialysis and acute therapies are intended to improve the overall patient experience and increased access to home-based care. This investment reaffirms our commitment to realizing scale transformation in Kidney Care and allow us to fuel innovation in partnership with Medtronic, a global leader in health care technology. And finally, a note on Integrated Kidney Care, or IKC, we continue to make progress consistent with our business plan and demonstrate that our model of care is improving the health and well-being of our patients. I'll highlight two examples of this. First, across our IKC program, more than half of our patients achieved an optimal start, which means that patient initiates dialysis treatment at home or appropriate vascular access in place. Optimal starts reduced costly and difficult hospitalization and on average, leads to a reduction in the continuing cost of care in the month and year that follow. Second, recent data continued to show an encouraging differentiation in hospitalization rates from patients in our IKC program versus our overall patient population.
Javier J. Rodriguez	Chief Executive Officer at DaVita	As we continue to scale our IKC business, which is measured by the total dollars of medical spend in our program, we will continue to focus on driving our net saving rate while pursuing a cost-efficient model of care. In summary, looking across our most important operating metrics, we're seeing progress at a faster rate than assumed in our initial forecast. Therefore, we are revising our adjusted operating income range of $1.4 billion to $1.6 billion to a range of $1.475 billion to $1.625 billion and revising our adjusted earnings per share range of $5.45 to $6.95 to a range of $6.20 to $7.30. Aside from the COVID disruption in the labor market, other important factors for the remaining of the year include continued progress against our cost-saving initiatives, which Joel will elaborate on, and of course, our continued effort to restore patient benefit protection to our advocacy efforts.
Javier J. Rodriguez	Chief Executive Officer at DaVita	I will now turn it over to Joel to discuss our financial performance and outlook in more detail.
