Speaker	Title	Content
Operator	Operator	Welcome to Devon Energy's First Quarter 2023 Conference Call. At this time, all participants are in listen-only mode. This call is being recorded.
Operator	Operator	I'd now like to hand the call over to Mr. Scott Coody, Vice President, Investor Relation. Sir, you may begin.
Scott Coody	Vice President, Investor Relations at Devon Energy	Good morning, and thank you to everyone for joining us on the call today. Last night, we issued an earnings release and presentation that cover our results for the first quarter and our outlook for the remainder of 2023. Throughout the call today, we will make references to the earnings presentation to support prepared remarks. And these slides can be found on our website. Also joining me on the call today are Rick Muncrief, our President and CEO; Clay Gaspar, our Chief Operating Officer; Jeff Ritenour, our Chief Financial Officer, and a few other members of our senior management team.
Scott Coody	Vice President, Investor Relations at Devon Energy	Comments today will include plans, forecasts and estimates that are forward-looking statements under US securities law. These comments are subject to assumptions, risks and uncertainties that could cause actual results to differ materially from our forward-looking statements. Please take note of the cautionary language and risk factors provided in our SEC filings and earnings materials.
Scott Coody	Vice President, Investor Relations at Devon Energy	With that. I will turn the call over to Rick.
Rick Muncrief	President and Chief Executive Officer at Devon Energy	Thank you, Scott. It's pleasure to be here this morning, we appreciate everyone taking the time to join us. For today's good discussion, I'll be focusing on three key topics that I believe are most important to our shareholders at this point. First, a plan to cover our solid first-quarter execution. Second. I will run-through the steps we've taken to bolster the return of capital to shareholders. And third, I plan to share insights on how our business is position to effectively control costs and gain momentum throughout the rest of the year.
Rick Muncrief	President and Chief Executive Officer at Devon Energy	So to start-off, let's turn to our first quarter results on Slide 6, where we had several key highlights. First, total oil production exceeded our mid point guidance at 320,000 barrels per day, representing a growth rate of 11% compared to the year ago period. This level of oil production was the highest in our company's 52 year history. Our strong well productivity in the Delaware Basin was once again a key contributor to this result. And our recently-acquired assets in the Eagle Ford and Williston Basin also provided as higher volumes in the quarter. Clay will touch on our well productivity in greater detail later in the call, but. I do want to highlight that the average well placed online in the quarter is on-track to recover more than a million barrels of oil equivalent. These strong recoveries are right in-line with our historic trends over the past few years, demonstrating the quality, depth and ability to deliver sustainable results across our resource base.
Rick Muncrief	President and Chief Executive Officer at Devon Energy	Another notable achievement from the first quarter, was our teams effective cost management. This was demonstrated by capital expenditure been in-line with expectations and operating cost coming in better than our guidance by few percent. I'll come -- I'll cover this topic in greater detail later in the call, with our outlook. But this positive start to the year puts us in a great position to potentially spend fewer dollars in 2023 to achieve our capital objectives for the year.
Rick Muncrief	President and Chief Executive Officer at Devon Energy	With our first-quarter capital activity, we limited reinvestment rates to prudent levels resulting in over $665 million of free cash flow. This marks the 11th quarter in a row, our business has generated free cash flow with oil prices over this time, ranging from as low as $40 a barrel to as high as $120 a barrel. This is a great example of Devon's ability to generate meaningful amounts of cash flow -- free cash flow across a variety of market conditions. Further showcase the durability of our strategic plan to create value through-the-cycle, and deliver returns on capital employed that compete with any sector in the S&P 500. With this free cash flow, we continue to reward shareholders through our cash return framework, which was well balanced between dividends and stock buybacks in the most recent quarter.
Rick Muncrief	President and Chief Executive Officer at Devon Energy	As shown on Slide 7, the total cash payout from the shareholder friendly initiatives reached an annualized rate of around a 12% yield in the first quarter, which significantly exceeds the available opportunities in other sectors of the market. Nearly half this payout was derived from our distinctive fixed plus variable dividend framework. This consistent formulaic approach, which began almost three years ago has allowed Devon to offer one of the highest yields the entire S&P 500 since it's groundbreaking implementation.
