Speaker	Title	Content
Operator	Operator	Good afternoon. My name is Regina, and I will be your conference operator today. At this time, I would like to welcome everyone to the Electronic Arts Fourth Quarter and Fiscal Year-End 2023 Conference Call.
Operator	Operator	I would now like to turn the conference over to Mr. Stuart Canfield, Senior Vice President, Finance and Investor Relations. Please go ahead.
Stuart Canfield	Senior Vice President, Finance and Investor Relations at Electronic Arts	Thank you. Welcome to EA's fourth quarter and fiscal year-end 2023 earnings call. With me today are Andrew Wilson, our CEO; Chris Suh, our CFO; and Laura Miele, our COO. Please note that our SEC filings and our earnings release are available at ir.ea.com. In addition, we have posted detailed earnings slides to accompany our prepared remarks. Lastly, after the call, we will post our prepared remarks, an audio replay of this call, and a transcript. With regards to our calendar, our first quarter fiscal 2024 earnings call is scheduled for Tuesday, August 1. As a reminder, we post the schedule of upcoming earnings calls for the fiscal year on our IR website.
Stuart Canfield	Senior Vice President, Finance and Investor Relations at Electronic Arts	This presentation and our comments include forward-looking statements regarding future events and the future financial performance of the company. Actual events and results may differ materially from our expectations. We refer you to our most recent Form 10-Q for a discussion of risks that could cause actual results to differ materially from those discussed today. Electronic Arts makes these statements as of today, May 9, 2023, and disclaims any duty to update them. During this call, the financial metrics, with the exception of free cash flow, will be presented on a GAAP basis. All comparisons made in the course of this call are against the same period in the prior year unless otherwise stated.
Stuart Canfield	Senior Vice President, Finance and Investor Relations at Electronic Arts	Now, I'll turn the call over to Andrew.
Andrew Wilson	Chairman and Chief Executive Officer at Electronic Arts	Thanks, Stuart. I hope all of you are well. I want to start by sharing how inspired and proud I am of our teams, against macro uncertainty and constant change, we navigated the year with resilience and determination. Throughout fiscal year 2023, we showed the strength of our business, delivered for our players, and lived up to the promise of our values. To every EA employee, thank you.
Andrew Wilson	Chairman and Chief Executive Officer at Electronic Arts	Over the fiscal year, we executed across our business, delivering high-quality games, launching seven new releases, and providing over 450 content updates across 51 titles. Consumer appetite for interactive entertainment experiences is at an all-time high and with our player network expanding to nearly 700 million, we delivered record engagement across some of our biggest franchises. EA is leading the future of interactive entertainment in a dynamic industry, where new audiences, new technology, and new media trends are reshaping the world around us. Consumption of sports and entertainment is accelerating, and media trends are evolving. We see these transformations as immense opportunities to do more amazing things for our people and our players.
Andrew Wilson	Chairman and Chief Executive Officer at Electronic Arts	As we look to the future, we're focused on delivering against three key strategies; building games and experiences that entertain massive online communities; creating blockbuster interactive storytelling; and amplifying the power of community in and around our games with social and creator tools. Executing these strategies across the modalities of play, watch, create, and connect, lay the foundation for long-term growth as we write the next great chapter of EA story.
Andrew Wilson	Chairman and Chief Executive Officer at Electronic Arts	Fiscal year 2023 was an amazing year for EA SPORTS FIFA, with the entire ecosystem producing incredible results. Console, mobile, and PC, both premium and free-to-play, delivered double-digit growth in net bookings and FIFA '23 became the best selling title in franchise history. Our interactive experiences are at the heart of global football culture and fandom and are a testament to a strategy sharpened by 30 years of passion, creativity, and innovation.
Andrew Wilson	Chairman and Chief Executive Officer at Electronic Arts	Fiscal year 2024 stands to be another important year for EA SPORTS. We will build on the massive momentum in our global football ecosystem, delivering expanded, enhanced experience for fans. EA SPORTS FC. In April, we unveiled the brand identity and vision for EA SPORTS FC, by every measure, this was the biggest brand moment ever created at EA, reaching billions of potential players, generating thousands of media hits within days, and inspiring record positive sentiment amongst our players, with the support of hundreds of partners, athletes, leagues, federations, and clubs. With EA SPORTS FC, we are building a fan-first future for global football, and we cannot wait to share more in July. Already the world's preeminent American football experience, Madden NFL delivered an extraordinary amount of content in and around the game in fiscal year 2023, driving deep engagement and becoming the best selling title in this franchise's history on console and PC. Madden NFL 24 will build on this excitement, offering even more fun and immersive gameplay.
