Speaker	Title	Content
Operator	Operator	Good day, everyone, and welcome to the EOG Resources First Quarter 2023 Earnings Results Conference Call. As a reminder, this call is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Chief Financial Officer of EOG Resources, Mr. Tim Driggers. Please go ahead, sir.
Tim Driggers	Executive Vice President & Chief Financial Officer at EOG Resources	Thank you, and good morning. Thanks for joining us. This conference call includes forward-looking statements. Factors that could cause our actual results to differ materially from those in our forward-looking statements have been outlined in the earnings release and EOG's SEC filings. This conference call also contains certain non-GAAP financial measures. Definitions and reconciliation schedules for these non-GAAP measures can be found on EOG's website. Some of the reserve estimates on this conference call may include estimated potential reserves and estimated resource potential not necessarily calculated in accordance with the SEC's reserve reporting guidelines.
Tim Driggers	Executive Vice President & Chief Financial Officer at EOG Resources	Participating on the call this morning are, Ezra Yacob, Chairman and CEO; Billy Helms, President and Chief Operating Officer; Ken Boedeker, EVP, Exploration and Production; Jeff Leitzell, EVP, Exploration and Production; Lance Terveen, Senior VP, Marketing; and David Streit, VP, Investor Relations. Here is Ezra.
Ezra Yacob	Chairman of the Board and Chief Executive Officer at EOG Resources	Thanks, Tim. Good morning, everyone. Strong first quarter execution from every operating team across our multi-basin portfolio has positioned the company to deliver exceptional results in 2023. Production, capex, cash operating costs and DD&A all beat targets, which underpinned our excellent financial performance during the first quarter. We earned $1.6 billion of adjusted net income and generated $1.1 billion of free cash flow. Free cash flow helped fund year-to-date cash return to shareholders of $1.4 billion through a combination of regular and special dividends and share repurchases executed during the first quarter. Combined with our full year regular dividend, we have committed to return $2.8 billion to shareholders in 2023 or about 50% of our estimated 2023 free cash flow assuming an $80 oil price. We are well on our way to achieve our target minimum return of 60% of annual free cash flow to shareholders.
Ezra Yacob	Chairman of the Board and Chief Executive Officer at EOG Resources	Our first quarter results demonstrate the value of EOG's multi-basin portfolio. We have decades of low-cost, high-return inventory that spans oil, combo and dry natural gas basins throughout the country. Our portfolio includes the Delaware Basin, which remains the largest area of activity in the company and is delivering exceptional returns. After more than a decade of high-return drilling, our Eagle Ford asset continues to deliver top-tier results while operating at a steady pace. And beyond these core foundational assets, we continue to invest in our emerging Powder River Basin, Ohio Utica combo and South Texas Dorado plays, which contribute to EOG's financial performance today while also laying the groundwork for years of future high-return investment.
Ezra Yacob	Chairman of the Board and Chief Executive Officer at EOG Resources	Our portfolio provides flexibility to invest with discipline and develop each asset at a pace that allows it to get better. It provides optionality to actively manage our investments to minimize impacts from inflation. Diversity of our investment portfolio also translates to diverse sales market options, enabling us to pursue the highest netbacks. Our shift to premium drilling several years ago has helped to decouple EOG's performance from short-term swings in the market. The result is an ability to deliver consistent, operational and financial performance that our shareholders have come to expect and that drives long-term value through the cycle. Recession risk and the near-term demand outlook for oil continues to drive volatility of prices month-to-month. However, our outlook remains positive. Inventory levels currently near the five year average are reducing as we progress through the year. Global demand continues to increase and is forecast to reach record levels by year-end and new supply has moderated from pre-pandemic levels of growth. Longer term, with the reduced investment in upstream projects the last several years, we remain constructive on future pricing.
Ezra Yacob	Chairman of the Board and Chief Executive Officer at EOG Resources	For North American gas, near-term prices reflect high inventory levels due to this year's warm winter and reduced LNG demand during repairs at Freeport. As such, we are currently evaluating options to delay some activity at Dorado. The medium and long-term outlook for natural gas, however, continues to strengthen. Currently, U.S. LNG demand is at record levels with an additional 7 Bcf a day capacity under construction or through FID with expected startup between 2024 to 2027 that should position the U.S. as a leader in the global LNG market.
Ezra Yacob	Chairman of the Board and Chief Executive Officer at EOG Resources	Our confidence in the outlook for our business is demonstrated by our capital allocation decisions in the first quarter. Disciplined reinvestment in our high-return inventory continues to lower our breakeven and expand the free cash flow potential of EOG. We strengthened our balance sheet by retiring debt, paid out nearly 100% of free cash flow in regular and special dividends, and we utilized our repurchase authorization to buy back $310 million worth of stock late in the quarter during a significant market dislocation. I'm confident EOG has the assets, the technology and the people to deliver both return on capital and return of capital for years to come. In a moment, Billy will discuss why we believe our foundational assets in the Delaware Basin and Eagle Ford will provide higher returns, margins and free cash flow in the years ahead and why we remain excited about the progress we are making in our emerging assets, Powder River Basin, Ohio Utica combo and South Texas Dorado. But first, here's Tim to review our financial position.
Tim Driggers	Executive Vice President & Chief Financial Officer at EOG Resources	Thanks, Ezra. EOG generated outstanding financial performance in the first quarter. We produced $1.6 billion of adjusted net income or $2.69 per share and $1.1 billion of free cash flow. Timing differences associated with working capital accounted for an additional $661 million of cash inflow in the quarter. Our outstanding financial results were driven by strong operating performance. Compared with the prior year, first quarter production volumes increased 2% for oil and 7% overall. We mitigated most of the inflationary headwinds to limit the increase to per unit cash operating costs to just 3% or $10.59 per BOE, which was more than offset by a 12% decline in the DD&A rate.
Tim Driggers	Executive Vice President & Chief Financial Officer at EOG Resources	Capital expenditures in the quarter of $1.5 billion came in $100 million below target. Our long-standing free cash flow priorities and cash return framework remain consistent. Our priorities are sustainable regular dividend growth, a pristine balance sheet, additional cash return options and low-cost property bolt-ons. We are committed to return a minimum of 60% of the annual free cash flow to shareholders through our sustainable regular dividend, special dividends and opportunistic share repurchases. We believe the consistent application of our free cash flow priorities and transparent cash return framework positions the company to create long-term shareholder value through the cycle.
Tim Driggers	Executive Vice President & Chief Financial Officer at EOG Resources	In March, we strengthened the balance sheet by paying off a $1.25 billion bond at maturity with cash on hand leaving $3.8 billion of debt on the balance sheet. The next maturity is a $500 million bond due April 2025. Cash at the end of the quarter was $5 billion, yielding a net cash position of $1.2 billion, up $300 million from December 31. Yesterday, our Board declared a second regular dividend of $0.825 per share, the same as last quarter and a 10% increase from the prior year level. The $3.30 annual rate is a $1.9 billion annual commitment. On March 30, we also paid the $1 per share special dividend declared in February.
Tim Driggers	Executive Vice President & Chief Financial Officer at EOG Resources	EOG also repurchased $310 million of stock in the first quarter at an average price of $105 per share. For several days during the last two weeks of March, market volatility created a significant boost location between the price of our stock and the value of the business. We were able to utilize our strong balance sheet to repurchase shares at highly accretive prices. We will continue to monitor the price and value of our stock, and you should expect us to step into the market again when there are significant dislocations. We are off to a very strong start in 2023 to deliver on our full year cash return commitment of a minimum of 60% of annual free cash flow.
Tim Driggers	Executive Vice President & Chief Financial Officer at EOG Resources	Altogether, the full year regular dividend along with the first quarter special dividend and buybacks, represents $2.8 billion of cash return, which is about 50% of the $5.5 billion of free cash flow we forecast for 2023, assuming an $80 oil price. We will continue to monitor oil and gas prices going forward, and we remain committed to delivering on our cash return commitment and look forward to updating you over the rest of the year. Here's Billy to discuss operations.
Billy Helms	President and Chief Operating Officer at EOG Resources	Thanks, Tim. EOG's operating performance continues to improve with the first quarter generating outstanding results. Our first quarter volume, capital expenditures and total per unit cash operating cost performance came in better than our forecasted targets. I'd like to thank our employees for their dedication and outstanding execution, giving us a great start to 2023.
Billy Helms	President and Chief Operating Officer at EOG Resources	Our full year 2023 capital and production plans are unchanged. We forecast a $6 billion capital program to deliver 3% oil volume growth and 9% total production growth. We maintained the pace of activity from the fourth quarter of last year in the Delaware Basin and Eagle Ford, our core foundational plays and continue to expand development in our emerging Powder River Basin, Ohio Utica combo and South Texas Dorado plays. Well productivity and cost performance are meeting or beating expectations across our portfolio as each play sustains sufficient activity to support continued innovation.
Billy Helms	President and Chief Operating Officer at EOG Resources	As Ezra mentioned, our foundational assets in the Delaware Basin and Eagle Ford are performing exceptionally well and were a big part of our overall strong first quarter results. Sustaining a consistent level of activity in these core plays is driving operational improvements and continues to be one of the primary hedges to offset areas of cost inflation. We are excited about the outlook for these assets in the years ahead. Even as these assets mature, we can apply technical learnings, operational innovation and leverage prior infrastructure investments to continue to improve the operating margin and capital efficiencies of these world-class assets.
Billy Helms	President and Chief Operating Officer at EOG Resources	In the Delaware Basin, we expect well performance will continue to improve this year, delivering productivity and returns well above the premium hurdle rate. Last year, our Delaware Wolfcamp wells delivered an average six month cumulative production of about 34 barrels of oil equivalent per foot and are expected to improve this year. See Slide 10 of our updated investor presentation for details. While well mix can impact the relative contribution of oil, NGLs and natural gas, overall performance is improving in large part due to continued innovations like our new completion design. We have now tested 39 wells in the Wolfcamp that are yielding an average increase of 22% in the first year production with a 20% uplift in the estimated ultimate recovery compared to the similar wells and targets using our previous completion design.
