Speaker	Title	Content
Operator	Operator	Good morning, and thank you for attending today's Eversource Energy First Quarter 2023 Earnings Call. My name is Jason, and I'll be the moderator for today's call. [Operator Instructions]
Operator	Operator	I would now like to pass the conference over to our host, Jeff Kotkin.
Jeff Kotkin	Investor Relations at Eversource Energy	Thank you very much, Jason. Good morning, and thank you for joining us. I'm Jeff Kotkin, Eversource Energy's Vice President for Investor Relations. During this call, we'll be referencing slides that we posted yesterday on our website. And as you can see on slide one, some of the statements made during this investor call may be forward-looking as defined within the meaning of the safe Harbor provision of the U.S. Private Securities Litigation Reform Act of 1995.
Jeff Kotkin	Investor Relations at Eversource Energy	These forward-looking statements are based on management's current expectations and are subject to risk and uncertainty, which may cause the actual results to differ materially from forecasts and projections. These factors are set forth in the news release issued yesterday afternoon. Additional information about the various factors that may cause actual results to differ can be found in our annual report on Form 10-K for the year ended December 31, 2022.
Jeff Kotkin	Investor Relations at Eversource Energy	Additionally, our explanation of how and why we use certain non-GAAP measures and how those measures reconcile to GAAP results is contained within our news release and the slides we posted last night and in our most recent 10-K. Speaking today will be Joe Nolan, our Chairman, President and Chief Executive Officer; and John Moreira, our Executive Vice President and CFO. Also joining us today are Jay Buth, our VP and Controller; and Bob Becker, our Director of Investor Relations.
Jeff Kotkin	Investor Relations at Eversource Energy	Now I will turn to slide three and turn over the call to Joe.
Joseph R. Nolan	Chairman, President and Chief Executive Officer at Eversource Energy	Thank you, Jeff, and thank you, everyone, for joining us on this call this morning. I know that you had many other choices of calls that you could have joined so I'm very grateful. We had an excellent start in 2023 as we continue to deliver safe and highly reliable service to our 4.4 million customers. Our key metrics illustrate the continued strong state of our operations. Our service reliability, as measured by months between interruptions remains in the top decile, and our safety ratings remain very strong.
Joseph R. Nolan	Chairman, President and Chief Executive Officer at Eversource Energy	Our employees also performed very well and completing significant storm restoration in New Hampshire following a March nor'easter that caused widespread damage and brought historic snowfall amounts that made it extremely difficult for crews to access certain regions to make repairs. Turning to slide three in our offshore wind partnership with Orsted. We continue to advance our three projects through the development process.
Joseph R. Nolan	Chairman, President and Chief Executive Officer at Eversource Energy	Construction continues at South Fork, which will be the first large-scale offshore wind project completed in North America. Installation of the South Fork subsea transmission cable that will deliver wind power to New York is half complete and the installation of the foundations, wind turbines in offshore substation will follow. We continue to expect that South Fork will be fully operational by the end of the year. In early April, the U.S. flagged Eco Edison, the first Jones Act-compliant wind farm service operation vessel reached the 50% completion milestone.
Joseph R. Nolan	Chairman, President and Chief Executive Officer at Eversource Energy	This vessel, which will be based in Port Jefferson, New York will play a key role in supporting our partnership's offshore wind projects. Just a few days ago, Eversource and Orsted were joined by Rhode Island governor, Dan McKee, to announce the start of construction of our advanced foundation components for our Revolution Wind project. This $100-plus million investment is creating more than 125 union jobs for Rhode Island's skilled tradesmen and women and represents the largest supply chain commitment in Rhode Island yet.
