Speaker	Title	Content
Deb Wasser	Vice President of Investor Relations and ESG Engagement at Etsy	Hi, everyone, and welcome to Etsy's First Quarter 2023 Earnings Conference Call. I'm Deb Wasser, VP of Investor Relations and ESG Engagement. And Joining me today are Josh Silverman, Chief Executive Officer; Rachel Glaser, Chief Financial Officer; and Jessica Schmidt, Senior Director of Investor Relations.
Deb Wasser	Vice President of Investor Relations and ESG Engagement at Etsy	Today's prepared remarks have been prerecorded. The slide deck has also been posted to our website for your reference. Once we are finished with Josh and Rachel's presentations, we will transition to a live video webcast Q&A session. Questions can be submitted via the Q&A window chat displayed on your screen. Feel free to use it any time, as it remains open throughout the entire conference call. I'll be reading your questions, and Jessica will help try to get to as many as we can.
Deb Wasser	Vice President of Investor Relations and ESG Engagement at Etsy	Forward-looking statements involve risks and uncertainties, some of which are described in today's earnings release and our most recent Form 10-K and which will be updated in future periodic reports that we file with the SEC. Any forward-looking statements that we make on this call are based on our beliefs and assumptions today, and we disclaim any obligation to update them.
Deb Wasser	Vice President of Investor Relations and ESG Engagement at Etsy	Also during the call, we'll present both GAAP measures and non-GAAP financial measures, which are reconciled to GAAP financial measures when available in the appendix to today's slide deck posted on our IR website, along with the replay of this call.
Deb Wasser	Vice President of Investor Relations and ESG Engagement at Etsy	With that, I'll turn it over to Josh.
Josh Silverman	Chief Executive Officer at Etsy	Thanks, Deb. And good evening everyone. We're pleased to be reporting another quarter of healthy performance to start the year. Etsy's consolidated GMS was $3.1 billion. Revenue grew nearly 11% to $641 million and our adjusted EBITDA margin was again strong at 26.6%. Etsy marketplace GMS was $2.7 billion this past quarter, down about 3% on a currency-neutral basis as we've once again maintained the vast majority of our pandemic gains in the face of stiff macroeconomic headwinds.
Josh Silverman	Chief Executive Officer at Etsy	As Rachel will review, some of the volatility and headwinds the Etsy marketplace experienced in February, eased in March, enabling our consolidated GMS to come in above the midpoint of guidance. The Etsy marketplace is starting to see some green shoots in our buyer metrics as we move past pandemic period comparisons, including the first year-over-year increase in active buyers in five quarters.
Josh Silverman	Chief Executive Officer at Etsy	In the last few years, we've all faced continued uncertainty, which frankly is feeling like the new normal. But despite the ups and downs, Etsy has thrived. I believe this has everything to do with our agility and resilience, both in our business model and the way we run our company. We stand apart because we offer something different, something we believe is evergreen and enduring.
Josh Silverman	Chief Executive Officer at Etsy	Summing up our core Etsy marketplace plans for 2023, we will work hard to knock down barriers that have historically made Etsy your once in a while, rather than your everyday. These barriers can be summarized in three main areas; first, buyers too often think of us only for very specific needs, or at the end of their shopping journey, when they can't find the items somewhere else. Second, it simply takes too much time and effort to find the best things among our over 100 million items and third, buyers worry about the post-purchase experience.
Josh Silverman	Chief Executive Officer at Etsy	Given our breadth and depth of merchandise, we're confident that we should be more relevant, more often to many more millions of buyers around the world. And if there is anyone who doubts this point, I challenge you to review your recent purchases and search on Etsy, to see whether you might have found something similar yet more special and possibly better value if you purchased it from a creative entrepreneur on Etsy. I bet you'll be surprised how often the answer to that question is yes.
