Speaker	Title	Content
Operator	Operator	Good day, everyone, and welcome to the Expedia Group Q1 2023 Financial Results Teleconference. My name is Emily and I'll be the operator for today's call. [Operator Instructions] For opening remarks, I will turn the call over to Senior Vice President, Corporate Development, Strategy and Investor Relations, Harshit Vaish. Please go ahead.
Harshit Vaish	Senior Vice President, Corporate Development, Strategy and Investor Relations at Expedia Group	Good afternoon, and welcome to Expedia Group's earnings call for the first quarter of 2023 that ended March 31. I'm pleased to be joined on the call today by our CEO, Peter Kern; and our CFO, Julie Whalen. The following discussion including responses to your questions reflects management's view as of today May 4,, 2023 only. We do not undertake any obligation to update or revise this information.
Harshit Vaish	Senior Vice President, Corporate Development, Strategy and Investor Relations at Expedia Group	As always, some of the statements made on today's call are forward-looking, typically preceded by words such as we plan, we expect, we believe, we anticipate, we are optimistic or confident that or similar statements. Please refer to today's earnings release and the company's filings with the SEC for information about factors which could cause our actual results to differ materially from these forward-looking statements. You will find reconciliation of non-GAAP measures to the most comparable GAAP measures discussed today in our earnings release, which is posted on the company's Investor Relations website at ir.expediagroup.com and I encourage you to consistently visit our IR website for other important information. Unless otherwise stated, any reference to expenses excludes stock based compensation.
Harshit Vaish	Senior Vice President, Corporate Development, Strategy and Investor Relations at Expedia Group	And with that, let me turn the call over to Peter.
Peter Kern	Vice Chairman and Chief Executive Officer at Expedia Group	Thank you, Harshit. Good afternoon and thank you all for joining us today. As I mentioned last quarter, this year marks the final phase in our major platform transformation journey and I'm pleased to have started the year with strong performance. We posted our highest ever quarter for lodging gross bookings and free cash flow and our best first quarter for revenue. Throughout the quarter, we saw strong consumer demand with acceleration in International and big city travel and more of Asia reopening.
Peter Kern	Vice Chairman and Chief Executive Officer at Expedia Group	The reemergence of major international cities has meant increased hotel demand, offset in part by flattening demand in vacation rentals as travel demand mix to shorter stay urban destinations overextended beach and mountain trips. Similarly, air has continued to mix towards international travel and away from COVID concentration in domestic. By and large, prices have held up quite well after several years of inflation. We've seen lodging ADRs hold fairly steady across geos. Air ticket prices however continued to increase as strong demand continues to outstrip capacity.
Peter Kern	Vice Chairman and Chief Executive Officer at Expedia Group	The only area where we have seen any meaningful decline in average daily rate is in the car rental space where larger inventories have allowed rental companies to drive more volume at the expense of price. Overall, we are pleased to see broad travel demand remain strong in what appears to be a more structural post-pandemic environment of people prioritizing travel above most other categories of spend. This has held up despite inflation and recession worries and even more recently bank system concerns. While economists continue to debate potential recession outcomes and clearly many unknowns are still out there, consumers have so far shaken it off and continue to travel.
Peter Kern	Vice Chairman and Chief Executive Officer at Expedia Group	Against this backdrop, in our consumer business, we continue to invest in our strategy of acquiring and retaining high value loyalty members and app users across our three leading brands. As I've explained before, these cohorts drive higher production and repeat rates versus other customers ultimately leading to higher lifetime value. Q1 '23 was another step in this journey as we saw our active loyalty member base for our core OTA brands grow over 25% year-over-year and the percentage of gross bookings coming through our app roughly doubled what it was in 2019. This continued growth and our base of valuable customer cohorts obviously bodes very well for our future.
Peter Kern	Vice Chairman and Chief Executive Officer at Expedia Group	I've also talked for a number of quarters about our platform journey and in particular about the drag we had last year on our business resulting from the migration of Hotels.com to the Brand Expedia stack. I'm pleased to say that with that migration fully behind us, Hotels.com is now back in growth mode. We are already seeing higher conversion, increased feature velocity and higher bookings. In fact, year-over-year bookings growth for Hotels.com was nearly 20% in Q1 '23, which is beginning to approach the almost 30% we saw in Brand Expedia. This inflection back towards growth was exactly what we had expected and we were pleased to see the pivot come so quickly.
Peter Kern	Vice Chairman and Chief Executive Officer at Expedia Group	As you may recall, we are following the same migration path with Vrbo, which has now started taking some traffic on the Expedia stack in our largest markets. Just as we saw last year with Hotels.com, this work has slowed conversion and feature work on Vrbo for the past few quarters and as we cut over, we expect some inevitable degradation and conversion due to the switch. But as we get this migration finished in the coming months, Vrbo too will be in a prime position to benefit from the Expedia platform and just like Hotels.com will benefit from reaccelerating testing, conversion and feature improvements.
