Speaker	Title	Content
Operator	Operator	Operator: Good day, and welcome to the FLEETCOR Technologies, First Quarter 2023 Earnings Conference Call. [Operator Instructions]
Operator	Operator	I would now like to turn the conference over to Jim Eglseder, Head of Investor Relations. Please go ahead.
Jim Eglseder	Head of Investor Relations at FLEETCOR Technologies	Good afternoon, everyone, and thank you for joining us today for our first quarter 2023 earnings call. With me today are Ron Clarke, our Chairman and CEO, Tom Panther, our new CFO and Alissa Vickery, our Chief Accounting Officer. Following their prepared comments, the operator will announce the queue will open for the Q&A session. It is only then that you can get in line for questions.
Jim Eglseder	Head of Investor Relations at FLEETCOR Technologies	Please note, that our earnings release and supplement can be found under the Investor Relations section of our website at fleetcor.com. Now throughout this call, we will be covering organic growth. And as a reminder, this metric neutralizes for the impact of the year-over-year changes in foreign exchange rates, fuel prices and fuel spreads. It also includes pro forma results for acquisitions closed during the two years being compared.
Jim Eglseder	Head of Investor Relations at FLEETCOR Technologies	We will also be covering non-GAAP financial metrics, including revenues, net income and net income per diluted share, all on an adjusted basis. These measures are not calculated in accordance with GAAP and may be calculated differently than that at other companies. Reconciliations of the historical non-GAAP to the most directly comparable GAAP information can be found in today's press release and on our website.
Jim Eglseder	Head of Investor Relations at FLEETCOR Technologies	I also need to remind everyone that part of our discussion today may include forward looking statements. These statements reflect the best information we have. as of today. All statements about our outlook, new products and expectations regarding business development and future acquisitions are based on that information. They are not guarantees of future performance and you should not put undue reliance upon them. We undertake no obligation to update any of these statements.
Jim Eglseder	Head of Investor Relations at FLEETCOR Technologies	These expected results are also subject to numerous uncertainties and risks, which could cause actual results to differ materially from what we expect. Some of those risks are mentioned in today's press release on Form 8-K and in our annual report on Form 10-K, filed with the Securities Exchange Commission. These documents are available on our website and at sec.gov.
Jim Eglseder	Head of Investor Relations at FLEETCOR Technologies	With that out of the way, I will turn the call over to Ron Clarke, our Chairman and CEO. Ron?
Ron Clarke	Chief Executive Officer and Chairman at FLEETCOR Technologies	Okay, Jim. Thanks. Hi, everyone, and thanks for joining our Q1 2023 earnings call. Also joining us here today is, Tom Panther, our new CFO, who is now official, so delighted to have Tom here with us. Upfront here, I'll plan to cover four subjects. First, provide my take on Q1 results. Second, I'll share our updated full year 2023 guidance. Third, discuss progress on our value creation and simplification plan and then lastly, I'll comment briefly on our newly formed strategic review committee. Okay. Let me turn to our Q1 results. We reported revenue of $901 million, up 14%, and cash EPS of $3.80, that's up 4%. Both results finished above the top of our guidance range. The cash EPS of $3.80 clearly weighed down predominantly by higher interest expense.
Ron Clarke	Chief Executive Officer and Chairman at FLEETCOR Technologies	At constant interest expense for the quarter, cash EPS would have been $4.30, up 17%, so our model's intact. The macro environment did cooperate basically coming in as we anticipated. EBITDA for Q1 exceeded $460 million, up 17%, margins there up 100 basis points year-over-year. We invested incrementally about another 100 basis points of margin and a set of capability acquisitions from 2022, those intended to better position the company for the midterm. Trends in the quarter, quite good. Organic revenue growth, Q1 was up 12% overall. That accelerated sequentially and is above our 9% to 11% target range. Same-store sales finished plus 3% so healthy.
Ron Clarke	Chief Executive Officer and Chairman at FLEETCOR Technologies	Retention finished at 91%, slightly impacted by the credit actions we took in Q4 to contain credit risk in the micro segment. That does drive a bit of involuntary attrition. Sales performance, absolutely terrific in the quarter, up 31%, setting new record levels of new bookings. So look, fundamentals in a good spot. I do want to highlight our Brazil performance in Q1. So that business really doing a nice job of transforming. From a toll-centric business initially to now a broader vehicle payments business, again, for both businesses and consumers. The vehicle-related payments now include not only tolls but fuel, parking, fastfood and recently now even vehicle insurance.
Ron Clarke	Chief Executive Officer and Chairman at FLEETCOR Technologies	Another super good sales quarter for Brazil, new toll tags, record level, and those were helped by a new bank relationship with Santander, which added almost 15% to the overall sales in the quarter. We also had terrific fuel transaction growth, up 39%, as we continue to increase the fueling acceptance sites. But most surprisingly, in the quarter is, of our approximately 5 million active consumer users there, 3 million utilized our new Sem Parar app, mobile app in the quarter. And that engagement helped drive almost a 15% attach rate of insurance policy add-on sales. So consumers coming to the app, looking around, seeing offers and actually transacting with us.
