Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, thank you for standing by. Welcome to the FOX Corporation Third Quarter Fiscal Year 2023 Earnings Conference Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session. [Operator Instructions] As a reminder, this conference is being recorded.
Operator	Operator	I'll now turn the conference over to Chief Investor Relations Officer, Ms. Gabrielle Brown. Please go ahead, Ms. Brown.
Gabrielle Brown	Head of Investor Relation at FOX	Thank you, Kiley. Good morning, and welcome to our fiscal 2023 third quarter earnings call. Joining me on the call today are Lachlan Murdoch, Executive Chair and Chief Executive Officer; John Nallen, Chief Operating Officer; and Steve Tomsic, our Chief Financial Officer. First, Lachlan and Steve will give some prepared remarks on the most recent quarter, and then we'll take questions from the investment community.
Gabrielle Brown	Head of Investor Relation at FOX	Please note that this call may include forward-looking statements regarding FOX Corporation's financial performance and operating results. These statements are based on management's current expectations, and actual results could differ from what is stated as a result of certain factors identified on today's call and in the company's SEC filings.
Gabrielle Brown	Head of Investor Relation at FOX	Additionally, this call will include certain non-GAAP financial measures, including adjusted EBITDA or EBITDA, as we refer to it on this call. Reconciliations of non-GAAP financial measures are included in our earnings release and our SEC filings, which are available in the Investor Relations section of our website.
Gabrielle Brown	Head of Investor Relation at FOX	And with that, I'm pleased to turn the call over to Lachlan.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	Thank you, Gabby, and thanks, everyone, for joining us this morning. FOX's strong fiscal third quarter operating results once again demonstrate the power of our content and the brands it underpins and the repeated capability of our focused strategy to deliver solid financial results.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	In the quarter, we grew top line revenue by 18%, led by the remarkable 43% growth in advertising and a solid 3% growth in affiliate revenue. Underpinning this performance was a record Super Bowl LVII on the FOX Broadcast Network which generated approximately $650 million of gross advertising revenue across our businesses and was the key driver of our 61% advertising revenue growth at our Television segment.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	This year's Super Bowl matchup between Kansas City and Philadelphia delivered 115 million viewers across FOX platforms, making Super Bowl LVII the most watched program in U.S. television history and the pinnacle of an extraordinary year for FOX Sports.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	The strong lineup of programming and advertising demand for FOX Sports continues into our fourth quarter, which includes the return of NASCAR the second season of the USFL, the start of Major League Baseball's 2023 season, the finals of the UEFA Nations League and a first for FOX the Belmont Stakes.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	Leveraging the reach of a Super Bowl lead-in, we launched the second season of Next Level Chef, which promises to be the next big lifestyle franchise from our Studio Ramsay partnership. Our entertainment business also found success with the Number 1 new series and new drama over the year in Accused and the Number 1 new unscripted series in Special Forces: World's Toughest Test. FOX has now debuted the top new unscripted series for five consecutive seasons. In fact, the combined power of our sports and entertainment programming places FOX at Number 1 amongst broadcast network season to date in the key 18 to 49 demo.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	Our strong sports calendar also had a halo effect at the FOX Television stations, which saw many local advertising verticals higher in the quarter. In what continues to be mixed local advertising market conditions, we are encouraged by growth in categories, including auto, restaurants and entertainment, but are watchful across other categories, including bedding, retail and telecom.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	Meanwhile, Tubi's performance in the third quarter was nothing short of stellar with revenue growth of 31% supported by sustained gains and engagement, where total view time increased 38% year-on-year. And while still early in the fourth quarter, the April results for Tubi show the momentum across the platform accelerating. Having recently marked the 3-year anniversary of our acquisition of Tubi, our progress over this longer-term time frame is just as impressive having grown quarterly TBT by over 200% and revenue by 400%.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	Just as importantly, the Tubi brand has asserted itself on the broader media landscape. Our viral Tubi spot in the Super Bowl, which received massive press coverage, had almost 7 billion impressions. And our strong growth and engagement has now led to Tubi's inclusion in Nielsen's The Gauge, marking the first time Tubi has reached 1% of total TV viewing minutes and making Tubi the most-watched fast service in the United States.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	And just last month, we announced the formation of Tubi Media Group, under Paul Cheesbrough, which brings together our digital capabilities in a more formalized and coordinated way to help us better monetize our digital touch points across all our FOX properties. We thank Farhad for his entrepreneurial leadership at Tubi over the last three years and, of course, before he leaves the business in terrific shape with an outstanding team to drive continued strong growth.
Lachlan Murdoch	Executive Chair & Chief Executive Officer at FOX	At FOX News Media, we retained our leadership position amongst our peers. The FOX News Channel ended the third quarter as the most-watched cable network in total day and prime time while maintaining its lead as the most-watched cable news network beating CNN and MSNBC combined. Also notably, the FOX Business Network ended the quarter as the most watched business cable network, leading CNBC in total viewers during the business day and market hours for the fourth consecutive quarter.
