Speaker	Title	Content
Operator	Operator	Good day and welcome to the Federal Realty Investment Trust First Quarter 2023 Earnings Conference Call. All participants will be in a listen-only mode. [Operator Instructions] I would now like to turn the conference over to Leah Brady. Please go ahead.
Leah Brady	Vice President, Investor Relations at Federal Realty Investment Trust	Good afternoon. Thank you for joining us today for Federal Realty's First Quarter 2023 Earnings Conference Call. Joining me on the call are Don Wood, Dan G., Jeff Berkes, Wendy Seher, Jan Sweetnam and Melissa Solis. They will be available to take your questions at the conclusion of our prepared remarks.
Leah Brady	Vice President, Investor Relations at Federal Realty Investment Trust	A reminder that certain matters discussed on this call may be deemed to be forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements include any annualized or projected information as well as statements referring to expected or anticipated events or results, including guidance.
Leah Brady	Vice President, Investor Relations at Federal Realty Investment Trust	Although Federal Realty believes these expectations reflected in the forward-looking statements are based on reasonable assumptions, Federal Realty's future operations and its actual performance may differ materially from the information in our forward-looking statements, and we can give no assurance that these expectations can be attained. The earnings release and supplemental reporting package that we issued this afternoon, our annual report filed on Form 10-K and our other financial disclosure documents provide a more in-depth discussion of risk factors that may affect our financial condition and results of operations.
Leah Brady	Vice President, Investor Relations at Federal Realty Investment Trust	And with that, I will turn the call over to Don Wood to begin our discussion of our first quarter results. Don?
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	Thanks, Leah, and good afternoon, everybody. Strong start to 2023 here with $1.59 first quarter FFO per share results, ahead of both consensus and internal expectations and 6% growth over last year's first quarter. Also happens to be the best first quarter result we've ever posted.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	Here's the best part. We signed 101 comparable leases for more than 0.5 million square feet at $34.72 a foot, 11% higher than the cash basis rent the previous tenant was paying in the final year of their lease, 24% on a straight-line basis. Demand was exceptional with momentum encouragingly strong at the end of the quarter, late March.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	As you know, I've been expecting the inevitable tail off of leasing activity for months and months now as the portfolio leases up. These activity levels exceed historical levels by 20% to 30%, we just plainly haven't seen that tail off yet.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	The retail demand for the product that we offer is in lockstep with what today's consumers and retailers demand in these affluent first-ring suburbs of major metropolitan areas.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	One of the larger drivers of that leasing performance this quarter was the signing of four grocery deals, three new deals and renewals. The renewal was implied in the Boston suburb with Star Market and Albertsons brands. The new deals included Giant Food replacing Shoppers Food Warehouse, Karin Plaza and Cyber Baltimore, a grocer that I'm not allowed to announce yet replacing Michaels at Fresh Meadows and Queens and Aldi replacing Barnes & Noble on Long Island.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	Together, these four deals turned $3.3 million in base rent or $17.81 a foot to $4.4 million in base rent or $23.40. Strong rents and rent growth in proven productive centers in Northeast densely populated suburbs. The timing of them all getting done in the first quarter bodes well for the future.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	The Bed Bath bankruptcy filing news will not exactly welcomed, was inevitable and frankly, better than the band data is being write-off so that we can get on with creating incremental value in our shopping centers.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	There are many more productive retailers than this one that should be serving our customers. Deals are in the works for all of our Bed Bath boxes and replacement rent should start to ramp up in late 2024. With average Bed Bath base rent at $15 a foot, rest assured that Federal's portfolio will be more valuable, not less once these locations are retained. Dan will provide more detail on what we've assumed in our numbers.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	The natural lease expiration of a large-format Bed Bath & Beyond store at Wynwood Shopping Center in suburban Philly closed in January as expected and was the primary cause of a modest 20 basis point drop in occupancy in the quarter. That closure, along with a Tuesday morning in suburban Boston, it also closed when the lease expired in January, fairly overshadowed the many store openings elsewhere throughout the portfolio.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	Meanwhile, small shop occupancy gains continued on a quarter and increased 50 basis points. That's a total increase in small shop occupancy of 270 basis points since Q1 2022. The quality of our shop tenants and the discerning way that we choose them at our properties is where we create a ton of value.
Donald Wood	Chief Executive Officer at Federal Realty Investment Trust	All small shop tenancy is not clearly -- as much as I love the grocery deals I mentioned earlier, it's the retail side of the big four mixed-use communities that I find most impressive.
