Speaker	Title	Content
Operator	Operator	Good morning, ladies and gentlemen, and welcome to Henry Schein's First Quarter 2023 Earnings Conference Call. [Operator Instructions]. And now, I would like to introduce you to your host for today's call, Graham Stanley, Henry Schein's Vice President of Investor Relations and Strategic Financial Project Officer. Thank you, Graham. Please go ahead.
Graham Stanley	Vice President, Investor Relations and Strategic Financial Project Officer at Henry Schein	Thank you, operator, and my thanks to you for joining us to discuss Henry Schein's financial results for the first quarter of 2023. With me on the call today are Stanley Bergman, Chairman of the Board and Chief Executive Officer of Henry Schein; and Ron South, Senior Vice President and Chief Financial Officer.
Graham Stanley	Vice President, Investor Relations and Strategic Financial Project Officer at Henry Schein	Before we begin, I'd like to state that certain comments made during this call will include information that is forward-looking. As you know, risks and uncertainties involved in the company's business may affect the matters referred to in forward-looking statements. As a result, the company's performance may materially differ from those expressed in or indicated by such statements. These forward-looking statements are qualified in their entirety by the cautionary statements contained in Henry Schein's filings with the Securities and Exchange Commission, and included in the Risk Factors section of those filings.
Graham Stanley	Vice President, Investor Relations and Strategic Financial Project Officer at Henry Schein	In addition, all comments about the markets we serve, including end market growth rates and market share, are based upon the company's internal analysis and estimates. Today's remarks will include both GAAP and non-GAAP financial results. We believe that non-GAAP financial measures provide investors with useful supplemental information about the financial performance of our business, enable the comparison of financial results between periods where certain items may vary independently of business performance and allow for greater transparency with respect to key metrics used by management in operating our business.
Graham Stanley	Vice President, Investor Relations and Strategic Financial Project Officer at Henry Schein	These non-GAAP financial measures are presented solely for informational and comparative purposes and should not be regarded as a replacement for corresponding GAAP measures. Reconciliations between GAAP and non-GAAP measures are included in Exhibit B of today's press release and can be found in the Financials & Filings section of our Investor Relations website under the Supplemental Information heading. For additional financial information, please refer to our quarterly earnings presentation also posted on our Investor Relations website.
Graham Stanley	Vice President, Investor Relations and Strategic Financial Project Officer at Henry Schein	The content of this conference call contains time-sensitive information that secrete only as of the date of the live broadcast, May 9, 2023. Henry Schein undertakes no obligation to revise or update any forward-looking statements to reflect events or circumstances after the date of this call. Lastly, during the Q&A session, please limit yourself to a single question and a follow-up.
Graham Stanley	Vice President, Investor Relations and Strategic Financial Project Officer at Henry Schein	And with that, I'd like to turn the call over to Stanley Bergman.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	Thank you, Graham. Good morning, everyone. Thank you for joining us this morning.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	We are most pleased to report very good financial results for the first quarter of 2023 that are in line with expectations we provided at the beginning of the year, and reflect the good earnings momentum in our underlying core businesses. Market trends stayed consistent with those we discussed during the previous quarter's conference call compared to the fourth quarter of last year, where we saw a high number of flu cases patient traffic to dental offices around the world has recovered and is at or nearing pre-pandemic levels. Patient traffic through the physician practices has also normalized.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	As we anticipated, our results continued to be impacted by decreasing sales of PPE products and COVID test kits. Within the PPE credit category, the pricing focus was lower. Again, as we discussed, but pricing at this stage has stabilized on a sequential basis. COVID-19 test kits volume was lower. Excluding these product categories, we achieved strong internal growth companywide of 6.3% in local currencies. Our financial results were also adversely impacted by acquisition-related expenses as well as foreign exchange.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	With respect to acquisitions, our pipeline remains robust. In early April, we closed our acquisition of a majority stake in Biotech Dental a business with a market-leading portfolio of dental implants and clear aligners, and we also recently announced our plans to enter the large Brazilian implant market with the acquisition of S.I.N. Implant System, one of Brazil's leading manufacturers of dental implants and a complement to our successful resilient general dental consumables and equipment business.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	And we also announced the acquisition of Regional Healthcare Group entering the medical market in Australia and New Zealand and leveraging our dental infrastructure in the region very successful business we have today in the region. I'll discuss these in more details in a moment.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	Today, we are updating our non-GAAP diluted EPS guidance, financial guidance for 2023 to include the impact of Biotech Dental, the acquisition of Biotech Dental. The outlook for the underlying business is consistent with prior estimates, including expectations for operating income growth in the high single to low double-digit percentage range when excluding the contribution from PPE products and COVID test kits and acquisition-related expenses.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	Let me now turn to a review of the highlights from each of our business units. So let's begin with dental, the dental distribution business. Overall, the underlying fundamentals of our dental end markets remain solid, fueled by an aging global population, low unemployment levels and global -- and a growing global awareness of health care benefits of preventative care and oral hygiene. First quarter dental sales growth, excluding PPE products, reflect stable patient flow. Dental merchandise sales, when excluding PPE products, was very good, partially driven by lower prior year merchandise sales comparison that was impacted by the higher level of flu cases and some COVID -- Omicron COVID-19.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	Our dental equipment sales were solid. Traditional equipment sales grew very well, while digital equipment sales comprising of 2D, 3D digital imaging, mills, intra-oral scanners continued to be lower than the previous year.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	In North America, the traditional equipment growth included some price increases introduced in the second half of last year as well as good growth in our parts and service business. We've been focusing on this area for a while. This growth was offset by a decrease in sales of digital equipment.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	The market for intraoral scanners is healthy, as demonstrated by increased unit sales in the quarter. However, as we commented last quarter, our sales decrease reflects declining average selling price for intra-oral scanners, plus we also had a significant sale in the previous quarter -- in the previous year of scanners to a DSO. Unit sales in other digital categories are lower, and we believe are now normalized compared to the last year.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	We also posted good sales growth in dental equipment in Europe. International dental equipment price inflation has not been significant, and the growth was supported by the equipment backlog, which is reverting to a more normalized level in Europe and also, our parts and service business is doing quite well. The biennial IDS show in Cologne in March was once again a good event for Henry Schein. And from a sales perspective, the overall impact was consistent with previous IDS meetings. Our global equipment order book, which is mainly comprised of traditional equipment, remains robust and it's up year-over-year.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	Let's take a look in a bit more detail on our Global Dental Specialty business. Our Global Dental Specialty product sales growth increased from the fourth quarter. We continue to expect modest year-over-year growth to the first half of the year given the strong first half of 2022. Implant sales growth was driven by meaningful growth in our premium Camlog product line in Germany, Austria and Switzerland, where we have our biggest strongest market share in the category, and we continue to achieve double-digit growth in our Medentis value price line.
Stanley Bergman	Chairman and Chief Executive Officer at Henry Schein	In North America, we are seeing an increase in dental specialty practices being acquired by larger DSOs. Importantly, we have excellent relationships with a growing number of DSO accounts and are committed to driving specialty product conversion at practices within those networks. We also continue to see growing adoption of specialty dental procedures amongst general dental practitioners and as demonstrated by enrollment in Henry Schein's continuing education courses in these categories.
