Speaker	Title	Content
Operator	Operator	Good morning, and a warm welcome to the Ingersoll-Rand First Quarter 2023 Earnings Conference Call. My name is Kathy, and I will be your coordinator for today's call. [Operator Instructions]
Operator	Operator	I would now like to hand the conference over host, Matthew Fort. Vice President of Investor Relations. Please go-ahead.
Matthew Fort	Vice President of Investor Relations at Ingersoll Rand	Thank you, and welcome to the Ingersoll-Rand 2023 First Quarter Earnings Call. I'm Matthew Fort, Vice President of Investor Relations. And joining me this morning are Vicente Reynal, Chairman and CEO; and Vik Kini, Chief Financial Officer.
Matthew Fort	Vice President of Investor Relations at Ingersoll Rand	We issued our earnings release and presentation yesterday and we will reference these during the call, both are available on the Investor Relations section of our website. In addition, a replay of this conference call will be available later today.
Matthew Fort	Vice President of Investor Relations at Ingersoll Rand	Before we start. I want to remind everyone that certain statements on this call are forward-looking in nature and subject to the risks and uncertainties discussed in our previous SEC filings, which you should read in conjunction with the information provided on this call. Please review the forward-looking statements on Slide 2 for more details.
Matthew Fort	Vice President of Investor Relations at Ingersoll Rand	In addition, in today's remarks we will refer to certain non-GAAP financial measures. You can find a reconciliation of these measures to the most comparable measure calculated and presented in accordance with GAAP and our slide presentation and in our earnings release, both of which are available on the Investor Relations section of our website. On today's call, we will review our company and segment financial highlights and provide an update to our 2023 guidance. For today's Q&A session, we ask that each caller keep to one question and one follow-up to allow time for other participants.
Matthew Fort	Vice President of Investor Relations at Ingersoll Rand	At this time. I will turn the call over to Vicente.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	Thanks, Matthew, and good morning to all. I would like to begin by thanking and acknowledging all of our employees for their hard work in helping us to deliver another record quarter in Q1. Our employees consistently exemplify our purpose, while thinking and acting like owners to deliver on our commitments despite the constantly changing microeconomic environment.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	Still on Slide 3, In Q1 we delivered double-digit adjusted EBITDA and adjusted EPS growth with strong free cash flow generation, which is up over 350% year-over-year. Fueling this performance is our competitive differentiator IRX. We continue to align to megatrends and high-growth sustainable end-markets to deliver on our Investor Day commitments of achieving sustainable revenue growth. Based a solid Q1 performance, we're raising our 2023 full year guidance.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	Turning to Slide 4, our economic growth engine continues to deliver compounding annual results. During our last Investor Day in Q4 of 2021, we present this model and highlighted our organic, inorganic and quality of earnings growth enablers. We remain committed to our strategy, and our long-term Investor Day targets outlined on this page. On the next two slides, I will provide you with deeper insights into our organic and inorganic initiatives.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	On Slide 5, we started with our organic growth initiatives. So let's dive into how we approach the megatrends of sustainability, digitization and quality of life. Demand-generation excellence or DGX, which is a tool within IRX, helps us to capture above-market growth. Here we have six examples of initiatives that we launched during the first-quarter of 2023. Important to note that these six are only a few examples our 100s of these initiatives we execute every quarter. I'll review a few of these examples shown on the page.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	Within their sustainability megatrend, we have a digital campaign example which is focused on carbon capture system builders and integrators. This campaign generated a global supply agreement with a key carbon capture player and has also driven a $200 million increase model with no new product development required. For digitization, we have a great example of how utilize IIoT to grow our aftermarket business. Leveraging our IIoT connected equipment, machine alerts are to trigger email notification to our customers and Ingersoll-Rand service contracts when service is needed. The result of these initiative was increased orders on new contracts for preventative maintenance. And this initiative is in its early stages and we plan to expand this approach to other key triggers in the future.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	Finally at the bottom of the page, we have a great example within the quality-of-life megatrend. We launched a social media campaign tailored towards small farms and agriculture that increase our marketing qualified leads by 96% for Dosatron dosing pumps. These are merely a few examples of the tailwinds associated with megatrends and how we deploy our organic growth enablers to deliver compounding annual results.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	On the inorganic initiatives, we wanted to provide an integration update of one of our larger acquisition since the merger to SEEPEX. In less than 15 months, the business has expanded, adjusted EBITDA margins by over a 1,000 basis-points and this margin expansion has come from a balanced approach on gross margin expansion and SG&A synergies. When we acquired this business, adjusted EBITDA margins were in the mid-teens and we expect to deliver low 30s in 2023, while accelerating organic growth. And this speaks to the power of our M&A approach on finding phenomenal companies and then integrating them into our economic growth engine.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	With new acquisitions, we're not only focused on cost improvements, but also maintaining focus on growth. For SEEPEX, we accelerated organic growth across three levers. First, from the SEEPEX acquisition came in great IIoT technology, which we now have expanded and scaled across the entire PST segment.
Vicente Reynal	Chairman, President and Chief Executive Officer at Ingersoll Rand	The second lever is combined SEEPEX technology with Ingersoll-Rand existing channel knowledge to access Lithium-ion battery customers. And we were able to bring in mission-critical product to market in less than nine months, while expanding our addressable market by over $250 million. Finally, we have also integrated SEEPEX Pump and Compressor Technology to accelerate product differentiation within the marketplace. By combining an air compressor with SEEPEX progressive cavity pump, this patented technology enables our customers to better transfer materials with controlled airflow and improved energy efficiency.
