Speaker	Title	Content
Operator	Operator	Good morning, ladies and gentlemen, and welcome to the Jacobs Solutions Second Quarter 2023 Earnings Call and Webcast. [Operator Instructions]. And please be advised that this call is being recorded. [Operator Instructions]
Operator	Operator	And now at this time, I will turn things over to Mr. Jonathan Evans, Vice President of Corporate Development and Investor Relations. Please go ahead, Mr. Evans.
Jonathan Evans	Vice President of Corporate Development and Investor Relations at Jacobs Solutions	Thank you. Good morning. Our earnings announcement and 10-Q were filed this morning and we have posted a slide presentation on our website before reference during the call. In addition, this morning we published a release announcing our intent to create two independent companies with the separation of our Critical Mission Solutions business. I would like to refer you to Slide 2 of the presentation material for information about our forward-looking statements and non-GAAP financial measures.
Jonathan Evans	Vice President of Corporate Development and Investor Relations at Jacobs Solutions	Turning to the agenda. Speaking on today's call, will be Jacobs CEO, Bob Pragada; and CFO, Kevin Berryman. We are also joined by our incoming CFO, Claudia Jaramillo. Bob will begin by providing an overview of today's portfolio announcements, then summarizing highlights from our second-quarter results. Kevin will provide a more in-depth discussion of our financial metrics as well as a review of our balance sheet and cash flow. Finally, Bob will provide details on our updated outlook along with closing remarks, and then we'll open up the call for questions.
Jonathan Evans	Vice President of Corporate Development and Investor Relations at Jacobs Solutions	With that, I will turn it over to Bob.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Thank you, Jonathan, and thank all of you for joining us today to discuss our second-quarter fiscal year 2023 business performance. Jacobs has a storied 75-year history of delivering value for our clients, employees and shareholders. We have consistently strived to improve our company through a purposeful strategy of transforming our portfolio to capture higher-value opportunities in our core and adjacent markets.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Turning to Slide 4r. Today's announcement marks a key inflection point as we progress on our journey of continuous improvement and value-creation. This morning, Jacobs announced our intent to separate our Critical Mission Solutions business through a spin-off. The decision to separate CMS is the result of a comprehensive review and evaluation to identify opportunities that streamline our portfolio and maximize strategic focus and potential growth opportunities for both future companies. We will sharpen both companies focused on their distinct strategy and operational initiatives that are most relevant to the specific industries in which they operate. Each company will have a tailored capital allocation and structure that is directed toward their respective growth strategies as well as a strengthened ability to attract and retain top talent.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Moving forward, in addition to our industry-leading position in core sectors, Jacobs will be a higher-growth, higher-margin technology-enabled solutions provider, continue to address the world's most complex critical Infrastructure and sustainability challenges. Jacobs core skill sets in technical and consulting services coupled with data science and technology-enabled expertise will continue to differentiate us from our peers and allow us to provide end-to-end solutions to our global clients.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Our streamlined portfolio will include leading positions in critical infrastructure such as water and environment, energy transition, transportation and the advanced manufacturing sectors. Once the separation is complete, we can focus our attention on building additional capabilities and expertise that matter most to our clients in these areas. And importantly, will achieve even greater alignment with our three key accelerators, climate response, data solutions and consulting and advisory.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	The new CMS will be a leading pure-play government services company that provides technical consulting, applied science research, training, intelligent asset management and program management services to federal government agencies. CMS generated approximately $4.4 billion in FY'22 revenue. Today's announcement is another step in Jacobs long record of taking bold actions to drive value-creation and position our company for an even stronger future. And as we grow and thrive, our partners can achieve more as well. I want to emphasize that this announcement does not change how we work with our clients. As we work towards the separation, it will be business as usual. We remain committed to delivering world-class service to our clients who will be able to two rely on our people they know and trust.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Turning to Slide 5. The proposed capital structure, governance and other matters relating to the separation will be communicated at a later date. Subject to satisfaction of customary conditions, we are targeting to complete the separation in the second-half of fiscal year 2024 through a distribution that is intended to be tax free to Jacobs shareholders for US federal income tax purposes.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Turning to Slide 6. I want to reinforce the importance of our inclusive and forward-thinking culture. Last quarter, we reinforced our commitment to inclusion and diversity by including a gender equality KPI in our sustainability linked art. Jacobs remains categorically committed to this call.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Urning to Q2 and Slide number 7. I want to thank our more than 60,000 global teammates for delivering a record second-quarter as measured by both revenue and operating profit. Notably, our underlying business remains strong and we continue to drive growth organically. We continue to invest behind and grow share in all key areas of focus against our three needle-moving growth accelerators, climate response, data solutions and consulting and advisory. Our people and places line-of-business delivered strong performance with net revenue up 7% year-on-year, 10% in constant-currency and operating profit up 21% year-over-year, 25% in constant-currency. Our pipeline and gross margin and backlog increased, further supported by strong legislative drivers materializing in federal, state and local initiatives.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	CMS remains a stable base of recurring revenue, driven primarily this quarter by the NASA-Kennedy rebid award. CMS Q2 revenue was 11% higher than the previous quarter and 5% higher year-over-year. In terms of bookings this quarter, CMS also achieved an impressive overall win rate and the outlook for FY'23 continues to look strong, with its pipeline up double-digits year-over-year. We continue to invest behind CMS, opening our Japan office during Q2. Our first organic office opening since 2004.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	PA Consulting sales and backlog again increased year-over-year, led by sales in the energy and utilities and defense sectors, demonstrating momentum and consistency. I'm pleased to the margins improved in the quarter to over 20%, supported by milestone incentive achievement. PA continues to benefit from increased opportunities in Europe. For example, PA won a mandate for a private Scandinavian renewable energy company that is currently active in renewable electricity generation and storage. PA is working with the client to create a market entry strategy across offshore and onshore wind in several new European markets.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Our divergent solutions operating unit had a strong operating profit in the quarter with operating profit up 46% year-over-year. During the quarter, we extended our collaboration with Palantir across multiple infrastructure applications. Kevin will give more detail in his comments. Looking across the broader market environment, we continue to see tremendous opportunities for growth in climate response and energy and environment. For example, our approximately $2 billion water business continues to exceed expectations and reinforce our position in the water sector. Water continues to be a page setter with pipeline growth up materially year-over-year. During Q2, we were awarded the Donald Tillman Advanced Water
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Purification Facility by the LA bureau sanitation, one of the largest portable reuse projects in the US, delivering a more sustainable drinking water source any drought stressed region. Fittingly, we would like to call attention to drinking water week, an opportunity to proudly celebrate the work we do with utility partners to provide safe drinking water to millions of people around the world.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Our cities and places pipeline also grew double-digits including key wins in the Middle-East where we are working to reimagine urban development, addressing major environmental and quality-of-life challenges, and predominantly powered by clean-energy. Globally, we are seeing significant energy transition opportunities. Last month we officially launched a dedicated business unit in P&Ps to focus on significant opportunities in global energy transition to accelerate growth and address the ever-expanding needs of our clients.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Turning to Slide 8. During Q2, we were awarded the Gold Medal award for international corporate achievement and sustainable development by the. World Environment Center, a non-governmental organization advancing sustainable development through corporate business practices. Their annual Gold Medal award recognizes one international company demonstrating a global vision and a commitment to sustainable development through innovative applications of policy, economic, environmental and social responsibilities. The independent jury commended our thoughtful approach to sustainability, combining commitments with global initiatives and partnerships with positive and far-reaching impact.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Turning to Slide 9. In summary, we remain well-positioned with our industry-leading ranking across multiple sectors. This is particularly evident in our advanced manufacturing business where our long-term pipeline increased double-digits year-over-year. Further, in our infrastructure business, legislative actions continue to provide visible growth opportunities despite continued political debate on broader topics. For example, recent wins this quarter include three significant intelligent O&M programs in California, Florida, and Louisiana, which we secured through strong differentiation with the use of our digitally-enabled platform. We expect operating profit growth to outpace organic top-line increases as we remain focused on quality of backlog.
Bob Pragada	Chief Executive Officer at Jacobs Solutions	Now I'll turn the call over to Kevin to review our financial results in further detail.
Kevin Berryman	President and Chief Financial Officer at Jacobs Solutions	Thank you, Bob, and good day to everyone. Turning to Slide 10 for our financial overview of our second-quarter results. Second-quarter gross revenue grew 6% year-over-year and net revenue grew 5%. Net revenue grew 8% year-over-year on a constant-currency basis, a continuation of healthy growth against a tough 10% year-ago comparison. Adjusted gross margin in the quarter as a percentage of net revenue was 26%, sequentially in line with the first-quarter, but down year-over-year. I will provide additional comments regarding our segments later in my remarks.
Kevin Berryman	President and Chief Financial Officer at Jacobs Solutions	Adjusted G&A as a percentage of net revenue was 16.6%, approximately flat sequentially, but down 90 basis points year-over-year, more than offsetting the lower gross margin percentage versus last year. While we felt the impact from inflationary pressure, costs were managed well overall to disciplined cost management. We are still targeting G&A as a percentage of net revenue to be stable at 16% for the full-fiscal year 2023.
Kevin Berryman	President and Chief Financial Officer at Jacobs Solutions	GAAP operating profit was $290 million for the quarter and included $50 million of amortization from acquired intangibles, a $10 million non-cash charge related to decrease in our real estate footprint, aligned to our future of work strategy and other acquisition deal-related costs and restructuring efforts of $8 million. This deal-related costs are largely incentive compensation that was considered part of total consideration and PA non-cash contingent equity-based agreements associated with the PA transaction structure. Excluding these items, adjusted operating profit was $356 million, up 7% year-over-year. On a constant-currency basis, adjusted operating profit was up 11% year-over-year.
Kevin Berryman	President and Chief Financial Officer at Jacobs Solutions	We remain committed to reducing our restructuring-related costs. Consistent with our previous comments, we expect approximately $15 million of restructuring charges for fiscal year 2023. We also expect a total of $50 million to $55 million in non-cash real estate impairment charges over the course of the year as we continue to further execute our work -- future of work strategy. Finally, we expect $25 million of transaction-related expenses for the full-year from deal-related integration and other costs, most of which is performance-based incentives that were factored into our total purchase price consideration for these acquisitions. It also includes the non-cash contingent based equity noted earlier associated with our PA transaction structure. These costs do not include expenses to be incurred in connection with the planned separation of CMS, given the early stage of our process.
