Speaker	Title	Content
Operator	Operator	Good morning, and welcome to the Johnson Controls Second Quarter 2023 Earnings Conference Call. [Operator Instructions]
Operator	Operator	I would now like to turn the conference over to Jim Lucas, Vice President, Investor Relations. Please go ahead.
Jim Lucas	Vice President, Investor Relations at Johnson Controls International	Good morning, and thank you for joining our conference call to discuss Johnson Controls' second quarter fiscal 2023 results. The press release and all related tables issued earlier this morning, as well as the conference call slide presentation can be found on the Investor Relations portion of our website at johnsoncontrols.com. Joining me on the call today are Johnson Controls' Chairman and Chief Executive Officer, George Oliver; and Chief Financial Officer, Olivier Leonetti.
Jim Lucas	Vice President, Investor Relations at Johnson Controls International	Before we begin, let me remind you that during our presentation today, we will make forward-looking statements. Listeners are cautioned that these statements are subject to certain risks and uncertainties, many of which are difficult to predict and generally beyond the control of Johnson Controls. These risks and uncertainties can cause actual results to differ materially from our current expectations. We advise listeners to carefully review the risk factors and cautionary statements in our most recent Form 10-Q, Form 10-K and today's release.
Jim Lucas	Vice President, Investor Relations at Johnson Controls International	We will also reference certain non-GAAP measures. Reconciliations of these non-GAAP measures to the most directly comparable GAAP measures are contained in the schedules attached to our press release and in the appendix to this presentation, both of which can be found on the Investor Relations section of Johnson Controls' website.
Jim Lucas	Vice President, Investor Relations at Johnson Controls International	I will now turn the call over to George.
George Oliver	Chairman and Chief Executive Officer at Johnson Controls International	Thanks, Jim; and good morning, everyone. Thank you for joining us on the call today. Let's begin with Slide 3. We are proud of our second quarter performance, which saw sales, segment EBITA and adjusted EPS all exceeding the high end of our guidance. During the quarter, sales grew 13% organically as we realized strong pricing and improved volumes across both our shorter-cycle Global Products and longer-cycle Business Solutions. The overall demand backdrop remains robust with orders growing 8% for Business Solutions and continued momentum with service orders growing 14% in the quarter, as the adoption of our digitally-enhanced solutions continues to materialize and provide value for our customers.
George Oliver	Chairman and Chief Executive Officer at Johnson Controls International	Our resilient backlog grew 9% to a record $11.7 billion and our service backlog increased by 15%. We made great progress executing on our higher-margin backlog build and continued to convert at a faster pace, resulting in improved gross margin performance and strong incrementals. In addition, we realized $75 million in productivity savings and are on track to meet our targets of delivering $340 million in savings for the full-year. As a result, adjusted segment EBITA margins expanded 120 basis points.
George Oliver	Chairman and Chief Executive Officer at Johnson Controls International	As we move into the second half of the fiscal year, our strategy remains sound as we continue to execute our resilient backlog, deliver on our productivity initiatives and advance our digital transformation. Our pipeline remains healthy and we expect momentum to stay positive. While global macro conditions remain uncertain, we are confident in the fundamentals we have built across our business.
George Oliver	Chairman and Chief Executive Officer at Johnson Controls International	Our visibility into the second half of the year provides confidence in raising the lower end of our full-year adjusted EPS guide, which Olivier will provide more details on later in the call. We continue to anticipate strong topline growth and backlog conversion in the second-half, which should lead to continued margin expansion.
George Oliver	Chairman and Chief Executive Officer at Johnson Controls International	Now, turning to Slide 4. We continue to demonstrate our unique value proposition and accelerated our leading position through our pillars of growth. We have a significant market opportunity ahead of us, connecting smart, healthy and sustainable buildings. As the call for climate action intensifies, we are seeing strong tailwinds for our sustainability, infrastructure and decarbonization offerings.
