Speaker	Title	Content
Operator	Operator	Good morning, and welcome to Alliant Energy Conference Call for First Quarter 2023 Results. This call is being recorded for rebroadcast. [Operator Instructions] I would now like to turn the call over to your host, Susan Gille, Investor Relations Manager at Alliant Energy.
Susan Gille	Investor Relations Manager at Alliant Energy	Good morning. I would like to thank all of you on the call and on the webcast for joining us today. We appreciate your participation.
Susan Gille	Investor Relations Manager at Alliant Energy	Joining me on this call are John Larsen, Board Chair and CEO; and Robert Durian, Executive Vice President and CFO. Following prepared remarks by John and Robert, we will have time to take questions from the investment community. We issued a news release last night announcing Alliant Energy's first quarter 2023 financial results. This release as well as an earnings presentation that will be referenced during today's call are available on the Investor page of our website at www.alliantenergy.com.
Susan Gille	Investor Relations Manager at Alliant Energy	Before we begin, I need to remind you the remarks we make on this call and our answers to your questions include forward-looking statements. These forward-looking statements are subject to risks that could cause actual results to be materially different. Those risks include, among others, matters discussed in Alliant Energy's press release issued last night and in our filings with the Securities and Exchange Commission. We disclaim any obligation to update these forward-looking statements.
Susan Gille	Investor Relations Manager at Alliant Energy	At this point, I'll turn the call over to John.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	Thank you, Susan. Hello, everyone, and thank you for joining us. To begin the call, I want to acknowledge that we recently celebrated Alliant Energy's 25th anniversary. On April 21, 1998, our three predecessor companies, IES Utilities, Interstate Power Company and Wisconsin Power & Light officially came together as one unified company we know today as Alliant Energy.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	I'd like to recognize all employees past and present who have built and continue to build one of the most consistent performing energy companies in the nation. Because of this team, Alliant Energy has reliably delivered energy to our customers while continuing to provide the stability and growth that investors expect. This is in addition to the unwavering dedication from our employees to work safely and strengthen our connection with communities and customers we proudly serve.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	As we continue our long track record of consistent execution, 2023 is off to a solid start, and our strong investment thesis remains. Despite warmer-than-expected weather and taking into account timing of tax expenses, which will reverse later this year, we achieved Q1 results on plan. We have reaffirmed our annual earnings guidance of $2.82 to $2.96, and we remain committed to delivering on our long-term 5% to 7% growth target. It has been a busy and productive start to the year. I will highlight several updates that demonstrate our strategy, purpose in motion. We are continuing to invest in advance toward a more reliable and sustainable energy future.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	Investing in a diverse and reliable energy mix is a top priority. At the same time, we are building a more resilient energy network. Resilience and reliability are the foundation of our recently filed rate review in Wisconsin. Our customers continue to see benefits of our prudent investments in diversifying the energy resources within our portfolio.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	We are committed to making our energy supply competitive and reliable, creating a diverse mix of resources that help to reduce exposure to energy price volatility and deliver value to our customers. An example of that is our renewable and battery storage investments. These investments have no fuel costs and generate tax credits, which flow back to customers. We continue to manage through and mitigate ongoing inflationary pressures, our work to accelerate our strategic spend initiatives in 2022 and recently completed financing have positioned us well for 2023 and beyond.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	Our proactive efforts to build a flexible, reliable and resilient energy grid, a key element of our Clean Energy Blueprint, have demonstrated strong results and helped us successfully navigate the recent extreme weather events. One example is our continued focus on placing electric distribution lines underground. We have made significant progress in this effort with over a quarter of our distribution lines already underground. And in 2022, 55% of our customers experienced no power outages and approximately 80% of outage events were restored in less than two hours.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	Another key area of progress is our renewable energy portfolio. We continue to be the largest owner-operator of solar in Wisconsin, we have all solar sites and panels in our control for our planned 1.1 gigawatts of utility-scale solar projects within Wisconsin, and we are on track to put the approximately 840 megawatts of remaining utility-scale solar in service by the first half of 2024.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	And while we're proud of our industry-leading renewable investments and the progress we're making on our clean energy blueprint, our efforts go beyond these investments. We focus on all aspects of ESG as we execute our plan. A great example of this is our Wood County Solar project in Wisconsin. This project was recently awarded ISI's Envision Platinum Award for sustainability, highlighting the project's contributions to the environmental protections, social well-being and equity, all while helping the community thrive economically. This recognition showcases the tenets of our Clean Energy Blueprint and our purpose.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	In Iowa, we're continuing to advance our solar and storage projects. Robert will share more on the status of the regulatory proceedings but I'll note that we remain committed to advancing clean energy projects and delivering on the benefits they will provide to our customers and communities. As part of our transition in Iowa, we will soon be closing our Lansing coal facility. For decades, our dedicated employees at the Lansing Generating Station have been providing customers and communities with safe and reliable energy.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	As we transition from coal towards a cleaner energy mix, we are caring for our employees, creating new jobs and bringing economic development opportunities to the communities we serve. Ultimately, the closing of the facility helps control long-term costs for customers and is another step in advancing our clean energy blueprint. One last area I'll mention is technology. We are excited to have made advancements in grid and customer technologies that will enable us to enhance service to our customers, more quickly respond and restore power and improve the customer and employee experience. We believe this will improve customer satisfaction and provide cost savings and efficiencies.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	I'll end my remarks where I began with our employees. I mentioned the hard work of our employees at the outset. I'm always happy to see their hard work recognized by other organizations. For the fifth year in a row, we've made the Bloomberg Gender Equality Index. And once again, we were named to Newsweek's list of America's most trustworthy companies. Great recognition for our dedicated employees and the result of their work serving our customers and communities. We've been fortunate to build on the legacy of employees that have come before us, and I'd like to spend a special thank you to the nearly 500 employees who are part of these last 25 years of Alliant Energy for your contributions to our consistent and sustained success. To reinforce where we are in 2023, I want to reiterate our continued ability to deliver consistent results and the year-over-year execution of our strategy that has enabled Alliant Energy to be a top performer within our industry. We look forward to another year of solid financial and operational performance, and we appreciate your continued interest in our company.
John O. Larsen	Board Chair and Chief Executive Officer at Alliant Energy	I will now turn the call over to Robert.
Robert J. Durian	Executive Vice President and Chief Financial Officer at Alliant Energy	Thanks, John. Good morning, everyone. Yesterday, we announced first quarter 2023 GAAP earnings of $0.65 per share. The primary drivers of the quarter-over-quarter EPS variances were the impacts of warmer temperatures than last year, resulting in lower retail electric and gas sales for this quarter. Higher interest expense due to additional financings and increasing interest rates and the timing of income tax expense that will reverse later this year. These items were partially offset by higher earnings resulting from increasing revenue requirements and allowance for funds used during construction from Wisconsin Power & Light's capital investments.
Robert J. Durian	Executive Vice President and Chief Financial Officer at Alliant Energy	For the full year, we are reaffirming our earnings guidance of $2.82 to $2.96 per share. The midpoint of that range is a 6% increase over 2022 adjusted earnings per share. Details on our quarter earnings drivers and 2023 full year earnings guidance can be found on Slide 3.
Robert J. Durian	Executive Vice President and Chief Financial Officer at Alliant Energy	To assist you in modeling our quarterly earnings this year, I wanted to provide some additional context to a few of the quarterly 2023 drivers. First, in anticipation of continuing inflationary pressures, we accelerated our cost transformation efforts in the second half of 2022. We do not anticipate the same heightened spend in the second half of 2023 for such efforts. Thus, we are anticipating that most of our year-over-year O&M savings will occur in the second half of 2023.
Robert J. Durian	Executive Vice President and Chief Financial Officer at Alliant Energy	Second, we anticipate quarter-over-quarter variances related to interest expense were at their highest level in the first quarter with the quarter-over-quarter variances expected to taper as we proceed through the year. This quarterly interest expense impact is based on the cadence of our financings in 2022 versus 2023.And third, income tax expenses recorded each quarter based on an estimated annual effective tax rate and the proportion of full year earnings generated each quarter. This causes fluctuations in the amounts of tax expenses quarter-over-quarter, but it will not have an impact on our full year earnings. We've already executed a large portion of our 2023 financing plan to fund our investments in renewable projects and to support refinancing of $400 million debt maturity in 2023.In March, Alliant Energy issued $575 million of 3.875% convertible senior notes maturing in 2026. These convertible notes offered us an attractive financing opportunity given the current interest rate environment.
Robert J. Durian	Executive Vice President and Chief Financial Officer at Alliant Energy	In March, WPL also issued $300 million of 4.950% Green Bonds maturing in 2033. The proceeds from this offering will be used for the development and acquisition of solar generating units, which are a key component of our clean energy blueprint. We have taken proactive steps to significantly reduce exposure to higher interest rates with these two debt issuances and an interest rate swap all executed in the first quarter of 2023. These actions will help insulate us from interest rate increases and produce better-than-expected interest expense relative to our annual plan. Earlier this year, we also closed on the sale of 25 megawatts of our West Riverside natural gas facility to MG&E. And we are working towards a closing on the sale of 100 megawatts of West Riverside to WEC Energy later this quarter. The sales of these partial interests in West Riverside were included in our plans and are expected to provide combined proceeds of approximately $125 million.
