Speaker	Title	Content
Operator	Operator	Good day, everyone. My name is John and I'll be your conference operator on today's call. At this time, I would like to welcome everyone to Live Nation Entertainment's First Quarter 2023 Earnings Conference Call. [Operator Instructions].
Operator	Operator	Before we begin, Live Nation has asked me to remind you that this afternoons call will contain certain forward-looking statements that are subject to risks and uncertainties that could cause actual results to differ, including statements related to the company's anticipated financial performance, business prospects, new developments and similar matters. Please refer to Live Nation's SEC filings, including the risk factors and cautionary statements included in the company's most recent filings on Forms 10-K, 10-Q and 8-K for a description of risks and uncertainties that could impact the actual results. Live Nation will also refer to some non-GAAP measures on this call.
Operator	Operator	In accordance with the SEC Regulation G, Live Nation has provided definitions of these measures and a full reconciliation to the most comparable GAAP measures in their earnings release or website supplement which also contains other financial or statistical information to be discussed on this call. The release reconciliation and website supplement can be found under the financial Information section on Live Nation's website at investors.livenationentertainment.com.
Operator	Operator	It is now my pleasure to turn the conference over to Michael Rapino, President and Chief Executive Officer of Live Nation Entertainment. Please go ahead, sir.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	Good afternoon, and thank you for joining us. 2023 is off to a tremendous start. For the first time in three years all of our markets are fully opened and the common theme we are seeing around the world, the live experiences are a high priority for fans. In Q1, we delivered record results across all divisions as well as record support for artists and ticket sales, to attendance and onsite spend every sign points to incredible demand for live events. In the first quarter were 19 million fans attended our shows across 45 countries and we sold over 145 million tickets with record levels of activity across all markets.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	We delivered revenue of $3.1 billion and AOI of $320 million, up 73% and 53%, respectively relative to Q1 last year. In general, all my comments will be relative to Q1 last year. This performance is indicative of a continued long term growth and set the stage for a record 2023 as we are more positive than ever about artist touring, fans attending concerts to see their favorite artists and our role helping make that happen. It is clear as we look at our results and operating metrics with global demand for live events continues to reach new heights. Demand has been growing for a long time and is showing no signs of letting up. Talking to fans, they say that live experiences are the number one leisure activity were they expect to spend more in the future. Naturally, this is leading to record levels of activity in both our concerts and ticketing business.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	First in concert. We sold nearly 90 million tickets for shows this year tracking more than 20% ahead of this point last year. These are early sales and have been driven by a record number of stadium shows continued strong growth in arena tours. With many major tours - from Beyonce to Drake to Bruce Springsteen - demand was so strong that even when artists added a number of additional shows, they still were not able to meet all of the fan demand. As a further initiative to make tickets affordable to all fans, we launched today our Summer Concert Week with $25 tickets available to nearly 4,000 shows.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	When fans attend shows, they continue spending to enhance their experience. While our key outdoor season has not started, early reads from U.S. and European indoor venues that we operate demonstrate further growth in average per fan revenue. As we provide more elevated hospitality options for fans, we have launched Vibee, which hosts destination events centered around live music and launched this week with the sale of U2 Sphere VIP packages selling out.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	We have also continued building our Venue Nation portfolio, with new venues expected to host nearly three million fans at one thousand shows this year, driving more long-term growth and profitability across all our businesses. Our ticketing business benefits from the same structural tailwinds as concerts, with further growth driven by our success in adding new clients, notably in international markets. As a result, we sold 73 million fee-bearing tickets in the first quarter, up 40% and delivered $7.7 billion in fee-bearing GTV up 60%. We are seeing growth in both volume and pricing across our global markets. This holds true across all event types from sports to concerts; and from the biggest superstars to new artists.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	Our brand partners recognize that the passion for live music has never been greater, and that Live Nation provides a unique on-site and on-line platform to connect with fans in meaningful ways on a global scale. In the first quarter, we continued adding partners for 2023 and beyond including Google Pixel, PayPal, and Levi's. With this, we have commitments for over 80% of our planned sponsorship for the year.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	Equally important, fans are embracing the value brands can provide to the concert experience, with around 70% of live music goers agreeing that brands can enhance their time at the show. Our team is the best in the industry at working with brands to develop programs that deliver value to fans, which in turn grows our brand relationships and attracts new ones.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	Our results for the first quarter demonstrate the success of our strategy and sets up for a strong growth in 2023. We expect to host a record number of fans this year, even against a 2022 comparison which benefited from rescheduled shows attended by 20 million fans. Ticketmaster should deliver record activity, with around 600 million tickets managed globally this year. Our sponsorship business, even after incredible growth last year, looks to be on track for double-digit AOI growth this year. As we look to 2024 and beyond, we have all the necessary levers to build our flywheel globally and continue to compound AOI by double digits for the foreseeable future.
Michael Rapino	President and Chief Executive Officer at Live Nation Entertainment	With that, I will turn the call over to Joe to take you through more details.
Joe Berchtold	President and Chief Financial Officer at Live Nation Entertainment	Thanks, Michael, and good afternoon, everyone. Building on 2022, we started out this year with a record Q1 our highest first quarter revenue, AOI, fan count and ticket sales. All of our markets are fully open selling tickets, hosting tours, and connecting brands with fans. Our reported revenue of $3.1 billion for the quarter was $1.3 billion, better than 1Q22, an increase of 73%. On a constant currency basis, our revenue was $3.2 billion for the quarter. So there was roughly a 2% unfavorable impact due to the slight strengthening of the US dollar, primarily against the Canadian and Australian dollars. Given the limited FX impact on our numbers, the rest of my comments will just be a reported currency.
Joe Berchtold	President and Chief Financial Officer at Live Nation Entertainment	Our reported AOI of $320 million for the quarter was $111 million better than 2022, up 53%. With an improvement of $65 million in ticketing, $50 million in concerts and $26 million in sponsorship. Over half of our AOI growth came from our Asia Pacific and Latin American markets. We are expanding our global touring activity and diversifying our historical seasonality. We converted roughly 59% of this AOI to adjusted free cash flow of $190 million, which is significantly higher than our 43% conversion in 1Q22. And our deferred revenue, a key leading indicator of growth ended this quarter at $4.4 billion, up 28% from this point last year.
