Speaker	Title	Content
Operator	Operator	Welcome to McKesson's Fourth Quarter Fiscal 2023 Earnings Conference Call. Please be advised that today's conference is being recorded. At this time, I would like to turn the call over to Nicole Kramer, Manager of Investor Relations. Please go ahead.
Nicole Kramer	Manager of Investor Relations at McKesson	Thank you, operator. Good afternoon and welcome, everyone, to McKesson's fourth quarter fiscal 2023 earnings call. Today, I'm joined by Brian Tyler, our Chief Executive Officer; and Britt Vitalone, our Chief Financial Officer. Brian will lead off, followed by Britt and then we will move to a question-and-answer session.
Nicole Kramer	Manager of Investor Relations at McKesson	Today's discussion will include forward-looking statements such as forecasts about McKesson's operations and future results. Please refer to the cautionary statements in today's earnings release and presentation slides available on our website at investor.mckesson.com and to the Risk Factors section of our periodic SEC filings for additional information concerning risk factors that could cause our actual results to materially differ from those in our forward-looking statements.
Nicole Kramer	Manager of Investor Relations at McKesson	Information about non-GAAP financial measures that we will discuss during this webcast including a reconciliation of those measures to GAAP results can be found in today's earnings release and presentation slides. The presentation slides also include a summary of our results for the quarter and guidance assumptions.
Nicole Kramer	Manager of Investor Relations at McKesson	With that, let me turn it over to Brian.
Brian Tyler	Chief Executive Officer at McKesson	Thank you, Nicole, and good afternoon, everyone. I appreciate you joining us for our call today. Earlier today, we announced fourth quarter results closing out a very successful fiscal 2023. We delivered full year revenues of $277 billion and adjusted earnings per diluted share of $25.94. When excluding certain items, adjusted earnings per diluted share grew 15% from the prior year, driven by momentum across all business segments. In fiscal 2023, team McKesson made significant progress executing our company priorities and advancing our position as a diversified healthcare services company. We grew our biopharma and oncology platforms through a balance of strategic partnerships, acquisitions and internal investments.
Brian Tyler	Chief Executive Officer at McKesson	We delivered growth in the core distribution businesses and we divested the majority of the operations in Europe furthering our goal to streamline and optimize the portfolio. As we close out fiscal 2023 and look ahead, we are confident in our ability to carry the business momentum forward and we're excited to update and increase our long-term adjusted segment operating profit growth targets. This is a testament to our strategic focus, consistent execution and confidence in the outlook of the business. Building off our differentiated assets and capabilities, we are well-positioned to deliver strong sustainable growth in the years ahead.
Brian Tyler	Chief Executive Officer at McKesson	Britt will later walk you through more of the financial details including fiscal 2024 outlook and the updated long-term growth segment targets. I wanted to start my remarks today though with the foundation of all of our strategies, which is our focus on people and culture. Our talent is critical to everything that we do at McKesson. We strive to be the best place to work in healthcare and we're building a culture that not only unites the team, but empowers them to innovate and succeed. One of the important commitments we have to our employees is to create a workspace where everyone can be comfortable to work at their very best.
Brian Tyler	Chief Executive Officer at McKesson	In the past quarter, at McKesson, we celebrated Black History month in February and Women's History month in March with many great, great employee led events. I had the opportunity to participate in many of these and I'm energized by the dedication and passion our employees have demonstrated towards promoting awareness and listening and supporting each other as Team McKesson. We have a strong employee value proposition and our progress in creating the best place to work is being recognized externally.
Brian Tyler	Chief Executive Officer at McKesson	Recently, we were pleased to be named by Forbes as one of America's best large employers earning the third highest ranking in healthcare. We were also named by Newsweek as one of America's greatest places for work for women among many, many more recognitions. I'm very proud of the accomplishments, togetherness and the alignment of our team. Our second company priority is to drive sustainable core growth. In U.S. pharmaceutical, the core pharmaceutical distribution business continues to support the growth momentum of the segment. In fiscal 2023, the segment revenue increased 13% and adjusted operating profit excluding COVID-19 related contributions increased 8% representing the highest profit growth rate since we formed this segment.
Brian Tyler	Chief Executive Officer at McKesson	We renewed our longstanding relationship with CVS and delivered strong value propositions to support customers across all channels partnering with them to help solve their most immediate business needs. Our ability to consistently deliver high-quality services is supported by our deep expertise in pharmaceutical distribution and scaled network of assets. We continue to invest in the infrastructure to improve efficiency and modernize the network in support of our growth and in pursuit of efficiencies.
Brian Tyler	Chief Executive Officer at McKesson	In October 2022, we opened a new state-of-the art pharmaceutical distribution center in Ohio. This is one of our most technologically advanced facilities. It leverages automation to increase efficiency, increase productivity and enhance the employee experience. Leveraging our scaled distribution network and logistics expertise, we have supported the U.S. government and its initiatives of distributing COVID-19 vaccine and the kitting and storage of ancillary kits. Both government contracts are scheduled to expire in July of 2023.
Brian Tyler	Chief Executive Officer at McKesson	Looking back at the past two years, Team McKesson has demonstrated incredible agility, dedication and commitment in standing up the operation and in distributing millions of life-saving vaccines across the country. We've gained invaluable experience, deepened our relationship with government partners and proven our value capabilities and expertise.
Brian Tyler	Chief Executive Officer at McKesson	The next priority I want to talk about is our priority to expand the oncology and biopharma platforms. Through years of focused investment and execution, we have built differentiated assets and capabilities in oncology and in biopharma services and we've strengthened our market positions in these high-growth and high-margin areas. I'll start with the oncology platform. One of the pillars of our oncology platform is the distribution capability. We are the leading distributor in the community oncology market with a scaled reached to providers in the community setting.
Brian Tyler	Chief Executive Officer at McKesson	Biologics, our specialty pharmacy, supports more than 3,500 specialty practices with cancer and other rare disease medications. Through our GPO services on marking unity, we serve thousands of oncology physicians and delivered significant savings on oncology drug purchases for practices, both within the U.S. Oncology Network and other community-based practices. Fiscal 2023 has been a year of significant growth for our practice management business. The U.S. Oncology Network welcomed three new practices: Epic Care, Nexus Health and most recently the Regional Cancer Care Associates as effective as of April 1, 2023.
Brian Tyler	Chief Executive Officer at McKesson	With these additions, the number of providers grew by more than 450 to a total exceeding over 2,300. This represents the fastest growth period since we acquired the U.S. Oncology Network in 2010. These new practices expand the reach of the network into new geographies and enhance its commitment to providing high-quality care close to home. In addition to the expansion and footprint, we continue to empower the growth of individual oncology practices to ensure that they are at the forefront of cancer care. Physicians in the network stand out as thought leaders in the industry with participation in leading publications and leadership roles within the industry.
Brian Tyler	Chief Executive Officer at McKesson	The network also plays a leading role in the transformation to value based care, including its participation in the oncology care model. In October 2022, U.S. Oncology Research formed a joint venture with HCA Sarah Cannon Research Institute creating a fully integrated oncology research organization. We expect this transaction to accelerate our oncology strategy, expand clinical research and increase access to clinical trials for community oncology providers and more importantly for patients. We're pleased with the performance across the oncology platform and we believe our differentiated set of assets allows us to be a key partner of choice across both providers and biopharma companies.
Brian Tyler	Chief Executive Officer at McKesson	In addition to the momentum in the oncology platform, we're also making significant progress in growing our assets and capabilities in the biopharma platform. We continue to enhance the ways patients get their medications by improving access, affordability and adherence to prescription medications. In this past year, we managed programs that helped patients save more than $8 billion on branded and specialty medications and prevented approximately 9.9 million prescriptions from being abandoned due to affordability challenges. This helped patients get access to medicine more than 78 million times.
Brian Tyler	Chief Executive Officer at McKesson	In November of 2022, we completed the acquisition of Rx Savings Solutions, a prescription price transparency and benefit insight company. The acquisition expands our affordability and adherence capabilities and sets the foundation for the expansion of outcomes management and evidence-based biopharma and payer services. For the Prescription Technology Solutions segment, our fiscal fourth quarter is usually the busiest quarter of the year, driven by customer annual verification activities. Our employees had a particularly busy season this past quarter assisting the highest volume of patients in the history of the segment. We continue to see strong market demand for the products and services we provide, which supports the growth outlook of this segment.
Brian Tyler	Chief Executive Officer at McKesson	While we're committed to grow the biopharma platform, we're also continually looking for opportunities to optimize the portfolio of products and services we offer. We have a disciplined review process to ensure that our resources are aligned with the areas of most strategic priority. In this past quarter, we made the decision to re-prioritize investments of products within the Prescription Technology Solutions segment that we believe have reached the end of their life cycle and are no longer essential to the growth strategy. These actions will allow us to improve operational efficiency and more importantly to better focus investments in other strategic areas and to maximize our resources for growth opportunities.
Brian Tyler	Chief Executive Officer at McKesson	These types of decisions are always difficult and it had a direct impact on some of our employees. I am deeply grateful for the contributions of all our Prescription Technology Solutions employees have made that have led to the significant growth in this segment for the past several years. As part of this initiative, we are also streamlining the real estate assets supporting more flexibility for our employees. We remain confident about our differentiated capabilities, the market opportunity and our ability to achieve the long-term growth target of this segment.
Brian Tyler	Chief Executive Officer at McKesson	Another important portfolio action we are executing is the divestiture of our European businesses. We have now successfully divested businesses in 11 of the 12 countries with Norway being the only country for which we are still exploring alternatives. As we made significant progress in expanding the strategic growth areas, we are doing so in a way that allows us to deliver for all our stakeholders. We're committed to drive sustainability and to execute on initiatives that are aligned to our business strategy, support our growth and contribute to measurable and enduring positive impacts and health outcomes for our stakeholders and communities.
Brian Tyler	Chief Executive Officer at McKesson	We look forward to publishing our impact report in June to share our progress on these important initiatives. Earlier this year, our near-term science-based greenhouse gas emissions reduction targets were approved by the Science Based Targets initiative focused on energy, transportation and real estate. Our teams are taking meaningful actions to achieve these targets and improve the business. Recently, we were included in Sustainalytics 2023 industry top rated ESG companies list recognizing our comprehensive commitment and achievements in environmental, social and governance related issues.
Brian Tyler	Chief Executive Officer at McKesson	So let me pull everything together. McKesson reported a strong fourth quarter and full year results. Looking back to fiscal 2023, we made significant progress in advancing our company priorities. We executed on our strategy with focus and dedication. We invested in our businesses and our people for future growth. And as a diversified healthcare services company, we enacted positive changes to our customers, partners and their patients. I'm incredibly proud of what we have achieved as a team and I'm confident in our ability to continue the momentum and deliver sustainable growth as reflected in our updated long-term segment growth targets.
Brian Tyler	Chief Executive Officer at McKesson	With that, Britt, I'll hand it over to you for additional comments.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Well, thank you, Brian. Today, I'll discuss our fourth quarter and full year fiscal 2023 results and then I'll provide an overview of our fiscal 2024 outlook including our updated long-term adjusted segment operating profit growth targets. My comments today will refer to our fiscal 2023 adjusted results, unless I state otherwise. We delivered strong fourth quarter results. Earnings per diluted share was $7.19, an increase of 23% compared to the prior year. These results were right in line with the guidance we provided on our third quarter earnings call. Our results demonstrate the breadth of McKesson's strength as a leading diversified healthcare services company with strong performance in growth in each of our core operating businesses.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	For the full year, earnings per diluted share increased 9% year-over-year to $25.94, driven by a lower share count and growth in the U.S. Pharmaceutical segment, partially offset by lower contributions in the International segment as a result of the completed divestitures of McKesson's European businesses. Full year earnings per diluted share also included $2.36 related to the following certain items, which can also be found on Slide 23 in the appendix to our earnings presentation; $0.78 related to the U.S. government centralized COVID-19 vaccine distribution program; $1.12 related to COVID-19 tests and the kitting, storage and distribution of ancillary supplies for the U.S. government; $0.65 related to the early termination of the Tax Receivable Agreement or TRA with Change Healthcare; and $0.19 related to net losses associated with McKesson Ventures equity investments.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Excluding these certain items, earnings per diluted share increased 15% year-over-year, above our previously communicated long-term growth rate target. Our strong full year results are broad-based and reflect our ongoing commitment to deliver sustainable growth and long-term shareholder value. Before I turn to our consolidated results, I want to highlight one item that impacted our fourth quarter GAAP only results. We remain focused on strategically managing the company to deliver differentiated customer value as well as long-term financial growth and profitability.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	In support of delivering sustainable value, innovation and growth, during the fourth-quarter of fiscal 2023, we announced a broad set of initiatives to simplify our infrastructure, drive operational efficiencies and increase cost optimization. These initiatives include headcount reductions and the exit or downsizing of certain facilities. During the fourth quarter, we recorded charges of $16 million related to these initiatives, which include severance and other employee-related costs within our Prescription Technology Solutions segment, asset impairments and accelerated depreciation, including certain asset impairments primarily within our U.S. Pharmaceutical segment and real estate charges within corporate. We anticipate total charges of approximately $125 million within our Prescription Technology Solutions and U.S. Pharmaceutical segment as well as corporate to be substantially completed by the end of fiscal 2024.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Moving now to our consolidated results. Our consolidated revenues increased 4% to $68.9 billion in the fourth quarter and for the full year increased 5% to $276.7 billion. Fourth quarter and full year results were driven by growth in the U.S. Pharmaceutical segment, including increased specialty product volumes from retail national account customers, partially offset by lower revenues in the international segment as a result of the completed divestitures of McKesson's European businesses. Excluding the impact of the European business operations, including these completed divestitures, revenues increased 13% in the fourth quarter and 12% in the full year when compared to fiscal 2022.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Gross profit was $3.1 billion for the quarter, a decrease of 8%. For the full year, gross profit was $12.2 billion, a decrease of 7%. Excluding the impact of our European business operations and completed divestitures, gross profit increased 9% in fourth quarter and 8% in the full year, primarily as a result of growth in the U.S. Pharmaceutical and Prescription Technology Solutions segments. Operating expenses decreased 14% in the quarter and 13% for the full year, largely driven by completed European divestitures in our international segment and lower opioid litigation costs. Excluding the impact of our European business operations and the completed divestitures, operating expenses increased 8% in both the fourth quarter and the full year.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Fourth quarter operating profit increased 4% to $1.3 billion, driven by growth in the U.S. Pharmaceutical segment including solid contributions from our generics program and Prescription Technology Solutions growth more than offsetting the impact from completed divestitures in the International segment. Full year operating profit increased 3% to $5 billion, primarily led by growth in our North American businesses, partially offset by these completed divestitures in our international segment and lower contributions from COVID-19 related items year-over-year. When excluding the impact related to the distribution of COVID-19 related products, a pre tax benefit of $126 million related to the early termination of the TRA with Change Healthcare in the third quarter and net gains or losses associated with McKesson Ventures equity investments, operating profit increased 9% in the fourth quarter and 8% for the full year when compared to fiscal 2022.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Moving below the line. Interest expense was $70 million in the quarter and $239 million for the full year. The increase was primarily due to impacts from higher interest rates. Effective tax rate was 12.9% for the quarter and 18.8% for the full year in line with our original guidance. As a reminder, our effective tax rate can vary quarter-to-quarter, driven by our mix of income and the timing of discrete tax items. Wrapping up our consolidated results, fourth quarter diluted weighted average shares outstanding was 138 million, a decrease of 8% year-over-year.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Turning to our fourth quarter and full year segment results, which can be found on slides 7 through 12 and starting with U.S. Pharmaceutical. For U.S. Pharmaceutical business, it's a scaled efficient business and comprises the breadth and depth of services and capabilities, including our growing oncology platform and we're pleased with the momentum in this segment. Fourth quarter revenues were $61.7 billion, an increase of 15% year-over-year, driven by growth across all customer segments, including increased volume of specialty products, higher volumes from retail national account customers and market growth, which was partially offset by branded to generic conversions.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Fourth quarter operating profit increased 10% to $861 million and for the full year increased 6% to $3.1 billion, driven by growth in the distribution of specialty products to providers and health systems and increased contributions from our generics program. We remain pleased with the performance of our generics program led by stable market fundamentals and the strength of our sourcing operations. We continue to provide solid value to our customers and partners delivering low cost and stable supply.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Our contract with the U.S. government for COVID-19 vaccine distribution provided an operating profit benefit of approximately $21 million or $0.11 per share in the fourth quarter compared to $12 million or $0.06 per share in the fourth quarter of the prior year. For the full year, this contract provided a benefit of $149 million or $0.78 per share compared to $186 million or $0.89 per share in fiscal 2022. When excluding the impact of COVID-19 vaccine distribution, U.S. Pharmaceutical segment delivered operating profit growth of 9% in the fourth quarter and 8% for the full year compared to fiscal 2022 results, which were ahead of the segment's long-term growth target.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	In the Prescription Technology Solutions segment, fourth quarter revenues were $1.2 billion, an increase of 16% year-over-year, driven by growth in prescription volumes in our third-party logistics business and access and adherence solutions transaction volumes. First quarter operating profit increased 35% to $218 million and full year operating profit increased 15% to $679 million, driven by growth in access and affordability solutions. Fourth quarter results were also positively impacted by annual customer verification support activities as well as increased volume growth, partially due to the commercial success of the brands we serve.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Through a comprehensive suite of solutions and services, McKesson helped patients access to their medicine over 24 million times in the fourth quarter, the highest number of patients assisted in the segment's history. The segment produced strong fourth quarter results and full year performance was in line with our original guidance.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Moving now to Medical-Surgical Solutions. In the fourth quarter, revenues were $2.7 billion, a decrease of 6% year-over-year and operating profit was $248 million, a decrease of 17%. For the full year, operating profit declined 4% to $1.2 billion. Fourth quarter and full year results were impacted by lower sales of COVID-19 tests and lower contribution from kitting, storage and distribution of ancillary supplies, the U.S. government's COVID-19 program, partially offset by growth in the primary care business including favorable sourcing activities in illness season testing compared to the prior year.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Contribution from COVID-19 tests and our contract with the U.S. government for the kitting, storage and distribution of ancillary supplies provided a total benefit of $31 million or $0.16 per share in the fourth quarter compared to $85 million or $0.42 per share in the fourth quarter of fiscal 2022. For the full year, COVID-19 related items provided a benefit of $216 million or $1.12 per share compared to $371 million or $1.78 per share in fiscal 2022. When excluding the impact of COVID-19 related items, the segment delivered operating profit growth of 2% in the fourth quarter and 13% for the full year compared to fiscal 2022 results, which was at the upper end of the original guidance range that we provided.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	Next, let me address our international results. Revenues in the fourth quarter were $3.4 billion, a decrease of 61% year-over-year and operating profit was $80 million, a decrease of 46%. On an FX adjusted basis, fourth quarter revenues were $3.6 billion, a decrease of 58% and operating profit was $88 million, a decrease of 40%. For the full year, operating profit on an FX adjusted basis decreased by 22%. Fourth quarter and full year results reflect the year-over-year effects and the completed divestitures within our European businesses.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	In wrapping up our segment review, corporate expenses were $149 million in the quarter, a decrease of 19% year-over-year. For the full year, corporate expenses were $457 million, a decrease of 21%, which included a pre tax benefit of $126 million related to the early termination of the Tax Receivable Agreement or TRA with Change Healthcare in the third quarter. Corporate expenses in the fourth quarter and full year were positively impacted by lower opioid-related expenses compared to the prior year.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	During the quarter, we had net losses of $12 million or $0.06 per share related to equity investments within the McKesson Ventures portfolio compared to net losses of approximately $6 million or $0.03 per share in the fourth quarter of fiscal 2022. For the full year, McKesson had net losses related to equity investments within our McKesson Ventures portfolio of approximately $36 million or $0.19 per share. This compares to net gains of approximately $98 million or $0.47 per share for the full year fiscal 2022.
Britt Vitalone	Executive Vice President & Chief Financial Officer at McKesson	As a reminder, McKesson Ventures portfolio hold equity investments in several growth stage digital health and services companies and we're pleased with the insights and the results we've obtained through this portfolio. The impacts on consolidated financials can be influenced by the performance of each individual investment quarter-to-quarter. And as a result, McKesson's investments may result in gains or losses, the timing and magnitude of which can vary for each investment. Excluding the benefit from the early termination of the TRA and net gains and losses within the McKesson Ventures portfolio, corporate expenses decreased 23% and 19% in the fourth quarter and full year, respectively.
