Speaker	Title	Content
Operator	Operator	Good day, and welcome to Martin Marietta's First Quarter 2023 Earnings Conference Call. [Operator Instructions].
Operator	Operator	I will now turn the call over to your host, Ms. Jennifer Park, Martin Marietta's Vice President of Investor Relations. Jennifer, you may begin.
Jennifer Park	Vice President of Investor Relations at Martin Marietta Materials	Thank you. It's my pleasure to welcome you to our first quarter 2023 earnings call. Joining me today are Ward Nye, Chairman and Chief Executive Officer; and Jim Nickolas, Senior Vice President and Chief Financial Officer. Today's discussion may include forward-looking statements as defined by United States securities laws in connection with future events, future operating results or financial performance. Like other businesses, Martin Marietta is subject to risks and uncertainties that could cause actual results to differ materially. We undertake no obligation, except as legally required to publicly update or revise any forward-looking statements, whether resulting from new information, future developments or otherwise. Please refer to legal disclaimers contained in today's earnings release and other public filings, which are available on both our own and the Securities and Exchange Commission's website.
Jennifer Park	Vice President of Investor Relations at Martin Marietta Materials	We have made available during this webcast and on the Investors section of our website, supplemental information that summarizes our financial results and trends. As a reminder, all financial and operating results discussed today are for continuing operations. In addition, non-GAAP measures are defined and reconciled to the most directly comparable GAAP measure in the appendix to the supplemental information as well as our filings with the SEC and are also available on our website. Ward Nye will begin today's earnings call with a discussion of our operating performance. Jim Nickolas will then review our financial results and capital allocation, after which Ward will conclude with market trends and our outlook for 2023. A question-and-answer session will follow. [Operator Instructions].
Jennifer Park	Vice President of Investor Relations at Martin Marietta Materials	I will now turn the call over to Ward.
Ward Nye	Chairman and Chief Executive Officer at Martin Marietta Materials	Thank you, Jenny. Welcome, everyone, and thank you for joining today's teleconference. I'm pleased to report that this year is off to a very strong start for Martin Marietta with first quarter records by nearly every measure. Given our focus on operating safely and responsibly, we're especially pleased that total and lost time incident rates were down 21% and 50%, respectively, in the first quarter. The exceptional quarterly performance is a testament to our team's focus on commercial and operational excellence and the resiliency of our differentiated business model that separates us from others in our industry. We continue to adhere to a value-over-volume approach, focusing on an aggregates-led product strategy and carefully expanding and honing our service footprint, which today is national in scope. In brief, the results we've reported over the recent past, including the first quarter results announced today, are a tribute to our team's disciplined execution of our strategic plan and gives us confidence that we will deliver 2023 adjusted EBITDA of $1.9 billion, consistent with the high end of our previously announced guidance range.
Ward Nye	Chairman and Chief Executive Officer at Martin Marietta Materials	As is common practice, we will revisit our guidance more formally at [Indecipherable] year. As for the first quarter, our product demand remained robust. We experienced a modest decline in aggregate shipments as historically wet weather in California was partially offset by a mild winter in the Southeast. However, aggregates pricing momentum continued to build with a 12.8% sequential increase driven by the carryover effects of our 2022 inflation management actions and by broad acceptance of our January 1, 2023 increases, which were pulled forward from April one in the vast majority of our markets. These combined shipments and pricing results demonstrate the relative price and elasticity of aggregate demand where customer service and availability of quality in materials tend to be of greater importance than product cost. Our intentional approach to capacity expansion investments at key facilities across our footprint has positioned us well to better serve our customers during this period of high product demand across many of our locations, including markets in the Southeast and Texas. Now let's turn to our financial results.
Ward Nye	Chairman and Chief Executive Officer at Martin Marietta Materials	We established a number of first quarter records for Martin Marietta, including consolidated total revenues of $1.35 billion, a 10% increase; consolidated gross profit of $303 million, a 94% increase; diluted earnings per share from continuing operations of $2.16, a 454% increase; adjusted EBITDA of $324 million, a 64% increase; and $5.70 aggregates gross profit per ton, a 134% increase. These results demonstrate the advantages of our value over volume commercial strategy, which was paramount to offsetting continued albeit moderating inflationary pressures. That said, the April OPEC+ production cuts were broadly unexpected and are likely to put upward pressure on fuel expenses throughout the remainder of the year, which tends to flow through to other cost categories. As such, our teams are actively advising customers of midyear price increases, which we anticipate will be more widely accepted and larger in scope and magnitude than we were initially considering a few months ago. Longer term, Martin Marietta is well positioned to benefit from what is expected to be an increasingly favorable and extended pricing cycle.
Ward Nye	Chairman and Chief Executive Officer at Martin Marietta Materials	Let's now turn to our first quarter operating performance beginning with aggregates. We experienced solid aggregates demand across our geographic footprint with total aggregate shipments decreasing only 300,000 tons despite an approx but one million-ton shipment decline in weather-impacted California. Aggregates pricing fundamentals remain attractive, with pricing increasing 22.6% or 19.6% on a mix adjusted basis. The Texas cement market continues to experience robust demand and tight supply amid near sold-out conditions particularly in the Dallas/Fort Worth [Indecipherable]. Yet largely due to wet and cold weather to start the year, first quarter shipments declined 6.8%. Importantly, we delivered pricing growth of 32.2% more than offsetting the effect of lower weather-impacted shipments. We fully expect that favorable Texas cement commercial dynamics will continue for the foreseeable future and accordingly, have announced a $10 per ton price increase effective July 1.
Ward Nye	Chairman and Chief Executive Officer at Martin Marietta Materials	Shifting to our targeted downstream businesses. Ready mixed concrete shipments decreased 37.1% and pricing increased 20.2%. As a reminder, our first quarter 2023 ready mixed concrete results exclude the Colorado and Central Texas operations that were divested nearly 13 months ago on April 1, 2022, impacting the comparability to the prior year quarter. Asphalt shipments decreased 25.1%, driven primarily by wet weather in California and Arizona. Pricing improved 9.9% following the increase in raw material costs, principally liquid asphalt or bitumen.
Ward Nye	Chairman and Chief Executive Officer at Martin Marietta Materials	Before discussing our outlook for the remainder of 2023, I'll turn the call over to Jim to conclude our first quarter discussion with a review of the company's financial results. Jim?
Jim Nickolas	Senior Vice President and Chief Financial Officer at Martin Marietta Materials	Thank you, Ward, and good morning to everyone. The Building Materials business posted first quarter revenues of $1.27 billion, a 10.1% increase over last year's comparable period and a first quarter gross profit record of $276 million, a 99.4% increase. Aggregates gross profit improved 131.7% relative to the prior year, resulting in a first quarter record of $238 million. Aggregate gross margin improved 1,250 basis points to 26.1% as strong pricing growth more than offset modestly lower shipments and continued inflationary pressure impacting most cost categories. Aggregates gross margin also benefited from geographic shipment mix, which reflected a larger contribution from the higher-margin Southeast markets. Geographic mix is expected to normalize over the balance of the year. Our Texas cement business delivered record first quarter top and bottom line results, continuing its recent track record of exceptional performance.
Jim Nickolas	Senior Vice President and Chief Financial Officer at Martin Marietta Materials	Revenues increased 21.9% to $169 million, while gross profit increased 75.4% to $47 million. Importantly, execution of our disciplined commercial strategy drove gross margin expansion of 860 basis points to 28% as pricing gains and normalization of natural gas expenses more than offset lower operating leverage and higher raw materials and maintenance costs. As we shared previously, our Midlothian, Texas plant has several initiatives underway to increase production capacity. The largest of those is the installation of a new finish mill that we expect to complete in the third quarter of 2024. The new finish mill will provide 450,000 tons of incremental high-margin annual production capacity in today's nearly sold out marketplace. At both our Midlothian and Hunter Texas plants, the process of converting our construction cement customers from type 1, type two cement to a less carbon-intensive Portland-limestone cement, also known as type 1L, is substantially complete.
Jim Nickolas	Senior Vice President and Chief Financial Officer at Martin Marietta Materials	We expect those efforts to provide additional capacity of 5% this year as compared to 2022. Our ready mixed concrete revenue declined 24.4% to $220 million and gross profit declined 48.9% to $11 million driven primarily by the divestiture of our Colorado and Central Texas operations last April, impacting prior year comparability. Our asphalt and paving revenues increased 2.1% to $58 million as increased pricing offset weather-impacted shipments in California and Arizona. Consistent with its typical seasonality, this business posted a $20.5 million gross loss as the Minnesota operations are inactive during the first quarter given that market's late spring start to the construction season. Ideally, most asphalt installations occur when both ground and air temperatures are between 50 and 90 degrees Fahrenheit. Magnesia Specialties generated record first quarter revenues of $83 million an 8.4% increase.
Jim Nickolas	Senior Vice President and Chief Financial Officer at Martin Marietta Materials	Despite top line growth, gross profit declined 2.7% to $25 million due to higher supplies and contract services expenses, resulting in a 330 basis point decline and gross margin to 30%. We remain focused on the disciplined execution of our strategic plan, which emphasizes responsible growth through acquisitions, reinvestment in our business operations and the consistent return of capital to shareholders. During the quarter, we returned $117 million to shareholders through both dividend payments and share repurchases. We repurchased nearly 204,000 shares of common stock at an average price of approximately $368 per share in the first quarter. Since our repurchase authorization announcement in February 2015, we have returned a total of $2.4 billion to shareholders through a combination of meaningful and sustainable dividends as well as share repurchases. Our net debt-to-EBITDA ratio continued its downward trend and ended the quarter at 2.4 times, within our targeted range of two to 2.5 times.
Jim Nickolas	Senior Vice President and Chief Financial Officer at Martin Marietta Materials	With that, I will turn the call back to Ward.
Ward Nye	Chairman and Chief Executive Officer at Martin Marietta Materials	Thanks, Jim. We like Martin Marietta's prospects in 2023 and beyond as we begin this year with great promise. We continue to experience healthy customer backlogs and are encouraged by a number of factors that support near, medium and long-term demand for our products across the infrastructure and heavy nonresidential construction sectors. As indicated in our supplemental materials, historic legislation including the Infrastructure Investment and Jobs Act or IIJA, Inflation Reduction Act and Chips Act are expected to provide funding certainty for large infrastructure, manufacturing and energy projects through the current period of macroeconomic uncertainty. As such, we expect the related product demand for these key end-use segments to be largely insulated. We'll start with infrastructure, which accounted for 32% of first quarter aggregate shipments. The value of state and local government highway bridge and tunnel contract awards, a leading indicator for our future product demand, is meaningfully higher year-over-year with growth of 16% to a record $104 billion for the 12-month period ending March 31, 2023.
