Speaker	Title	Content
Operator	Operator	Welcome to the Motorola Solutions First Quarter 2023 Earnings Conference Call. Today's call is being recorded. If you have any objections, please disconnect at this time. The presentation material and additional financial tables are posted on the Motorola Solutions' Investor Relations website. In addition, a webcast replay of this call will be available on our website within two hours after the conclusion of this call. The website address is www.motorolasolutions.com/investor. All participants have been placed in a listen-only mode.
Operator	Operator	[Operator Instructions] I would now like to introduce Mr. Tim Yocum, Vice President of Investor Relations. Mr. Yocum, you may begin your conference.
Tim Yocum	Vice President of Investor Relations at Motorola Solutions	Good afternoon. Welcome to our 2023 first quarter earnings call. With me today are Greg Brown, Chairman and CEO; Jason Winkler, Executive Vice President and CFO; Jack Molloy, Executive Vice President and COO; and Mahesh Saptharishi, Executive Vice President and CTO. Greg and Jason will review our results, along with commentary and Jack and Mahesh will join for Q&A.
Tim Yocum	Vice President of Investor Relations at Motorola Solutions	We've posted an earnings presentation and news release at motorolasolutions.com/investor. These materials include GAAP to non-GAAP reconciliations for your reference. And during the call we reference non-GAAP financial results, including those in our outlook, unless otherwise noted. A number of forward-looking statements will be made during this presentation and during the Q&A portion of the call. These statements are based on current expectations and assumptions that are subject to a variety of risks and uncertainties. Actual results could differ materially from these forward-looking statements.
Tim Yocum	Vice President of Investor Relations at Motorola Solutions	Information about factors that could cause such differences can be found in today's earnings news release, in the comments made during this conference call, in the Risk Factors section of our 2022 Annual Report on Form 10-K or any quarterly report on Form 10-Q and in our other reports and filings with the SEC. We do not undertake any duty to update any forward-looking statements.
Tim Yocum	Vice President of Investor Relations at Motorola Solutions	And with that, I'll turn it over to Greg.
Greg Brown	Chairman & Chief Executive Officer at Motorola Solutions	Thanks, Tim. Good afternoon and thank you everybody for joining us today. First, let me start by just saying that Q1 was an exceptional start to the year. We achieved revenue and earnings per share, above our guidance, with revenue up 15% and earnings per share up 31% versus the prior year. We expanded operating margins by 470 basis points. And we had record Q1 orders, which led to record Q1 ending backlog of $14.1 billion, up 5% versus last year, inclusive of $372 million of unfavorable FX.
Greg Brown	Chairman & Chief Executive Officer at Motorola Solutions	Second, our outstanding Q1 performance was broad-based with strong double-digit revenue growth in both segments, all three technologies and in both regions, North America and international. Additionally, public safety and enterprise security remains more important than ever, which is driving demand for both our public safety and enterprise customers. And finally, based on our strong start to the year and continued robust demand, we're raising both our revenue and earnings guidance for the full year.
Greg Brown	Chairman & Chief Executive Officer at Motorola Solutions	I'll turn the call over to Jason to take you through results and outlook and then be back and return for some final thoughts.
Jason Winkler	Executive Vice President & Chief Financial Officer at Motorola Solutions	Thank you, Greg. Revenue for the quarter grew 15% and was above our guidance with double-digit growth in both segments, both regions and in all three technologies. FX headwinds during the quarter were $45 million, while acquisitions added $42 million. GAAP operating earnings were $399 million or 18.4% of sales, up from 12.6% in the year-ago quarter. Non-GAAP operating earnings was $532 million, up 42% from the year-ago quarter and non-GAAP operating margin was 24.5%, up 470 basis points. This strong year-over-year increase in both GAAP and non-GAAP operating earnings was driven by higher sales, lower direct material costs, inclusive of lower broker spend in attaining semiconductors and improved operating leverage.
Jason Winkler	Executive Vice President & Chief Financial Officer at Motorola Solutions	GAAP earnings per share was $1.61 compared to $1.54 in the year-ago quarter. Non-GAAP earnings per share was $2.22, up 31% from a $1.70 last year. This strong growth in earnings per share was driven by higher sales and margins, partially offset by a higher effective tax rate in the current year. Opex in Q1 was $530 million, up $38 million versus last year, primarily due to acquisitions and higher incentives in the current year.
Jason Winkler	Executive Vice President & Chief Financial Officer at Motorola Solutions	Turning to cash flow, Q1 operating cash flow was a usage of $8 million and free cash flow was usage of $62 million. The cash flow in Q1 was in line with our expectations and included a onetime cash tax payment of $70 million related to an IP reorganization we completed last year. It also reflects our strategic decision to carry higher inventories. For the full year, we continue to expect operating cash flow to be approximately $1.9 billion with greater contributions in the second half, consistent with the shape of last year's cash flow. The capital allocation for Q1 included $148 million in cash dividends, $140 million in share repurchases and $54 million of capex.
