Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, thank you for standing by. At this time, I would like to welcome everyone to the Organon First Quarter 2023 Earnings Conference Call.
Operator	Operator	[Operator Instructions] As a reminder, this call is being recorded. Thank you. I would now like to turn the call over to Jennifer Halchak, Vice President, Investor Relations. Please begin your conference.
Jennifer Halchak	Vice President of Investors Relations at Organon & Co.	Thank you, Mike. Good morning, everyone. Welcome to Organon's First Quarter 2023 Earnings Call. With me today are Kevin Ali, Organon's Chief Executive Officer, who will cover strategy and operational highlights; and Matt Walsh, our Chief Financial Officer, who will review performance, guidance and capital allocation. Dr. Sandra Milligan, Organon's Head of R&D, will also be joining the call today at the Q&A portion. Today, we'll be referencing a presentation that will be visible during this call for those of you on our webcast. This presentation will also be available following this call on the Events & Presentations section of our Organon Investor Relations website at www.organon.com.
Jennifer Halchak	Vice President of Investors Relations at Organon & Co.	Before we begin, I would like to caution listeners that certain information discussed by management during this conference call will include forward-looking statements. Actual results could differ materially from those stated or implied by forward-looking statements due to risks and uncertainties associated with the company's business, which are discussed in the company's filings with the Securities and Exchange Commission, including our 10-K and subsequent periodic filings. In addition, we will discuss certain non-GAAP financial measures on this call, which should be considered a supplement to, and not a substitute for financial measures prepared in accordance with GAAP. A reconciliation of these non-GAAP measures to the comparable GAAP measures is included in the press release and conference call presentation. I'll now turn the call over to our CEO, Kevin Ali.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	Good morning, everyone, and thank you, Jen. Welcome to today's call where we'll talk about our first quarter 2023 results. 2023 is off to a very solid start. For the first quarter, revenue was $1.5 billion, up 3% at constant currency. Adjusted EBITDA was $518 million, representing a 33.7% margin. Given this solid performance, together with our visibility into the remainder of the year, we're affirming our financial guidance for the full year. The first quarter of 2023 represents the sixth consecutive quarter of product sales growth, with all three franchises positively contributing to our performance. At constant currency, the women's health franchise grew 3%.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	The biosimilars franchise grew 20% and the established brands franchise, which represents approximately 2/3 of our business, grew 1%. The established brands franchise continues to demonstrate its durability. The franchise generates sizable and predictable free cash flow, which is an important factor in our ability to take a balanced approach to capital allocation. During the first quarter, we made progress towards reducing our outstanding debt with a voluntary $250 million prepayment on our U.S. dollar-denominated term loan. Reducing our leverage over time is an important goal for us. We are committed to maximizing profitability in order to generate cash flow that supports that objective as well as to pursue business development strategies that enhances our growth profile.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	We will continue to look at business development through two lenses: tuck-in opportunities that have the potential to drive near-term revenue as well as longer-term bets that could be transformative for Organon and for patient care. We are especially focused on building out our capabilities in women's health, as we did in the first quarter with our strategic investment in Claria Medical, which is developing an investigational medical device being studied for use during minimally invasive laparoscopic hysterectomies. Now let's move on to review the quarter in a bit more detail. Let's start with women's health. Women's health grew 3% on a constant currency basis this quarter.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	In the first quarter of last year, we acquired rights to the oral contraceptives, Marvelon and Mercilon in the People's Republic of China, including Hong Kong and Macau and Vietnam. Since then, we have generated strong demand for these products, which grew 65% in the first quarter. This transaction has been very successful and is just one example of how Organon is leveraging its expertise to maximize the performance of assets that may have been under-prioritized in the past. Staying on contraception for a moment, let's look at the trailing 12 months performance of NEXPLANON, which is the more informative way of evaluating the product's performance because customer buying patterns introduced noise on a quarterly basis. We have changed the growth trajectory of NEXPLANON since the product has been in our hands.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	This long-acting reversible contraceptive is a product that has been around for over a decade and relies on continuously driving new patients to the product. Still, with the managerial focus we have put on NEXPLANON, we continue to deliver very strong growth for the product. NEXPLANON is one of the most effective forms of contraception. It is an arm implant, and therefore, it does not require daily self-administration like an oral contraceptive. We are seeing rising patient preference for these attributes in their choice of birth control, and that is leading to increasing physician demand. In fact, this quarter, physician demand in the U.S. is up 6% versus last year, driven by women increasing their usage of NEXPLANON.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	Our strategic focus in the U.S. during 2023 is to continue to grow that physician demand by driving patient requests for NEXPLANON and increasing the depth of use among the 35,000 providers currently prescribing NEXPLANON. Outside the U.S., we continue to expand access and see strong payer, physician and consumer demand. We anticipate particularly strong growth in both Brazil and Canada, two of the more relevant contraception markets in the world, and where NEXPLANON is still somewhat in the launch phase. We are also making good progress with activities to expand NEXPLANON production. This is subsequently enabling increased supply to parts of Africa and Asia Pacific where payers are expanding access to the product.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	We also continue to believe that NEXPLANON can achieve $1 billion in revenue by 2025, which implies strong growth for the product over the coming years. Continuing our discussion in women's health, we remain very encouraged by our opportunity in fertility. Families are delaying parenthood due to many social and demographic factors, including education, career goals and financial barriers. This contributes to the prevalence of infertility, which in turn drives demand for IVF treatments. The use of assisted reproductive technologies like in vitro fertilization is growing 5% to 10% annually. It is a large market impacting an estimated 190 million people around the world.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	Globally, the top five markets with the highest rates of infertility are in the Asia Pacific region, where a number of births per woman is significantly below the replacement rate required to sustain a population and GDP growth. Countries like South Korea are offering cash incentives for households to expand their families and Japan, Australia, Thailand and Singapore are expanding fertility access and/or other benefits. Over the next few years, these markets will represent the largest opportunity for Organon's fertility business. These dynamics, combined with our significant presence in the Asia Pacific and Japan region, represent an attractive opportunity for Organon and allows us to grow the fertility portfolio in markets outside the U.S., where we are focused on expanding market share and must, therefore, price our products competitively.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	China, where we currently hold the number two market share position in fertility, will also continue to be an important market for us. Early in the first quarter, COVID-related disruptions were hampering demand for fertility treatments in China. However, we have seen solid recovery with sequential growth in both February and March. We're optimistic about getting back to normal in China and the positive impact that will have on our fertility business. Over the intermediate term, we believe fertility can grow in the high single-digit to low-double digit range, and we expect 2023 to deliver a similar growth profile. Moving now to our biosimilars business, which continues to perform very well. RENFLEXIS, our largest selling biosimilar continues to grow more than five years after launch, driven by solid performance in the U.S. and Canada.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	ONTRUZANT, our second largest biosimilar, had strong growth in the U.S., but that growth was offset by a very competitive pricing environment in Europe. There is great interest centered around the July one U.S. launch of HADLIMA, our biosimilar for Humira. At launch, we will have the option for a high concentration citrate free formulation as well as a low-concentration formulation. We have also have benefit of real-world evidence from our own launch of HADLIMA in Australia and Canada as well as through our collaborator, Samsung Bioepis, from their experience with HADLIMA in the EU. We're excited about our pension line, which was created with the patient in mind to ensure simple administration, so we feel good about the attributes of our products and our positioning.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	That said, we have multiple projects launching midyear. We have also conveyed our assumption that 2023 will be a modest ramp, with the market for biosimilars really forming in 2024 to 2025. And then rounding out the discussion with established brands, which we believe continues to be the most underappreciated part of Organon story. The established brands franchise has had a number of hurdles to overcome this quarter, primarily the ongoing impact of volume-based procurement initiatives in China and supply constraints associated with the market action we took earlier in the year on [Indecipherable].
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	We also had a significant onetime benefit in the first quarter of last year related to some Japanese generics being. [Technical Issues] constant currency in the first quarter. The established brands franchise comprise of products that are generally beyond LOE, but still have opportunities for growth, especially in markets outside of the U.S. This was a portfolio that was in double-digit decline prior to the spin. With major LOE risk behind us, together with the entrepreneurial focus we have put behind managing these brands, we have seen an inflection in growth rates. We've stabilized the portfolio and expect to achieve another year of flat or better developments in 2023 at constant currency.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	Within established brands, China is an important market, representing about 20% of the established brands revenue. Despite multiple rounds of VBP in the last two years, the established brands revenue in China has not declined since spin. We expect to achieve similar flat performance in 2023 despite the continuing VBP impact this year on our largest product in China EZETROL. By the end of 2024, the majority of VBP impact will be behind us, and we expect growth in established brands in China to accelerate in line with the expectation we have for our total company business in China. I think, for some, it's a difficult proposition to understand how a portfolio of off-patent brands can demonstrate continued stability. So let me share a few examples.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	Since spin, we've had a renewed focus on [Indecipherable], a cardiovascular drug. We have intensified our commercial promotional effort to grow that business. We have pursued many life cycle management actions on the product and have also added production capacity, and there was a response. [Indecipherable] had sales of $457 million in 2022 represent 11% growth at exchange. Another example is NASONEX. NASONEX is a respiratory drug that was launched in 1997. It has been all patented in key markets for almost a decade in 2022 and delivered $260 million in revenue, growing about 17%. We are pursuing a number of life cycle management opportunities to address global demand that exists for NASONEX, and we are investing in manufacturing capabilities to support those plans.
Kevin Ali	Chief Executive Officer and Director at Organon & Co.	These are just two examples of ways we are unlocking the value that remains in these established brands. There are many more opportunities to do so among the 49 products in that franchise. So across the business, the year is off to a very good start, thanks to the hard work of our people around the world, the business is performing the way we thought it would, and each of our franchises is contributing to the success of organize. I'll turn it over to Matt now to go into some more financial details. Matt?
Matthew M. Walsh	Executive Vice President and Chief Financial Officer at Organon & Co.	Thanks, Kevin. Beginning on Slide 9, let's walk through the drivers of the 3% constant currency revenue growth in the quarter. Starting with the impact of loss of exclusivity. LOE was negligible in the first quarter, and the small amount that we did realize was related to generic competition for NuvaRing in the U.S. In the first quarter, we had about a $30 million impact from VBP in China, and that was related to the fourth quarter implementation of Round 7, which for Organon included EZETROL, which is sold at ZETIA in some markets outside of China. Moving across to price, we saw approximately $30 million of price erosion in the quarter.
Matthew M. Walsh	Executive Vice President and Chief Financial Officer at Organon & Co.	This was primarily driven by customer mix and pricing in U.S. fertility, which was exacerbated by an unfavorable comparison to Q1 of last year when we had a more favorable customer mix in fertility. In addition, the established brands portfolio is subject to mandatory pricing reductions in the first quarter of 2023, and that was particularly the case in Japan and in some EU markets. We continue to see strong volume increases across all of our franchises, about $100 million in the first quarter. The majority of the volume increase came from established brands, particularly in China and the APJ region, but also from biosimilars, fertility and contribution from Marvelon and Mercilon.
Matthew M. Walsh	Executive Vice President and Chief Financial Officer at Organon & Co.	The bar for supply other represents revenue to Merck and other third parties, which consists of relatively low-margin sales of pharmaceutical products under contract manufacturing arrangements, and which are expected to decline over time. And finally, you can see the financial reporting headwind we had in foreign exchange translation, about 450 basis points for the first quarter, which is a function of more than 75% of our revenue being generated outside the United States. While we're on that topic, let's turn to Slide 10, we'll take a look at revenue by geography. In the first quarter, as Kevin mentioned, China grew at constant currency primarily due to strong performance in the retail channel. And this growth was achieved despite the impact of VBP and despite the impact that COVID had on the fertility business in China early in the year.
Matthew M. Walsh	Executive Vice President and Chief Financial Officer at Organon & Co.	Asia Pacific, Japan grew 12% in the first quarter, driven by contraception, namely NEXPLANON and Marvelon and Mercilon as well as from established brands. For Marvelon and Mercilon in this region, just a reminder that this was a marketing rights acquisition that we did in February of 2022. In established brands, we do continue to benefit from generics being out of the market in Japan, but at a significantly lower level than we saw in the first quarter of last year. Established brands' strength for this region was mostly realized in countries outside of Japan we saw a pickup in demand for respiratory products associated with seasonally poor air quality.
