Speaker	Title	Content
Operator	Operator	Good afternoon and welcome to Occidental's First Quarter 2023 Earnings Conference Call. [Operator Instructions] After today's presentation, there will be an opportunity to ask questions. [Operator Instructions]
Operator	Operator	I would now like to turn the conference over to Neil Backhouse, Vice President of Investor Relations. Please go ahead.
Neil Backhouse	Vice President, Investor Relatio at Occidental Petroleum	Thank you, Jason. Good afternoon, everyone, and thank you for participating in Occidental's first quarter 2023 conference call. On the call with us today are Vicki Hollub, President and Chief Executive Officer; Rob Peterson, Senior Vice President and Chief Financial Officer; and Richard Jackson, President, Operations, US Onshore Resources and Carbon Management.
Neil Backhouse	Vice President, Investor Relatio at Occidental Petroleum	This afternoon, we will refer to slides available on the Investors section of our website. This presentation includes a cautionary statement on Slide two regarding forward-looking statements that will be made on the call this afternoon. We'll also reference a few non-GAAP financial measures today. Reconciliations to the nearest corresponding GAAP measure can be found in the schedules to our earnings release and on our website.
Neil Backhouse	Vice President, Investor Relatio at Occidental Petroleum	I'll now turn the call over to Vicki. Vicki, please go ahead.
Vicki Hollub	President and Chief Executive Officer at Occidental Petroleum	Thank you, Neil, and good afternoon, everyone. The operational and financial successes we achieved last year continued into 2023, as I will detail in our first quarter call. Our operational excellence and disciplined approach to capital spending enabled us to meaningfully progress our shareholder return framework. Our continued efforts to strengthen our balance sheet culminated in regaining an investment-grade credit rating from Moody's.
Vicki Hollub	President and Chief Executive Officer at Occidental Petroleum	This afternoon, I will begin by covering our first quarter performance, followed by an update on several accomplishments in our oil and gas business. In light of recent market volatility, I will then go over the cash flow priorities established during our last call and highlight the progress made in transferring enterprise value to our common shareholders. Then Rob will detail the commencement and status of the preferred equity redemption before covering our financial results and guidance, including an increase to full year oil and gas production and an OxyChem pre-tax earnings.
Vicki Hollub	President and Chief Executive Officer at Occidental Petroleum	Our operational success even in the first quarter's lower commodity price environment enabled us to generate approximately $1.7 billion of free cash flow before working capital. Excess cash was primarily allocated towards approximately $750 million of common share repurchases in the quarter, accounting for over 25% of our $3 billion share repurchase program and triggering the redemption of nearly $650 million of preferred equity.
Vicki Hollub	President and Chief Executive Officer at Occidental Petroleum	Operationally, we exceeded our production guidance midpoint by approximately 40,000 BOE per day, following a prolific first quarter across our premier asset portfolio. In the Gulf of Mexico, we achieved our highest quarterly production in over a decade. This outperformance was partially driven by higher uptime in the Horn Mountain and the outperformance following the successful Caesar Tongo Subsea system expansion project, which was completed in December.
Vicki Hollub	President and Chief Executive Officer at Occidental Petroleum	Our Permian production benefited from strong new well performance and higher operability, primarily in the Texas, Delaware. In the Rockies, strong base and new well performance, and higher operated by other volumes in the DJ Basin resulted in higher-than-expected production. Internationally, our businesses performed well. Most notably, the Al Hosn gas expansion project is ahead of schedule because of the team's ability to integrate expansion work with annual turnarounds. The production ramp-up has commenced earlier than anticipated and has already led to a daily production record.
