Speaker	Title	Content
Operator	Operator	Greetings, and welcome to the PENN Entertainment First Quarter 2023 Results Conference Call. [Operator Instructions] I would now like to turn the conference over to Mr. Joe Jaffoni, Investor Relations. Please go ahead.
Joe Jaffoni	Investor Relations at PENN Entertainment	Thanks, Frank. Good morning, everyone, and thank you for joining PENN Entertainment's 2023 First Quarter Conference Call. We'll get to management's presentation and comments momentarily as well as your questions and answers. [Operator Instructions] Now I'll review the safe harbor disclosure. In addition to historical facts or statements of current conditions, today's conference call contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995, which involve risks and uncertainties.
Joe Jaffoni	Investor Relations at PENN Entertainment	These statements can be identified by the use of forward-looking terminologies such as expects, believes, estimates, projects, intends, plans, seeks, may, will, should or anticipates or the negative or other variations of these or similar words or by discussion of future events, strategies or risks and uncertainties, including future plans, strategies, performance, developments, acquisitions, capital expenditures and operating results. Such forward-looking statements reflect the company's current expectations and beliefs but are not guarantees of future performance. As such, actual results may vary materially from expectations.
Joe Jaffoni	Investor Relations at PENN Entertainment	The risks and uncertainties associated with the forward-looking statements are described in today's news announcement and the company's filings with the Securities and Exchange Commission, including the company's reports on Form 10-K and Form 10-Q. PENN Entertainment assumes no obligation to publicly update or revise any forward-looking statements. Today's call and webcast will include non-GAAP financial measures within the meaning of SEC Regulation G. When required, a reconciliation of all non-GAAP financial measures to the most directly comparable financial measures calculated and presented in accordance with GAAP can be found in today's press release as well as on the company's website.
Joe Jaffoni	Investor Relations at PENN Entertainment	With that, it's now my pleasure to turn the call over to the company's CEO, Jay Snowden. Jay, please go ahead.
Jay Snowden	Chief Executive Officer at PENN Entertainment	Thanks, Joe. Good morning, everyone. I have here with me in Wyomissing, our CFO, Felicia Hendrix; and our Head of Operations, Todd George as well as other members of the executive team who can help answer any questions that you may have during Q&A. As for the first time, as an official member of our Penn family, we're also joined by Erika Ayers, CEO of Barstool Sports. As you know, we completed our acquisition of Barstool on February 17, and our integration efforts to date have gone as planned, but more on that in a moment. First, we're pleased to report that Penn delivered another solid quarter with consistent retail performance across most of our portfolio.
Jay Snowden	Chief Executive Officer at PENN Entertainment	Our properties proved to be more resilient than initially anticipated, given the increased supply in a few markets and the ongoing uncertain macroeconomic environment. Turning to slide four in our investor presentation. Penn generated first quarter revenues of $1.67 billion and adjusted EBITDAR of $478.2 million with strong performance in our Northeast segment helping to offset softer year-over-year results in the South. As you'll see on slides five and six, our retail EBITDAR margins were negatively impacted by approximately 100 basis points due to the regional shift in our gaming revenues year-over-year to the Northeast, which has a higher blended tax rate of approximately 42% versus the South, which is approximately 22%, and to a lesser extent, the settlement of certain property litigation matters.
Jay Snowden	Chief Executive Officer at PENN Entertainment	Looking beyond the first quarter, April really was a story of two halves. We started the month off slowly with the Easter weekend but finished strong in the final two weeks, including having our number one company-wide slot volume weekend of the year so far in the last weekend of April. Given our Q1 performance, combined with current trends, we are increasing our prior revenue guidance for the year to reflect the acquisition of Barstool Sports while maintaining our current adjusted EBITDAR guidance. Felicia will be providing more color on our guidance in a few minutes. Turning to slide nine. We generated over 350,000 new sign-ups this quarter for our industry-leading customer loyalty program, which is a 13% increase year-over-year. 63% of our Q1 database growth came from our online offerings.
Jay Snowden	Chief Executive Officer at PENN Entertainment	Notably, in Q1, we saw the strongest growth rates in our 65-plus-year-old age segment and rated theoretical revenue. These guests appear to be returning to more normal pre-COVID behavior of late and are responding well to our added amenities and continued improvements in our non-gaming offerings. At the same time, the 21- to 44-year-old age demographic was stable in Q1 year-over-year after very strong growth throughout 2021 and 2022 and continues to grow significantly when compared to 2019. This age segment has grown from 13% of total rated theoretical in Q1 2019 to 18.5% in Q1 of 2023. Our VIP play also remained strong in Q1 with year-over-year increase in both guest count and frequency of visitation.
Jay Snowden	Chief Executive Officer at PENN Entertainment	The positive momentum in our database comes at a perfect time as we recently launched PENN Play, our enhanced and rebranded customer loyalty program, which is designed to help better align all of our brands under the PENN Entertainment umbrella and create a more seamless omnichannel experience. Some of the new perks include the ability for day one customers to begin immediately earning meaningful rewards just by signing up. In addition, members can now earn loyalty points across all of our business verticals, interactive as well as retail gaming and -- marketplace, featuring popular retailers where they can redeem gifts and earn tier points and PENN cash on everyday items.
