Speaker	Title	Content
Operator	Operator	Good day, and thank you for standing by. Welcome to the Parker-Hannifin's Fiscal 2023 Third Quarter Earnings Conference Call and Webcast. [Operator Instructions]
Operator	Operator	I would now like to hand the conference over to Todd Leombruno, Chief Financial Officer. Please go ahead.
Todd M. Leombruno	Executive Vice President and Chief Financial Officer at Parker-Hannifin	Thank you, Chris. And good morning, everyone, and thank you for joining Parker's fiscal year 2023 Q3 earnings release webcast. As Chris said, this is Todd Leombruno, Chief Financial Officer, speaking. And joining me today is Jennifer Parmentier, our Chief Executive Officer; and Lee Banks, our Vice Chairman and President. Our third quarter results were released this morning. And just a reminder, today we will be addressing forward projections and non-GAAP financial measures. On slide two of this presentation you will find further details to our disclosure in these areas. Actual results may vary from our projections based on some of the details that are listed on this slide. Our press release, this presentation and all reconciliations of non-GAAP financial measures are available under our Investors section at parker.com, and they will remain available for one year.
Todd M. Leombruno	Executive Vice President and Chief Financial Officer at Parker-Hannifin	We're going to begin the call today with Jenny addressing highlights of the third quarter and really touching on how Parker is so well positioned for the future. I will follow with a brief financial summary and then review the increase to our guidance that we released this morning. Jenny will then wrap up with summary comments, and then Jenny, Lee and myself will address any questions from the queue.
Todd M. Leombruno	Executive Vice President and Chief Financial Officer at Parker-Hannifin	I will all ask you now to address yourself to slide three. And Jenny, I'll hand over to you.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	Thank you, Todd. Good morning to everyone and thank you for joining our call today. Q3 was a quarter of outstanding performance across all of Parker. Starting with safety. We remain in the top quartile with a 17% reduction in recordable incidents. Safety has been and will continue to be our top priority. We had record sales of $5.1 billion in the quarter, a 24% increase over prior year with organic growth of 12%. The Win Strategy and portfolio changes have clearly delivered record performance, driving a full year guidance increase. We are increasing the quarterly dividend 11% over last year, and we are happy to report today that the Meggitt integration and synergies are ahead of schedule for fiscal year 2023.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	Moving to slide four, please. We couldn't be more pleased with the enthusiasm and dedication of the talented Meggitt team, further evidence to the shared heritage and culture identified early in the acquisition process. From the start of the integration, safety and engagement has been top priority. We have the key leaders and structure in place to ensure performance into the future and the Win Strategy deployment is well underway. The team picture on the right of this page is from a recent Kaizen event held in the Ansty Park UK location. And at the end of March, we held a Win Strategy training session here in Cleveland with over 50 leaders from various Meggitt locations. There are multiple examples of where the Win Strategy has already taken root and is being used to improve the business.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	We are confident in our assumptions around working capital opportunities and are already starting to see some of them materialized. We are increasing our FY 2023 synergies from $60 million to $75 million, and we remain committed to achieving $300 million in synergies by FY 2026. Slide five, please. With the addition of Meggitt to our portfolio, we are well positioned for long aerospace cycle growth. We have significant content on premier commercial and military programs, all the right ones with a growing bill of material. These are long life cycle programs with a growing aftermarket well into the future. As a reminder, with the addition of Meggitt, our aerospace aftermarket has increased 500 basis points. We are greatly benefiting from the recovery of the aerospace market. Commercial MRO and OEM is very strong and military is positioned to do well in the upcoming years.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	With the addition of Meggitt complementary technologies, we provide a comprehensive offering and a stronger bill of material that allows us to add value and help solve our customers' problems. We have key technologies such as advanced sensors for more efficient engine control, thermal management systems for higher heat loads and lightweight materials for reduced fuel consumption, all of these enabling sustainable aviation. Aerospace and defense markets are now 30% of our sales. All of this adds up to significantly increased shareholder value. Slide six, please. Many of you have seen this slide before as we introduced it last year at our Investor Relations Day. Over the last eight years, we have strategically reshaped the portfolio to double the size of aerospace, filtration and engineered materials. The combination of the portfolio changes and secular trends is already and will continue to create a profound shift in our sales mix.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	By FY 2027, we will have approximately 85% of the company in long cycle end markets or industrial aftermarket. This mix shift is further reason while we will grow differently in the future, and it is why we are committed to our FY 2027 target of 4% to 6% organic growth over the cycle. Slide seven, please. A lot of discussion, questions and inquiries lately on backlog. And as you can see by the chart on the left of this page, our backlog is at a record level. What is encouraging is that in Q3, we saw our backlog dollars increased 3% sequentially. Since FY 2016, we've seen a three times increase in backlog dollars and a two times increase in backlog coverage. Very important to note here that we are constantly analyzing the backlog at the division and group level and staying close to our customers on the health of the backlog. We know from the past that it isn't bulletproof. But having said that, this consistent growth over time is an indicator that the portfolio changes are changing the company.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	Slide eight, please. As demonstrated by the strong performance in the quarter, and the increasing power of our transformed portfolio, I want to share a few slides with you on why Parker is built for the present and the future. Slide nine, please. Parker has a proven business system, the Win Strategy 3.0. Whenever I talk to anyone about the Win Strategy, whether it's a new Parker team member or someone externally, I'd say the same thing. Trust me. I've used it and it works. It is a system focused on the fundamentals. We trust the process, and we know that making the safety and engagement of our team members, our top priority consistently delivers results. Our Lean tools, Kaizen culture, supply chain and simplification initiatives have driven margin expansion and will continue to do so well into the future.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	Our increased aerospace exposure is delivering results today as well as our 800 basis points expansion of international distribution, which still has room for growth. Our innovation sales are two times the previous decade. And we have a new annual incentive plan that incentivizes the right behaviors and driving intensity around profitable growth throughout the whole company. Nearly all of our 65,000 team members are on this plan as of this fiscal year. Now more than ever, we have better top line resilience. Slide 10, please. And the good news is we have significant opportunities ahead. As I mentioned earlier, approximately 85% of our portfolio will be longer cycle and more resilient. There are strong Meggitt growth opportunities well into the future, and we are confident in achieving the $300 million in synergies by FY 2026. The Win Strategy 3.0 performance acceleration will further drive margin expansion and ensure we hit our FY 2027 goals.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	As I mentioned in our February call, the pandemic and subsequent increase in volume exposed some areas that we can further improve upon to become supply chain leaders. We will utilize new tools and strategies to respond to changing demand while increasing productivity and achieving best-in-class lead times. Simplify design has become a business fundamental and will continue to drive us to design excellence by reducing complexity and overall product costs, thus helping to further expand our margins.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	We're very excited about zero defects. It's still early days. It exposes the hidden factory, improves quality, reduces cost, expands margins and most importantly, provides a better overall customer experience. And with all of the announced and already initiated Meggitt capital projects in addition to the secular trends, we will grow differently in the future.
Jennifer A. Parmentier	Chief Executive Officer at Parker-Hannifin	I'll now hand it over to Todd.
Todd M. Leombruno	Executive Vice President and Chief Financial Officer at Parker-Hannifin	Thank you, Jenny. Just for reference, everyone, I'm going to start on slide 12 with just the Q3 financial summary. It was a stellar quarter for the company. Every number on this page highlighted in the gold box is a record for Q3, every single number. And Jenny did mention this, but we did surpass $5 billion in sales for the first time for a quarter in the history of the company. Reported sales were up 24% versus prior year. Organic sales were very robust at approximately 12% in the quarter, and that did extend our string of double-digit organic growth quarters. The net of acquisitions and divestitures did have a favorable impact on sales. That was approximately 15%. And currency still remains negative, but it's basically exactly as we forecast. It's minus 2.4% impact for the quarter and that is obviously unfavorable to prior year.
Todd M. Leombruno	Executive Vice President and Chief Financial Officer at Parker-Hannifin	When you look at adjusted segment operating margins, we did exceed our forecast. We finished at 23.2% for the quarter. That's an increase of 50 basis points versus prior year. It's the first time in history of the company that we surpassed 23% for a full quarter. So impressive results really across the board. When you look at dollars on segment operating margin, we generated nearly $1.2 billion in segment operating margin dollars. That itself is a 27% increase from prior year. And it happens to be the second quarter in a row that the company has generated over $1 billion in adjusted segment operating dollars. When you look at EBITDA, another record here, we surpassed 24% for the first time. In the history of the company, we finished at 24.2% and adjusted net income of $772 or 15.2% ROS, was an improvement of 22% versus prior year.
