Speaker	Title	Content
Operator	Operator	Good day, everyone, and welcome to the Pinnacle West Capital Corporation 2023 First Quarter Earnings Conference Call.
Operator	Operator	[Operator Instructions]
Operator	Operator	It is now my pleasure to turn the floor over to your host, Amanda Ho. Ma'am, the floor is yours.
Amanda Ho	Director of Investor Relations at Pinnacle West Capital	Thank you, Matt. I would like to thank everyone for participating in this conference call and webcast to review our fourth quarter and full year 2023 earnings, recent developments and operating performance. Our speakers today will be our Chairman and CEO, Jeff Guldner; and our CFO, Andrew Cooper; Ted Geisler, APS President; Jacob Tetlow, Executive Vice President of Operations; and Jose Esparza, Senior Vice President of Public Policy, are also here with us.
Amanda Ho	Director of Investor Relations at Pinnacle West Capital	First, I need to cover a few details with you. The slides that we are using are available on our Investor Relations website, along with our earnings release and related information. Today's comments and our slides contain forward-looking statements based on current expectations, and actual results may differ materially from expectations. Our annual 2023 Form 10-Q was filed this morning.
Amanda Ho	Director of Investor Relations at Pinnacle West Capital	Please refer to that document for forward-looking statements, cautionary language as well as the Risk Factors and MD&A section which identify risks and uncertainties that could cause actual results to differ materially from those contained in our disclosures. A replay of this call will be available shortly on our website for the next 30 days. It will also be available by telephone through May 11, 2023. Now I'll turn the call over to Jeff.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	Great. Thanks, Amanda, and thank you all for joining us today. 2023 has started off in line with the financial guidance that we provided on the fourth quarter call in February. And before Andrew discusses the details of our first quarter results, I'll provide a few updates on recent operational and regulatory developments. First off, as you know, safety is our number 1 priority, and I do want to take this opportunity to congratulate our employees for keeping safety in sharp focus in the first quarter, especially through an unseasonably long and challenging winter period.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	We discussed summer preparedness quite extensively, and that is our longest and highest peak demand season in Arizona. But winter preparedness is also an important part of how we reliably serve our customers throughout the year. We have an extremely diverse and broad service territory, serving 11 out of 15 counties in Arizona. And so in addition to the desert regions that most people associate with the state, APS also serves communities at much higher altitudes. This year, northern Arizona saw one of the wettest winter seasons in recent history.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	In fact, Flagstaff set a record for the second highest snowfall total through March one in over 100 years. Despite slippery roads, hazardous conditions and freezing temperatures, our crews were able to restore power safely and quickly to our customers when they needed it the most. With winter now officially behind us, we've quickly moved to preparing for the summer. While we always have had a robust summer preparedness program, resource adequacy continues to be extremely important as energy supplies in the southwest tighten.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	To serve our customers with top-tier reliability each year, we perform preventative maintenance, emergency operations center drills, acquire critical spare equipment, conduct fire mitigation line controls and execute a comprehensive plan to support public safety and first responders. Also during the first quarter, our Palo Verde nuclear facility operated a 100% capacity factor. Unit two is currently in a planned refueling outage that began on April eight and is on schedule to return to service in early May.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	Upon successful completion of the latest refueling outage, all three units are poised to provide around-the-clock clean energy to help meet the demands of the summer for the entire Desert Southwest. In addition, our resource planning process helps ensure long-term resource adequacy and progress towards our clean energy commitment. We do plan to file our 2023 integrated resource plan later this year. That will include a 15-year forecast of electricity demand and the resources needed to reliably serve our customers.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	We're currently engaging with a wide variety of stakeholders to gather input and feedback as we prepare that plan. I'm also extremely pleased to announce the completion of 141 megawatts of APS-owned batteries at our Arizona sun sites with an additional 60 megawatts that we expect to be completed by midyear. We also expect our 150-megawatt Agave solar plant to be in service in the next few months. We look forward to having these critical resources serve customers during the peak summer season.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	And we're also finalizing project selections from our 2022 all-source RFP, and we've recently signed four PPAs to be in service by 2024 and 2025. Finally, APS is actively working on another all-source RFP that's expected to be released midyear, and that will be for new resources to be in service by 2026 through 2028. Additionally, we reached an exciting milestone in our clean energy journey on March 26 when our highest hours served by clean percent metric peaked at 99%. And during that hour, we also reached 58% renewable energy.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	Our participation in the energy imbalance market and our continued effort in exploring an expanded Western energy market will be critical to maintaining customer reliability and affordability into the future. We're also starting the year with solid J.D. Power Residential Customer Satisfaction Survey scores that firmly place APS within the second quartile for overall satisfaction when compared to its large investor-owned peers. We made gains in both power quality and reliability and corporate citizenship in the first quarter, and this was especially positive, given the challenging winter season that I spoke about earlier.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	We look forward to continuing to make improvements for our customers and providing a more frictionless customer experience. And then turning to regulatory. We continue to work through the rate case process. Expect that staff and intervenor direct testimony will be filed right now scheduled for May 22 for revenue requirement and June five for rate design. In addition, in March, we received a favorable decision from the Arizona Court of Appeals on our appeal of the last rate case decision.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	We are pleased that the Court of Appeals clarified the prudency standard that must be applied by the commission in their evaluation for recovery of investments that we make. The Four Corners Power Plant is a critically important reliability asset for the entire Southwest region, and the investment in SCRs was required to keep that plant running under federal law. Right now, parties have until May eight to file a petition for review to the Supreme Court. No one has filed that petition yet.
Jeffrey B. Guldner	Chairman, President & Chief Executive Officer at Pinnacle West Capital	And we look forward to working with the commission and other parties to resolve this in a matter -- in the most efficient way that we can. So although 2023 is off to a solid start, we know we still have much work to do, and we look forward to continuing to execute on our priorities throughout the year. And with that, I'll turn the call over to Andrew. Andrew?
Andrew D. Cooper	Vice President & Chief Financial Officer at Pinnacle West Capital	Thank you, Jeff, and thanks again to everyone for joining us today. This morning, we reported our first quarter 2023 financial results. I will review those results and provide additional details on weather impacts, sales and guidance. While lower than last year, 2023 has started off in line with our expectations. We lost $0.03 per share this quarter, $0.18 lower than first quarter 2022. Weather, along with sales and customer growth, were the primary benefits this quarter, offset by higher O&M, interest, depreciation as well as a smaller benefit from pension and OPEB.
Andrew D. Cooper	Vice President & Chief Financial Officer at Pinnacle West Capital	Weather provided an earnings benefit this quarter, primarily driven by the lengthy winter season Jeff mentioned earlier. According to the National Weather Service, the first three months of the year were the coolest start to a year in the Phoenix Metropolitan area since 1979, with March of 2023 being the coldest March in more than 30 years. The resulting impact was an increase in energy sales in the first quarter as residential heating degree days increased about 51% compared to the same time frame a year ago and were 57% higher than the historical 10-year average.
Andrew D. Cooper	Vice President & Chief Financial Officer at Pinnacle West Capital	Turning to customer and sales growth. We experienced 2% total retail customer growth in the first quarter, which is in line with our guidance range of 1.5% to 2.5%. Additionally, weather-normalized sales growth remained strong at 3.6% for the quarter and is also within our guidance range. The first quarter weather-normalized sales growth is comprised of 2.8% residential growth and 4.3% C&I growth. As previously discussed, our 2023 sales growth is driven by several large customers expanding and ramping up their usage.
