Speaker	Title	Content
Operator	Operator	Good day, and welcome to the PPL Corporation First Quarter 2023 Earnings Conference Call. [Operator Instructions]
Operator	Operator	I would now like to turn the conference over to Mr. Andy Ludwig, Vice President and Investor Relations. Please go ahead, sir.
Andrew Ludwig	Vice President of Investor Relations at PPL	Good morning, everyone, and thank you for joining the PPL Corporation Conference Call on First Quarter 2023 financial results. We have provided slides for this presentation on the Investors section of our website. We'll begin today's call with updates from Vince Sorgi, PPL President and CEO; and Joe Bergstein, Chief Financial Officer and conclude with a Q&A session following our prepared remarks. Before we get started, I'll draw your attention to slide two and a brief cautionary statement. Our presentation today contains forward-looking statements about future operating results or other future events.
Andrew Ludwig	Vice President of Investor Relations at PPL	Actual results may differ materially from these forward-looking statements. Please refer to the appendix of this presentation and PPL's SEC filings for a discussion of some of the factors that could cause actual results to differ from the forward-looking statements. We will also refer to non-GAAP measures, including earnings from ongoing operations and adjusted gross margins on this call. For reconciliations to the comparable GAAP measures, please refer to the appendix.
Andrew Ludwig	Vice President of Investor Relations at PPL	I'll now turn the call over to Vince.
Vincent Sorgi	President and Chief Executive Officer at PPL	Thank you, Andy, and good morning, everyone. Welcome to our first quarter investor update. Let's start with our financial results and a few highlights from the quarter on slide four. Today, we announced first quarter reported earnings of $0.39 per share. Adjusting for special items, first quarter earnings from ongoing operations were $0.48 per share compared with $0.41 per share a year ago. This increase was supported by solid results from our newly acquired Rhode Island business as well as lower O&M expenses, partially offset by lower sales volumes due to the mild winter weather and higher interest expense. We remain confident in our ability to deliver on our 2023 ongoing earnings forecast of $1.50 to $1.65 per share with a midpoint of $1.58 per share. Joe will speak to this more in his detailed review of our financial results.
Vincent Sorgi	President and Chief Executive Officer at PPL	In addition to solid financial performance, we continue to execute on our commitment to provide safe and reliable electric and gas service to our more than 3.5 million customers. This includes managing several significant storms at our utilities, including a severe March windstorm in Kentucky, the third most significant weather event in the last 20 years in our service territory. Our teams with the help of mutual assistance from several of our peers restored power to more than 400,000 LG&E and KU customers. I thank each one of our men and women, as well as all those that provided mutual assistance for their dedication, commitment to safety and demonstrated operational excellence.
Vincent Sorgi	President and Chief Executive Officer at PPL	From a financial perspective, we received approval to treat nearly $20 million of Q1 O&M costs related to this extraordinary event as a regulatory asset. These types of events emphasize the importance of the investments we are making across our company to harden and improve the resiliency of our network. As the frequency of these events continues to increase, it becomes even more critical to ensure we are taking proactive steps to prepare our distribution and transmission networks. And we look forward to delivering on that goal in the most affordable way possible for our customers. We've also made significant progress during the first quarter in several areas that will improve our operating efficiency, deliver our clean energy strategy and improve service to our customers.
Vincent Sorgi	President and Chief Executive Officer at PPL	First, we continue to execute our plan in transitioning Rhode Island Energy to PPL systems and remain on track to exit the remaining transition services with National Grid in 2024. We also advanced several key regulatory proceedings, which I'll discuss further on the next couple of slides. Further, we successfully executed more than $3 billion of financings in the first quarter, reducing our interest rate exposure and strengthening our ability to achieve our top-tier earnings growth target. And finally, our execution of approximately $600 million in capital investments during the first quarter, keeps us on track to invest nearly $2.5 billion in infrastructure investments this year.
Vincent Sorgi	President and Chief Executive Officer at PPL	These investments benefit both customers and share owners as we continue to advance our strategy to create the utilities of the future. As a result, today, we are reaffirming our plans to invest nearly $12 billion in infrastructure improvements through 2026 to modernize our electric and gas networks and replace retiring generation in Kentucky. Looking forward, we remain confident in the low-risk business plan we outlined in January and reaffirmed our projected compound annual earnings per share and dividend growth rate of 6% to 8% through at least 2026. Turning to slide five. We were pleased to secure a positive outcome in our first infrastructure, safety and reliability proceedings before the Rhode Island Public Utilities Commission.
