Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, thank you for standing-by and welcome to the Public Storage First Quarter 2023 Earnings Call. [Operator Instructions].
Operator	Operator	It is now my pleasure to turn the floor over to Ryan Burke, Vice-President of Investor Relations. Ryan, you may begin.
Ryan Burke	Vice President, Investor Relations at Public Storage	Thank you, Brittany. Hello everyone. Thank you for joining us for our first-quarter 2023 earnings call. I'm here with Joe Russell and Tom Boyle.
Ryan Burke	Vice President, Investor Relations at Public Storage	Before we begin, we want to remind you that certain matters discussed during this call may constitute forward-looking statements within the meaning of the federal securities laws. These forward-looking statements are subject to certain economic risks and uncertainties. All forward-looking statements speak only as of today, May 4, 2023, and we assume no obligation to update, revise or supplement statements that become untrue because of subsequent events.
Ryan Burke	Vice President, Investor Relations at Public Storage	A reconciliation to GAAP of the non-GAAP financial measures we provide on this call is included in our earnings release. You can find our press release, supplement report, SEC reports and an audio replay of this conference call on our website at publicstorage.com. We do ask that you initially keep your questions limited to two. Of course, if you have additional questions, feel free to jump back in queue.
Ryan Burke	Vice President, Investor Relations at Public Storage	With that. I'll turn the call over to Joe.
Joe Russell	President and Chief Executive Officer at Public Storage	Thank you, Ryan, and thank you for joining us today. Public Storage had a very good start to 2023. We remain focused on leading the self-storage industry, digital evolution, transforming our own operating model and enhancing and growing the portfolio.
Joe Russell	President and Chief Executive Officer at Public Storage	In the quarter, we achieved new milestones on several of our key initiatives, which included: Exceeding 60% of customers choosing to move in through our e-rental online lease. Eclipsing 2 million downloads of the Public Storage mobile app. Reaching 400 properties on our customer demand-driven digital operating platform. Installing solar at more than 200 properties, putting us on track to complete at least a 1,000 property installations within the next three years. Completion of over 70% of the Property of Tomorrow enhancement program. Growing NOI by 29% across the 529 acquisition and development properties in our non-same store pool. And driving the industry's largest development pipeline to an excess of $1 billion to be delivered over the next 24 months.
Joe Russell	President and Chief Executive Officer at Public Storage	We had a strong operating performance in the first-quarter, particularly with existing customers performing well and same-store move-in volume up nearly 13%. Length of stays are strong and same-store revenues were up nearly 10% Year-over-Year. Our exceptionally large non-same store acquisition and development pool now nearly 25% of the overall portfolio continues to outperform as well.
Joe Russell	President and Chief Executive Officer at Public Storage	Fundamentally, self-storage is a need-based business with demand drivers that are multi-dimensional and fluid throughout economic cycles. We also continue to benefit from people spending more time at home, which has increasing permanence with remote and hybrid work here to stay. Additionally, with a return to more seasonal patterns of demand, we are currently also seeing an uptick in move-in activity that has continued into the second-quarter.
Joe Russell	President and Chief Executive Officer at Public Storage	We also continue to find good opportunity in development and redevelopment as well, with a vibrant pipeline poised to generate growth for years to come. Our unique ability to weather economic cycles serves us well, particularly, while other developers have slowed their activity due to higher interest rates, cost pressures, difficult municipal processes and concern over the near macro term landscape.
Joe Russell	President and Chief Executive Officer at Public Storage	Now I'll turn the call over to Tom to discuss acquisition market and financial performance.
Tom Boyle	Senior Vice President and Chief Financial Officer at Public Storage	Thanks Joe. The transaction market has been relatively quiet to start the year as potential sellers feel out the macro-environment, higher interest rates and the spread between buyer and seller expectations. That said, we have closed or are under contract to acquire nearly $200 million right on-track for our $750 million outlook for the year. The vast majority of our acquisitions this year have been done off-market quietly. More recently, we've been encouraged by an increase in inbounds, which are primarily small-to-medium sized portfolios. We're in a great position to acquire today given our cost and access to capital advantages, paired with our industry-leading NOI margins.
Tom Boyle	Senior Vice President and Chief Financial Officer at Public Storage	Now on the financial performance. As Joe mentioned, we started the year strong, reporting core FFO of $4.08 for the quarter, representing 16.2% growth over the first-quarter of 2022, excluding the contribution from PSB. Looking at the components, in the same-store, our revenue increased 9.8% compared to the first-quarter of 2022. We drove strong move-in volumes, up 13% during the quarter, heading into our peak leasing season. And the existing tenant base remains strong with length of stays sitting at record.
Tom Boyle	Senior Vice President and Chief Financial Officer at Public Storage	Same-store cost of operations were up five 5.6%, leading to total net operating income for the same-store pool of stabilized properties growing 11.2% for the quarter. In addition to the same-store, the lease-up and performance of the recently-acquired and developed facilities remained a standout in the quarter, growing 29% compared to last year.
Tom Boyle	Senior Vice President and Chief Financial Officer at Public Storage	Shifting to the outlook, we lifted our outlook for the year, driven by increasing our same-store revenue assumptions. While the macro-environment remains uncertain, performance to date has been encouraging. We're set up well heading into the second-quarter. Last but not least, our capital and liquidity position remains rock-solid.
Tom Boyle	Senior Vice President and Chief Financial Officer at Public Storage	Our net leverage of 3.3 times combined with $700 million of cash-on-hand at quarter-end puts us in a very strong position for capital allocation as we move through the year. Now, I will turn it back to Joe.
Joe Russell	President and Chief Executive Officer at Public Storage	Thanks Tom. Our people, technology, platforms, balance sheet and brand have and will be continually enhanced to create and strengthen the competitive advantages we have across the entire Public Storage enterprise. We see opportunity in the current environment and are poised to execute with focus on delivering growth and value for our shareholders. Let's go ahead and open the call up for questions.
Operator	Operator	[Operator Instructions] And we'll take our first question from Juan Sanabria with BMO Capital Markets.
