Speaker	Title	Content
Operator	Operator	Greetings. Welcome to Quanta Services First Quarter 2023 Earnings Conference Call. [Operator Instructions]
Operator	Operator	At this time, I'll turn the conference over to Kip Rupp, Vice President, Investor Relations. Kip, you may now begin.
Kip Rupp	Vice President Investor Relations at Quanta Services	Thank you, and welcome, everyone, to the Quanta Services First Quarter 2023 Earnings Conference Call. This morning, we issued a press release announcing our first quarter 2023 results which can be found in the Investor Relations section of our website at quantaservices.com, along with a summary of our 2023 outlook and commentary that we will discuss this morning. Additionally, we will use a slide presentation this morning to accompany our prepared remarks which is viewable through the call's webcast and is also available on the Investor Relations section of the Quanta Services website. Please remember that information reported on this call speaks only as of today, May 4, 2023, and therefore, you -- advised that any time-sensitive information may no longer be accurate as of any replay of this call.
Kip Rupp	Vice President Investor Relations at Quanta Services	This call will include forward-looking statements intended to qualify under the safe harbor from liability established by the Private Securities Litigation Reform Act of 1995, including all statements reflecting expectations, intentions, assumptions or beliefs about future events or performance or that do not solely relate to historical recurrent facts. You should not place undue reliance on these statements as they involve certain risks, uncertainties and assumptions that are difficult to predict or beyond Quanta's control, and actual results may differ materially from those expressed or implied. We'll also present certain historical and forecasted non-GAAP financial measures.
Kip Rupp	Vice President Investor Relations at Quanta Services	Reconciliations of those financial measures to their most directly comparable GAAP financial measures are included in our earnings release and slide presentation. Please see slide two and the appendix of the slide presentation for additional information regarding our forward-looking statements and non-GAAP financial measures. Lastly, if you would like to be notified when Quanta publishes news releases and other information, please sign up for e-mail alerts through the Investor Relations section of quantaservices.com. We also encourage investors and others interested in our company to follow Quanta IR and Quanta Services on the social media channels listed on our website.
Kip Rupp	Vice President Investor Relations at Quanta Services	With that, I would like to now turn the call over to Mr. Duke Austin, Quanta's President and Chief Executive Officer. Duke?
"Earl C. ""Duke"" Austin"	President and Chief Executive Officer at Quanta Services	Thanks, Kip. Good morning, everyone, and welcome to Quanta Services First Quarter 2023 Earnings Conference Call. On the call today, I will provide operational and strategic commentary, and we'll then turn it over to Jayshree Desai, Quanta's Chief Financial Officer, to provide a review of our first quarter results, full year 2023 financial expectations. Following Jayshree's comments, we welcome your questions. Before we begin reviewing our financial results, I would like to briefly highlight the recognition that Quanta recently received from Engineering News Record, a leading engineering and construction industry publication. In our selected Quanta for its prestigious and highest honor, the award of excellence.
"Earl C. ""Duke"" Austin"	President and Chief Executive Officer at Quanta Services	Quanta was selected for its safety leadership with our innovative capacity model, a unique safety and training program that is designed to not only create a work environment that prevents incidents, but also build in the capacity to sell safely and it focuses on learning from mistakes in order to drive improved outcomes. Quanta is changing how we, our customers and the industry think about safety excellence, and I want to congratulate Quanta employees for their dedication to safety and their shared success in being recognized with this award. Our first quarter results, which include double-digit revenue growth and adjusted diluted EPS of $1.24 demonstrate a good start to the year. More importantly, we continue to enhance our self-perform model and remain on track to achieve our full year 2023 and multiyear expectations. Additionally, total backlog at the quarter end was $25.3 billion, a record and considerably higher than the same period last year. Notably, we see opportunity to significantly increase backlog as we move through the year, driven by our base business and larger energy transition projects, such as the SunZia Transmission and SunZia Wind projects we announced this morning.
"Earl C. ""Duke"" Austin"	President and Chief Executive Officer at Quanta Services	We believe we are in the early stages of capitalizing on significant opportunities across our service lines, which are driven by our collaborative solution-based approach that is designed to ultimately benefit consumers. Additionally, the growth of the programmatic spending with existing and new customers and favorable megatrends provide greater flex visibility into our near- and long-term growth outlook. Our Electric Power Infrastructure Solutions segment continued to perform well and generated record quarterly revenues. Demand for our services is strong, driven by broad-based business activity from utility grid modernization, grid security and system hardening initiatives as well as our reputation for consistent and safe execution. We continue to work with our customers to provide them with resources to meet their capital deployment initiatives and to help them address supply chain constraints. As we have discussed over the past several quarters, our view is that the electric power grid will require significant upgrade and modernization to handle the energy transition.
"Earl C. ""Duke"" Austin"	President and Chief Executive Officer at Quanta Services	We also believe that electric vehicle penetration could increase at a faster rate than expected, which could create significant grid constraints that we believe are underappreciated by many. We expect the issue in the near term, the medium term, in most regions will not be generation load supply availability, but the inability to move supply to areas with accelerating EV-driven low demand through the current distribution system. According to estimates from UBS, United States EV car penetration is expected to be more than quadruple from approximately 4% in 2025 to approximately 19% by 2030. We believe this developing grid capacity challenge will be acutely impacted as commercial fleets, medium and heavy-duty trucks and buses become increasingly electrified. For example, yesterday, Navistar a long-standing key partner to Quanta for medium and heavy-duty trucks announced a partnership with us to provide its customers a turnkey, battery electric vehicle product and charging infrastructure solution that enables fleets to deploy battery EVs quickly and efficiently. The partnership intends to leverage Navistar's approach to delivering fully integrated e-mobility solutions to its customers with Quanta's expertise in assessing and designing EV charging infrastructure and building the interconnecting EV battery charging infrastructure into the power grid.
