Speaker	Title	Content
Operator	Operator	Ladies and gentlemen, thank you for standing by. Welcome to the Qualcomm Second Quarter Fiscal Year 2023 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded, today, May 3, 2023. Playback number for today's call is 877-660-6853. International callers, please dial 201-612-7415. The playback reservation number is 13737571
Operator	Operator	I would now like to turn the call over to Mr. Mauricio Lopez-Hodoyan, Vice President of Investor Relations. Mr. Lopez-Hodoyan, please go ahead.
Mauricio Lopez-Hodoyan	Vice President, Investor Relations at QUALCOMM	Thank you, and good afternoon, everyone. Today's call will include prepared remarks by Cristiano Amon and Akash Palkhiwala. In addition, Alex Rogers will join the question-and-answer session. You can access our earnings release and a slide presentation that accompany this call on our Investor Relations website. In addition, this call is being webcast on qualcomm.com, and a replay will be available on our website later today.
Mauricio Lopez-Hodoyan	Vice President, Investor Relations at QUALCOMM	During the call today, we will use non-GAAP financial measures as defined in Regulation G, and you can find the related reconciliations to GAAP on our website. We will also make forward-looking statements, including projections and estimates of future events, business or industry trends or business or financial results. Actual events or results could differ materially from those projected in our forward-looking statements. Please refer to our SEC filings, including our most recent 10-K, which contain important factors that could cause actual results to differ materially from the forward-looking statements.
Mauricio Lopez-Hodoyan	Vice President, Investor Relations at QUALCOMM	And now to comments from Qualcomm's President and Chief Executive Officer, Cristiano Amon.
Cristiano Amon	President & Chief Executive Officer at QUALCOMM	Thank you, Mauricio, and good afternoon, everyone. Thanks for joining us today. In a challenging macroeconomic environment and broad downturn across the semiconductor sector, we're pleased to deliver fiscal Q2 results consistent with our prior guidance.
Cristiano Amon	President & Chief Executive Officer at QUALCOMM	We delivered fiscal Q2 revenues of $9.3 billion. Non-GAAP earnings of $2.15 per share were at the midpoint of our guidance. Our chipset business delivered revenues of $7.9 billion, near the high-end of our guidance range. Our licensing business delivered revenues of $1.3 billion at the low-end of the guidance range on weaker demand for handsets.
Cristiano Amon	President & Chief Executive Officer at QUALCOMM	The evolving macroeconomic backdrop has resulted in further demand deterioration, particularly in handsets at a magnitude greater than we previously forecasted. As a result, we're operating under the assumption that inventory drawdown dynamics remain a significant factor for at least the next couple of quarters.
Cristiano Amon	President & Chief Executive Officer at QUALCOMM	Additionally, while expectations are for a rebound in China demand in the second half of the calendar year, we have not seen evidence of meaningful recovery and are not incorporating improvements into our planning assumptions. While the challenges we are facing are impacting the semiconductor industry, we remain focused on managing what is within our control and we'll continue to execute on our diversification strategy in leading technology and product roadmap. As market visibility remains limited, we're actively managing operating expenses and we'll continue to evaluate additional opportunities to drive greater operating efficiencies without losing sight of the automotive and IoT growth opportunities ahead.
Cristiano Amon	President & Chief Executive Officer at QUALCOMM	Let me now provide key highlights from across our business. In handsets, we extended our 5G technology and product leadership with the Snapdragon X70 5G modem-RF system, the world's first 5G advanced-ready modem-RF platform that will drive the next phase of new 5G capabilities globally, starting in 2024 across segments, device types and networks. The X75 modem is now the benchmark for 5G performance and features for all flagship smartphone launches next year.
Cristiano Amon	President & Chief Executive Officer at QUALCOMM	Our Snapdragon 8 Gen 2 mobile platform is the standard for Android flagship devices globally with launches across leading OEMs, including Samsung, Xiaomi, Vivo, Oppo, OnePlus, Honor, Motorola, ASUS and ZTE. Additionally, our Snapdragon 7-Series is redefining the high-tier. Our recently launched Snapdragon 7+ Gen 2 mobile platform outperforms its competitors' premium tier solutions, winning multiple accolades for its superior power and performance. We are seeing excellent adoption across Chinese OEMs, resulting in share gains. OEMs are also reporting strong initial sales for products powered by the 7+ Gen 2.
