Speaker	Title	Content
Operator	Operator	Welcome to the Regeneron Pharmaceuticals' First Quarter 2023 Earnings Conference Call. My name is Josh and I'll be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded.
Operator	Operator	I will now turn the call over to Ryan Crowe, Vice President, Investor Relations. You may begin.
Ryan Crowe	VP, Investor Relations at Regeneron Pharmaceuticals	Thank you, Josh. Good morning, good afternoon and good evening to everyone listening around the world. Thank you for your interest in Regeneron, and welcome to our first quarter 2023 earnings conference call. An archive of this webcast will be available on our Investor Relations website shortly after the call ends.
Ryan Crowe	VP, Investor Relations at Regeneron Pharmaceuticals	Joining me today are Dr. Leonard Schleifer, Co-Founder, President and Chief Executive Officer; Dr. George Yancopoulos, Co-Founder, President and Chief Scientific Officer; Marion McCourt, Executive Vice President and Head of Commercial, and Bob Landry, Executive Vice President and Chief Financial Officer. After our prepared remarks we will open the call for Q&A.
Ryan Crowe	VP, Investor Relations at Regeneron Pharmaceuticals	I would like to remind you, that remarks made on today's call may include forward-looking statements about Regeneron. Such statements may include, but are not limited to, those related to Regeneron and its products and business, financial forecast and guidance, revenue diversification, development programs and related anticipated milestones, collaborations, finances, regulatory matters, payer coverage and reimbursement issues. Intellectual property, pending litigation and other proceedings and competition. Each forward-looking statement is subject to risks and uncertainties that could cause actual results and events to differ materially from those projected in that statements.
Ryan Crowe	VP, Investor Relations at Regeneron Pharmaceuticals	A more complete description of these and other material risks can be found in Regeneron's filings with the United States Securities and Exchange Commission, including its Form 10-Q for the quarterly period ended March 31, 2023, which was filed with the SEC this morning. Regeneron does not undertake any obligation to update any forward-looking statements whether as a result of new information, future events or otherwise.
Ryan Crowe	VP, Investor Relations at Regeneron Pharmaceuticals	In addition, please note that GAAP and non-GAAP measures will be discussed in today's call. Information regarding our use of non-GAAP financial measures and a reconciliation of those measures to GAAP is available in our financial results press release and our corporate presentation, which can be accessed on our website. Once our call concludes, Bob Landry and the IR team will be available to answer further questions.
Ryan Crowe	VP, Investor Relations at Regeneron Pharmaceuticals	With that let me turn the call over to our President and Chief Executive Officer, Dr. Len Schleifer. Len?
Leonard S. Schleifer	Co-Founder, President, CEO at Regeneron Pharmaceuticals	Thank you, Ryan, and thank you to everyone joining today's call. Following our significant achievements in 2022, Regeneron is off to a good start in 2023, highlighted by important regulatory and pipeline advances, commercial execution and prudent capital allocation, all of which position better the Company to deliver sustainable long-term growth and shareholder value overtime. George, Marion and Bob will cover details of our first quarter performance in a few moments. In the meantime. I would provide an update on our goal of continuing to grow our business, while simultaneously diversifying our revenue and earnings streams, which is part of our long-term vision for Regeneron.
Leonard S. Schleifer	Co-Founder, President, CEO at Regeneron Pharmaceuticals	We have made substantial progress towards achieving that goal. Over the past four years, while total revenues have nearly doubled, EYLEA accounted for only 57% of total revenues in the first quarter of 2023, compared to 88% of total revenues for the year 2019. Driven primarily by the growth DUPIXENT, our Sanofi collaboration accounted for 25% of our total revenues in the first quarter of 2023, compared to only 6% of our total revenues in 2019. We expect this trend of revenue growth along with diversification to continue.
