Speaker	Title	Content
Operator	Operator	Good day, and welcome to Sempra's First Quarter Earnings Call. [Operator Instructions]. At this time, I'd like to turn it over to Glen Donovan. Please go ahead.
Glen Donovan	Vice President, Investor Relations at Sempra Energy	Good morning, everyone. Welcome to Sempra's First Quarter 2023 Earnings Call. A live webcast of this teleconference and slide presentation are available on our website under the Investors section. Here in San Diego, we have several members of our management team with us today, including: Jeff Martin, Chairman and Chief Executive Officer; Trevor Mihalik, Executive Vice President and Chief Financial Officer; Kevin Sagara, Executive Vice President and Group President; Justin Bird, Chief Executive Officer of Sempra Infrastructure; Allen Nye, Chief Executive Officer of Oncor; Peter Wall, Senior Vice President, Controller and Chief Accounting Officer; and other members of our senior management team. [Operator Instructions].
Glen Donovan	Vice President, Investor Relations at Sempra Energy	With that, please turn to Slide four, and let me hand the call over to Jeff.
Jeffrey W. Martin	Chairman, Chief Executive Officer and President at Sempra Energy	Thank you all for joining us today. We're excited to report that through the first four months of this year, we've accomplished several significant objectives that advance our business strategy and position the company for future success. We're off to a great start for this year. So what I'd like to do is provide you updates on several key business developments, growth opportunities over the next half decade and our EPS guidance for 2023 and 2024. After that Trevor and Justin will walk us through the business and financial achievements for our three growth platforms.
Jeffrey W. Martin	Chairman, Chief Executive Officer and President at Sempra Energy	And at the end of today's call, we'll reserve time for your questions. Turning now to business developments. Oncor completed its base rate review last month with an updated ROE of 9.7% and a continuation of its existing equity layer of 42.5%. This constructive outcome provides strong support for Oncor's credit ratings and the expanded capital spending that's needed to meet the strong growth that's continuing to occur across its service territory. Just last week, Oncor's Board met and reviewed the company's updated five-year capital plan, which increased from roughly $15 billion to $19 billion.
Jeffrey W. Martin	Chairman, Chief Executive Officer and President at Sempra Energy	Oncor continues to see strong demand growth on its system and the need to make additional capital investments in transmission, distribution and new technology to continue improving safety and reliability. It's also important to note that we expect Oncor management will again refresh their long-term capital plan in the future with a view toward increasing it for the roll-forward five-year period ending in 2028. Next, I'd like to mention that I'm pleased with the recent positive final investment decision at Port Arthur LNG. It's an important milestone that highlights the growing franchise value of Sempra Infrastructure and how well positioned that platform is for continued growth through the end of the decade. We also have a lot of respect for ConocoPhillips and their management team.
Jeffrey W. Martin	Chairman, Chief Executive Officer and President at Sempra Energy	Their participation in the capital structure and offtake creates strong alignment with us for successful execution of the project. I would note as well that we're bullish about future LNG opportunities and expect the U.S. LNG capacity will grow annually at a double-digit clip through the end of the decade and that Sempra Infrastructure is well positioned to help the U.S. extend its leadership position in this area. With these developments and a newly updated view of our planned capital spending across all three growth platforms, we're announcing Sempra's new 2023 to 2027 capital plan of $40 billion.
Jeffrey W. Martin	Chairman, Chief Executive Officer and President at Sempra Energy	Note, too, that this number only includes Sempra's proportionate ownership share of the capital being allocated to Oncor and Sempra Infrastructure, including Port Arthur LNG. This year, we're celebrating Sempra's 25th anniversary. Our 20,000 employees are on a mission to build North America's leading energy infrastructure company. And it's our commitment to innovation, sustainability and leadership that guides our disciplined investment strategy. We aim to provide a growing and competitive dividend while also increasing the company's earnings per share over the long term at rates of growth that continue to trend above the industry average.
Jeffrey W. Martin	Chairman, Chief Executive Officer and President at Sempra Energy	With that backdrop, we're affirming our full year 2023 adjusted EPS guidance range of $8.60 to $9.20 and issuing our full year 2024 EPS guidance range of $9.10 to $9.80. Together, this updated guidance and our new capital plan provide a solid foundation for our long-term projected 6% to 8% compounded annual EPS growth rate, which we're also affirming today. Now I'll turn the call over to Trevor to discuss our five-year capital plan in more detail and provide a summary of our business and financial results.
Trevor Mihalik	Executive Vice President and Chief Financial Officer at Sempra Energy	Thanks, Jeff. We continue to see robust opportunities to invest in our utilities and infrastructure businesses, resulting in a $40 billion five-year capital plan, which, as Jeff mentioned, is approximately $5 billion higher than the previous plan. I'll briefly summarize the expected spending at each business. At Sempra California, their five-year $21.4 billion capital plan is aligned with the state's priorities, which include safety, reliability, wildfire mitigation and sustainability with a focus on customer affordability. At Sempra Texas, the $15.3 billion capital plan includes our proportionate share of Oncor's $19 billion plan. Expected spending is in response to robust economic and demographic growth that is occurring across the state.
Trevor Mihalik	Executive Vice President and Chief Financial Officer at Sempra Energy	As Jeff mentioned, we expect this capital plan will likely be revised upward in the future. At Sempra Infrastructure, its new capital plan of $3.6 billion now includes Sempra's proportionate share of Port Arthur LNG Phase one, assuming Sempra Infrastructure's targeted 25% ownership level. To fund this growth, our customary approach is to start by reinvesting operating cash flows and raising debt financing at our regulated utilities in line with our authorized capital structures. We also evaluate other financing options, such as project-level debt and equity and asset sales before issuing common equity at the parent, all with the goal of solving for the lowest cost of capital. This approach is consistent with our past convention, where we've raised efficient financing through various asset and minority equity stake sales and our financing of Port Arthur LNG Phase one.
Trevor Mihalik	Executive Vice President and Chief Financial Officer at Sempra Energy	Overall, this approach of sourcing the lowest cost of capital has allowed us to maintain a strong balance sheet and continue to return capital through our growing dividend, all while providing flexibility to support infrastructure investments and deliver strong financial performance. The key takeaways for me as the CFO is that this is an exciting time for Sempra. And we have improved visibility to a portfolio of opportunities to capture strong growth across this decade. Please turn to the next slide. Over the next five years, our rate base is expected to increase at an average annual growth rate of 9% with over 70% dedicated to electric infrastructure. This growth reflects the positive macroeconomic tailwinds in our core markets and attractive regulatory environments.
