Speaker	Title	Content
Operator	Operator	Welcome to the First Quarter 2023 Stanley Black & Decker Earnings Conference Call. My name is Shannon, and I will be your operator for today's call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session. Please note that this conference is being recorded.
Operator	Operator	I will now turn the call over to the Vice President of Investor Relations, Dennis Lange. Mr. Lange, you may begin.
Dennis Lange	Vice President-Investor Relations at Stanley Black & Decker	Thank you, Shannon. Good morning, everyone, and thanks for joining us for Stanley Black & Decker's 2023 First Quarter Webcast. On the webcast in addition to myself, Don Allan, President and CEO; and Pat Hallinan, Executive Vice President and CFO. Our earnings release, which was issued earlier this morning and the supplemental presentation, which we will refer to, are available on the IR section of our website. A replay of this morning's webcast will also be available beginning at 11 a.m. today.
Dennis Lange	Vice President-Investor Relations at Stanley Black & Decker	This morning, Don and Pat will review our 2023 first quarter year results and various other matters followed by a Q&A session. Consistent with prior webcast, we are going to be sticking with just one question per caller. And as we normally do, we will be making some forward-looking statements during the call based on our current views.
Dennis Lange	Vice President-Investor Relations at Stanley Black & Decker	Such statements are based on assumptions of future events that may not prove to be accurate and, as such, involve risk and uncertainty. It's therefore possible that the actual results may materially differ from any forward-looking statements that we may make today. We direct you to the cautionary statements in the 8-K that we filed with our press release and in our most recent 34-F filing.
Dennis Lange	Vice President-Investor Relations at Stanley Black & Decker	I'll now turn the call over to our President and CEO, Don Allan.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	Thank you Dennis and good morning everyone. Before we begin, I am extremely pleased to have Patrick Hallinan on board and joining our call today as Stanley Black & Decker's newly appointed Chief Financial Officer. Pat brings to the team a deep track record of delivering business performance, growth and value creation and complex competitive consumer-branded businesses. Following my remarks, Pat will take you through the financial highlights as well as our current outlook. Welcome Pat.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	Earlier this week we also announced that Chris Nelson will be joining the company in mid-June as Chief Operating Officer and Executive Vice President and President of Tools and Outdoor. Chris is an experienced global leader with exceptional industry knowledge and existing relationships with many of our customers. His track record of success implementing growth strategies which have delivered customer-centric innovation and profitable market share expansion make him the ideal leader for our tools and outdoor business. I look forward to partnering with Pat, Chris and the entire leadership team to streamline and optimize the company around our core businesses and strong portfolio of global brands as we execute our strategy and generate sustainable growth.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	In terms of our Q1 performance we continue to build momentum and make strong progress as the organization remains focused on our business transformation plan. We took additional steps forward in the quarter to better serve our customers and deliver for key stakeholders by reducing inventory, leveraging enhanced cost controls and optimizing our global supply chain while continuing to increase our investments in innovation and end-user activation. The global cost reduction program delivered $230 million in pre-tax run rate savings this quarter which is modestly ahead of plan. Since we launched the program we've captured a total of $430 million of annualized savings. This is a great start and we believe we are on track to achieve the expected $1 billion of total program run rate savings by year end.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	Inventory reduction is also ahead of plan with incremental $200 million improvement in the quarter. Even while we strategically build inventory in some categories to prepare for the upcoming outdoor and Father's Day merchandising season, we have now reduced approximately $1 billion of inventory since mid-2022. I am encouraged by our progress thus far and I am confident that by executing our strategy we are positioning the company for a strong long-term growth, cash flow generation, profitability and shareholder return.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	Our first quarter revenue of $3.9 billion was in line with Q4 2022. This was down versus prior year as price realization and solid industrial and professional construction demand was more than offset by lower consumer and DIY volume, currency and the oil and gas business divestiture.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	Let me now provide some perspective on end market demand. The U.S. retail point of sale for our tools and outdoor products remained in a growth position this quarter versus 2019 levels bolstered by price and healthy pro demand. The outdoor season had a slow start in March but April weekly point of sale trends have been encouraging. Adjusted gross margin for the quarter was 23.1% up 360 basis points sequentially versus Q4 2022. While there still is more work to be done, we are seeing adjusted gross margin improve as destocking impacts moderate.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	Adjusted EPS for the period was a loss of $0.41 significantly impacted by our plan prioritization efforts around inventory reduction. We are committed to advancing our business transformation plan and continuing our journey forward with persistent focus on what is within our control. We are monitoring the demand environment and global economic dynamics and planning for a range of outcomes which balance the potential continuation of the current trends with the possibility of improvement as well as the prospect of a further demand slowdown. We have planned for all three of these scenarios and will respond accordingly if we see current trends shift. We are reiterating our 2023 full year adjusted diluted EPS guidance range of zero to $2 as well as our free cash flow guidance of $500 million to $1 billion. Pat will provide more color on this later in our presentation.
Don Allan	President & Chief Executive Officer at Stanley Black & Decker	As we generate cost savings, we are continuing to make strategic investments in our iconic brands, innovation engine, electrification and commercialization activation to position the business for sustainable growth and margin expansion. This includes hiring additional engineers focused on product platforming, electrification and innovation as well as speed on the street to elevate user activation activities which will ensure we extend the leadership positions of these iconic brands. Our priorities in 2023 remain unchanged. One, strong focus on cash flow through inventory reduction to assist with on-going debt deleveraging. Two, sequential improvement in our adjusted gross margin as we drive further supply chain transformation initiatives. Three, get back to gaining market share in all major categories of our Tools & Outdoor business. Successfully executing these priorities will result in a stronger balance sheet and significantly improved EBITDA in the second half of 2023 as we head into 2024.
