Speaker	Title	Content
Operator	Operator	Good afternoon, and welcome to Skyworks Solutions Second Quarter Fiscal-Year 2023 Earnings Call. This call is being recorded.
Operator	Operator	At this time. I will turn the call over to Mitch Haws, Investor Relations for Skyworks. Mr. Haws. Please go ahead.
Mitch Haws	Investor Relations at Skyworks Solutions	Thank you, Joel. Good afternoon, everyone, and welcome to Skyworks second fiscal quarter 2023 conference call. With me today are Liam Griffin, our Chairman, Chief Executive Officer and President, and Kris Sennesael, our Chief Financial Officer.
Mitch Haws	Investor Relations at Skyworks Solutions	Before we begin. I would like to remind everyone that our discussion will include statements relating to future results and expectations that are or may be considered forward-looking statements. Please refer to our earnings press release and recent SEC filings, including our annual report on Form 10-K for information on certain risks that could cause actual outcomes to differ materially and adversely from any forward-looking statements made today.
Mitch Haws	Investor Relations at Skyworks Solutions	Additionally, the results and guidance, we will discuss include non-GAAP financial measures consistent with our past practice. Please refer to our press release within the Investor Relations section of our company website for a complete reconciliation to GAAP. With that, I'll turn the call to Liam.
Liam Griffin	Chairman, Chief Executive Officer & President at Skyworks Solutions	Thanks, Mitch. And welcome everyone. The Skyworks team executed well in a challenging market environment. Delivering second quarter revenue above consensus estimates with solid profitability and strong cash-flow generation.
Liam Griffin	Chairman, Chief Executive Officer & President at Skyworks Solutions	Looking at Q2 in more detail. We delivered revenue of $1.153 billion. We drove gross margin of 50%, and operating margin of 33.5%. We posted earnings per share of $2.2 and we generated $412 million of operating cash-flow. In addition to the financial results, we expanded our design-win pipeline, reflecting our success in diversifying our customer-base and product portfolio. Across mobile and IoT, we delivered Sky5 platforms for Samsung's newly released smartphones. We launched WiFi 6E and WiFi 7 gateways for CommScope and ASUS. And we secured 5G content with a mobile computing leader.
Liam Griffin	Chairman, Chief Executive Officer & President at Skyworks Solutions	Across infrastructure and industrial, we enabled small cell deployments with the Japanese telecommunications company. We provided enhanced power over Ethernet functionality to Cisco for their enterprise networks. We shipped programmable timing solutions to the top U.S. satellite provider. And leveraged our expanding industrial product suite, with the leader in smart meter technology.
Liam Griffin	Chairman, Chief Executive Officer & President at Skyworks Solutions	In automotive, we continue to post year-over-year revenue growth, while capturing EV onboard charging content with a top European supplier and ramping Digital Radio Project products with a leading Korean OEM. These engagements highlight the increasingly diverse and expansive nature of our business. Supporting the broadest array of customers and applications in our history. Several key market trends underscore the growth potential of advanced connectivity and the rapidly evolving EV industry. For example, WiFi continues to expand globally as the world's most affordable method of connecting the unconnected. Fiscal forecast, the number of hotspots worldwide to reach 600 million this year. And as a market-leader Skyworks is uniquely positioned to benefit as deployments expand and shift to WiFi 7 drives increasing complexity.
Liam Griffin	Chairman, Chief Executive Officer & President at Skyworks Solutions	In addition, the average U.S. household today has more than 10 wirelessly connected devices. Each of these devices require fast connections, low-latency and efficient battery life, all enabled by our Integrated Solutions. Further, the market for electric vehicles is expected to expand four fold by 2027. Leveraging our power isolation platforms, which are becoming a leading choice for global EV manufacturers. Skyworks success in enabling these major technology transitions is underpinned by increasing demand for our leading edge system solutions. Differentiated by performance, integration, and most importantly, customer value.
Liam Griffin	Chairman, Chief Executive Officer & President at Skyworks Solutions	Moving forward, Skyworks is strategically equipped to capitalize on the rapidly changing connectivity landscape, with an expanding set of customer relationships built over more than two decades, global scale and world class manufacturing capabilities, a seasoned and talented workforce with a proven record of execution across multiple semiconductor cycles, and an efficient cash-flow engine that funds innovation while providing consistent cash return.
Liam Griffin	Chairman, Chief Executive Officer & President at Skyworks Solutions	With that, I will turn the call over to Kris for a discussion of last quarter's performance in our outlook for Q3.
Kris Sennesael	Chief Financial Officer at Skyworks Solutions	Thanks, Liam. Skyworks revenue for the second fiscal quarter of 2023 was $1.153 billion exceeding consensus estimates. Mobile was approximately 60% of total revenue with year-over-year revenue growth at our largest customer, reflecting broad content gains across their product portfolio. This revenue growth was offset by weakness in demand from the Android ecosystem as it continues to destock inventory.
Kris Sennesael	Chief Financial Officer at Skyworks Solutions	Broad markets reached 40% of total revenue for the first time, with a strong contribution from the automotive, infrastructure and industrial markets. Gross profit was $577 million, resulting in a gross margin of 50%. Operating expenses of $190 million declined on a sequential and year-over-year basis. Given our focus on managing discretionary expense. We generated $386 million of operating income, translating into an operating margin of 33.5%. We incurred $13 million of other expense and our effective tax-rate was 13.4%. Driving net income of $323 million and diluted earnings per share of $2.02 in-line with the guidance that we provided during the last earnings call.
