Speaker	Title	Content
Operator	Operator	Good day and thank you for standing by. Welcome to the Q2 2023 Transdigm Group Incorporated Earnings Conference Call. At this time, all participants are in a listen-only mode. After the speakers' presentation, there will be a question-and-answer session. [Operator Instructions] Please be advised that today's conference is being recorded.
Operator	Operator	I would now like to hand the conference over to your first speaker for today, Jaimie Stemen, the Director of Investor Relations for Transdigm. Please go ahead.
Jaimie Stemen	Investor Relations at TransDigm Group	Thank you and welcome to Transdigm's fiscal 2023 second quarter earnings conference call. Presenting on the call this morning are Transdigm's President and Chief Executive Officer, Kevin Stein; Chief Operating Officer, George Valladares and Chief Financial Officer, Michael Lisman. Please visit our website at transdigm.com to obtain a supplemental slide deck and call replay information.
Jaimie Stemen	Investor Relations at TransDigm Group	Before we begin, the company would like to remind you that statements made during this call which are not historical in fact, are forward-looking statements. For further information about important factors that could cause actual results to differ materially from those expressed or implied in the forward-looking statements, please refer to the company's latest filings with the SEC available through the Investors section of our website or at SEC.gov. The company would also like to advise you that during the course of the call, we'll will be referring to EBITDA, specifically EBITDA as defined, adjusted net income and adjusted earnings per share, all of which are non-GAAP financial measures, please see the tables and related footnotes in the earnings release for a presentation of the most directly-comparable GAAP measures and applicable reconciliations.
Jaimie Stemen	Investor Relations at TransDigm Group	I will now turn the call over to Kevin.
Kevin Stein	President, CEO & Director at TransDigm Group	Good morning, thanks for calling in today. First, I'll start off with the usual quick overview of our strategy, a few comments about the quarter and discuss our fiscal 2003 Outlook, then George and Mike will give additional color on the quarter.
Kevin Stein	President, CEO & Director at TransDigm Group	To reiterate, we believe we are unique in the industry in both the consistency of our strategy in good times and bad, as well as our steady focus on intrinsic shareholder value-creation through all phases of the aerospace cycle. To summarize, here are some of the reasons why we believe this. About 90% of our net sales are generated by unique proprietary products. Most of our EBITDA comes from aftermarket revenues, which generally have significantly higher margins and over any extended period have typically provided relative stability in the downturns. We follow a consistent long-term strategy specifically. First, we own and operate proprietary aerospace businesses with significant aftermarket content. Second, we utilize a simple, well-proven, value-based operating methodology. Third, we have a decentralized organizational structure and unique compensation system closely aligned with shareholders. Fourth, we acquire businesses that fit the strategy where we see a clear path to PE like returns. And lastly, our capital structure and allocations are a key part of our value-creation methodology.
Kevin Stein	President, CEO & Director at TransDigm Group	Our long-standing goals is to give our shareholders private equity like returns with the liquidity of a public market. To do this, we stay focused on both the details of value creation as well as careful allocation of our capital.
Kevin Stein	President, CEO & Director at TransDigm Group	As you saw from our earnings release, we had another strong quarter. Our Q2 results ran ahead of our expectations, and we once again raised our guidance for the year. We continue to see recovery in the commercial aerospace market, and trends are still favorable as demand for travel remains robust. Global domestic air traffic continues to lead the recovery, but international travel is also moving forward.
Kevin Stein	President, CEO & Director at TransDigm Group	China's air traffic has expanded significantly since its reopening in January, especially domestic air travel. However, there is still progress to be made for the industry as our results continue to be adversely affected in comparison to pre-pandemic levels since the demand for air travel is still slightly depressed from pre-COVID levels. In our business, we saw another quarter of substantial growth in our total commercial revenues and bookings. Revenues sequentially improved in all three of our major market channels, commercial OEM, commercial aftermarket and defense. Also, bookings outpaced revenues for each of these market channels.
Kevin Stein	President, CEO & Director at TransDigm Group	EBITDA As Defined margin improved to 51.3% in the quarter contributing to the strong margin is our strict focus on our operating strategy and the ongoing recovery in our commercial aftermarket revenues.
Kevin Stein	President, CEO & Director at TransDigm Group	Additionally, we generated about $130 million of operating cash-flow in Q2 and ended the quarter with over $3.4 billion of cash. We expect to steadily generate significant additional cash throughout the remainder of 2023.
Kevin Stein	President, CEO & Director at TransDigm Group	Next, an update on our capital allocation activities and priorities. During the quarter, we agreed to acquire Calspan Corporation for approximately $725 million in cash. The acquisition, we are happy to report, closed yesterday, May 8th. Calspan has established positions across a diverse range of aftermarket focused Aerospace and Defense development and testing services. Calspan has a state-of-the art transonic wind tunnel that it utilizes to perform testing for both the commercial and defense aerospace. Calspan's unique service offerings exhibit the earnings stability and growth potential that are consistent with our aerospace components centered businesses. We are excited about the acquisition of Calspan, and expect the business to meet or exceed our long-term value objectives.
Kevin Stein	President, CEO & Director at TransDigm Group	We expect the Calspan acquisition to contribute just over $100 million to our fiscal year '23 revenue and for the Calspan EBITDA As Defined margin in fiscal year '23 to be just less than half of the Transdigm total company margin.
Kevin Stein	President, CEO & Director at TransDigm Group	Regarding the current M&A pipeline, we continue to actively look for M&A opportunities that fit our model. As we look out over the next 12 to 18 months, we have a slightly stronger than typical pipeline of potential targets. As usual, the potential targets are mostly in the small and mid-size range. I cannot predict or comment on possible closings, but we remain confident that there is a long [Technical Issues] acquisitions that fit our portfolio.
Kevin Stein	President, CEO & Director at TransDigm Group	The capital allocation priorities at Transdigm are unchanged. Our first priority is to reinvest in our businesses. Second, to do accretive M&A and third, return capital to our shareholders via share buybacks or dividends. The fourth option, paying down debt seems unlikely at this time, though we do still take this into consideration. We are currently evaluating all of our capital allocation options, but both M&A and capital markets are always difficult to predict. We continue to maintain significant liquidity and financial flexibility to meet any likely range of capital requirements or other opportunities in the readily foreseeable future.
Kevin Stein	President, CEO & Director at TransDigm Group	Moving to our outlook for fiscal year '23, as noted in our earnings release, we are increasing our full-fiscal year '23, sales and EBITDA As Defined guidance to reflect our strong second-quarter results. The recent acquisition of Calspan and our current expectations for the remainder of the year. Please note that as the Calspan acquisition just closed on May 8th, we utilize the limited information currently available to include Calspan within our guidance.
Kevin Stein	President, CEO & Director at TransDigm Group	Our preliminary expectations for Calspan will be refined as necessary over the coming months. At the midpoint, sales guidance was raised $300 million and EBITDA As Defined guidance was raised $150 million. The guidance assumes the continued recovery in our primary commercial end-markets throughout the remainder of fiscal '23 and no additional acquisitions or divestitures.
Kevin Stein	President, CEO & Director at TransDigm Group	Our current year guidance is as follows and can be found on Slide 6 in the presentation. The midpoint of our revenue guidance is now $6.455 billion or up approximately 19%. In regards to the market channel growth rate assumptions that this revenue guidance is based on for the commercial OEM market and commercial aftermarket, we are updating the full-year growth rate assumptions as our strong second-quarter results and current expectations for the remainder of the year. We now expect commercial OEM revenue growth in the range of 20% to 25%, which is an increase from our previous guidance of mid-teens percentage range, and expect commercial aftermarket revenue growth in the range of 25% to 30%, which is an increase from our previous guidance of high-teens percentage range. The commercial aftermarket has been progressing well in our fiscal '23, and we hope that continues. However, we aim to be conservative with this guidance as the aftermarket is harder to predict with many orders being book-and-ship and the advanced bookings only going out a few months or so into the future.
Kevin Stein	President, CEO & Director at TransDigm Group	Defense revenue guidance is still based on the previously issued market channel growth rate assumptions. We are not updating the full-year market channel growth rate for defense at this time, as underlying market fundamentals have not meaningfully changed. We expect defense revenue growth in the low-to mid-single-digit percentage range.
