Speaker	Title	Content
Operator	Operator	Please stand by. Good morning, ladies and gentlemen, welcome to the Teleflex First Quarter 2023 Earnings Conference Call. At this time, all participants have been placed in a listen-only mode. At the end of the company's prepared remarks we will conduct a question-and-answer session. Please note that this conference call is being recorded and will be available on the company's website for replay shortly.
Operator	Operator	And now I will turn the call over to Mr. Lawrence Keusch, Vice President of Investor Relations and Strategy Development.
Lawrence Keusch	Vice President of Investor Relations and Strategy Development at Teleflex	Good morning, everyone, and welcome to the Teleflex Incorporated first quarter 2023 earnings conference call. The press release and slides to accompany this call are available on our website at teleflex.com. Please note that webcast viewers have the ability to advance the presentation slides on their own. Simply follow along with the presentation as we proceed through the call. As a reminder, a replay will be available on our website. Those wishing to access the replay can refer to our press release from this morning for details.
Lawrence Keusch	Vice President of Investor Relations and Strategy Development at Teleflex	Participating on today's call are Liam Kelly, Chairman, President and Chief Executive Officer and Thomas Powell, Executive Vice President and Chief Financial Officer. Liam and Tom will provide prepared remarks and then we will open the call to Q&A.
Lawrence Keusch	Vice President of Investor Relations and Strategy Development at Teleflex	Before we begin, I'd like to remind you that some of the matters discussed in the conference call will contain forward-looking statements regarding future events as outlined in the slides posted to the Investor Relations section of the Teleflex website. We wish to caution you that such statements are in fact forward-looking in nature and are subject to risks and uncertainties and actual events or results may differ materially. The factors that could cause actual results or events to differ materially include, but are not limited to factors referenced in our press release today as well as our filings with the SEC including our Form 10-K, which can be accessed on our website.
Lawrence Keusch	Vice President of Investor Relations and Strategy Development at Teleflex	Now, I will turn the call over to Liam, for his remarks.
Liam J. Kelly	Chairman, President and Chief Executive Officer at Teleflex	Thank you, Larry and good morning, everyone. It is a pleasure to speak with you today. For the first quarter, Teleflex revenues were $710.9 million, a year-over-year increase of 10.8% on a reported basis and an increase of 13.2% on a constant currency basis. First quarter adjusted earnings per share was $3.09, a 7.3% increase year-over-year. We had a strong start to 2023 as momentum exiting last year continued into the first quarter. Even when excluding the impact of five extra shipping days in the first quarter, our underlying growth was robust at 7.1%. As a reminder to investors, a day is typically worth approximately 1% revenue growth in a quarter. For the first quarter of 2023 each extra day, while in actuality slightly in excess of 1% growth and when strung together the five extra shipping days added approximately 6% to our constant currency growth.
Liam J. Kelly	Chairman, President and Chief Executive Officer at Teleflex	In the quarter, both the high growth portfolio, excluding UroLift and the durable core grew in the low double digits year-over-year, excluding the five extra shipping days in the quarter. Behind an improving procedure environment, we executed well during the quarter, with all global product categories driving growth. The balanced performance in the quarter continues to demonstrate the benefit of Teleflex's diversified product portfolio and broad geographic footprint. In the quarter, we saw strong contributions from our Interventional, surgical and OEM product categories.
Liam J. Kelly	Chairman, President and Chief Executive Officer at Teleflex	From a geographic perspective, Europe was in line with expectations, while Asia remains a key growth driver. From a macro perspective, we are seeing a stabilization in inflation and supply chain as expected. Of note, we have seen some easing in supply constraints for Tyvek during the first quarter and continue to expect the situation to further improve in the second half of the year as additional industry capacity comes online. We are also seeing a continued improvement in staffing challenges in the hospital setting. This was evident in our first quarter revenue growth as the majority of Teleflex products are exposed to the hospital setting. Conversely, we are still experiencing geographic pockets that are encountering more persistent staffing disruption in the ASC and office site of service.
Liam J. Kelly	Chairman, President and Chief Executive Officer at Teleflex	Now, let's turn to a deeper dive into our first quarter revenue results. I will begin with a review of our geographic segment revenues for the first quarter. All growth rates that I referred to are on a constant currency basis, unless otherwise noted. Americas revenues were $411.9 million, which represents 9.2% growth year-over-year. We saw growth across the majority of our businesses, including double digit increases in interventional and surgical revenues. In addition, the results included the impact of the five extra shipping days. EMEA revenues up $143.3 million, increased 10.5% year-over-year. The year-over-year growth includes the benefit of the five extra shipping days in the quarter, while the underlying performance reflects continued improvement and the year-over-year procedure volumes that fuels broad-based revenue growth across our product portfolio. Now turning to Asia. Revenues were $78.7 million, increasing 22.8% year-over-year. We saw strength across the region with all geographies posting solid growth during the first quarter. China remained a solid contributor with very high single digit growth in the quarter. Although surgical procedure activity in China has not yet returned to normal levels following the termination of the zero COVID policy in late 2022, we saw improvement as we progressed through the quarter. Looking-forward, we would expect growth in China to accelerate during the remainder of 2023.
