Speaker	Title	Content
Operator	Operator	Good morning, and welcome to the Tyson Foods Second Quarter 2023 Earnings conference Call. [Operator Instructions] Please also note, today's event is being recorded.
Operator	Operator	At this time, I'd like to turn the conference call over to Sean Cornett, Vice President, Investor Relations. Sir, please go ahead.
Sean Cornett	Vice President, Investor Relations at Tyson Foods	Good morning, and welcome to Tyson Foods fiscal second quarter 2023 earnings conference call and webcast. Prepared remarks today will be provided by Donnie King, President and Chief Executive Officer; and John R. Tyson, Executive Vice President and Chief Financial Officer. Additionally, Brady Stewart, Group President, Fresh Meats; Stewart Glendinning, Group President, Prepared Foods; Wes Morris, Group President, Poultry; and Amy Tu, President, International & Chief Administrative Officer, will join the live Q&A session. We have prepared presentation slides to supplement our comments, which are available on the Investor Relations section of the Tyson website and through the link on our webcast.
Sean Cornett	Vice President, Investor Relations at Tyson Foods	During today's call, we will make forward-looking statements regarding our expectations for the future. These forward-looking statements made during this call are provided pursuant to the safe harbor provisions of the Private Securities Litigation Reform Act of 1995. Forward-looking statements include all comments, reflecting our expectations, assumptions or beliefs about future events or performance that do not relate solely to historical periods. These forward-looking statements are subject to certain risks, uncertainties and assumptions, which may cause actual results to differ materially from our current projections. Please refer to our forward-looking statements disclaimer on Slide 2 as well as our SEC filings for additional information concerning risk factors that could cause our actual results to differ materially from our projections. We assume no obligation to update any forward-looking statements.
Sean Cornett	Vice President, Investor Relations at Tyson Foods	Please note that references to earnings per share, operating income and operating margin in our remarks are on an adjusted basis unless otherwise noted. For reconciliations of these non-GAAP measures to their corresponding GAAP measures, please refer to our earnings press release.
Sean Cornett	Vice President, Investor Relations at Tyson Foods	Now, I will turn the call over to Donnie.
Donnie King	President and Chief Executive Officer at Tyson Foods	Thanks, Sean, and thank you to everyone for joining us this morning. Last quarter, we said that we expected Q2 to be tougher than Q1 and this quarter was definitely a tough one. As you will have seen our release earlier this morning, results were weaker than expected and top line performance was mixed, particularly when compared to our strong performance last year. At the same time, we outperformed our large branded food peers in volume and dollar sales and continue to gain pound one dollar share in our retail core business lines.
Donnie King	President and Chief Executive Officer at Tyson Foods	As I also said last quarter, I can't remember a time when our business faced the highly unusual situation that we're currently seeing where all three of our core protein categories beef, pork and chicken are experiencing market challenges at the same time. This unusual confluence of issues continued in Q2 and directly impacted our results. I know that you watch the protein markets closely and like us know that there are many factors at play here that are macro in nature. For example, beef is cycling out of historically strong margins that were seen throughout most of fiscal 2021 and '22. Cut out values across protein complex are much lower than a year ago. Inflation has also remained elevated and persistent, which has dramatically impacted our cost.
Donnie King	President and Chief Executive Officer at Tyson Foods	The current macro backdrop is clearly tough. We have a strong growth strategy and are bullish on our long-term outlook. We continue to implement our strategy, focus on the things that we can control and build upon the strong foundation we have in place. Late last month, we announced important initiatives to simplify our structure and right-size our team. These are a logical next step in our ongoing efforts to drive operational and functional excellence as we strive to be best-in-class in our industry.
Donnie King	President and Chief Executive Officer at Tyson Foods	Last quarter, we talked about executional issues that we needed to improve and operational performance did get better. We set a high bar to execute with excellence and are making progress. Despite our overall results, there were strong positive highlights in the quarter that serve as proof points that our strategy is working. As you know, our branded foods business is the key growth pillar for the future and in Q2, the business performed well. These results were driven by the strength of our share position, especially for our core brands, including Jimmy Dean, Tyson and Hillshire Farm, which helped deliver strong margins compared to the same 13 week period last year.
Donnie King	President and Chief Executive Officer at Tyson Foods	We continue to grow both pound and dollar share and to outperform our large food peers in volume based on Nielsen data. It's clear we are winning with consumers. We also continue to win with our customers. We are proud to have been moved up into the top 10 for the first time ever in the most recent Kantar Power Rankings. In fact, Tyson finished in the top 10 in six of the nine categories they measure as we continue to focus on meeting customer needs and planning the future together with them.
Donnie King	President and Chief Executive Officer at Tyson Foods	While strong performance continued in our branded foods business, I know that our results in chicken are top of mind for many of you. So I want to spend a few minutes walking through our chicken business in detail. I want to point you to three important things on the macroenvironment. First, marketing conditions remain very challenging. Commodity prices for most fresh chicken cuts are much lower than last year with boneless breast meat, tenders and wings down more than 50%. While we're not fully exposed to commodity markets, we are not immune to their dynamics.
Donnie King	President and Chief Executive Officer at Tyson Foods	Some might expect these dynamics to impact our results immediately, but in fact, they work through on a lag. As chicken commodity prices declined in Q1, the impact continued into our Q2 while price increases we saw during the quarter are expected to affect Q3. Second, input costs were higher compared to last year as our feed ingredient cost increased $145 million. We also realized an unfavorable year-over-year derivative impact of approximately INR135 million due to volatility in commodity grain prices. Third, by high path, avian influenza has not had a significant impact on our live operations. Key export markets remain closed.
