Speaker	Title	Content
Operator	Operator	Good day, and thank you for standing by, and welcome to the Q4 '23 Earnings Conference Call. [Operator Instructions] Please be advised that today's conference is being recorded.
Operator	Operator	I would now like to turn the call over to Lance Allega, SVP of Investor Relations, Corporate Development. Please go ahead.
Lance Allega	Senior Vice President, Investor Relations and Corporate Development at Under Armour	Thank you. Good morning, and welcome to Under Armour's Fourth quarter and full year fiscal 2023 earnings conference call. Today's event is being recorded for replay. Joining us on today's call will be Under Armour Executive Chair and Brand Chief, Kevin Plank; President and CEO, Stephanie Linnartz; and CFO, Dave Bergman. Our remarks today include forward-looking statements that reflect Under Armour's management's current view and certain forecast elements of our business as of May 9, 2023. The statements made are subject to risks and other uncertainties detailed in documents regularly filed with the SEC, including our annual report on Form 10-K and our quarterly reports on Form 10-Q. Today's discussion also includes the use of non-GAAP references. Under Armour believes these measures provide investors with a helpful perspective on underlying business trends. These measures are reconciled to the most comparable U.S. GAAP measures, a reconciliation of which, along with other pertinent information can be found in this morning's press release about underarmour.com. With that, I'll turn the call over to Kevin.
Kevin A. Plank	Executive Chair and Brand Chief at Under Armour	Thank you, Lance, and good morning to everyone joining us on today's call. In Under Armour's 18th year as a public company, I'd like to thank our shareholders for their continued support and belief in the dream we collectively share. Your trust and confidence have empowered us to become one of the world's largest athletic brands, a responsibility that permeates everything we do. However, we also know that it's been at times an inconsistent journey, one we acknowledge has not created the shareholder value that we see this brand capable of. Over time, we've seen periods of significant growth and challenges that have tested our grid and resolve along the way. In response to these, we've built a tremendous foundation of talented people, operational and financial agility and most importantly, brand love. With new leadership in place, continued strategic evolution and a renewed mindset, I am both proud and confident in the steps we've taken that put us in a position to begin to reach the full potential we all believe is available for this brand. Next to me is Under Armour's new President and CEO, Stephanie Linnartz. With less than three months in the role, she has been hard at work assessing Under Armour's capabilities, leadership talent and focusing on the strategic priorities necessary to put us on a path towards reigniting growth. Her deep brand and consumer expertise and her fresh perspective on the business have laid the groundwork for challenging some of the ways that we work and reenergize the leadership team across UA as we lay out the growth strategy in our next chapter. As one of the most unique brands in sport Under Armour has a right to compete at the world's highest professional levels, a legitimate on-field, authentic, athletic presence with tremendous headroom for which to grow.
Kevin A. Plank	Executive Chair and Brand Chief at Under Armour	This, coupled with broadening our aperture to include sports style marks a significant evolution in our journey and our ability to win the hearts and minds of consumers everywhere. Witnessing the emotional connection between Under Armour and young athletes, the insights we gain and the enthusiasm of our team as we continue to evolve our strategy is infectious. Our history is deep. Our confidence is strong and our commitment is all encompassing. None of this is possible with that innovations like the products we deliver to our global roster of teams and athletes that continue to push the boundaries of what is possible. As one of the most iconic athletes in Under Armour's history, this couldn't be truer than our partnership with Stephen Curry. In late March, we announced that we're deepening our partnership with Stephen by forging a long-term commitment. Together, we are dedicated to pushing performance and prioritizing the impact of sport on communities worldwide, and we see growing the Curry brand as one of our more significant catalysts. Under this new deal, Stephen also becomes a meaningful shareholder, a testament to his long-term commitment to our joint success and believe in an incredibly bright future. This brings us to another highlight of the quarter. As Stephen once said, everyone has to come back to their roots to remind themselves who they are. Well, we did just that with the relaunch of Protect This House, a tenant of Under Armour, that's ubiquitous for perseverance. Protect This House is not really a tagline. It's an ethos in the bedrock of our messaging. It's a rallying cry for UA athletes that galvanizes unity and a mindset for switching effortlessly between offense and defense. With activations in the months ahead, we'll continue to add dimensions to this iconic phrase across some of the most important sporting events and social platforms, encouraging the next generation of young athletes to Protect This House.
Kevin A. Plank	Executive Chair and Brand Chief at Under Armour	From energy comes opportunity. In the product spectrum of good, better and best, Under Armour has built a $6 billion brand with a lot of good products, a fair amount of better and an opportunity with consumers for much greater representation of best level products. A great example of why we believe we can be successful in this strategy, a better and best focus is the real-time reaction we have seen with the Under Armour's slip speed. Our versatile training sneaker engineered with our Curry Flow outsole, double lacing system and the defining feature of its convertible heel. Launched in February, this $150 game-changing innovation with a design that is on point and is being authentically adopted by athletes everywhere, quickly becoming one of our most reviewed products and carrying a 94% recommendation rating. Available in full-price UA direct-to-consumer and a select number of partners, including DICK'S Sporting Goods here in the United States, with the global launch rolling out now in EMEA and APAC, along with well-orchestrated authentic storytelling. UA SlipSpeed is working. This is a prime example and template of what we will do moving forward, innovative product, inspirational design and it factor that only UA can bring, and our product pipeline is full, inclusive of new innovations like SlipSpeed and specifically ensuring that we finish the play on SlipSpeed by bringing the technology to additional sneaker categories, soon, that makes this a platform and not just the singular shoe. In addition to new innovation, our pipeline also consists of some of our past greatest hits that we will be reintroducing to athletes and have great confidence that heritage of success, combined with a modern 2023 lens is a great formula for us to pursue. We will ensure this cadence of new becomes the consistent theme of product freshness from UA. The key to continuing to unlock this consistency is pulling the best product lines of the planet together. The good news is that we have great talent at UA, we're now empowered to ignite this plan of product attack, but have also been proactive in recently bringing on a few outside experts in both apparel and footwear to help exploit our incredible product opportunity. Moving forward, we'll continue to challenge and energize ourselves in the industry to create even greater excitement in the marketplace.
Kevin A. Plank	Executive Chair and Brand Chief at Under Armour	We also know that doing business as usual, doing what we've done in the past, just slightly better is not enough. We are committed to the principles that got us here and understand the urgency to become better focused and more aggressive in managing for growth and the trust you're placing in us to get this done. I believe the trust is built in drops and lost in buckets. This phrase has been front and center in our culture for years. It plays a part in consumers' decisions about what to buy, where teammate choose to work, and we're shareholders decide to invest. In Newsweek's 2023 survey that ranks most trustworthy companies in America across those three criteria, Under Armour ranks number one as the most trusted company in our sector. Congratulations to the 17,000 strong UA teammates, whose character ethics and leadership earned this recognition, one drop at a time, well done. What is now time for us to marry the fundamentals to make UA a great brand and trusted company with groundbreaking innovation, style, storytelling and execution for consistent growth and increase shareholder return. And with that, I'll hand the call over to Stephanie.
Stephanie Linnartz	President and Chief Executive Officer at Under Armour	Thank you, Kevin, and good morning, everyone. I'll open my remarks today by underscoring that I am honored and thankful for the conviction that Kevin and the board have placed in me to lead Under Armour. In the past that led me here, respect for iconic and innovative brands love for sport and admiration for Under Armour's hard-earned and unique reputation have remained a constant backdrop. Reflecting on my first 70 days here, it's been exciting, intense and eye opening. There are quite a few topics I plan to touch on today, and I will be as transparent as possible about my observations and thoughts thus far. Having learned much in a short time, I will say that the potential for this brand is even bigger than I imagined when I walked through the door at the end of February. I am realistic about our challenges and I am confident that we have the right core components and are developing the right plans to reignite growth in the company and to create value for shareholders. That said, like any athlete, we must measure ourselves against our competition and potential. Operating in the athletic performance, sportswear and retail sector, which has a huge addressable market and consistent revenue CAGRs to tap into, we have yet to capitalize on our full potential. For athletes, customers and shareholders, we must realize this potential and stop at nothing until we deliver renewed growth. Growth is without a question, our highest priority. Throughout my career, I have prioritized people and believe that the only way to succeed is to have a great team around you. This is something that I noticed right away at Under Armour. The teammates working here are talented, hard-working and passionate about our purpose of empowering those who strive for more and our mission to make athletes better. This energy will be a crucial asset as we leverage our strengths, drive through areas where we need to finish the play and accelerate our ability to reshape our future trajectory.
Stephanie Linnartz	President and Chief Executive Officer at Under Armour	Under Armour has always had a unique strength in the commitment and engagement of Kevin Plank, bringing his passion and energy to the business in ways only a founder can do. Having worked in a founder-led culture for the past 25 years, I know firsthand the advantage that this presents. Over the past few months, I have had deep dives with teammates, key wholesale customers, athletes, and have piled through a mountain of analyst reports. As a result, there are three areas that I would like to address today as an initial assessment of our strengths and opportunities, brand, product and North America. In light of this, I've set three priorities to drive clarity and business alignment across the company and appropriately, we are calling this Protect This House three or PTH 3, which is about three big things over the next three years. With the plan taking shape, I am excited to share my initial ideas on it today and look forward to providing more details and progress reports in the coming quarters. Of course, execution will not happen overnight. It's a journey that will require improved execution in some areas, new talent and greater accountability for our leaders to drive positive and tangible business results. At its core, it's about focus, execution and accountability. With that, let's start with brand. Under Armour is one of only a few brands that can be found on the field of play globally at the highest levels of competition meaning Under Armour products are chosen by professional athletes who trust us to equip them as they push the boundaries of what is possible. With the demand to support nearly $6 billion in expected revenue in fiscal '24 our base business remains solid and sizable. Yet we are not pulling in our fair share of market growth. I believe a causal factor here is the inconsistency of how the Under Armour brand shows up across our regions, with the most significant opportunity to improve in the United States.
Stephanie Linnartz	President and Chief Executive Officer at Under Armour	Outside the United States, our brand has received in its most premium position in Europe. This results from nurturing strong quality wholesale relationship, disciplined channel segmentation and consistently optimized brand activations. And this, of course, shows up in our results. In fiscal '23, EMEA was our highest growth region with a 23% increase in currency-neutral revenue. Moving forward, we'll continue to build on this momentum, focusing full-funnel medium sports marketing efforts, especially with global football in the U.K. and Spain to win with 16- to 20-year old varsity athletes. In APAC, particularly China, Under Armour's view is what locals generally describe as a professional athletes brand. So the connection of brand heat delivering results continues to be consistent with our objectives. Growth-wise, fiscal '23 was challenged in the first nine months of the year due to ongoing lockdowns and market disruptions from lingering COVID impacts. As we ended the year, however, currency-neutral revenue was up 31% in the fourth quarter. So the environment seems to be normalizing more now. With fitness of the tailwind, improved storytelling and a growing loyalty program in China, we remain bullish on the region's future. In North America, specifically the U.S., there is no question that athletes love the Under Armour brand. And while our consumer insights tell us that we have tremendous brand awareness there is also a high level of latent brand equity. Latent because consumers are aware and engaged, yet conversion is more dormant than it should be. I attribute this state to inconsistent execution across our product, marketing and retail efforts. From aligning products to be premium at every price point, to disciplined channel segmentation to more consistent product marketing. There is a significant opportunity to activate more simply across the dimensions that matter and drive improved brand affinity. So how is this translating into action? From both the global and U.S. perspectives, we're assessing how our products, athletes and marketing strategies are or are not breaking through to reach our target consumers.
Stephanie Linnartz	President and Chief Executive Officer at Under Armour	From brand activations to a roster that includes Stephen Curry, Justin Jefferson, Jordan Spieth and others, we have a massive investment in place. Yet it's clear to me that we are not capitalizing on our assets to our best advantage or return. Driving brand heat, of course, is not a one-size-fits-all approach. We cannot simply apply the same storytelling product and distribution strategies across the regions and expect to generate the same levels of brand heat globally, yet unifiers can be crucial to driving consistency. As Kevin mentioned, one unifier we are all proud of is the relaunch of Protect This House. Since then, the execution of our teams and positive response from consumers has been impressive and inspiring and a simple reminder of the strength of Under Armour's core brand DNA. Reinventing Protect This House is a new call to action for young athletes whose motivations differ from the generations who came before them, will continue to be brought to life across many dimensions, including this summer's Women's World Cup. Targeting young women, our World Cup campaign will feature Kelley O'Hara and Alex Greenwood and the journey to compete, highlighting the grid, edge and swagger necessary to perform on the world's most elite stage, employing a digital-first content strategy that distorts beyond typical media placements we're utilizing an always-on approach to meet athletes where they live, train, compete and recover. Also, local activations like our all American and UA Next events will continue in North America and transition into other regions like EMEA to drive brand advocacy further. Taking a step back to accelerate my understanding of how the various components of these elements play together. I have made some leadership changes, and we are in the midst of a search for a Chief Consumer Officer. So for now, the heads of brand, sports marketing and digital all report directly to me. As I get closer to these areas of our business and continue to assess our needs, we are working on adding new world-class marketing and commercial talent to ensure our teams have the right leadership and capabilities to fuel our growth expectations.
