Speaker	Title	Content
Operator	Operator	Hello, and thank you for standing by. My name is Regina, and I will be your conference operator today. At this time, I would like to welcome everyone to the Ventas First Quarter 2023 Earnings Conference Call. [Operator Instructions].
Operator	Operator	I would now like to turn the conference over to BJ Grant, Senior Vice President of Investor Relations. Please go ahead.
"Bill (""BJ"") Grant"	Senior Vice President, Investor Relations at Ventas	Thanks, Regina. Good morning, everyone, and welcome to the first -- Ventas First Quarter Financial Results Conference Call. Yesterday, we issued our first quarter earnings release, supplemental investor package and presentation materials which are available on the Ventas website at ir.ventasreit.com. As a reminder, remarks today may include forward-looking statements and other matters. Forward-looking statements are subject to risks and uncertainties, and a variety of factors may cause actual results to differ materially from those contemplated in such statements.
"Bill (""BJ"") Grant"	Senior Vice President, Investor Relations at Ventas	For a more detailed discussion of those factors, please refer to our earnings release for this quarter and to our most recent SEC filings, all of which are available on the Ventas website. Certain non-GAAP financial measures will be also discussed on this call and for a reconciliation of these measures to the most closely comparable GAAP measures, please refer to our supplemental posted on the Investor Relations website.
"Bill (""BJ"") Grant"	Senior Vice President, Investor Relations at Ventas	And with that, I'll turn the call over to Debra A. Cafaro, Chairman and CEO.
Debra A. Cafaro	Chairman and Chief Executive Officer at Ventas	Thanks, BJ, and good morning to all of our shareholders and other participants. Welcome to the Ventas First Quarter 2023 Earnings Call. I'm excited to speak with you today as we recap an outstanding first quarter underscore the momentum we have across our large and diverse enterprise and reaffirm our full year normalized FFO guidance of $2.90 to $3.04 per share. Our diversified business is unified in serving a large and growing aging population. Within commercial real estate, we are highly advantaged due to favorable demographic demand, the unprecedented organic growth opportunity we are already starting to realize and our scale, liquidity and access to capital. As a team, we are enthusiastic about the future and focused on delivering superior performance.
Debra A. Cafaro	Chairman and Chief Executive Officer at Ventas	The success we achieved in the first quarter was powered by our high-quality shop business, where the U.S. communities grew 22%, bolstered by the growth of our highly occupied Canadian communities. Our other asset classes are also contributing reliable compounding growth. With MOBs outperforming and our university centered life science R&I business benefiting from strong tenant mix. With significant demand from universities, health systems, investment-grade companies and government institutions. The multiyear growth and recovery cycle in senior housing is well underway. We have already started to capture the significant NOI upside opportunity in our current results. Looking forward, we project an incremental $300-plus million of additional NOI opportunity available from simply reaching pre-pandemic margins and occupancy of 88% in the portfolio.
Debra A. Cafaro	Chairman and Chief Executive Officer at Ventas	Beyond that target, we believe that above 90% occupancy and higher margins are also attainable because current supply-demand conditions are materially more favorable than they were during the last peak period. With 99% of our shop communities located in markets without competing new supply barriers to new construction starts and our senior housing team using operational insights to collaborate with operators and drive results. These conditions present a compelling multiyear growth opportunity. Turning to capital. The $30-plus billion scale of our platform, our liquidity and our diverse geographic footprint and business model give us access to multiple sources of attractive capital. We remain committed to a strong balance sheet and our BBB+ ratings.
Debra A. Cafaro	Chairman and Chief Executive Officer at Ventas	Our third-party institutional capital management business, VIM, is also a competitive advantage for Ventas. With over $5 billion in assets under management, VIM provides a way for us to capitalize on attractive investments through cycles. In the current environment, VIM provides us and our VIM stakeholders with interesting investment opportunities. Overall, on the investment front, we're focused on assets with outsized embedded growth at or below replacement cost pricing and high-quality stabilized assets and portfolios with good risk reward in a variety of economic conditions. Now let me spend a minute on results. First quarter normalized FFO was $0.74 per share with year-over-year total company same-store cash NOI growth of over 8%. Our performance was fueled by significant property NOI growth led by SHOP.
Debra A. Cafaro	Chairman and Chief Executive Officer at Ventas	Pete Bulgarelli and his team once again delivered excellent MOB performance, generating our seventh consecutive quarter of year-over-year occupancy growth and industry-leading NOI margin. As well as extending our track record of over 3% same-store NOI growth to six of the last seven quarters. Now let me touch on some other key highlights of our enterprise. Our non-property strategic investments continue to generate value. We just closed on the partial sale of our equity investment in Ardent Health Services, yielding approximately $50 million in total proceeds. This transaction is a testament to our partner, Sam Zell's ability to make outstanding investments, attract quality investors, and find excellent management teams. The price represents a greater than four times equity multiple on Ventas' original investment basis. We retained an approximately 7.5% stake in Ardent with an implied valuation of $150 million.
