Speaker	Title	Content
Operator	Operator	Good morning. My name is Gretchen [Phonetic] and I will be your will now will be your conference operator today. At this time, I would like to welcome everyone to the Viatris 2023 First Quarter Earnings Call and Webcast. [Operator Instructions]
Operator	Operator	I will now turn the call over to Bill Szablewski, Head of Capital -- Global Capital Markets. Please, go ahead.
Bill Szablewski	Head of Global Capital Markets at Viatris	Good morning, everyone. It is my pleasure to welcome you to our First Quarter 2023 Earnings Call. With us today is our CEO, Scott Smith; President, Rajiv Malik; CFO, Sanjeev Narula; and Jeff Nau from our Eye Care Division. During today's call, we will be making forward-looking statements on a number of matters, including our financial guidance for 2023 and various strategic initiatives. These forward-looking statements are subject to risks and uncertainties that could cause future results or events to differ materially from today's projections. Please refer to today's slide presentation and our SEC filings for a fuller explanation of those risks and uncertainties and the limits applicable to forward-looking statements. We will be referring to certain actual and projected non-GAAP financial measures to supplement investors' understanding and assessment of our financial performance. Reconciliations of those non-GAAP measures to the most directly-comparable GAAP measures are available on our website and in the appendix of today's slide presentation. An archived copy of today's presentation and other earnings materials will be available on our website at investor.viatris.com following the conclusion of today's call.
Bill Szablewski	Head of Global Capital Markets at Viatris	With that, it's my pleasure to welcome our CEO, Scott Smith.
Scott A. Smith	Chief Executive Officer at Viatris	Good morning, everyone. I'm excited to speak to you today officially as the CEO of Viatris. It's been a busy and productive first month. Viatris is a special company. I knew that from the moment I joined the board in December and I appreciate it even more today. It begins with our ability to sustainably deliver access to high-quality medicines at scale to people regardless of geography or circumstance. Since becoming CEO, I have met with colleagues all over the globe and I've had the opportunity to spend time with each business segment. I have seen firsthand the unique combination of passion, dedication, and skills of the people at Viatris. Their unwavering commitment to our mission is infectious. I'm honored to be part of this amazing organization and I'm extremely impressed by everything that has been accomplished to date.
Scott A. Smith	Chief Executive Officer at Viatris	In addition to our historically strong regulatory, clinical, and manufacturing capabilities, I've also been very impressed with the company's global commercial infrastructure and the talented people we have there. I look forward to finding additional ways to leverage these capabilities to deliver more access to more medicines to more patients around the world. I want to reiterate that I firmly believe in the strategic plan announced in November of last year. I believe that executing this plan will ensure that we are able to solidify our unique place in the global healthcare landscape.
Scott A. Smith	Chief Executive Officer at Viatris	A critical part of my job is to enhance the already-strong execution of the company and ideally accelerate our well-crafted strategy. When I've already seen and experienced, I believe we are positioned well to be set-up for success in Phase 2 of our strategic plan. I believe that Viatris has the strong financial profile and financial flexibility to accelerate growth in the coming years, and I'm fully aligned with the future capital allocation priorities that the company laid out in November, namely that although we're not giving guidance beyond 2023, beginning in '24. We expect the reshaped, rebased company to generate at least $2.3 billion of free cash flows per year excluding transaction costs and taxes. And in Phase 2, we intend to earmark approximately 50% of our free cash flows annually to be returned to shareholders in the form of dividends and share repurchases. With the remaining 50%, we intend to identify and be able to reinvest further in our businesses organically and inorganically with value-creating strategic transactions.
Scott A. Smith	Chief Executive Officer at Viatris	While I'll leave the discussion of details of our first quarter results to Rajiv and Sanjeev, I'm very pleased to report that Viatris has had a great start to the year with yet another quarter of strong operational performance that gives us further confidence in our ability to return to growth as we enter Phase 2 of our strategic plan in '24.
Scott A. Smith	Chief Executive Officer at Viatris	In the first quarter, we delivered total revenues of $3.73 billion, Adjusted EBITDA of $1.34 billion, and free cash flow of $923 million. Based on the strong performance, we are reaffirming our financial guidance for 2023. We are also laser-focused on executing our pipeline, especially at three franchises with the potential to reach $1 billion each in peak sales by 2028: complex injectables, novel and complex products, and eyecare. On our planned divestitures, I think it is important to note that we are in a position of strength. Executing these planned divestitures is a matter of strategic choice, not a necessity, that we believe will accelerate our ability to move up the value chain and lay a solid foundation for our return to growth in Phase 2+. We have been engaged in productive discussions with a number of interested parties to determine the right fit for these well-performing assets. We continue to believe that these divestitures will unlock meaningful value for the company and we remain on track with our stated goals including announcing the transactions in 2023. I expect to be able to announce one or more of these transactions early in the second half of the year.
Scott A. Smith	Chief Executive Officer at Viatris	And finally, on business development. The company has laid out a strategic vision for business development in the area of ophthalmology, GI, and dermatology. Our acquisitions of Oyster Point and Famy Life Sciences earlier in the year are excellent examples of the execution of that strategy, and I'm focused on continuing to look for additional significant transaction in these areas than potentially others should the right opportunities arise. I think my combined experience with big biotech, big pharma, and smaller biotech companies will help us accelerate this mission.
Scott A. Smith	Chief Executive Officer at Viatris	In summary, I could not be more energized by my time at the company so far, by the people I've met, and by all that I've experienced. I look forward to the exciting path ahead.
Scott A. Smith	Chief Executive Officer at Viatris	I'll now turn the call over to Rajiv to provide you with an update on our operations and our pipeline, and then to Sanjeev, who will give you more detail on our financial results and capital deployment activities. Rajiv?
Rajiv Malik	President at Viatris	Thanks, Scott, and good morning, everyone. As Scott mentioned, we had another strong start to the year and a strong quarter of operational performance across various segments as well as product categories. Let me now begin by sharing our commercial segment highlights from the quarter. As I do, I will be making certain comparisons on an operational basis which excludes the negative impact of foreign currency rates versus the plan that supports our financial guidance as it relates to Q1 '22 results, which also excludes the results from the divested biosimilars business from Q1 '22.
Rajiv Malik	President at Viatris	Our well-balanced business of developed markets where brands make up close to 60% of our net sales delivered another strong quarter. Europe performed ahead of our expectations with France and Italy driving the strong performance. The region grew low-single-digits in Q1 compared to the prior year on an operational basis, making it our fifth consecutive quarter of year-over-year growth. Our key brands like Dymista, Creon, and Brufen, as well as our generics portfolio continued to perform strongly in Q1. Our North America business also performed ahead of expectations, driven by better-than-expected performance in our generics portfolio including lenalidomide and our injectables portfolio. Our brand business was led by stronger performance of YUPELRI. We look forward to launching several new products in North America this year including Breyna, our generic to Symbicort. We and our partner, Kindeva Drug Delivery, have settled the patent litigation with AstraZeneca, and expect to launch the product after expiration of regulatory exclusivity. We anticipate launching Breyna with 180 days first-to-file generic exclusivity to FDA's future determination of the issue, if and when, another ANDA filer becomes eligible for final approval. For the remainder of the year, in developed markets, we expect to meet or exceed our expectations of both North America and Europe.
Rajiv Malik	President at Viatris	Moving to emerging markets. Korea, Malaysia, Thailand, as well as Middle East delivered strong performance. Lipitor, Norvasc, and Viagra performed better than expected. Generics also performed ahead of expectations driven by solid ARE performance. We remain confident for this segment to deliver mid-single-digit growth for the full year, primarily driven by our brand category of this region.
Rajiv Malik	President at Viatris	In Jan, the brand category fell slightly behind expectations primarily due to customer buying patterns in Japan. We remain confident in our overall outlook for the year due to the projected strong performance of our generics, including authorized generics as well as our brands like Creon, Amitiza, and Effexor. Greater China performed better than expected with 5% year-over-year growth on an operational basis. We expect another strong year of operational performance in line with our expectations as we continue to focus on the retail segment and growing the self-pay patient base while navigating the evolving policy environment. I'm also pleased to confirm that we have 10 regulatory submissions under review with the SFDA in China.
Rajiv Malik	President at Viatris	Moving to eyecare. Tyrvaya's launch continued to progress as planned in its first quarter as a part of Viatris. March delivered Tyrvaya's the highest launch-to-date monthly prescriber count and total prescriptions. Furthermore, we remain excited about Tyrvaya's opportunities ahead, including driving prescriptions from the recent Medicare Part D coverage win, leveraging Viatris' commercial infrastructure, and launching its first direct-to-consumer marketing campaign in Q4, which together provides confidence in our current full-year outlook for Tyrvaya as to as beyond that. We have made significant progress in stabilizing our base business, which we believe is one of the key elements to the successful execution of our Phase 2 strategy in '24 and beyond.
Rajiv Malik	President at Viatris	One of the primary drivers through our expected stabilization is the effective management of our brand portfolio which spawns approximately two-thirds of our overall base. I'm pleased to report that for the last several quarters, our branded business has consistently performed at or above our expectations across the various geographies. This continued strong performance of our branded category as well as generics across the segments combined with our anticipated 500 million-plus of new product launches in '23 gives us tremendous confidence that our base business, excluding the positive impact of our eyecare division, will return to growth in the second half of the year versus the prior year. We believe we are headed into the final stages of completing all aspects of our Phase 1 commitments and we'll deliver another strong year that we expect will put the company in a very solid position to execute Phase 2.
Rajiv Malik	President at Viatris	Let me now switch to provide noteworthy updates on our pipeline with a focus on the three key buckets we highlighted at the beginning of the year. I will begin with our portfolio of complex injectable products. We secured a sole first-to-file position for Wegovy, a weight-loss treatment. In addition, we can also confirm that we have achieved a sole first-to-file status for Ozempic 8 milligrams strength. As we have previously disclosed, we have a shared first-to-file position on the other strengths of Ozempic. In addition, we have strengthened this portfolio and submitted our ANDA for ABRAXANE used in the treatment of breast cancer as well as advanced our MR-151 product, an anticoagulant, into its clinical phase of development. Finally, we have also submitted another first-to-market ANDA to FDA for MR-204 which is indicated for chronic dry-eye disease.
Rajiv Malik	President at Viatris	Within our select, novel, and complex products pipeline, I'm really excited to announce that we filed our NDA for Glatiramer Acetate once-monthly to FDA. As we have previously noted, our GA once-monthly product has met its primary endpoint of reduction in annual relapse rate in a placebo-controlled Phase 3 study. GA once-monthly demonstrated a 30% reduction in ARR as compared to placebo. In addition to this, GA once-monthly when compared to placebo demonstrated clinically relevant spirality on the Expanded Disability Status Scale Score that was statistically significant. For Meloxicam, we have completed our end-of-Phase 2 meeting with FDA on May 1 with positive outcomes and we look forward to initiating our Phase 3 clinical trials in the second half of this year. Finally, we are progressing our IND-enabling study for our BOTOX program and remain on track to making our IND filing this year.
Rajiv Malik	President at Viatris	Our eye care pipeline is also advancing as planned. We are pleased that we have received positive top-end results for Tyrvaya in China. We along with our partner are now tracking our submissions in China to August of this year. Our clinical program for MR-142 for night vision disturbances is progressing well. We also submitted our IND and are Phase 3 ready for our MR-148 for dry eye disease. In addition, we aligned with FDA on the Phase 3 study design for our Blepharitis program which will get initiated later this year. Finally, we are executing IND-enabling studies for our nerve growth factor product, MR-146, which we hope to progress to treat all stages of neurotrophic keratitis.
Rajiv Malik	President at Viatris	Before I hand it over to Sanjeev, I want to recognize that our execution has been and continues to be a team effort and I would like to thank our colleagues around the globe for delivering another strong quarter.
Rajiv Malik	President at Viatris	With that, I will now hand the call over to Sanjeev.
Sanjeev Narula	Chief Financial Officer at Viatris	Thank you, Rajiv, and good morning, everyone. We're off to a great start to the year, and as a team, could not be more confident in our strategy to deliver our plan and return the company to group. As Scott mentioned, first quarter was in line or slightly ahead of our expectation. Our business fundamentals are strong and we are encouraged by continued performance, including the stability of our base business. In the quarter versus prior year, excluding biosimilar, net sales from our Europe, emerging market, China businesses grew operationally. New products contributed well. We are looking forward to several exciting launches in the second half of the year.
Sanjeev Narula	Chief Financial Officer at Viatris	Early in the quarter, we closed the eye care acquisition and our SG&A and R&D expenses for Q1 includes costs associated with the commercial infrastructure and late-stage pipeline of these businesses. We continued to see benefit from our unique platform and its ability to generate significant cash flow from operations. We feel good about the opportunities ahead that will strengthen our free cash flow generation. Looking at Quarter 1 2023 highlights, you will see our summarized results versus prior year on a reported basis.
Sanjeev Narula	Chief Financial Officer at Viatris	It is important to note that for comparison purposes, our reported results for Quarter 1 2022 included the biosimilar business. Our net sales and adjusted EBITDA walks show sales for the quarter were in line with our expectations, and on an operational basis, down slightly versus the prior year. Foreign exchange had a negative impact of approximately 5% of net sales versus the first quarter 2022. The stability of our business was primarily driven by growth in Europe across diverse portfolio, key products in Greater China, and brands in emerging markets. As mentioned, base business performance was in line with our expectation. And the full year remains on track with the estimate we provided in February due to the ramp of new products and volumes. New product revenue is off to a solid start and benefited from sales of additional strength of lenalidomide. Adjusted gross margin of approximately 60% in the quarter exceeded our expectation and was driven by positive portfolio and segment mix, new product launches, the lower impact of inflation on COGS, and the impact of certain positive variances. We reported strong adjusted EBITDA which included SG&A investment in the eye care franchise and R&D to progress key programs across injectable and complex products.
Sanjeev Narula	Chief Financial Officer at Viatris	We had another excellent quarter of free cash flow of $923 million. In the quarter, free cash flow conversion continued to improve. The year-on-year decline was driven by lower adjusted EBITDA, the biosimilar divestiture, and the impact of foreign exchange. In the quarter, we incurred approximately $22 million in transaction costs primarily relating to eye care acquisitions. We continue to deliver on our capital allocation plan and financial commitment. As a result, we remain in a strong balance sheet position with a low-coupon fixed-rate capital structure. We are committed to our investment-grade rating and we continue to pay down debt to reach our leverage target of three times. In the quarter, we paid down approximately $550 million of debt for a total of approximately $6 billion since the beginning of 2021. Additionally, we returned approximately $400 million of capital to our shareholders in the quarter.
Sanjeev Narula	Chief Financial Officer at Viatris	Before I discuss the 2023 outlook, although we're not providing guidance beyond 2023, especially given the strong start to this year, I have even more confidence in our Phase 2 outlook beginning in 2024. This includes the expectation of generating at least $2.3 billion in free cash flow from the re-base business before any associated transaction costs and taxes.
Sanjeev Narula	Chief Financial Officer at Viatris	Coming back to 2023. We are reaffirming our 2023 guidance ranges. We currently expect full-year revenue, adjusted EBITDA, and free cash flow to be at the midpoint of the ranges. While foreign exchange continues to be dynamic based on current rates, we have assumed a slight headwind in Q2 and minimal-to-neutral impact for the full year.
Sanjeev Narula	Chief Financial Officer at Viatris	Now a few updated on expected phasing for rest of the year. We continue to expect total revenue to be higher in the second half due to ramp and launch of new products, including Breyna, our generic version of Symbicort, as well as normal product seasonality, particularly in Europe. We now expect adjusted EBITDA to be evenly weighted between the first half and the second half driven by two factors. Number one, gross margin stepping down in Q2 and moderating in the second half due to portfolio and segment mix. Expected higher COGS because of inflation, an expectation that positive variance in the first quarter will not repeat. And number two, SG&A and R&D spending to step up in Q2 and increase sequentially in the second half. This includes the expected DTC invested in Tyrvaya as well as increased investment in the eye care pipeline and organic R&D. We expect cash flow to be lower in subsequent quarters given the expected increase in capital expenditure, onetime cost, and working capital. Specifically, Quarter 2 and Quarter 4 will be lower due to timing of semiannual interest payments. As a reminder, our adjusted EBITDA and free cash flow guidance exclude any future acquired IPR&D for unsigned deals, and our free cash flow does not include any transaction costs and taxes associated with the planned divestiture for the eye care acquisition.
Sanjeev Narula	Chief Financial Officer at Viatris	In closing, based on the sound fundamentals of our business, we're well-positioned for a strong 2023 and nothing has changed with respect to our Phase 2 outlook beginning in 2024.
Sanjeev Narula	Chief Financial Officer at Viatris	With that, I'll hand it back to the operator to begin the Q&A.
Operator	Operator	[Operator Instructions] We'll take our first question from Glen Santangelo from Jefferies.
Glen Santangelo	Analyst at Jefferies Financial Group	Yeah. Hi. Thanks. Scott, I just wanted to start with you. It seems -- it's been a couple of months since you've been onboard and you had a chance to look at everything, and encouragingly, you seem to agree with the strategic plan or comfortable with everything. So, could you maybe revisit what you expect the proceeds to be from the three asset sales coming later this year? And I think from memory, you said $5 billion to $6 billion pretax, and what is that after-tax? And then what's the plan for those proceeds is, would 50% of that be returned to shareholders because that would imply the share repurchase that's significantly bigger than the authorization you currently have outstanding? So, any more details around the back half of the year as it relates to capital deployment will be helpful. Thanks.
Scott A. Smith	Chief Executive Officer at Viatris	So, good morning, Glen, and thank you very much for the question. So, you said I'm comfortable with strategic plan. I think I'm more than comfortable. I'm very, very supportive of the strategic plan. As I came in on the board at the end of the year, one of the things I was most impressed with was plan and the way forward. I think it's a very, very strong plan, and I'm very, very much supportive of it. You asked a question about divestitures as well. And I think it's really important to note that we expect to be -- as I said in my prepared remarks, we expect to be in the previously-announced ranges for both value and for timing. And it's really important to note that we don't need to do these divestitures, we have strong financial performance. These are a matter of strategic choice and not a necessity. So, these are strongly performing assets. There's a lot of interested parties who are on track to announce, all of them hopefully about a year, in 2023, and we hope to be able to announce one or more early in the second half. So, we're very, very pleased where we are from that perspective. But again, it's really important to note that we don't have to do these divestitures in order to execute on our plan. Our plan is strong and due to the strong operational and financial performance of the company.
Scott A. Smith	Chief Executive Officer at Viatris	Sanjeev, do you want to talk a little bit?
Sanjeev Narula	Chief Financial Officer at Viatris	No. I think, Scott, you covered everything. I think just two points to kind of just double-click on that, Glen, to your point about the ranges. So, we talked about in that net proceeds of about 4.9 to 6.1. And that after the taxes, onetime costs and the Oyster Point acquisition at that point. So, we stayed within the range. And the idea that is the proceeds that will be available for additional debt paydown, buying back shares, and investing in the business for the capital allocation plan that was already laid out.
Operator	Operator	Our next question comes from Chris Schott from J.P. Morgan.
Chris Schott	Analyst at J.P. Morgan	Great. Thanks so much. I'm just following up on the divestiture process. It sounds like things are on track. But you mentioned this position of strength. I guess, to the extent the current rate environment does not result in valuations that are aligned with your targets. Can you still kind of push forward with this capital allocation story and kind of targeted acquisitions just given the step-up in free cash flow? Or, would that part of the plan have to change? I know that's not Plan A, but just to the extent that we weren't able to get all these to go line kind of -- should we think about there being a different outlook, or is the outlook pretty much the same regardless? Thank you.
Scott A. Smith	Chief Executive Officer at Viatris	I think it's -- thank you very much for the question, Chris. I think it's very important to note that due to the strong operational and financial performance of the company, we can execute on our financial commitments and on the plan without the divestitures. These are really good well-performing assets. Yes, it's been some deterioration, I believe, in interest rates in the macroeconomic environment. And we don't have to go into any sales that we don't think minutes the value that we see in these important assets. Again, having said that, there's a lot of interest in these assets, and we believe they're going to move forward, and I believe they're going to be, by the time we get to the end of this process, I believe they're going to be in the previously-announced range both for value and for timing. But no, they're not necessary for us to be able to execute on the plan.
Operator	Operator	Our next question comes from Jason Gerberry from Bank of America.
Bhavin Patel	Analyst at Bank of America	Hey, guys. Thanks for taking our questions. This is Bhavin Patel on for Jason. So, firstly on your monthly GA for multiple sclerosis. How do you see the market opportunity given decreased use of GA overall? And do you believe you can increase the use of GA with a monthly depot? And then on Tyrvaya, just barely impressions, what do you think is needed to drive the launch curve to look like more successful dry eye launched analogs? Thank you.
Rajiv Malik	President at Viatris	Thanks for your question. First of all, very happy to announce today the submission of this NDA, very important product for us with our partner, Mapi. And our -- it's not just a compliance play. We have studied this data very carefully over the last couple of months, dug deep into the previous studies which are available, the significant treatment effect of the depot product in reducing the ARR strengthened by the MRI endpoints supports the use of GA depot for the RMS patients and just puts your head around just as against one injection per month, 14 injections the what current treatment is, and almost 560 milligram drug against the 40 milligram. Moreover, not only this was our annual relapse rate, but GA significantly reduced the contrast enhanced lesions by 28%, as well as new or enlarging T2 hyperintensities by about 17%, and significantly how strong the EDSS which is Expanded Disability Status Scale. So, I think with all these, we are looking forward to -- GA, still -- this molecule still has a secretive market share. And this product will revive -- this product will further revive and boost that acceleration.
Sanjeev Narula	Chief Financial Officer at Viatris	On the Tyrvaya side, if we look at Tyrvaya performance in 2022, it's predominantly driven by commercial coverage. And as we enter into 2023, we have increased Medicare Part D coverage from single-digits now you leaving the quarter about 54% of Medicare Part D cover life being covered. So, if you think about the marketplace, approximately half of all dry eye disease prescriptions come from Medicare Part D. So, we expect that to be a significant tailwind. As we exited the quarter in March, we have the strongest launch to date for prescribers and prescriptions. We expect this to continue as digital advertising ramps and we initiate the DTC campaign at the end of the year. And furthermore, when we leverage Viatris' commercial infrastructure, we feel that's going to drive an additional intermediate and long-term tailwind for Tyrvaya and the overall portfolio.
Scott A. Smith	Chief Executive Officer at Viatris	So, just a very quick comment on Tyrvaya and the eye care business as well. We need to remember that this deal closed in January. So, this Q2 is our first full quarter with Oyster Point under the Viatris tent. Both revenue and demand for Tyrvaya were in line with our expectations for Q1. And March had the highest demand as previously noted. We're seeing opportunities for leverage as strong parts of the existing organization including commercial access and our large development team to help accelerate revenues in the future, including initiating DTC later in this year. I just want to say that we're very, very excited about not only Tyrvaya but the eye care business in general. Our next question comes from Balaji Prasad from Barclays.
Balaji Prasad	Analyst at Barclays	Hi. Good morning, everyone. Thanks for the question. Scott, just couple of questions on the EBITDA side. You called out $2.3 billion of EBITDA for 2024, at least. Can you help us understand what this factors? I would imagine these factors are your asset divestments. And maybe some helpful color would be on what is that like-for-like. Continuing on EBITDA, the cadence implies that Q2 EBITDA is below where the Street is currently. So, was there any pull-forward of EBITDA from Q2 to Q1? Thanks.
Scott A. Smith	Chief Executive Officer at Viatris	And yes, I did confirm $2.3 billion going forward. But let me take it to Sanjeev to get into some of that in more context around your EBITDA question.
Sanjeev Narula	Chief Financial Officer at Viatris	Yeah. Thank you, Balaji. I will cover both points that you've talked about in terms of 2024. So, simple way to think about this is the 2 -- what Scott mentioned, minimum $2.3 billion free cash flow for 2024 is after taking out all the divested assets that we've announced. So, if you talk about today's 2023 guidance that we have the $2.5 billion, that includes all the divested assets that we have with us. But this is to kind of show you the starting point for Phase 2, which is assuming all the divested assets are out of the numbers and that's how you get to that $2.3 billion. Important note that's before any cost for divestments or any taxes, which will obviously be funded through the divestment proceeds on that. And we are well on track and we feel very good about where we are on that particular point.
Sanjeev Narula	Chief Financial Officer at Viatris	As far as the EBITDA is concerned, again, we had a strong quarter, came in at our expectations slightly ahead of our expectations. The way to think about EBITDA in terms of the phasing is going to be now evenly phased between first half and second half. And that's going on because of there are two factors that is driving it. First is obviously the gross margin, which, first quarter came in ahead of our expectation. So, gross margin is going to step down in Q3 -- Q2, and then go to moderate in second half of the year. So, there is a function of product and portfolio mix, the continued impact of the inflation, and non-repeat of certain positive variances that we had in the first quarter. And then you obviously have the SG&A and R&D stepping up starting from Q2 and later in the year because the investment that we're making in the IT division, the R&D pipeline on organic products, and the DTC that Scott talked about for Tyrvaya which is going to kick in, in the later part of the year. That's why we feel great about overall where we are. But that's the cadence that we expect now. But it still will be at the midpoint of our EBITDA guidance.
Operator	Operator	Our next question comes from David Amsellem from Piper Sandler.
David Amsellem	Analyst at Piper Sandler	Thanks. So, just wanted to ask a couple of product-specific questions. So, you still have a lot of exposure to Lipitor and Norvasc. Can you talk about how sticky you think those products are going to be globally? And then secondly, just in general, how are you thinking about the trajectory of the established brands portfolio over time? And then another question I have is just a high level philosophical question. If you think about your exposure to regular way, generics, oral solid generics in developed markets in particular, how do you think about the role of that business in the overall organization? And I guess more specifically, is -- are oral solid generics a business that you want to de-emphasize over time? Thank you.
Rajiv Malik	President at Viatris	I can start with the -- from the second part. I think we never were de-emphasizing the oral solid business. All we did was diligently looked into our portfolio, looked into -- there are multiple options, products are commoditized. That are more than 10, 15 suppliers out there. Access is not an issue. And we pruned that portfolio and focused on going up the value chain, focused on excess of the more complex, hard to make for us, because somebody is going to take the lead to bring those products too. So, I would say that generics are still a very important part. Our access, basically, it's all about access, and that's where we have been focusing on, bringing access to this hard-to-make difficult products in this segment across the globe. So, we're not walking away from that segment. That's the first thing.
Rajiv Malik	President at Viatris	Second, from the brands point of view, established brands point of view, not just Lipitor and this. These brands -- we have been -- these brands, some of these brands were before Upjohn are even the Abbott experience, we -- they were declining at an accelerated rate. And we -- why? Because there was perhaps not enough focus over the last two years. We have -- I know what we have to work with and we have focused on these products. Over the last several quarters, six to eight quarters, we have been able to stabilize this bucket very successfully from decline of -- initial decline of 4%, 5% to about 1%. And in fact, this quarter, it was flat and next quarter you will see this segment coming to a little bit of growth. So, it's all about stabilization of this bucket, which is leading to the further robustness of this platform. So, we're very excited with the work which we have done around this and our ability to manage this portfolio.
Operator	Operator	Your next question comes from Ash Verma from UBS.
Ashish Verma	Analyst at UBS Group	Hi. Thanks for taking my questions. So, I have two on pipeline. One on BOTOX, have you received clarity from the FDA. Can you share with us like, what's going to be the trial design by similarity, endpoint, etc. for this program? And are you pursuing this as an indications here, and not esthetic? And then separately, for Xulane Low Dose, can you elaborate a little bit like what is the value proposition? Does this in any way expand the market opportunity, or is it going to cannibalize the high-dose product that you have? Thanks.
Rajiv Malik	President at Viatris	On Xulane Low Dose, as market is already like commoditized, cannibalized, I would not say it's cannibalized, but kind of commoditized with now one, two, three players out there. And Xulane Low Dose actually is a medical need, it's an unmet need over there that has been always in ask for a low-dose hormonal product over here and we are well on track. We are Phase 1 studies are now completed, sensitization, irritation, addition, and Phase 3 studies underway, targeting about 1,200 women and we're looking forward to bringing this to the market maybe by '25, -- sorry, '26 in this case. As far as the BOTOX, yes, very early on, maybe almost year and half back, we sought the alignment and we got the alignment with the FDA. Very clearly what they have expectations were on CMC and what are on the clinical trials, like for example, one of the clinical studies they were looking on a cervical dystonia as well as extensor digitorum brevis. So, all those studies are well in -- all that work is well on track. And we will be submitting our IND later this year for the initiation of Phase 3 study.
Operator	Operator	Our next question comes from Umer Raffat from Evercore.
Umer Raffat	Analyst at Evercore ISI	Hi, guys. Thanks for taking my question. I have two here, if I may. First, it seems like China has been a very good tailwind through the duration of COVID lockdowns. And considering it did so well last year and considering it's doing so well up 5% in 1Q as well, how are you baking in potential for a restart and implementation of VBP programs across China into back half of this year and especially into next year? Number one.
