Speaker	Title	Content
Operator	Operator	Good morning, welcome to the Waters Corporation First Quarter 2023 Financial Results Conference Call. [Operator Instructions].
Operator	Operator	It is now my pleasure to turn the call over to Caspar Tudor, Head of Investor Relations. Sir, please go ahead.
Caspar Tudor	Head of Investor Relations at Waters	Thank you, Brad. Good morning, everyone, and welcome to the Waters Corporation First Quarter Earnings Call. Today, I'm joined by Dr. Udit Batra, Waters' President and Chief Executive Officer and Amol Chaubal, Waters' Senior Vice President and Chief Financial Officer.
Caspar Tudor	Head of Investor Relations at Waters	Before we begin, I will cover the cautionary language. In this conference call we will make various forward looking statements regarding future events or future financial performance of the company. In particular, we will provide guidance regarding possible future results and commentary on potential market and business conditions, including with respect to the close of the Wyatt transaction that impacts Waters Corporation over the second quarter of 2023 and full year 2023. These statements are only our present expectations and actual events or results may differ materially. For more details, please see the risk factors included in our most recent Annual Report on Form 10-K or Form 10Qs and the cautionary language included in this morning's earnings release.
Caspar Tudor	Head of Investor Relations at Waters	During today's call we will refer to certain non-GAAP financial measures including - including in our discussions of the results of operations. Reconciliations of the non-GAAP financial measures to the most directly comparable GAAP measures are attached to our earnings release issued this morning and in the appendix of our presentation which are available on the company's website. Unless stated otherwise, references to quarterly results increasing or decreasing are in comparison to the first quarter of fiscal year 2022. In addition, unless stated otherwise all year-over-year revenue growth rates and ranges given on today's call are given on a comparable constant currency basis. Finally, we do not intend to update our predictions or projections except as part of our regularly scheduled quarterly earnings release or as otherwise required by law. Now I'd like to turn the call over to Udit to deliver our key messages for the quarter then Amol will provide a more detailed look at our financial results after we will open up the phone lines to take questions. Udit?
Dr. Udit Batra	President and Chief Executive Officer at Waters	Thank you, Caspar and good morning, everyone. So this morning, I'll start by giving you color on our first quarter results as well as our updated guidance then I will cover some of our recent product launches including Alliance iS and I will also provide an update on Wyatt. Our first quarter results were below our expectations with revenue growth of 3% on a constant currency basis versus our expected 4% to 6% growth. This was largely driven by weaker-than-expected demand for instruments in biotech and pharma, which I will cover in a moment. As you know, we had an extraordinary Q1 last year with 16% constant currency growth, even though our first quarter this year was slower than expected, it still represents a very healthy 2-year stack growth of approximately 9.4%. We also saw overall - good overall strength in our recurring revenues, which continued to grow in the high single digits as well as mass spec and DA, both of which grew double digits.
Dr. Udit Batra	President and Chief Executive Officer at Waters	Our end markets remain resilient and our leadership team continues to drive strong commercial execution. We have further strengthened our revitalized portfolio with a steady stream of innovative new products. Finally, we've added M&A to our growth strategy with our pending acquisition of Wyatt and we continue to invest organically in our high growth adjacencies which are also on track and are gaining momentum. Reviewing our first quarter results in more detail, our performance was impacted by a combination of three factors. First, China was weaker than anticipated as pharma customers scaled back purchases. Second, while we have limited exposure to pre-commercial biotech, we have seen it pronounced scaled back in demand from these customers as they have significantly reduced spending to conserve capital. And third, several of our large to medium size pharma customers delayed timing of instrument orders due to macroeconomic caution. Each of these dynamics occurred late in the quarter and led to instruments declining 3% after they grew over 25% in the first quarter of last year. By end market, the impact was to our pharma business, which declined 4% overall. This was offset by strength in the academic and government segment, which grew 45%, and industrial, which grew 3%, while our recurring revenues remained strong across service and chemistry.
Dr. Udit Batra	President and Chief Executive Officer at Waters	As a result of this lower- than expected volume, our non-GAAP earnings per fully diluted shares also came below our expectations at $2.49 for the first quarter. On a GAAP basis, our earnings per fully diluted share was $2.38. As we look ahead, we are assuming that spending among pharma customers in China will remain scaled back for the balance of the year. And while our exposure to pre-commercial biotech is low, we also believe that the slowdown in this space is likely to persist for the remainder of the year, as a result we are lowering our 2023 guide due to these two factors. We now expect our full year organic constant currency growth to be in the range of 3% to 5%. We believe that large to medium pharma side budgets remain in place, we expect spending among these customers to catch up and be stronger in the second half of the year after delayed spending in the first half. Despite our revised revenue guide, our full year EPS guidance and free cash flow generation expectations remain unchanged. We intend to proactively manage our spend and working capital and Amol will cover this in more detail.
Dr. Udit Batra	President and Chief Executive Officer at Waters	Even with short term market challenges, our sources for growth remain intact. Our end markets are robust with almost 80% of our business exposed to durable growth areas. This includes demand for QA/QC testing of commercialized medicines, increased scrutiny of PFAs in food and water and the testing of batteries used in applications such as electric vehicles. Our team has developed a strong commercial discipline that is supported by best in class innovative new products that address evolving customer unmet needs. We're also seeing high single digit growth in our recurring revenues, which are over 50% of our annual sales. Chemistry growth is supported by strong end market - end market activity, growth in biologic applications with our MaxPeak Premier columns and our e-commerce initiative.
Dr. Udit Batra	President and Chief Executive Officer at Waters	For service, we're seeing strong pull through from our instrument sales and increased service plan attachment is supporting the growth. We expect service plan attachment for our instruments to increase by another 100 basis points this year, building on the 350 basis point expansion since 2019. Our revitalized portfolio has been further strengthened with the recent launch of Alliance iS which is our next generation intelligent HPLC system. We believe it is the most significant innovation to hit pharma QA/QC in the past decade and it provides a major leap forward in-lab productivity. Not only is the instrument easy to use with its large touchscreen interface but can eliminate common user errors by up to 40%, it does this by guiding users between steps with highly - with a intuitive interface. It intelligently conducted a number of real-time system checks before a sample is run. This helps - ensures that the instrument is configured correctly for the method that is being tested. Before now errors such as incorrect solvent or the wrong column being used which I usually discovered after the sample has been run with results in waste of time and a waste of sample.
