Speaker	Title	Content
Operator	Operator	Good afternoon, and thank you for standing by. Welcome to Western Digital's Fiscal Third Quarter 2023 Conference Call. Presently, all participants are in listen-only mode. Later, we will conduct a question-and-answer session. [Operator Instructions] As a remainder, this call is being recorded.
Operator	Operator	I would now like to turn the call over to Mr. Peter Andrew, Vice President, Financial Planning and Analysis of Investor Relations. You may begin.
Peter Andrew	Vice President, Financial Planning and Analysis of Investor Relations at Western Digital	Thank you, and good afternoon, everyone. Joining me today are David Goeckeler, Chief Executive Officer; and Wissam Jabre, Chief Financial Officer. Before we begin, let me remind everyone that today's discussion contains forward-looking statements, including expectations for our product portfolio, cost reductions, business plans and performance, demand and market trends, and financial results based on management's current assumptions and expectations. And as such, does include risks and uncertainties. We assume no obligation to update these statements.
Peter Andrew	Vice President, Financial Planning and Analysis of Investor Relations at Western Digital	Please refer to our most recent financial report on Form 10-K and other filings with the SEC for more information on the risks and uncertainties that could cause actual results to differ materially. We will also make references to non-GAAP financial measures today. Reconciliations between the non-GAAP and comparable GAAP financial measures are included in the press release and other materials that are being posted in the Investor Relations section of our website.
Peter Andrew	Vice President, Financial Planning and Analysis of Investor Relations at Western Digital	With that, I will now turn the call over to David for introductory remarks.
David Goeckeler	Chief Executive Officer at Western Digital	Thank you, Peter. Good afternoon, and thank you, for joining the call to discuss our 2023 third quarter results. Western Digital's third quarter performance exceeded expectations, with core metrics at the high-end of our guidance range, demonstrating the company's resilience in a challenging market environment. We reported third quarter revenue of $2.8 billion, non-GAAP gross margin of an 11% and the non-GAAP loss per share of $1.37. Over the last several years, our team is focused on enhancing business agility and delivering a range of innovative industry-leading products that address the increasing data storage demands of our customers. The groundwork we laid, combined with the actions we have taken since the beginning of this fiscal year to right-size and refocus our business, have enabled us to navigate a dynamic environment.
David Goeckeler	Chief Executive Officer at Western Digital	I am pleased that we delivered non-GAAP gross margin at the higher end of our guidance range, due to strong execution across both our HDD and Flash businesses. In HDD, our early actions to streamline our manufacturing footprint and focus our product offerings on delivering the best value for our data center customers have resulted in gross margin upside and profitable market share gains in HDD. In Flash, our broad go-to-market strategy, anchored on our enviable retail franchise in a strong client SSD portfolio, enabled us to optimize a bit of placement and bolster gross margin.
David Goeckeler	Chief Executive Officer at Western Digital	During the fiscal third quarter, we saw signs of demand stabilizing across various end-markets. In Consumer, our Flash and HDD results were consistent with the expectations we shared in January. In client, demand for each major product area came in better than we expected across PC OEM, channel, mobile and gaming. In the cloud, demand for capacity enterprise hard drives improved, whereas the demand for Flash drives was consistent with our expectations set in January.
David Goeckeler	Chief Executive Officer at Western Digital	Before I jump into updates on our HDD and Flash businesses, I would like to reiterate that the strategic review process is ongoing, and we will provide updates as we have them. I'll now turn to the business update, starting with HDD. During the fiscal third quarter, our HDD revenue improved sequentially, with growth in capacity enterprise offsetting seasonal declines in retail and client. During the quarter, our 22-terabyte CMR drives became the highest volume product among all of our 20 terabyte and above capacity points, demonstrating our leadership position at this capacity point. In addition, we expect a complete qualification of our 26-terabyte ultra SMR technology in the fiscal fourth quarter. These innovative -- innovative products provide multi-generation benefits to our customers.
David Goeckeler	Chief Executive Officer at Western Digital	Turning to Flash, total exabyte shipment came in higher than expected in consumer, mobile, PC OEM and channel products. Despite the industry experiencing the worst downturn in over a decade, Western Digital delivered positive product gross margin, excluding underutilization charges, driven by our unique combination of premium retail brands, broad go-to-market channels, and low-costs Flash supply from our joint venture fab with Kioxia. Furthermore, we continued to see encouraging signs of price elasticity driven content growth and retail Flash led by WD Black SSD optimized for gaming, as well as mobile, PC OEMs and channel within client.
