Speaker	Title	Content
Operator	Operator	Good day everyone and welcome to the Williams First Quarter 2023 Earnings Conference call. Today's conference is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Mr. Danilo Juvane, Vice President of Investor Relations and ESG. Please go ahead.
Danilo Marcelo Juvane	Vice President of Investor Relations at Williams Companies	Thanks, Abby, and good morning, everyone. Thank you for joining us and for your interest in The Williams Companies. Yesterday afternoon, we've released our earnings press release and the presentation that our President and Chief Executive Officer, Alan Armstrong; and the Chief Financial Officer, John Porter, will speak to this morning. Also joining us on the call today are Micheal Dunn, our Chief Operating Officer; Lane Wilson, our General Counsel; and Chad Zamarin, our Executive Vice President of Corporate Strategic Development. In our presentation materials, you'll find a disclaimer related to forward-looking statements. This disclaimer is important and integral to our remarks, and you should review it. Also included in the presentation materials are non-GAAP measures that we reconcile to generally accepted accounting principles. These reconciliation schedules appear at the back of today's presentation materials. So with that, I'll turn it over to Alan Armstrong.
Alan S. Armstrong	President, Chief Executive Officer and Director at Williams Companies	Thanks, Danilo, and thank you all for joining us today. Our natural gas-focused strategy continues to deliver steady predictable growth and this past year was no exception -- sorry, this past quarter was no exception with our adjusted EBITDA, up nearly 20% compared to the first quarter of '22. And let me remind you that last year was a record year for growth as well when we were up 14% on an annual basis. So really a big quarter for us on a tough comp. We saw a strong performance across all key financial metrics in the first quarter and set new records in our key operational stats as well, once again demonstrating our businesses' resiliency through commodity price swings. But beyond this obvious financial performance in the headlines, please don't miss the importance of the accomplishments in this past quarter that will serve to produce growth in '24 and beyond. So let me start out here on Slide two by highlighting a few of these accomplishments that will continue to drive what has now been over 10 years of consistent year-over-year EBITDA growth.
Alan S. Armstrong	President, Chief Executive Officer and Director at Williams Companies	First, we closed the acquisition of the MountainWest Natural Gas Transmission and Storage business, well ahead of our expectations. This acquisition enhances our position in the Western U.S. and expands our services to key Rockies markets. We're really happy with how the integration of MountainWest and The Williams has been progressing since we closed in February. And in fact, we're already seeing several expansion opportunities that were not in our pro forma, proving this asset is best positioned to be optimized within The Williams platform. Our team also accelerated the timing on key deliverables for several other fixed fee-based projects that are all supported by long-term contracts. This includes our Louisiana Energy Gateway project, Transco's Southeast Energy Connector and Transco's Regional Energy Access project. In fact, project execution is now in full swing on both Regional Energy Access and Louisiana Energy Gateway. And as a result of the quick action by the FERC and our construction teams, we now expect to bring approximately half of this regional energy access capacity into service ahead of schedule and actually in the fourth quarter of this year.
Alan S. Armstrong	President, Chief Executive Officer and Director at Williams Companies	So that will be just in time to meet growing demand in the Northeast region ahead of the winter heating season. Of course, this will also provide new market for producers on our Northeast Pennsylvania gathering systems, which, of course, is incremental to the returns on a project like that. We also executed several key agreements with Chevron to facilitate natural gas production growth in the Haynesville and the deepwater Gulf of Mexico. As part of those agreements, we gained a large dedication to our recently acquired Trace gathering system and a long-term capacity commitment on our Louisiana Energy Gateway project. This is a great example of Williams and Chevron working together to connect prolific domestic resources to expanding LNG export markets. We also placed several large-scale gathering expansions into service this quarter. The Marcellus South gathering expansion in Southwest Appalachia increased our capacity by 100 million cubic feet per day from rich gas supplies in this area, and significant progress was also made on our build-out of the new and fully contracted capacity on our Susquehanna County gathering system in Northeast PA.
Alan S. Armstrong	President, Chief Executive Officer and Director at Williams Companies	We also added 100 million cubic feet per day of capacity this quarter as part of the second phase of our Haynesville Spring Ridge expansion. And we saw a first flow for the Taggart expansion project in the deepwater Gulf of Mexico across our Devils Tower platform. Importantly, this is the first of five significant expansion projects that are expected to come online over the next two years and that will ultimately double our Gulf of Mexico earnings contributions.
Alan S. Armstrong	President, Chief Executive Officer and Director at Williams Companies	Finally, I'll add that we're moving forward on a number of projects in our backlog and our visibility to growth on the transmission side of the business is as good as we have seen it. From a financial perspective, the strength of our assets across all areas is reflected in our solid first quarter results and in fact, our base business produced record contracted transmission capacity and record gathering volumes even after we exclude the contributions from acquisitions. The one underperforming area was in NGL processing margins, but more about this in a moment. Importantly, this was a quarter in which we saw Sequent fully optimized assets in our base business, underscoring the balance and improved commercial competencies that the Sequent acquisition has delivered for the benefit of our natural gas strategy. So for example, in the Northeast, we benefited from record-gathering volumes and significantly outperformed the broader Marcellus production trends as Sequent provided takeaway markets uniquely for our producing customers in Ohio.
Alan S. Armstrong	President, Chief Executive Officer and Director at Williams Companies	In the transmission in Gulf of Mexico segment, we realized higher short-term firm sales on our pipes as Sequent helped to commercialize more business in that area as well. And now back to the big variance in our processing margins. In the West, our NGL processing margins on the legacy Williams business were actually negative due to abnormally high natural gas prices at Opal and really throughout everything west of Opal. Normally, this would have shown up as a significant negative issue for the quarter. However, Sequent was able to capitalize on these large natural gas bases spreads in the West and more than offset the negative NGL margins turning this volatility into a net positive for Williams.
Alan S. Armstrong	President, Chief Executive Officer and Director at Williams Companies	Our acquisitions continue to deliver as expected, proving that our capital allocation strategy to fund these transactions with excess Sequent and E&P cash flows is setting us up for continued reliable and predictable earnings growth. I'd also note that as the market continues to underappreciate and undervalue the strength and resilience of our business, we stand ready to utilize our repurchase program as we did during this first quarter. So overall, a great quarter that has us set up for growth in '24 and beyond. And with that, John will walk us through the financial metrics for the quarter. John?
John D. Porter	Senior Vice President and Chief Financial Officer at Williams Companies	Thanks, Alan. Starting here on Slide four with a summary of our year-over-year financial performance. Beginning with adjusted EBITDA, we saw a 19% year-over-year increase. As we'll see on the next slide, our adjusted EBITDA growth included growth of over $100 million from our core large-scale natural gas transmission and gathering and processing businesses, including new records for both gathering and contracted transmission capacity. But it also included strong performance from our Sequent gas marketing business which dramatically overcame a perfect storm of severe winter weather impacts on our Wyoming businesses. Those Wyoming impacts included hits to both upstream and gathering and processing volumes as well as our Southwest Wyoming gas processing margins which were much lower from a surge in January shrink replacement gas price.
