Speaker	Title	Content
Operator	Operator	Good morning and welcome to the WestRock Second Fiscal Quarter 2023 Earnings Call.
Operator	Operator	[Operator Instructions]
Operator	Operator	I'd now like to turn the conference over to Rob Quartaro, Senior Vice President of Investor Relations. Please go ahead.
Rob Quartaro	Senior Vice President of Investor Relations at WestRock	Good morning, and thank you for joining our second fiscal quarter 2023 earnings call. We issued our press release this morning and posted the accompanying presentation to the Investor Relations section of our website. They can be accessed at ir.westrock.com or via a link on the application you're using to view this webcast.
Rob Quartaro	Senior Vice President of Investor Relations at WestRock	With me on today's call are WestRock's Chief Executive Officer, David Sewell; and our Chief Financial Officer, Alex Pease. Following our prepared comments, we will open the call for a question-and-answer session.
Rob Quartaro	Senior Vice President of Investor Relations at WestRock	During today's call, we will be making forward-looking statements involving our plans, expectations, projections, estimates, and beliefs related to future events. These statements involve a number of assumptions, risks, and uncertainties and that could cause actual results to differ materially from those we discussed during the call. We describe these assumptions, risks and uncertainties in our filings with the SEC, including our 10-K for fiscal year ended September 30th, 2022.
Rob Quartaro	Senior Vice President of Investor Relations at WestRock	We will also be referencing non-GAAP financial measures during the call. We have provided reconciliations of these non-GAAP measures to the most directly comparable GAAP measures in the appendix of the slide presentation. As mentioned previously, the slide presentation is available on our website.
Rob Quartaro	Senior Vice President of Investor Relations at WestRock	With that, I'll turn it over to you, David.
David Sewell	Chief Executive Officer at WestRock	Thank you, Rob and thank you all for joining our earnings call today. I'll begin our call with some highlights from our fiscal second quarter, then provide updates on our portfolio optimization strategy and cost savings initiatives. Following that, Alex will review our results in more detail and provide our outlook for the third quarter, as well as our assumptions for the full year.
David Sewell	Chief Executive Officer at WestRock	Turning to our second quarter results on slide three. During the quarter, market trends were largely consistent with our first fiscal quarter. Our Corrugated Packaging and Global Paper segments remain impacted by lower demand, high inflation, and shifting consumer spending. We have seen more stability in our Consumer Packaging segment supported by new business wins and growing plastics replacement revenue. While we faced difficult year-over-year comparisons in the quarter, we executed very well in a challenging environment. Our transformation initiatives continue to gain traction, and we are accelerating our portfolio actions. We remain on track to reach our $250 million full year target. I'll provide more detail on this shortly. I'm also proud to share that WestRock was recently included in Barron's Most Sustainable U.S. Companies list, further recognizing our commitment to sustainability.
David Sewell	Chief Executive Officer at WestRock	Net sales during the quarter were $5.3 billion, down 2% year-over-year, and consolidated adjusted EBITDA declined 8% to $789 million. Our results exceeded our guidance primarily due to better than expected inflation trends, strong results from our operations in Mexico, and progress on our transformation and cost savings initiatives. Adjusted EPS was $0.77, a decrease of 34% compared to the prior year quarter. Please note our adjusted EPS includes amortization of intangible assets, which was approximately $86 million or $0.25 per share for the quarter.
David Sewell	Chief Executive Officer at WestRock	Given current marketing conditions, we incurred a non-cash goodwill impairment linked to past acquisitions of $1.9 billion pretax, or $7.16 in earnings per share. We also incurred restructuring charges of $445 million pretax, or $1.32 in earnings per share, primarily related to our decision to close our North Charleston paper mill. Within these restructuring charges, $347 million were non-cash. Alex will provide more details on our performance in a moment.
David Sewell	Chief Executive Officer at WestRock	Before that, I'd like to discuss our transformation efforts. We remain committed to executing our strategy, and we are making tremendous progress. Our goals remain to leverage the power of one WestRock to deliver unrivaled solutions to our customers. With over $9 billion in enterprise sales, our customers value the broad portfolio of packaging solutions we provide. We're also driving efficiencies from our centralized purchasing initiatives, which have delivered $50 million in year-to-date savings.
David Sewell	Chief Executive Officer at WestRock	To invest in innovations that contribute to the circular economy and enable us to replace plastics, we are currently targeting $400 million in revenue from plastics replacements this year. To improve efficiency and drive margins through our cost savings initiatives, we are making significant progress and we continue to target $250 million in cost savings in fiscal 2023. And finally, to drive strong cash flows to invest in growth, optimize our footprint, and improve our return on invested capital, we are focused on returning leverage to our targeted range of 1.75 times to 2.25 times while investing in our assets and returning capital to our shareholders through our dividend. We are confident in our strategy and our optimization is a critical component.
David Sewell	Chief Executive Officer at WestRock	Turning to slide 4 and our initiatives to drive efficiencies and improve our operations. We are committed to operating world class assets and focusing our portfolio on markets and segments with the most opportunity for growth. With this work fully underway, we have widened the scope of our planned portfolio actions and have identified a number of less efficient, non-core assets that don't meet our return thresholds. As a result, we are taking targeted action to exit these assets and prioritize growth in more attractive areas.
David Sewell	Chief Executive Officer at WestRock	Our increased visibility into demand planning, production and inventory management is enabling us to optimize our converting network to drive throughput in our most efficient assets. In that regard, we are already in the process of closing four of our less efficient converting sites across both our Corrugated and Consumer segments. With these moves, we are consolidating our production into other more efficient facilities and improving our throughput to enable us to better serve our customers.
David Sewell	Chief Executive Officer at WestRock	Importantly, these actions are expected to have minimal impact on revenue, while driving profitability and return on invested capital. We have additional plans underway to continue these consolidation efforts.
David Sewell	Chief Executive Officer at WestRock	On the mill side, last year we closed our Panama City Mill and we eliminated Corrugated medium production in St. Paul. Earlier this week, we announced the closure of our North Charleston Mill. We intend to continue these mill evaluations, with a focus on driving growth with our most efficient assets.
David Sewell	Chief Executive Officer at WestRock	The North Charleston mill's production capacity was approximately 550,000 tons, including linerboard, saturating craft paper and uncoated craft paper. Similar to our previous capacity reductions, this mill will would require significant investment to achieve our targeted productivity levels, and we did not see a path to meeting our return on invested capital. The majority of the mill's linerboard and uncoated craft paper production will be transferred to other facilities and our network. With the closure, we will exit the saturating craft business and reduce our long-term exposure to the export market. Closing facilities is never easy, and we are working closely with our employees and our customers to support them as we move forward with these plans.
David Sewell	Chief Executive Officer at WestRock	We are also in the process of exiting URB production, which is not a strategic priority. In December, we closed on the sale of two URB mills, and we are in the process of selling our steak in our RTS joint venture along with our Chattanooga mill. We continue to expect this transaction to close in fiscal 2023 subject to receipt of regulatory approval. By exiting these less productive assets, we are able to direct our capital toward better use and invest for growth in the most attractive markets and geographies.
David Sewell	Chief Executive Officer at WestRock	An example of this is our Grupo Gondi acquisition, which closed in early December. Our integration efforts here are well underway, and I am pleased to report that we expect to exceed our synergy targets. The business is performing better than our initial expectations, despite a challenging macroeconomic environment.
