Speaker	Title	Content
Operator	Operator	Welcome to the Wynn Resorts First Quarter 2023 Earnings Call. All participants are in a listen-only mode until the question-and-answer session of today's conference.
Operator	Operator	[Operator Instructions]
Operator	Operator	This call is being recorded. If you have any objections, you may disconnect at this time.
Operator	Operator	I will now turn the line over to Cameron -- I'm sorry, to Julie Cameron-Doe, Chief Financial Officer. Please go ahead.
Julie Cameron-Doe	Chief Financial Officer at Wynn Resorts	Thank you, operator. And good afternoon, everyone. On the call with me today are Craig Billings and Brian Gullbrants in Las Vegas. Also on the line are Linda Chen, Frederic Luvisutto and Jenny Holaday.
Julie Cameron-Doe	Chief Financial Officer at Wynn Resorts	I want to remind you that we may make forward-looking statements under safe harbor federal securities laws, and those statements may or may not come true.
Julie Cameron-Doe	Chief Financial Officer at Wynn Resorts	I will now turn the call over to Craig Billings.
Craig Billings	Chief Executive Officer at Wynn Resorts	Thanks, Julie. Afternoon, everyone. And thanks for joining us today. Before we get into the specifics of the quarter, I'm pleased to say that after three years of suspension, today, we announced that we are resuming payment of quarterly dividend, initially $0.25 per share.
Craig Billings	Chief Executive Officer at Wynn Resorts	We have a number of growth projects in flight that require capital and will ultimately add meaningful EBITDA to our business. But with Macau returning to profitability and North America continuing to perform well above historical levels, we have sufficient financial flexibility to also return capital to shareholders.
Craig Billings	Chief Executive Officer at Wynn Resorts	I also want to express appreciation to our 27,000-plus team, who were once again recently recognized by Forbes Travel Guide with 24 Five Star awards, the most of any independent hotel company in the world. Thank you for all that you do.
Craig Billings	Chief Executive Officer at Wynn Resorts	Turning to Las Vegas. I have to tell you, it's a fascinating time in our business. Despite the confluence of high inflation, high interest rates, bank failures and increasingly difficult year-over-year comps, Wynn Las Vegas delivered an all-time record in Q1 with $232 million of adjusted property EBITDAR, supported by a consumer that continues to feel flush. We also subsequently delivered the best April in the history of the property. We continue to invest heavily in people, programming and the building to further distance ourselves as the clear leader in luxury in Vegas.
